,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
260,0.0065608365,-0.25238147,-0.29181427,0.014376906,0.13962582,0.091093555,0.20574401,-0.21366173,-0.016755043,-0.19071281,0.19521694,0.08903656,0.10042569,-0.20512477,0.2163658,-0.11228007,0.049373742,0.19136672,-0.08321401,0.004519494,-0.2165761,0.031593233,-0.03817098,-0.09106842,-0.010043565,0.21771978,-0.17867611,-0.11820382,-0.5512998,-0.13521509,-0.122797035,-0.08061962
592,0.00871008,-0.24400443,-0.30110854,0.014147332,0.1473487,0.09631362,0.20369433,-0.20788571,-0.03247552,-0.192951,0.19435497,0.09345726,0.11083365,-0.20260535,0.21423176,-0.10612328,0.047744073,0.18737791,-0.07951324,-0.007968757,-0.20832554,0.026726525,-0.047726776,-0.08919941,-0.0015951466,0.22041345,-0.17485577,-0.11375548,-0.5591225,-0.12930307,-0.11314065,-0.078604825
446,-0.0065795723,-0.24375391,-0.30154213,0.002052088,0.14974387,0.103177205,0.1992775,-0.2064497,-0.03459302,-0.19049819,0.1937699,0.09766563,0.11635951,-0.20332633,0.21354598,-0.10370357,0.035973188,0.19202738,-0.07325682,-0.015644973,-0.21001711,0.02145149,-0.05054908,-0.087217994,0.0027007603,0.21130311,-0.17399754,-0.11898398,-0.5626686,-0.12843682,-0.111290775,-0.07295476
287,0.0015978451,-0.24799663,-0.28917998,0.006389612,0.14404766,0.09287839,0.20306647,-0.2129261,-0.022329194,-0.18711716,0.19182429,0.08962696,0.10388542,-0.20656057,0.22079438,-0.114128724,0.04285075,0.19169864,-0.081337884,-0.0042870026,-0.21664952,0.032133877,-0.03946918,-0.09610859,-0.0041002147,0.20897384,-0.18241407,-0.122144975,-0.55472255,-0.13586779,-0.12059674,-0.08196786
550,0.0057909195,-0.24694274,-0.30195537,0.015041977,0.14761895,0.09688869,0.2029375,-0.2075371,-0.028252875,-0.19274005,0.1961254,0.0942675,0.11205199,-0.20283073,0.21512567,-0.105935596,0.045932923,0.1876803,-0.078486316,-0.005613922,-0.2099675,0.027169352,-0.047572978,-0.08922763,-0.0031056048,0.2202496,-0.17449714,-0.11607796,-0.55581754,-0.12831335,-0.11470936,-0.07797004
190,-0.012879885,-0.23148622,-0.31734484,-9.076443e-05,0.16075984,0.10953686,0.19368695,-0.2018445,-0.058746573,-0.19490705,0.19055003,0.10275856,0.133928,-0.19803321,0.20353322,-0.09772094,0.02656836,0.19041249,-0.06603856,-0.026766872,-0.20263065,0.014679503,-0.06333498,-0.082151175,0.016417483,0.2096352,-0.16747865,-0.115623616,-0.5695793,-0.123400204,-0.10056237,-0.0594507
628,-0.005236284,-0.24114905,-0.3076829,0.005695369,0.15368904,0.105332464,0.19756953,-0.20415552,-0.0423895,-0.19123988,0.19472222,0.09895946,0.121999726,-0.20128092,0.21170473,-0.10011099,0.036614187,0.1889657,-0.07206005,-0.021901418,-0.20581998,0.021243459,-0.054856177,-0.08482712,0.008239276,0.21436633,-0.171024,-0.11677098,-0.5640563,-0.12508671,-0.108393505,-0.07191602
749,-0.010497018,-0.23905756,-0.30541795,-0.0016247105,0.15585819,0.10401011,0.19756278,-0.20512795,-0.044240978,-0.19243507,0.19225231,0.098749526,0.12464102,-0.20151657,0.21097481,-0.1009455,0.03042867,0.19210266,-0.07182004,-0.022079535,-0.20652221,0.016788362,-0.057400078,-0.086946,0.010894182,0.2099964,-0.17095351,-0.118646465,-0.56563026,-0.12726693,-0.10560898,-0.068007335
576,0.0055167316,-0.23830715,-0.3074749,0.015414894,0.15332127,0.09786511,0.20027058,-0.20543887,-0.03851863,-0.19260406,0.19034232,0.09464942,0.11827127,-0.20268148,0.21006903,-0.10641788,0.040825758,0.18960296,-0.080377065,-0.010024612,-0.20895241,0.02636046,-0.048791226,-0.08736514,0.001866018,0.2159349,-0.1715358,-0.11593322,-0.56115025,-0.13260622,-0.11312678,-0.07346951
140,-0.005362872,-0.23760474,-0.313306,0.010338356,0.15415247,0.1081158,0.19513997,-0.20389237,-0.045799173,-0.1932111,0.19403917,0.09925705,0.12654075,-0.2001618,0.20704803,-0.09902879,0.036889452,0.19149528,-0.072032586,-0.01989931,-0.20901865,0.021754002,-0.054425992,-0.08083923,0.006768656,0.21358974,-0.16791673,-0.11520473,-0.563413,-0.12662335,-0.10909155,-0.068421096
