feature,info,r2,quality
recurrence,0.0010160571707600403,,LOM
perineural_invasion_Pn,0.002321390739966228,,LOM
ohe_survival_status_with_cause_3.0,0.0014772083941247977,,LOM
ohe_survival_status_with_cause_2.0,0.0018349188856082923,,LOM
ohe_survival_status_with_cause_1.0,0.0002500660970542944,,LOM
ohe_survival_status_with_cause_0.0,0.00012754190169592388,,LOM
ohe_grading_0.0,0.00040926691844415854,,LOM
ohe_grading_3.0,0.0013293605444868134,,LOM
ohe_grading_2.0,0.0019506332151904935,,LOM
ohe_grading_1.0,0.001814777505716695,,LOM
ohe_pN_stage_0.0,0.0012315434222374695,,LOM
ohe_pN_stage_1.0,0.0014451951460564964,,LOM
ohe_pN_stage_2.0,0.00016231662526975066,,LOM
ohe_pN_stage_3.0,0.0,,LOM
ohe_pN_stage_4.0,0.00044761361936581924,,LOM
ohe_pN_stage_5.0,0.0036136412998464553,,LOM
ohe_pN_stage_6.0,0.0005712441356336257,,LOM
ohe_pN_stage_7.0,0.0018671459481132025,,LOM
ohe_pN_stage_8.0,0.0005637274357134374,,LOM
ohe_pN_stage_9.0,0.0019127197635444991,,LOM
ohe_histologic_type_0.0,0.0009061343422049115,,LOM
ohe_histologic_type_1.0,0.005921193478657519,,LOM
ohe_histologic_type_2.0,0.0014288723254686434,,LOM
ohe_histologic_type_3.0,0.0020609146827039225,,LOM
ohe_histologic_type_4.0,0.0007200227405162149,,LOM
ohe_histologic_type_6.0,0.005535480653906295,,LOM
ohe_histologic_type_7.0,0.0007139327246348593,,LOM
ohe_histologic_type_5.0,0.0024786347922691955,,LOM
ohe_pT_stage_0.0,0.0037628220442053398,,LOM
ohe_pT_stage_1.0,0.0016126335210435389,,LOM
ohe_pT_stage_2.0,0.0010481028607212592,0.06861554112418959,LOM
ohe_pT_stage_3.0,0.0015556075129165388,,LOM
ohe_pT_stage_4.0,0.0010567202129255324,,LOM
ohe_pT_stage_5.0,0.0017537240556146025,0.7687892793708432,LOM
ohe_pT_stage_8.0,0.0011073807364706534,,LOM
ohe_pT_stage_7.0,0.0010119653080569008,,LOM
ohe_pT_stage_6.0,0.0024787226591424637,,LOM
ohe_histologic_type_8.0,0.0026535024359596406,,LOM
ohe_smoking_status_3.0,0.0004449681684056784,,LOM
ohe_smoking_status_2.0,0.0003676813344780033,,LOM
ohe_smoking_status_1.0,0.002710055884796728,,LOM
ohe_smoking_status_0.0,0.0012372007511148283,,LOM
ohe_hpv_association_p16_1.0,0.0019037243974411283,1.0,LOM
ohe_hpv_association_p16_0.0,0.0013918562161072555,1.0,LOM
days_to_last_information,0.046354361236081644,,LOM
days_to_rfs_event,0.05082815779449985,,LOM
ohe_hpv_association_p16_2.0,0.002223794838313898,,LOM
ohe_primary_tumor_site_3.0,0.00421877213016171,,LOM
ohe_primary_tumor_site_2.0,0.002895790371709782,,LOM
ohe_primary_tumor_site_1.0,0.0018185988181996311,,LOM
ohe_primary_tumor_site_0.0,0.0014996755703650514,,LOM
ohe_primary_tumor_site_4.0,0.002063016982353998,,LOM
ohe_resection_status_0.0,0.0016096655084626172,,LOM
