dim,run,corr,target,Type
16,0,-0.06036687941623347,NF,Actual
16,0,0.2037894493873976,Aplasia,Actual
16,0,0.0033366015736362624,NF,Random
16,0,-0.014662519082995975,Aplasia,Random
16,1,-0.17936243831879348,NF,Actual
16,1,0.1955782208898851,Aplasia,Actual
16,1,-0.006837373347058048,NF,Random
16,1,-0.005833746799461066,Aplasia,Random
16,2,0.2784089054991122,NF,Actual
16,2,0.054644580905450546,Aplasia,Actual
16,2,0.0009661546158439918,NF,Random
16,2,0.0013469632398933847,Aplasia,Random
16,3,-0.08220262942538441,NF,Actual
16,3,-0.05204569924082716,Aplasia,Actual
16,3,-0.009409723670374045,NF,Random
16,3,-0.007278415614317315,Aplasia,Random
16,4,-0.08137992269699432,NF,Actual
16,4,0.036458597066573964,Aplasia,Actual
16,4,-0.005404379056089226,NF,Random
16,4,-0.0025577945830684025,Aplasia,Random
16,5,0.11491295408498504,NF,Actual
16,5,0.18198359465850988,Aplasia,Actual
16,5,0.001586834263412886,NF,Random
16,5,-0.016919771564991148,Aplasia,Random
16,6,-0.2378735882724929,NF,Actual
16,6,-0.016038812558818685,Aplasia,Actual
16,6,-0.003466626351311155,NF,Random
16,6,-0.0022673386179793043,Aplasia,Random
16,7,0.14970788150749897,NF,Actual
16,7,0.29716974272271124,Aplasia,Actual
16,7,0.0015760091748814383,NF,Random
16,7,-0.00039354493778582996,Aplasia,Random
16,8,0.07107443841505508,NF,Actual
16,8,0.14968320825533335,Aplasia,Actual
16,8,-0.0024756668183179577,NF,Random
16,8,-0.0013323600000635955,Aplasia,Random
16,9,-0.22408551836586468,NF,Actual
16,9,0.33940775758632863,Aplasia,Actual
16,9,0.002074643681464341,NF,Random
16,9,-0.013520558103933484,Aplasia,Random
32,0,-0.19967030440379135,NF,Actual
32,0,0.6185895265017535,Aplasia,Actual
32,0,-0.005531620239570323,NF,Random
32,0,-0.010050432300312521,Aplasia,Random
32,1,-0.098353661514306,NF,Actual
32,1,0.2625798653292712,Aplasia,Actual
32,1,-0.02519511519752763,NF,Random
32,1,-0.010417122127563912,Aplasia,Random
32,2,0.1287752531701146,NF,Actual
32,2,0.2510210297351843,Aplasia,Actual
32,2,0.009773632217976969,NF,Random
32,2,-0.002493317566531791,Aplasia,Random
32,3,0.17205086423640922,NF,Actual
32,3,0.37873131229747553,Aplasia,Actual
32,3,-0.01614441332050519,NF,Random
32,3,-0.008923260195484442,Aplasia,Random
32,4,-0.004354778472079963,NF,Actual
32,4,-0.11240163199496196,Aplasia,Actual
32,4,-0.016603953793077383,NF,Random
32,4,0.0006663656344364148,Aplasia,Random
32,5,0.2886772751918007,NF,Actual
32,5,0.24440006930388183,Aplasia,Actual
32,5,0.00048539696975016214,NF,Random
32,5,-0.0073914050885935615,Aplasia,Random
32,6,-0.12490296435829348,NF,Actual
32,6,0.15150242542056971,Aplasia,Actual
32,6,-0.009929080489288571,NF,Random
32,6,0.0060254452612944764,Aplasia,Random
32,7,-0.45543931045998787,NF,Actual
32,7,-0.04726251941522266,Aplasia,Actual
32,7,0.0010552296300456352,NF,Random
32,7,-0.005962391441859924,Aplasia,Random
32,8,-0.22681344067578976,NF,Actual
32,8,0.3482006405516378,Aplasia,Actual
32,8,0.003261258957457386,NF,Random
32,8,-0.013876419257582278,Aplasia,Random
32,9,-0.05180578082907627,NF,Actual
32,9,0.4907802389236671,Aplasia,Actual
32,9,-0.016183445496867167,NF,Random
32,9,-0.01778557042811997,Aplasia,Random
64,0,-0.015854115374916114,NF,Actual
64,0,0.13406516701364415,Aplasia,Actual
64,0,-0.01483476318114615,NF,Random
64,0,-0.013176144405236012,Aplasia,Random
64,1,-0.346693563955491,NF,Actual
64,1,0.22671529835746831,Aplasia,Actual
64,1,-0.005697769884115864,NF,Random
64,1,-0.0174404760699389,Aplasia,Random
64,2,0.21208513450814434,NF,Actual
64,2,0.46289176353686323,Aplasia,Actual
64,2,0.010506954643921677,NF,Random
64,2,-0.009427628872825992,Aplasia,Random
64,3,0.019509902416108244,NF,Actual
64,3,0.2314304122347136,Aplasia,Actual
64,3,-0.007698926678863872,NF,Random
64,3,-0.008941638001541418,Aplasia,Random
64,4,-0.22535360016526296,NF,Actual
64,4,0.06930969887011115,Aplasia,Actual
64,4,-0.0016454753144289655,NF,Random
64,4,0.006714272658689419,Aplasia,Random
64,5,-0.29976216584800425,NF,Actual
64,5,0.33760710386155385,Aplasia,Actual
64,5,-0.004828546203864915,NF,Random
64,5,0.00013637940925785187,Aplasia,Random
64,6,-0.006371337821366991,NF,Actual
64,6,0.09240261880433621,Aplasia,Actual
64,6,-0.00817541614719387,NF,Random
64,6,0.0004405104421536665,Aplasia,Random
64,7,-0.2089798805408373,NF,Actual
64,7,0.06370972766419644,Aplasia,Actual
64,7,-0.004578826875856573,NF,Random
64,7,-0.012394376049263347,Aplasia,Random
64,8,-0.33516329822827934,NF,Actual
64,8,0.12035916013949932,Aplasia,Actual
64,8,-0.004657880950960529,NF,Random
64,8,-0.007151379803425129,Aplasia,Random
64,9,-0.014548918986267149,NF,Actual
64,9,0.43679775406134685,Aplasia,Actual
64,9,0.004434822269563933,NF,Random
64,9,-0.002536817895346794,Aplasia,Random
