,tSNE_1,tSNE_2,cluster_id,imp_mean,cosine_sim
Hematocrit,-2.9154239,-1.460778,4,1.62,0.5440735126821553
Hemoglobin,-1.8972257,-0.443236,0,1.07,0.226479551897891
MCH,-0.15372145,2.6224093,2,1.14,0.3558405142271438
MCHC,-1.0217488,-1.0356872,4,1.67,0.4064292484515427
MCV,-1.2908975,0.17753206,2,0.82,0.3772947250412888
Platelet Count,-2.6808662,0.30578122,0,1.74,0.4699516738816252
RDW,-1.4090635,1.9629757,0,1.56,0.2570832791755556
Red Blood Cells,-2.1407354,-0.53017664,0,2.05,0.3408312879725549
White Blood Cells,2.0978174,-1.2475883,3,2.65,-0.17494907074586136
RDW-SD,0.06274095,2.0513432,0,1.13,0.25301708349925567
Alanine Aminotransferase (ALT),-0.8199722,1.793511,0,1.01,0.28916337087848837
Albumin,-2.247896,1.1545197,0,2.32,0.4327003539188582
Alkaline Phosphatase,-0.64516187,0.23696555,2,1.45,0.388159324246234
Anion Gap,-0.79216725,3.0698204,2,1.07,0.16311724729095062
Asparate Aminotransferase (AST),3.3779883,-0.050420996,1,1.12,0.014860835498091016
Bicarbonate,-0.9427245,0.3286676,2,1.47,0.4978775989693573
"Bilirubin, Total",0.0105926115,-0.7957623,3,2.32,0.2281692779111536
Chloride,-0.94484955,2.3090146,2,1.65,0.28485079888298787
Creatinine,-1.7697116,1.141792,0,1.21,0.6035153674465478
Glucose,-2.0164375,2.4814608,0,2.87,0.30072261269382816
Glucose,-2.0164375,2.4814608,0,2.87,0.26409810582216564
Lipase,1.4943469,-3.082768,1,0.09,-0.04710993988915958
Potassium,-1.4736353,0.5810414,2,1.28,0.4929102636651144
Sodium,-1.0018785,0.16031419,2,1.54,0.28395588946695227
Urea Nitrogen,-1.6265483,-0.41669843,0,2.81,0.3333829823995563
Absolute Lymphocyte Count,2.6301932,-1.4865402,3,3.27,-0.2855177169621617
Basophils,-2.298397,0.2683557,0,1.64,0.48859392066864893
Eosinophils,-2.7231357,1.177797,0,1.96,0.5982246208918272
Lymphocytes,-1.6881475,1.9103315,0,1.85,0.4096375817316181
Monocytes,-2.2370398,0.2235784,0,,0.534388462824057
Neutrophils,-3.0243635,0.68060744,0,6.35,0.5765359769246763
Absolute Basophil Count,1.5974755,-1.8487151,3,1.59,-0.1040411108850401
Absolute Eosinophil Count,-0.76160276,1.4220488,0,2.29,0.3408601856820481
Absolute Monocyte Count,-2.1930017,2.1532302,0,5.14,0.41949850649281273
Absolute Neutrophil Count,-1.9037092,1.5424384,0,1.94,0.3302792263342106
Immature Granulocytes,-2.98994,2.6730497,2,1.34,0.16360821148000348
"Potassium, Whole Blood",1.540092,-2.0317547,3,0.02,-0.19404641652177623
INR(PT),-0.81230086,-0.05891566,0,0.51,0.4657547423677465
PT,0.07245284,1.6029617,2,1.12,0.24656760244175563
PTT,-0.8648453,1.013731,2,0.81,0.3234360787392794
"Calcium, Total",-0.4066091,1.170839,2,2.29,0.3380753393363839
Lactate Dehydrogenase (LD),2.1601999,1.0475311,5,3.16,0.2923327403017946
Magnesium,-3.8356867,0.8806779,0,0.86,0.290740589273361
Phosphate,-3.312195,-0.34996903,2,1.67,0.4147117824002198
Uric Acid,-0.2868955,3.1608448,2,4.27,0.13089409601104957
"Reticulocyte Count, Absolute",2.8344202,-1.5370005,3,0.1,0.01920754343397313
"Reticulocyte Count, Automated",1.969004,-3.9252443,1,0.09,-0.45084418806012644
Base Excess,1.5225823,-0.51253223,3,0.04,-0.11285671232276964
Calculated Total CO2,-1.5898296,-2.7673886,4,0.09,-0.10331308766154325
pCO2,3.815882,-2.8861318,1,0.07,-0.14761696665689167
pH,-1.5383391,3.8563056,5,0.8,0.23079872809672156
pH,-1.5383391,3.8563056,5,0.8,0.16403762334223732
pO2,3.371224,1.315369,5,0.05,0.01613280614701323
Vancomycin,-0.09541979,-4.0477057,1,0.02,-0.22183868392375394
Atypical Lymphocytes,-1.0682273,-1.5279177,4,0.36,0.05885408140102045
Bands,1.0624863,0.78030264,2,0.68,-0.13208543364983627
Metamyelocytes,2.349385,1.5015298,5,0.93,0.18377872878423498
Myelocytes,0.92833674,-1.4487902,3,0.64,-0.2001931401464166
Nucleated Red Cells,0.8073095,-0.8371303,3,0.75,-0.05492951951534301
