dataset,mode,split,dim,run,optimal_epochs,max_epochs,seconds
hancock,cat_only,8,64,3,10000,10000,304.9
hancock,cat_only,8,64,4,10000,10000,304.7
hancock,cat_only,9,64,0,10000,10000,305.1
hancock,cat_only,9,64,1,10000,10000,305.2
hancock,cat_only,9,64,2,10000,10000,305.2
hancock,cat_only,9,64,3,10000,10000,305.4
hancock,cat_only,9,64,4,10000,10000,305.3
hancock,numeric_only,0,64,0,10000,10000,262.1
hancock,numeric_only,0,64,1,10000,10000,261.2
hancock,numeric_only,0,64,2,10000,10000,260.7
hancock,numeric_only,0,64,3,10000,10000,260.3
hancock,numeric_only,0,64,4,10000,10000,259.5
hancock,numeric_only,1,64,0,10000,10000,258.3
hancock,numeric_only,1,64,1,10000,10000,257.7
hancock,numeric_only,1,64,2,10000,10000,257.2
hancock,numeric_only,1,64,3,10000,10000,257.2
hancock,numeric_only,1,64,4,10000,10000,257.4
hancock,numeric_only,2,64,0,10000,10000,257.3
hancock,numeric_only,2,64,1,10000,10000,257.7
hancock,numeric_only,2,64,2,10000,10000,257.7
hancock,numeric_only,2,64,3,10000,10000,258.4
hancock,numeric_only,2,64,4,10000,10000,258.4
hancock,numeric_only,3,64,0,10000,10000,257.9
hancock,numeric_only,3,64,1,10000,10000,257.8
hancock,numeric_only,3,64,2,10000,10000,257.5
hancock,numeric_only,3,64,3,10000,10000,257.9
hancock,numeric_only,3,64,4,10000,10000,257.6
hancock,numeric_only,4,64,0,10000,10000,257.9
hancock,numeric_only,4,64,1,10000,10000,257.8
hancock,numeric_only,4,64,2,10000,10000,260.5
hancock,numeric_only,4,64,3,10000,10000,259.2
hancock,numeric_only,4,64,4,10000,10000,262.8
hancock,numeric_only,5,64,0,10000,10000,263.0
hancock,numeric_only,5,64,1,10000,10000,260.9
hancock,numeric_only,5,64,2,10000,10000,259.9
hancock,numeric_only,5,64,3,10000,10000,259.5
hancock,numeric_only,5,64,4,10000,10000,261.3
hancock,numeric_only,6,64,0,10000,10000,259.8
hancock,numeric_only,6,64,1,10000,10000,259.8
hancock,numeric_only,6,64,2,10000,10000,260.0
hancock,numeric_only,6,64,3,10000,10000,259.9
hancock,numeric_only,6,64,4,10000,10000,260.1
hancock,numeric_only,7,64,0,10000,10000,259.7
hancock,numeric_only,7,64,1,10000,10000,260.1
hancock,numeric_only,7,64,2,10000,10000,259.6
hancock,numeric_only,7,64,3,10000,10000,258.2
hancock,numeric_only,7,64,4,10000,10000,257.4
hancock,numeric_only,8,64,0,10000,10000,257.5
hancock,numeric_only,8,64,1,10000,10000,257.5
hancock,numeric_only,8,64,2,10000,10000,257.8
hancock,numeric_only,8,64,3,10000,10000,259.3
hancock,numeric_only,8,64,4,10000,10000,257.8
hancock,numeric_only,9,64,0,10000,10000,257.6
hancock,numeric_only,9,64,1,10000,10000,257.9
hancock,numeric_only,9,64,2,10000,10000,257.5
hancock,numeric_only,9,64,3,10000,10000,257.5
hancock,numeric_only,9,64,4,10000,10000,257.3
luad,cat_only,0,64,0,640,10000,24.1
luad,cat_only,0,64,1,590,10000,21.4
luad,cat_only,0,64,2,570,10000,21.0
luad,cat_only,0,64,3,660,10000,23.4
luad,cat_only,0,64,4,600,10000,21.7
luad,cat_only,1,64,0,830,10000,28.4
luad,cat_only,1,64,1,690,10000,24.3
luad,cat_only,1,64,2,750,10000,26.0
luad,cat_only,1,64,3,590,10000,21.5
luad,cat_only,1,64,4,650,10000,22.8
luad,cat_only,2,64,0,680,10000,23.4
luad,cat_only,2,64,1,530,10000,19.2
luad,cat_only,2,64,2,700,10000,24.1
luad,cat_only,2,64,3,580,10000,20.6
luad,cat_only,2,64,4,810,10000,27.1
luad,cat_only,3,64,0,790,10000,26.4
luad,cat_only,3,64,1,660,10000,22.7
luad,cat_only,3,64,2,580,10000,20.4
luad,cat_only,3,64,3,540,10000,19.3
luad,cat_only,3,64,4,580,10000,20.5
luad,cat_only,4,64,0,620,10000,21.6
luad,cat_only,4,64,1,600,10000,21.0
luad,cat_only,4,64,2,600,10000,21.6
luad,cat_only,4,64,3,650,10000,23.1
luad,cat_only,4,64,4,700,10000,24.4
luad,cat_only,5,64,0,550,10000,21.5
luad,cat_only,5,64,1,630,10000,22.6
luad,cat_only,5,64,2,620,10000,22.2
luad,cat_only,5,64,3,600,10000,21.7
luad,cat_only,5,64,4,550,10000,20.2
luad,cat_only,6,64,0,570,10000,20.7
luad,cat_only,6,64,1,650,10000,23.1
luad,cat_only,6,64,2,620,10000,22.2
luad,cat_only,6,64,3,650,10000,23.1
luad,cat_only,6,64,4,840,10000,28.7
luad,cat_only,7,64,0,620,10000,22.4
luad,cat_only,7,64,1,660,10000,23.4
luad,cat_only,7,64,2,710,10000,24.9
luad,cat_only,7,64,3,730,10000,27.2
luad,cat_only,7,64,4,880,10000,29.8
luad,cat_only,8,64,0,700,10000,24.3
luad,cat_only,8,64,1,640,10000,22.4
luad,cat_only,8,64,2,550,10000,19.7
luad,cat_only,8,64,3,630,10000,22.0
luad,cat_only,8,64,4,560,10000,20.0
luad,cat_only,9,64,0,650,10000,22.5
luad,cat_only,9,64,1,740,10000,25.1
luad,cat_only,9,64,2,600,10000,21.2
luad,cat_only,9,64,3,530,10000,19.1
luad,cat_only,9,64,4,550,10000,19.8
luad,numeric_only,0,64,0,10000,10000,250.6
luad,numeric_only,0,64,1,10000,10000,249.3
luad,numeric_only,0,64,2,10000,10000,248.8
luad,numeric_only,0,64,3,10000,10000,249.2
luad,numeric_only,0,64,4,10000,10000,249.2
luad,numeric_only,1,64,0,10000,10000,251.2
luad,numeric_only,1,64,1,10000,10000,249.3
luad,numeric_only,1,64,2,10000,10000,249.8
luad,numeric_only,1,64,3,10000,10000,249.5
luad,numeric_only,1,64,4,10000,10000,249.6
luad,numeric_only,2,64,0,10000,10000,249.6
luad,numeric_only,2,64,1,10000,10000,248.5
luad,numeric_only,2,64,2,10000,10000,246.9
luad,numeric_only,2,64,3,10000,10000,246.6
luad,numeric_only,2,64,4,10000,10000,246.2
luad,numeric_only,3,64,0,3680,10000,91.6
luad,numeric_only,3,64,1,10000,10000,246.5
luad,numeric_only,3,64,2,10000,10000,246.5
luad,numeric_only,3,64,3,10000,10000,246.4
luad,numeric_only,3,64,4,10000,10000,246.3
