,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95
TCGA-55-7227-01,-0.1407252,-0.0008358836,-0.015477931,0.19538336,-0.13645263,-0.15957922,0.040378608,-0.09423822,0.060685955,0.010156003,0.18768947,0.029337715,0.022751385,0.02226423,0.02889197,0.07268517,0.11625323,-0.057763923,0.16105856,-0.076170065,-0.035593532,-0.28879192,-0.008496852,0.025350384,0.21255545,-0.0017843661,-0.14980258,-0.121352114,-0.030350458,-0.05619311,0.03844506,-0.051336486,-0.18192166,-0.041794334,0.04966291,0.13281083,0.03348829,-0.04441438,-0.053033847,-0.025937138,0.047486134,-0.028230937,-0.02128604,-0.023700837,0.005363571,-0.033687007,-0.048412144,0.28808466,-0.33316186,-0.11894051,-0.030442083,-0.07983936,0.00078985764,0.0016219222,-0.03908883,-0.020983076,0.22011468,0.04915242,-0.039818287,-0.16218768,-0.00678245,0.10240418,0.049746398,-0.017648395,-0.117766015,0.09663968,-0.12980251,-0.031145116,0.07238961,0.1086718,-0.08987572,0.08592014,0.21964963,0.0897735,-0.05603542,0.12038603,-0.0700919,0.068499476,0.06086156,-0.006774998,-0.05034495,0.094210096,0.062344946,-0.11585857,0.045465954,-0.10576918,-0.024111332,0.021763017,0.10611579,0.05691749,-0.030769018,0.08763155,0.040786147,0.04383577,0.07568164,-0.027902748
TCGA-49-6761-01,-0.115350686,0.16702761,-0.008611979,-0.07921696,0.03983894,0.08951675,0.061041348,-0.024376757,-0.08004738,0.0924446,0.01892053,-0.06929273,-0.03521896,-0.020852996,-0.05468904,-0.035668954,-0.11622997,0.085833296,0.12068243,-0.13134693,-0.19381794,0.21751808,-0.137023,-0.010605218,0.005020245,-0.093276136,0.06718817,-0.082348034,-0.11358103,0.015886657,0.016373053,-0.11123345,0.062189285,0.065077506,0.028677724,0.109322265,-0.05439755,-0.02862488,-0.11584952,-0.12544592,0.056439813,-0.13509816,0.05242899,-0.0013935588,0.072349794,-0.028740952,0.028438902,-0.1611312,0.01393693,-0.14855228,-0.02923673,-0.04138777,0.102077276,-0.08172102,-0.06164806,-0.005051391,-0.016448619,0.10733902,0.019032897,-0.018350909,0.13333116,-0.2917653,-0.03849482,0.08119805,0.16761032,0.015585352,0.08122121,0.1549878,-0.3207107,-0.13426884,-0.022854706,0.03358813,0.1587041,-0.07926297,0.20905095,-0.02161441,0.013657613,0.14631443,-0.07067233,0.013631859,-0.15271452,-0.09234931,-0.08266321,0.1521816,0.1517617,-0.13639836,-0.04827452,0.04765168,0.011175679,0.07053461,0.10876204,-0.107376434,-0.08002623,-0.049217574,-0.00087562477,-0.029558167
TCGA-17-Z055-01,0.0961495,0.18410353,-0.04049963,-0.11458184,0.013027977,-0.08718522,0.10136225,-0.065460205,0.023746548,0.08813986,0.015172481,0.030711511,0.001937756,-0.011682894,-0.11532321,0.044736616,-0.011344034,0.20907995,0.14726403,-0.1234585,-0.007356441,0.14415959,-0.049867738,0.004437881,-0.15315673,0.015361382,0.13132349,-0.03974581,-0.10698605,-0.036995433,-0.057815712,0.034702078,0.086413294,0.022670873,0.044156313,-0.027387265,-0.02128359,-0.10284792,0.051297057,-0.09367917,0.05771825,0.022065628,0.10034818,0.20996885,0.01302943,0.013357017,0.055153843,-0.08294714,0.07141826,0.0035933126,0.100777745,0.1660862,0.028150016,0.05177871,0.038230356,0.074828796,-0.11430451,0.073468395,-0.12666987,-0.029753854,0.048082612,-0.04034503,0.10204473,-0.020865548,-0.06821553,0.045099832,0.2488036,-0.010186086,-0.24953966,0.053829547,-0.18523405,0.09128791,0.07635601,-0.00960872,0.016983246,-0.1036575,-0.02592922,0.17643224,0.05030766,0.01690353,-0.051809795,-0.21925598,0.023114936,-0.22330338,0.32105002,0.011121697,0.180326,0.09270476,-0.08009015,-0.011309885,0.028220886,-0.123855904,-0.0412222,-0.044068646,-0.014896116,-0.1606185
TCGA-17-Z027-01,0.022309905,0.05813563,-0.019057099,-0.14799549,-0.0059991586,-0.028175496,0.10671405,-0.03008744,-0.037369046,0.109468654,-0.015109113,-0.0350448,-0.038434215,-0.057709813,0.02255298,0.047538776,-0.128968,0.24216953,0.0879045,-0.0834979,-0.055557925,0.29478425,-0.09430277,0.0049399594,-0.09040229,0.006985983,0.11826184,0.00997204,-0.10494795,0.046842445,-0.03591622,0.052984804,0.18536028,0.08381634,0.07019646,-0.050570842,-0.00066986354,-0.064052545,-0.01750642,-9.888861e-05,0.060758945,-0.05805884,0.009716662,0.19307569,0.04218612,-0.027299482,0.021300888,-0.09284464,0.008922049,-0.041366328,-0.0011367768,0.1338269,0.02100198,-0.00078873517,0.05689558,-0.018653376,-0.07710983,0.10158662,0.043208238,-0.04111562,0.102988824,-0.045428816,0.015268312,-0.010695873,0.05772081,0.03564982,0.16275857,0.06977947,-0.2892802,0.018899595,-0.24215737,0.07713863,0.19367166,0.01784725,-0.026570296,-0.19372645,-0.051645916,0.23333621,-0.018765219,0.06852747,-0.07828931,-0.12159387,-0.009014975,-0.18257102,0.35057455,0.038225234,0.1535817,0.017467981,-0.052471835,0.045529217,0.057072356,-0.006817907,0.043672122,-0.042764243,-0.0029404096,-0.08167961
TCGA-97-7547-01,-0.032121476,-0.022358628,0.043241978,-0.09480214,-0.09192924,0.20027961,0.12557268,0.0059870887,-0.03146997,-0.005334195,0.1190778,-0.12502286,-0.09495162,-0.1454345,0.12030044,0.053191658,0.014119846,0.03272784,0.19497201,-0.074262775,-0.11801767,0.043850802,-0.0012450141,-0.12806842,-0.14323048,-0.14702643,-0.062260915,-0.11441302,-0.07736353,0.033219233,0.0016368586,0.19689986,0.014326446,0.07330869,0.06749162,0.019904556,-0.03206735,-0.04925673,0.06836605,0.07233522,-0.044994175,0.010478578,-0.13214105,-0.14836313,0.017502654,-0.05415501,0.021057617,0.03322737,-0.114311315,0.025008228,0.05780299,0.014857874,-0.014383366,-0.06498689,-0.20389797,0.049588326,0.05484577,-0.0071288827,0.1739495,0.17789757,0.024898715,-0.21380414,0.0045716045,0.06034611,0.24984835,0.045580193,-0.06797348,0.039495226,0.15584327,0.030420884,-0.108787015,0.082816385,-0.05252454,-0.1352924,-0.038422126,-0.031277023,0.1491982,-0.030774616,0.15642901,-0.06998253,-0.063428074,0.102713205,-0.12072287,0.2404487,-0.18525165,0.17686796,0.14836212,-0.0025232339,0.028491328,0.024857502,0.020842962,0.03772664,-0.117307305,-0.15852785,0.05252262,0.04208921
TCGA-64-5774-01,0.035556745,0.16190326,0.055812605,0.18405856,-0.16119108,0.17224169,0.053618617,-0.055634994,-0.04486959,-0.021805633,-0.07042644,-0.09138617,0.12639529,0.011661417,0.04563927,0.001477122,0.13559815,0.16201222,-0.066885054,-0.03936876,0.06355517,0.03584993,-0.0628972,-0.04018297,-0.1262436,0.1270981,-0.06452662,-0.007141741,0.072474614,-0.08282741,-0.039020967,-0.11014727,0.015745576,-0.07099015,-0.08634139,-0.062580936,-0.035284903,-0.1291078,0.120864026,-0.19380109,0.040205456,0.07356232,0.06482436,-0.13755369,0.0150001375,-0.026535919,0.02684064,-0.07519827,0.036068562,-0.010624821,0.20614706,0.18629126,0.020322112,-0.008127692,-0.22006233,0.05638714,0.053298872,-0.0035978337,-0.13489354,0.1925703,0.0042861886,0.0023421778,-0.13034557,0.056798115,0.21849969,-0.09401015,-0.017228568,-0.112161286,0.1530149,-0.07841235,0.10571531,0.06466901,-0.1317634,-0.10705292,0.025687162,-0.06978723,0.11228624,-0.1420813,0.0986765,-0.15148972,0.020283883,0.065711685,-0.10856486,0.20769338,-0.1099901,0.005556903,0.09996104,-0.04024414,-0.060393695,0.00817406,0.18924364,-0.055293363,-0.14154637,-0.1501948,-0.008561542,0.012715253
TCGA-86-7955-01,-0.0011045986,0.06533774,0.087795794,0.2682212,-0.102051,0.089310996,0.0011510557,-0.056942277,-0.04880958,0.0023443718,-0.015807139,0.0077204504,0.1096823,0.030781312,0.00032055224,-0.10916039,0.11080362,-0.040500853,-0.08735375,-0.024899676,0.0051127947,-0.32753944,-0.00042289347,0.020709366,-0.0076710247,-0.002589908,-0.2128341,0.10522103,-0.05178857,-0.06418767,-0.011256568,-0.05273139,-0.1287834,-0.002299555,-0.05056916,0.02040895,-0.00030949624,-0.09826489,0.1130626,-0.065391615,0.050558098,0.021112565,-0.05031607,-0.13999763,0.0080992095,-0.046341874,-0.14293008,-0.011449001,0.062395576,0.007109842,0.03960854,0.029620782,0.04455996,0.04520237,-0.16029209,-0.034602072,0.11368603,-0.066643484,-0.012458028,0.10787131,-0.023696102,0.11909113,-0.05821143,-0.015965628,0.08954711,-0.008361296,-0.13334748,-0.12964816,0.32037508,0.07217066,-0.02740743,-0.032085605,-0.19644597,-0.12597364,0.058773194,0.1683145,0.13620238,-0.18470573,0.2083198,-0.18014166,-0.022159051,0.095235206,-0.09450836,-0.008674334,-0.07439166,0.19555399,0.07480914,-0.058495354,0.055833712,0.027260127,-0.022182325,-0.06268158,-0.16899414,-0.120598644,0.041087676,-0.016126242
TCGA-50-8460-01,0.12954545,-0.05448897,0.07746573,-0.021412766,-0.02387849,0.01810187,0.18912947,-0.034879874,-0.024205402,-0.024349598,0.033817515,-0.09158292,-0.064385794,-0.16334625,0.2135371,-0.08464302,0.06340742,-0.012276223,0.01862913,0.013533233,-0.046574358,-0.21365172,-0.038424727,-0.15810068,-0.050087146,-0.103448994,0.031408977,-0.11087377,-0.16155165,0.032895625,0.040366422,0.09814556,-0.017966202,0.008345634,0.13651855,-0.0799846,-0.04097132,-0.1324544,0.13668549,0.030528251,-0.03422469,0.091627,-0.16034536,-0.027827084,0.076112084,-0.10013327,-0.08524818,0.0695529,0.053158928,0.0907833,-0.060815983,0.05279558,0.011717143,-0.07363153,-0.06370113,-0.037167117,0.14458236,0.043455392,0.2623357,0.04642877,0.057102676,-0.008761568,-0.065420315,0.10117069,-0.007551258,0.12579395,-0.16015205,-0.027913924,0.21277595,0.02030711,0.03212559,0.038710885,-0.13850433,-0.10105979,-6.917991e-05,-0.043157123,0.12063043,0.07066902,0.14611363,-0.06866131,0.027086528,0.25769857,-0.18570435,-0.048643697,-0.18638664,0.21155632,0.12702972,-0.064673424,0.030819831,0.008144448,-0.0107593015,0.10304455,0.054671295,-0.07407994,0.042359143,0.18985091
TCGA-17-Z048-01,0.025080768,0.060876172,-0.019265011,-0.14788906,-0.008322715,-0.030713076,0.10710938,-0.03038548,-0.03661171,0.10929207,-0.016211145,-0.033850834,-0.03730966,-0.057478912,0.021157343,0.049234703,-0.12640877,0.24249737,0.09081548,-0.08335595,-0.05623707,0.2930054,-0.09388256,0.0048720012,-0.09253534,0.0062921164,0.11805265,0.008473913,-0.10431105,0.045232564,-0.03693079,0.055125542,0.1820711,0.08342401,0.069663264,-0.05004236,-0.0014857406,-0.06417365,-0.015320192,-0.0029126164,0.060516477,-0.05570635,0.011539471,0.19338351,0.041185252,-0.026094347,0.022756848,-0.093060724,0.00840158,-0.039973624,0.0005846978,0.13547094,0.02112104,0.00041501678,0.05497536,-0.01576472,-0.077622235,0.10076181,0.039545767,-0.038460862,0.10316669,-0.045021616,0.017626226,-0.011402307,0.058112554,0.035683617,0.16424067,0.06839885,-0.2882807,0.021323562,-0.24230027,0.07983617,0.19141687,0.017727304,-0.026414521,-0.19391976,-0.051848315,0.23231936,-0.016415175,0.069094695,-0.07897569,-0.12478337,-0.0079532545,-0.18282671,0.35232276,0.038500827,0.15555651,0.016781969,-0.054607138,0.04423155,0.057593036,-0.007986032,0.041518718,-0.044315927,-0.0027742188,-0.08315899
TCGA-50-8459-01,0.008322629,-0.21588798,0.07525124,0.10710139,-0.022151625,-0.26817703,0.09888625,-0.15512188,-0.010076117,-0.08310471,0.13918008,-0.14172,-0.109461226,-0.047131184,0.13752395,-0.06169315,-0.13102102,-0.111982025,0.07000153,-0.03025826,-0.111648686,-0.05483073,-0.11220818,-0.09311303,0.10839185,-0.049563155,0.0010295699,-0.0498505,0.021631172,0.09050914,0.037017282,0.047276255,-0.09850792,0.08383041,0.10143575,-0.017307745,0.0542538,-0.03572869,-0.046458587,0.22131729,-0.05120431,-0.04509739,-0.16954222,-0.026623327,0.10059012,-0.10241388,0.027815707,-0.01902008,-0.00045081467,-0.02901551,-0.1134995,-0.033448193,0.051405787,-0.023856541,0.063742876,-0.1929535,0.17794508,0.043326307,0.08057754,-0.17052144,0.025694994,0.053670995,0.006556316,0.007112333,-0.07887078,0.1372563,-0.15929893,0.024216758,-0.037654478,0.14389184,0.006642616,-0.01308149,0.09075168,0.0147560695,0.05777589,-0.06425186,-0.021007184,0.054435816,0.030581338,0.084115446,-0.18116793,0.20174262,-0.058649067,-0.13671783,0.077496335,-0.062414028,-0.072119094,-0.056702517,0.13643636,0.03170179,-0.16901141,0.19116473,0.22860825,0.055056658,0.046793997,0.133557
