Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-75-6214-01,2.1988702,2.1638808,3.682456,5.6650953,4.268948,3.4003177,5.768658,6.0913734,3.1744566,5.1791024,4.314693,5.1948733,6.5852976,3.0791209,6.622277,6.064077,3.6076553,3.531113,6.300068,4.3405633,6.822602,4.7265153,7.420433,2.6020834,5.1951427,4.859596,5.4459896,5.508145,5.2131133,2.6870432,4.2093673,4.1430225
TCGA-75-5122-01,1.2615819,3.5033536,2.563368,6.5583014,5.2447114,2.583196,5.2948914,5.23266,3.275677,4.944667,3.050543,4.1711555,6.5755925,3.4817662,7.0883374,5.5718126,3.3785155,3.3587556,6.258673,4.3173814,8.110563,4.9726605,7.0041437,3.096706,6.151685,5.657151,6.1221843,4.7106586,5.329891,2.4124603,4.647003,3.5431924
TCGA-55-8090-01,1.2818768,4.014487,2.4765465,6.472475,5.5773315,2.421514,5.2867994,5.363871,3.2135594,5.0026774,3.0284598,4.0087934,6.683134,3.441221,7.168326,5.4160433,3.0913315,3.379102,6.320815,4.4375434,8.068226,4.8640394,7.0333157,3.096055,6.0350857,5.525539,6.13614,4.93482,5.4908533,2.6476624,4.7937336,3.5537057
TCGA-44-5643-01,1.2252599,3.562244,2.4898818,6.6226506,5.336897,2.5379176,5.2711205,5.0552135,3.1851044,4.918032,2.8922193,4.1428766,6.7175207,3.564777,7.1877017,5.5571814,3.4585876,3.366737,6.095761,4.31093,8.206424,5.2810597,6.9560895,3.0954998,6.3589573,5.809069,6.207477,4.7806754,5.261764,2.2332208,4.687917,3.5359113
TCGA-17-Z018-01,1.4313112,2.0348287,2.9338074,6.3760552,3.9412456,2.9958706,5.6593175,5.6593533,3.3293736,4.907725,3.8007674,4.5302362,6.5542183,3.3812594,6.6100225,5.5856113,3.645683,3.3258014,6.2236876,3.6804667,7.721186,5.214459,7.609118,2.5231197,5.7484922,5.326124,6.0805135,5.0753,4.950538,1.8258861,3.8555448,3.9481094
TCGA-55-8506-01,2.5209856,2.6996713,3.6491587,5.6421695,4.7189355,3.3869574,5.592476,5.9407997,3.0550609,5.3465257,4.1732736,5.226299,6.602492,3.1795247,6.5921874,6.4020495,3.664038,3.6057053,6.0655627,4.4485955,6.6515446,5.13068,7.0672727,3.1572893,5.560414,5.234504,5.420948,5.46957,5.4333935,2.6499603,4.544423,4.160089
TCGA-73-4670-01,1.693038,1.8135796,3.3741279,6.1148286,3.831426,3.108551,5.6656013,5.859011,3.3959303,5.1064053,4.176765,4.6857033,6.547465,3.2707858,6.554642,5.7371273,3.5445132,3.3630457,6.3731904,3.7926319,7.41026,4.7661757,7.607327,2.3770332,5.3501325,5.0086746,5.8705473,4.952271,4.9606466,2.1862707,3.9746294,3.9253936
TCGA-49-6742-01,1.390211,2.043582,2.8811355,6.4111753,3.9419599,2.9844592,5.650938,5.646761,3.3283124,4.886086,3.766725,4.50079,6.5315037,3.3823512,6.5918922,5.567791,3.6537285,3.3183053,6.193942,3.6443949,7.7466536,5.252834,7.6215453,2.5505347,5.79795,5.3503165,6.120881,5.0986032,4.958799,1.7853351,3.849132,3.9787805
TCGA-55-6978-01,1.4498017,3.6800213,2.5583003,6.6026835,5.63572,2.5310156,5.386596,5.3797274,3.2687633,5.120818,3.3111732,3.960405,6.677148,3.3801916,7.144285,5.4154987,2.9284973,3.4124255,6.4377913,4.60415,7.7838016,4.5393085,6.979554,3.2668924,5.7268243,5.3635874,6.015109,4.583136,5.5609293,2.7993608,4.8882117,3.3570833
TCGA-97-7938-01,1.4464093,2.4198875,2.8766115,6.4164724,4.407015,2.856318,5.581664,5.6210957,3.3632588,5.017018,3.7843287,4.3334303,6.523707,3.3398983,6.699636,5.5044436,3.3547425,3.3453772,6.362749,3.9643006,7.665343,4.7492976,7.495548,2.7166188,5.53349,5.179875,6.034003,4.8484187,5.147928,2.2325435,4.1748743,3.7518868
TCGA-NJ-A4YP-01,2.1559517,1.8202511,3.822179,5.7805777,4.08497,3.3039114,5.7042074,5.998334,3.3216953,5.3571897,4.4993258,5.10122,6.7515073,3.0925162,6.7857285,5.9879274,3.5061219,3.5029142,6.5033765,4.2736406,6.9129257,4.395853,7.445156,2.407123,4.8876143,4.807439,5.5081587,5.06068,5.127874,2.7630267,4.1987987,3.8941336
