Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-75-6214-01,4.8002586,1.8682126,4.9941115,5.6795044,6.058131,4.9189796,4.4445004,6.901993,4.8721666,4.847897,5.3626804,4.699518,6.990775,4.1043715,4.7076955,5.2084684,3.7386343,5.1642375,4.308979,5.544037,6.4975996,3.5481958,4.993402,2.5695782,6.8411946,5.9248896,4.6135473,5.032763,6.157861,6.2357526,6.196241,3.6565895
TCGA-75-5122-01,3.4343293,1.7993809,5.462073,4.6889234,5.2640057,4.65789,3.6153007,8.248214,5.2657876,4.714521,5.084154,4.7435293,8.224034,4.1275845,4.233668,5.8045716,3.3484313,4.551107,4.4069166,4.5489416,6.365431,3.552732,5.2912216,2.0718648,6.6122875,6.010006,3.4025264,6.2556257,5.6130514,5.828657,5.8118215,2.7109125
TCGA-55-8090-01,3.246084,1.9519664,5.3876486,4.5524373,5.3390007,4.5113587,3.685835,8.382722,5.353127,4.836204,4.898408,5.0709643,8.400532,4.237102,4.306667,5.8579874,3.290339,4.444271,4.3822517,4.4853144,6.552444,3.4755492,5.3714,1.9650604,6.6949615,6.021275,3.1901472,6.3230133,5.65369,5.801593,5.787956,2.6152713
TCGA-44-5643-01,3.3117597,1.7248029,5.7868094,4.4776855,4.941239,4.6016765,3.4159052,8.528228,5.308399,4.6883225,5.137489,4.7900367,8.449672,3.9380748,4.047463,5.9281073,3.1677973,4.5361795,4.598454,4.3250885,6.2346754,3.506253,5.411364,1.9792384,6.474154,5.992285,3.2166402,6.4843874,5.6131983,5.858794,5.794062,2.48891
TCGA-17-Z018-01,3.7769375,1.3160154,5.7152476,5.641556,5.480941,4.854624,3.581572,7.6702895,4.647776,4.2001367,5.689099,4.6752634,7.6010046,3.8815465,4.1170783,5.5846896,3.7423253,4.863551,3.9552903,5.612827,6.3406525,3.3808622,4.6098757,2.8509448,7.145641,6.15167,4.338241,5.35893,5.7117753,6.417806,6.2918386,2.9531155
TCGA-55-8506-01,5.039602,1.9449192,4.7376084,5.2621536,6.0061917,5.0455217,4.547004,6.8625736,5.0450754,5.0190754,5.193485,4.277698,7.2047997,3.9358249,4.4188547,5.2397485,3.5813434,4.937202,4.571411,5.494491,6.6198177,3.5137606,5.2364664,2.3433547,6.4020295,5.727995,4.255801,5.3668075,6.0638046,6.0636535,6.2112455,3.6906755
TCGA-73-4670-01,4.045062,1.6530439,5.4661093,5.704308,5.867211,4.7191257,3.9618707,7.4236536,4.756444,4.556745,5.522337,4.890741,7.235437,3.981375,4.518822,5.4893417,3.7242246,4.849035,3.8674977,5.5719156,6.425923,3.497068,4.645417,2.725668,7.1815643,6.017045,4.4415283,5.2510023,5.832303,6.3174806,6.284693,3.2811117
TCGA-49-6742-01,3.7500324,1.3056233,5.721893,5.674141,5.4471226,4.8666754,3.5702581,7.719439,4.646952,4.1852274,5.7044,4.61809,7.6305513,3.845602,4.0628405,5.595598,3.7449634,4.8121777,3.9538686,5.6482816,6.337687,3.3751323,4.6023602,2.8571744,7.1370387,6.1509566,4.312141,5.373502,5.6746073,6.4080205,6.29546,2.946708
TCGA-55-6978-01,3.3472667,2.1195264,5.2478633,4.344342,5.4030337,4.5463243,3.8047385,7.9657106,5.426253,5.097618,4.872709,4.7971053,8.11605,4.239858,4.6514564,5.862411,3.2245457,4.2764487,4.2339272,4.2217026,6.61933,3.4772727,5.390304,1.7845855,6.518944,5.899438,3.1148622,6.4938407,5.6423073,5.8052554,5.837861,3.0505564
TCGA-97-7938-01,3.564233,1.584915,5.506257,5.3107634,5.468677,4.7108397,3.7357552,7.6716127,4.9030056,4.5111985,5.4361095,4.7028384,7.646207,4.1338487,4.463181,5.7007737,3.6411014,4.634099,4.032318,5.0912395,6.4430566,3.442875,4.8328815,2.490106,6.9677677,6.070078,3.9378421,5.752535,5.6586666,6.1945534,6.1247225,3.1352935
TCGA-NJ-A4YP-01,4.7849584,2.047824,5.1936483,5.856551,6.2132587,4.5948067,4.3049817,7.1813164,4.886368,5.0887184,5.3481913,5.1304297,6.929536,4.029177,4.869558,5.326262,3.499001,5.006471,3.8159916,5.511229,6.439639,3.6293406,4.7548018,2.5777414,7.1347213,5.91278,4.798058,5.0128527,6.0496,6.1972046,6.187554,3.5608797
TCGA-17-Z016-01,3.9033384,1.42986,5.624574,5.7676167,5.6486773,4.7743735,3.804913,7.4747663,4.6509953,4.3066955,5.658224,4.8674693,7.331331,3.9822185,4.405608,5.53806,3.770314,4.951381,3.9507117,5.5487165,6.3171277,3.4408567,4.6206145,2.7919624,7.218763,6.1464677,4.46222,5.2568793,5.852635,6.401383,6.271047,3.1572437
TCGA-50-5946-01,4.8365936,1.874492,5.019249,5.617303,6.129358,4.888498,4.430724,6.912047,4.8393035,4.8631563,5.345722,4.777512,6.9965467,4.034961,4.686435,5.214504,3.6885593,5.17836,4.22587,5.5868354,6.5361195,3.5101848,4.9314685,2.5798106,6.9090466,5.90194,4.6756625,5.0308137,6.1794763,6.258386,6.2656474,3.619074
TCGA-44-2657-01,4.063353,1.6646949,5.4831986,5.743701,5.8266444,4.6833024,3.9691415,7.4381485,4.802662,4.571081,5.510239,4.911542,7.197398,4.020816,4.585653,5.479684,3.7033536,4.854322,3.8547711,5.4750633,6.3457026,3.526737,4.6714506,2.6586406,7.1519146,6.0415277,4.4374,5.278711,5.8530397,6.294049,6.233713,3.3269548
TCGA-55-7281-01,4.7032394,1.9764504,5.235044,5.9451604,6.1487927,4.599933,4.2771826,7.212247,4.8838887,4.9957027,5.392929,5.0648127,6.90931,4.0081196,4.8249083,5.341582,3.5216155,4.933553,3.8342113,5.5568857,6.371716,3.6605008,4.739335,2.6001642,7.098927,5.906777,4.7480016,5.035013,5.9833593,6.1946607,6.1790023,3.5503168
TCGA-93-A4JO-01,3.1105592,2.1325345,5.1874614,4.4252543,5.6686807,4.3484054,3.9481237,8.175599,5.4386425,5.010164,4.79278,5.13516,8.310748,4.485613,4.7070804,5.8568115,3.2406197,4.1901407,4.2129345,4.3460345,6.7387667,3.462074,5.374092,1.7986662,6.7149386,5.89704,3.050582,6.4803696,5.661707,5.7789125,5.8663797,2.8430727
TCGA-62-A46P-01,3.4820206,1.5533528,5.6951346,5.214061,5.2803617,4.7006135,3.6066256,7.9169693,5.0013914,4.43081,5.4493194,4.5768504,7.8878665,3.9432836,4.238833,5.6429615,3.6664605,4.5878873,4.175619,5.031911,6.292201,3.533003,4.9638214,2.4989257,6.835537,6.1374183,3.7930045,5.918779,5.520428,6.068519,5.9927506,2.9477792
TCGA-73-4658-01,3.6431193,1.505079,5.7118406,5.3823457,5.4555163,4.716332,3.6100202,7.8523927,4.907051,4.373622,5.471408,4.7358227,7.685408,3.9214108,4.202435,5.6702766,3.6134598,4.6444693,3.930032,5.2789516,6.289902,3.4483173,4.7688303,2.558171,6.966924,6.076579,4.0461445,5.712542,5.684249,6.2278233,6.1722207,2.9372592
TCGA-17-Z025-01,3.6341908,1.3224074,5.713504,5.655981,5.3122215,4.8643527,3.5424423,7.8103333,4.6795006,4.2092743,5.7002673,4.5312877,7.7641354,3.7912672,3.9608574,5.6371098,3.7106414,4.7335815,4.0606127,5.6174927,6.3595915,3.4055083,4.7215037,2.830412,7.0688677,6.1752434,4.181011,5.4919095,5.5775642,6.2953663,6.197195,2.9094176
TCGA-91-A4BD-01,3.4569063,2.1627297,4.9993815,4.3723516,5.540917,4.545067,3.986615,7.8900805,5.4736843,5.134979,4.7947574,4.7702165,8.087746,4.420591,4.701725,5.7734647,3.28029,4.271391,4.2910643,4.2634954,6.674794,3.5507987,5.405142,1.801687,6.482989,5.7689214,3.1520004,6.4648194,5.648382,5.7592616,5.812134,3.1563911
