,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-44-6148-01,0.2568586,-0.2810117,0.22832009,0.14090027,-0.3779792,0.12017604,-0.2047172,0.3289188,0.22276798,0.20662366,-0.2051189,-0.26407692,0.18640412,0.26066583,-0.3664119,0.18597217
TCGA-4B-A93V-01,0.21985902,-0.3484035,-0.35250562,-0.18791008,-0.2975859,0.2524219,-0.32496753,0.1610192,-0.22393407,-0.11708021,0.3767753,-0.030542849,-0.059947662,0.09998789,-0.054905213,0.40441155
TCGA-62-8398-01,0.3225077,-0.36126176,-0.164681,-0.22721909,-0.2076816,0.3387033,-0.13967814,0.3122297,0.038942277,0.09803138,-0.08167655,0.19311208,0.2760358,0.09364985,0.08609111,0.51421183
TCGA-55-5899-01,0.2965396,-0.4692447,-0.18765727,-0.0032155672,-0.30593047,0.3258144,0.011035413,0.1441664,0.022332262,-0.16933599,0.0062853596,0.25395343,0.2692637,0.1988067,-0.17688976,0.44606245
TCGA-55-7994-01,0.25434947,-0.45140266,-0.1383702,0.14632785,-0.34009475,0.34645292,-0.06056974,0.21707231,0.05772946,-0.22938482,0.093680054,0.14938219,0.21050406,0.22489451,-0.33060884,0.336553
TCGA-69-7765-01,0.33637634,-0.42811295,0.0067264987,0.16790585,-0.35663095,0.27905038,-0.06842559,0.28276774,0.12548059,-0.088188395,-0.11037347,0.20183665,0.21749747,0.22066906,-0.32192966,0.3309935
TCGA-55-8507-01,0.18196355,-0.46365914,-0.19123739,0.052730784,-0.331706,0.34686378,-0.07621041,0.19229333,-0.005498691,-0.32947937,0.15890962,0.11821302,0.15300249,0.21626861,-0.2705309,0.38502836
TCGA-62-A46U-01,0.42070276,-0.40170056,-0.21179458,0.20614213,-0.27008194,0.26548532,-0.0037309784,0.17173305,0.07355391,-0.047911283,-0.14244248,0.35908422,0.27131397,0.1558005,-0.12768508,0.36088207
TCGA-55-7725-01,0.20428705,-0.37816688,0.057636824,0.36075404,-0.32639322,0.25732055,-0.1075403,0.33921096,0.1700581,-0.2843343,-0.19441104,0.23448306,0.096917555,0.20493862,-0.28651017,0.21538596
TCGA-97-8172-01,0.31141198,-0.43744132,-0.080375575,0.12222028,-0.36815882,0.31177986,-0.099412136,0.27765432,0.073208235,-0.13181728,0.03303987,0.13721725,0.2055149,0.22695386,-0.33509254,0.3490853
