,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-97-8171-01,0.29912582,0.0524074,-0.4992427,-0.2355828,-0.21006082,-0.16868305,0.21971594,-0.1533115,0.13452207,0.50989133,0.042469822,-0.07090566,0.1582541,-0.26120394,0.19142807,0.20938598
TCGA-55-8092-01,0.44958723,0.466763,-0.2669218,0.08041126,-0.1432644,0.0036628013,-0.18309663,0.049009,0.12388671,0.3494004,0.46228436,0.054828286,0.075492844,-0.12582667,0.22384311,-0.14158814
TCGA-55-6979-01,0.42952484,0.3596855,-0.12883346,0.2791787,0.014472585,-0.15546504,0.1921772,-0.1393476,0.2597654,0.35287124,0.41867912,-0.005634925,0.11971307,-0.26949623,0.11134332,-0.21021499
TCGA-53-A4EZ-01,0.5116971,0.41051063,-0.35656986,0.07351645,-0.15287079,-0.116256334,-0.1211226,-0.12720343,0.019156678,0.42676637,0.3497381,-0.10548268,-0.064417444,-0.14851849,0.14845553,-0.071955755
TCGA-55-6986-01,0.18001206,0.1784347,-0.09691867,0.07924268,0.096442245,-0.07316415,0.37977913,0.07631273,0.3468763,0.342637,0.4009368,0.10111181,0.23416695,-0.36142966,0.32791907,-0.2316903
TCGA-55-8207-01,0.36865368,0.43503037,-0.0696809,0.2402238,-0.06410747,-0.04452745,-0.05529809,-0.06127271,0.28662828,0.1568052,0.5803377,0.041809693,0.23569368,-0.071817525,0.098319955,-0.28933698
TCGA-05-5425-01,0.17985329,0.31003824,-0.1677114,-0.039322335,-0.11168952,-0.122973695,0.26110044,0.032022916,0.39112657,0.2931605,0.40192035,0.1003173,0.39226002,-0.32551414,0.22041589,-0.1616252
TCGA-55-7724-01,0.39582312,0.22500166,-0.45691848,0.15986183,-0.023223592,0.059760265,0.011341844,-0.047030754,0.17146397,0.5532275,0.23466325,0.022105115,0.022664644,-0.18342708,0.3554234,-0.020390281
TCGA-91-6847-01,0.45786336,0.44224694,-0.08892135,0.34581226,-0.078306235,-0.0067850896,-0.22334583,-0.09497051,0.1759387,0.14483395,0.5132571,-0.043646723,0.11950773,0.037987746,0.009774925,-0.2628976
TCGA-75-6206-01,0.32215652,0.44257754,-0.10326402,0.13645583,-0.119678415,-0.09728714,0.004078587,-0.08769274,0.3244849,0.15893279,0.57249165,0.04875733,0.3017091,-0.107519746,0.103022024,-0.25629228
TCGA-55-7570-01,0.2837798,0.38656047,-0.2944166,0.20593213,-0.02910743,0.05204091,0.081990145,-0.06480055,0.4022702,0.39574784,0.3284325,0.07647956,0.22323893,-0.20326701,0.27095506,-0.17248012
TCGA-78-7150-01,0.3455069,0.44612125,-0.094583146,0.21483581,-0.06733652,-0.077890165,0.0048066103,-0.107181735,0.31107193,0.18396877,0.5634416,0.029118584,0.22579426,-0.119162664,0.113988355,-0.27800646
TCGA-55-7728-01,0.1181691,0.15850873,-0.16044992,-0.36799812,-0.14109449,-0.17597331,0.25568518,0.14020963,0.27889314,0.2766543,0.3842362,0.12387103,0.37672994,-0.3573608,0.27056843,-0.060799606
TCGA-62-A46P-01,0.27697673,0.43009496,-0.10441251,0.08169774,-0.10368288,-0.06430598,0.03675117,-0.034856927,0.3500228,0.17936933,0.56954426,0.09934481,0.30457133,-0.15149549,0.16723233,-0.2658083
TCGA-91-6830-01,0.41159442,0.38588807,-0.12109654,0.16559298,-0.011911701,-0.11157733,0.027399998,-0.07213997,0.24233872,0.2710229,0.5830484,-0.015047637,0.12643348,-0.20756176,0.17362337,-0.24389155
TCGA-73-4659-01,0.49632844,0.37156156,-0.26869205,0.19807136,-0.030831756,-0.18197082,0.048552547,-0.15679508,0.048119232,0.4420556,0.36528635,-0.1001488,-0.08461481,-0.24746391,0.1490359,-0.10660248
TCGA-17-Z015-01,0.25577486,0.19792669,-0.4897248,0.4465195,0.024858188,-0.05311656,-0.053898595,-0.471273,0.16953972,0.31596714,-0.017225763,-0.26795167,-0.09846719,-0.009973096,0.05974723,0.11710146
TCGA-97-A4LX-01,0.41950285,0.4352484,-0.27943984,0.14572734,-0.08372964,-0.017082572,0.029191168,-0.021861566,0.23141158,0.4210302,0.37531602,0.02697486,0.0755735,-0.24586794,0.22715262,-0.19092496
TCGA-44-3398-01,0.2626225,0.119952984,0.0246412,0.031742755,0.12775299,-0.18928128,0.35802945,0.09404595,0.2563778,0.331618,0.46988752,0.09989565,0.23997936,-0.38640895,0.26715097,-0.20273839
TCGA-69-7764-01,0.43084183,0.35420346,-0.22854233,0.20820329,0.0023406022,-0.08098813,0.16484644,0.021947764,0.15137056,0.5115543,0.28445926,0.07187788,0.03568262,-0.33483687,0.23865613,-0.13447812
TCGA-55-6981-01,0.4324396,0.4843145,-0.20518683,0.1529562,-0.18662855,-0.010973882,-0.2222073,0.0074128737,0.18182506,0.23299171,0.50076276,0.0356938,0.19756833,-0.03557928,0.10183875,-0.1962228
TCGA-73-4668-01,0.35598084,0.5095574,-0.16918744,0.22684811,-0.14205408,-0.029438399,-0.08469727,-0.116361685,0.30487442,0.16914292,0.4971582,0.02398452,0.22466719,-0.05284513,0.070516855,-0.25346592
TCGA-64-1681-01,0.47288293,0.42946604,-0.081096664,0.3773403,-0.07959057,-2.3176e-05,-0.240884,-0.10210425,0.1694686,0.13921712,0.48109356,-0.06229893,0.11676469,0.05357443,-0.02583162,-0.25997815
TCGA-44-2655-01,0.25368673,0.37232116,-0.16262956,-0.10623606,-0.17091465,-0.14398171,0.08093523,-0.012246525,0.333199,0.23339142,0.53429157,0.08686867,0.36515453,-0.22605653,0.18655033,-0.1577821
TCGA-75-7025-01,0.464308,0.34909254,-0.20808965,0.23830877,-0.004247661,-0.21670759,0.18974476,-0.23681892,0.14512096,0.40260795,0.36675024,-0.08564138,-0.006119887,-0.27761355,0.09156215,-0.113621324
TCGA-55-8513-01,0.14930281,0.18166344,-0.18207161,-0.3968457,-0.16136126,-0.1842213,0.19529028,0.12748599,0.24141328,0.28523502,0.4161222,0.11483384,0.34553602,-0.34039602,0.27695572,-0.041851487
TCGA-55-8514-01,0.38510126,0.56228703,-0.25702655,0.2587797,-0.18530118,-0.005257955,-0.08893353,-0.0999331,0.25387567,0.23587577,0.3857063,0.0028149593,0.14820497,-0.07708142,0.06695379,-0.2213235
TCGA-49-4487-01,0.40027702,0.5333262,-0.23282985,0.2481694,-0.17324029,-0.01947187,-0.08903013,-0.12382822,0.26680222,0.24987075,0.40512505,-0.008494328,0.15742588,-0.086091034,0.057184618,-0.22937013
TCGA-17-Z026-01,0.3195246,0.23881292,-0.47905928,0.40605864,-0.049020715,-0.08540819,-0.021422088,-0.4393122,0.18347698,0.3379163,-0.040978163,-0.28788662,-0.04219826,-0.045665324,-0.011505554,0.083257034
TCGA-78-7539-01,0.34341,0.4602171,-0.10854967,0.19408245,-0.103279285,-0.044969663,-0.038025845,-0.057971094,0.3166941,0.16812,0.5533618,0.04911676,0.25911415,-0.09675161,0.10761618,-0.27939197
TCGA-78-7166-01,0.30901223,0.3282582,-0.13344644,-0.035838526,-0.07003563,-0.16773422,0.13538375,-0.0317551,0.29484552,0.25612405,0.5843447,0.03580521,0.27055183,-0.25752512,0.21498743,-0.21042216
TCGA-49-4506-01,0.3684387,0.4761169,-0.2832207,0.0389869,-0.22510006,-0.11535343,0.029453507,-0.09123023,0.28219312,0.31439745,0.4070453,0.014558553,0.25097892,-0.20757101,0.106360756,-0.14456615
TCGA-17-Z003-01,0.18770368,0.06504139,-0.4619789,0.45038643,0.09300971,-0.07128729,0.0012450652,-0.5062249,0.11927835,0.30059978,-0.13708213,-0.30036175,-0.16079551,-0.009399612,0.03997093,0.18201426
TCGA-55-8206-01,0.3401446,0.47821525,-0.123612374,0.18227957,-0.13241068,-0.017015066,-0.08112845,-0.03515083,0.31231523,0.1587658,0.53934366,0.06363211,0.270271,-0.069258206,0.105344236,-0.27356493
TCGA-NJ-A4YF-01,0.56960595,0.3481814,-0.08683358,0.33460665,-0.015792573,-0.09485221,-0.15494089,-0.07478425,0.09705682,0.26878732,0.508718,-0.07105731,0.073557146,-0.05571778,0.03653435,-0.20152368
TCGA-17-Z055-01,0.36713997,0.23526771,-0.41448548,0.46861213,0.007280124,-0.0734363,-0.08976555,-0.42313403,0.15307745,0.34048966,0.0625388,-0.2732401,-0.077904396,-0.024526563,0.013104533,0.033706762
TCGA-49-4486-01,0.23844029,0.27743194,-0.09481365,0.018983873,0.016191443,-0.16862507,0.29800615,-0.012082939,0.3318119,0.3221326,0.46883357,0.06928842,0.2339817,-0.37454924,0.24769595,-0.2105122
TCGA-64-1680-01,0.3196323,0.36583886,-0.2314211,-0.2271822,-0.2958234,-0.19044353,-0.101945,-0.060826764,0.19409636,0.17547692,0.5542972,0.030175373,0.35498685,-0.09546797,0.092867844,-0.024103882
TCGA-50-8460-01,0.31885248,0.41549915,-0.23919192,-0.000944753,-0.14029947,-0.063027635,0.10773241,-0.0009575207,0.32232842,0.3583463,0.419195,0.07560438,0.23894574,-0.27126116,0.22322085,-0.19739017
TCGA-44-3917-01,0.4912219,0.25757298,-0.3397428,0.3006881,-0.04935427,-0.1102922,0.070301175,-0.21672364,0.10669588,0.5817124,0.08137259,-0.09350367,-0.014050929,-0.21621823,0.08870154,-0.0073191808
TCGA-17-Z021-01,0.18766649,0.06505731,-0.46199355,0.45039204,0.092993334,-0.07126772,0.0012241142,-0.5062273,0.119281985,0.30057845,-0.13710837,-0.30036142,-0.16079833,-0.0093752155,0.0399651,0.18201904
TCGA-44-A47F-01,0.5763022,0.23687357,-0.24654424,0.23088208,-0.02180326,-0.23787604,0.08493764,-0.18216817,-0.049933206,0.51548034,0.19359037,-0.13741179,-0.09144152,-0.25433463,0.042970695,0.027374916
TCGA-38-7271-01,0.12682228,0.2411875,-0.063777395,0.07756121,0.005054342,-0.13709095,0.37340915,0.016737634,0.4347099,0.23750673,0.3955984,0.09176817,0.37957883,-0.34481925,0.20653474,-0.20294997
TCGA-97-8175-01,0.3591483,0.41851106,-0.41304284,-0.07696048,-0.16434984,-0.06954849,0.020785844,0.0102116605,0.06655031,0.49510708,0.24654946,0.034413602,-0.03976237,-0.2957317,0.29253042,-0.028394178
TCGA-MN-A4N5-01,0.47192577,0.45430517,-0.31996098,0.05165676,-0.15118857,-0.0680057,-0.15729275,-0.029120939,0.0360341,0.39014038,0.43086186,-0.012005243,-0.01305733,-0.13445055,0.2120374,-0.10137259
TCGA-17-Z009-01,0.16110475,0.02556517,-0.45728356,0.4385657,0.09737985,-0.07558536,0.016854215,-0.509293,0.106109954,0.2867105,-0.1877479,-0.31187284,-0.1666776,-0.005279713,0.022051716,0.20691133
TCGA-55-7727-01,0.4123362,0.47315198,-0.35094565,0.12624352,-0.12350494,0.028892748,-0.04200895,0.05515073,0.10996461,0.47650003,0.2562346,0.09166452,-0.016326753,-0.22994098,0.2629937,-0.10297101
TCGA-78-7159-01,0.56870633,0.37785834,-0.19727167,0.2691589,-0.03062561,-0.080008686,-0.06415996,-0.046004195,0.10059711,0.4013076,0.41233402,-0.008314655,0.025222328,-0.17425102,0.1316507,-0.13882974
TCGA-MP-A4SY-01,0.28734532,0.43637842,-0.10722848,0.083652,-0.114961766,-0.06252564,0.013275383,-0.040371872,0.34552386,0.16356687,0.57435584,0.086415105,0.30615452,-0.12996113,0.15254478,-0.26869255
TCGA-L9-A8F4-01,0.4853279,0.45216414,-0.29927126,0.33365044,-0.11154447,-0.054617487,-0.04856626,-0.14993411,0.15938279,0.4015478,0.26265308,-0.09286849,0.01707203,-0.163128,0.052968837,-0.1577712
TCGA-86-A456-01,0.44353086,0.23127352,-0.24380998,0.18307479,0.041248012,-0.17420216,0.27727968,-0.09156949,0.07592995,0.5631619,0.13695626,-0.050244384,-0.08464316,-0.39686593,0.16998059,-0.04192687
TCGA-49-4512-01,0.36715522,0.49799752,-0.27808687,0.12161167,-0.24267073,-0.070246615,-0.10692298,-0.13582104,0.2930441,0.20594704,0.44306663,-0.021199794,0.27555928,-0.06037704,0.04856764,-0.15616247
TCGA-86-8055-01,0.42310387,0.4853849,-0.19900014,0.23150764,-0.08760087,-0.041272517,-0.112245336,-0.0921081,0.19436777,0.23721473,0.51406384,-0.048330072,0.05721007,-0.09702965,0.12321173,-0.2705764
