dataset,method,mode,target,dim,split,run,n_train,n_test,n_train_nonfinite,n_test_nonfinite,train_pos_ratio,test_pos_ratio,average_precision,roc_auc,precision,recall,f1
hancock,POME,cat_only,RFS Event,64,0,0,610,153,0,0,0.3983606557377049,0.392156862745098,0.5958138198956684,0.6540322580645161,0.6129032258064516,0.3166666666666666,0.4175824175824176
hancock,POME,cat_only,RFS Event,64,0,1,610,153,0,0,0.3983606557377049,0.392156862745098,0.582139436894373,0.6506272401433691,0.6,0.3,0.4
hancock,POME,cat_only,RFS Event,64,0,2,610,153,0,0,0.3983606557377049,0.392156862745098,0.5529307432627583,0.6020609318996416,0.4864864864864865,0.3,0.3711340206185567
hancock,POME,cat_only,RFS Event,64,0,3,610,153,0,0,0.3983606557377049,0.392156862745098,0.5282207478387447,0.6223118279569894,0.6,0.2,0.3
hancock,POME,cat_only,RFS Event,64,0,4,610,153,0,0,0.3983606557377049,0.392156862745098,0.4696964213764159,0.5775089605734768,0.625,0.0833333333333333,0.1470588235294117
hancock,POME,cat_only,RFS Event,64,1,0,610,153,0,0,0.4049180327868852,0.3660130718954248,0.6467423820487983,0.7019513991163476,0.6428571428571429,0.4821428571428571,0.5510204081632653
hancock,POME,cat_only,RFS Event,64,1,1,610,153,0,0,0.4049180327868852,0.3660130718954248,0.6581300793958796,0.7135493372606775,0.6216216216216216,0.4107142857142857,0.4946236559139785
hancock,POME,cat_only,RFS Event,64,1,2,610,153,0,0,0.4049180327868852,0.3660130718954248,0.614664137020388,0.6910898379970545,0.5952380952380952,0.4464285714285714,0.5102040816326531
hancock,POME,cat_only,RFS Event,64,1,3,610,153,0,0,0.4049180327868852,0.3660130718954248,0.5760059928468784,0.6511413843888071,0.6285714285714286,0.3928571428571428,0.4835164835164835
hancock,POME,cat_only,RFS Event,64,1,4,610,153,0,0,0.4049180327868852,0.3660130718954248,0.5360404868044587,0.6314432989690723,0.475,0.3392857142857143,0.3958333333333333
hancock,POME,cat_only,RFS Event,64,2,0,610,153,0,0,0.3885245901639344,0.4313725490196078,0.5818153686553861,0.6106757227446883,0.625,0.2272727272727272,0.3333333333333333
hancock,POME,cat_only,RFS Event,64,2,1,610,153,0,0,0.3885245901639344,0.4313725490196078,0.6450759684139834,0.6930512016718913,0.65,0.3939393939393939,0.490566037735849
hancock,POME,cat_only,RFS Event,64,2,2,610,153,0,0,0.3885245901639344,0.4313725490196078,0.6691497403006356,0.6893939393939394,0.72,0.2727272727272727,0.3956043956043956
hancock,POME,cat_only,RFS Event,64,2,3,610,153,0,0,0.3885245901639344,0.4313725490196078,0.6547167418962955,0.672675026123302,0.6285714285714286,0.3333333333333333,0.4356435643564356
hancock,POME,cat_only,RFS Event,64,2,4,610,153,0,0,0.3885245901639344,0.4313725490196078,0.6452286948305427,0.6505572971090212,0.7,0.3181818181818182,0.4375
hancock,POME,cat_only,RFS Event,64,3,0,610,153,0,0,0.3934426229508196,0.4117647058823529,0.5100933762001225,0.6056437389770722,0.5517241379310345,0.2539682539682539,0.3478260869565217
hancock,POME,cat_only,RFS Event,64,3,1,610,153,0,0,0.3934426229508196,0.4117647058823529,0.580136354259342,0.6181657848324515,0.5227272727272727,0.365079365079365,0.4299065420560747
hancock,POME,cat_only,RFS Event,64,3,2,610,153,0,0,0.3934426229508196,0.4117647058823529,0.6002518986280162,0.6405643738977072,0.5813953488372093,0.3968253968253968,0.4716981132075472
hancock,POME,cat_only,RFS Event,64,3,3,610,153,0,0,0.3934426229508196,0.4117647058823529,0.5146829343581759,0.598589065255732,0.4634146341463415,0.3015873015873015,0.3653846153846153
hancock,POME,cat_only,RFS Event,64,3,4,610,153,0,0,0.3934426229508196,0.4117647058823529,0.4580237563426571,0.5393298059964726,0.3684210526315789,0.1111111111111111,0.1707317073170731
hancock,POME,cat_only,RFS Event,64,4,0,610,153,0,0,0.3983606557377049,0.392156862745098,0.6325958545401177,0.7326164874551971,0.6511627906976745,0.4666666666666667,0.5436893203883495
hancock,POME,cat_only,RFS Event,64,4,1,610,153,0,0,0.3983606557377049,0.392156862745098,0.6302043616757581,0.7064516129032258,0.65,0.4333333333333333,0.52
hancock,POME,cat_only,RFS Event,64,4,2,610,153,0,0,0.3983606557377049,0.392156862745098,0.6516398843493921,0.7078853046594982,0.631578947368421,0.4,0.4897959183673469
hancock,POME,cat_only,RFS Event,64,4,3,610,153,0,0,0.3983606557377049,0.392156862745098,0.6724662070858636,0.7134408602150538,0.5813953488372093,0.4166666666666667,0.4854368932038835
hancock,POME,cat_only,RFS Event,64,4,4,610,153,0,0,0.3983606557377049,0.392156862745098,0.6226422886387061,0.6971326164874552,0.6170212765957447,0.4833333333333333,0.5420560747663551
hancock,POME,cat_only,RFS Event,64,5,0,610,153,0,0,0.3868852459016393,0.4379084967320261,0.6268497017012277,0.672509545296772,0.6944444444444444,0.373134328358209,0.4854368932038835
hancock,POME,cat_only,RFS Event,64,5,1,610,153,0,0,0.3868852459016393,0.4379084967320261,0.6157608721995014,0.6973273169038529,0.6296296296296297,0.2537313432835821,0.3617021276595745
hancock,POME,cat_only,RFS Event,64,5,2,610,153,0,0,0.3868852459016393,0.4379084967320261,0.593620002387297,0.6587990281152378,0.6578947368421053,0.373134328358209,0.4761904761904761
