dataset,method,target,dim,split,run,n_train,n_test,n_train_nonfinite,n_test_nonfinite,train_pos_ratio,test_pos_ratio,average_precision,roc_auc,precision,recall,f1
hancock,POME,Recurrence,16,0,0,610,153,0,0,0.23442622950819672,0.2222222222222222,0.25649171343415234,0.5563519525457242,0.0,0.0,0.0
hancock,POME,Survival,16,0,0,610,153,0,0,0.7213114754098361,0.7189542483660131,0.7627269914570045,0.6048625792811839,0.7189542483660131,1.0,0.8365019011406845
hancock,POME,RFS Event,16,0,0,610,153,0,0,0.3983606557377049,0.39215686274509803,0.516208004674571,0.5749103942652329,0.0,0.0,0.0
hancock,POME,Recurrence,16,1,0,610,153,0,0,0.2360655737704918,0.21568627450980393,0.4188274277673561,0.7035353535353536,0.0,0.0,0.0
hancock,POME,Survival,16,1,0,610,153,0,0,0.7213114754098361,0.7189542483660131,0.7747947062723581,0.6268498942917548,0.7189542483660131,1.0,0.8365019011406845
hancock,POME,RFS Event,16,1,0,610,153,0,0,0.40491803278688526,0.3660130718954248,0.5269820850125191,0.6262886597938144,0.0,0.0,0.0
hancock,POME,Recurrence,16,2,0,610,153,0,0,0.24098360655737705,0.19607843137254902,0.21150281700165818,0.537940379403794,0.0,0.0,0.0
hancock,POME,Survival,16,2,0,610,153,0,0,0.7245901639344262,0.7058823529411765,0.7555173695555998,0.6234567901234568,0.7058823529411765,1.0,0.8275862068965517
hancock,POME,RFS Event,16,2,0,610,153,0,0,0.3885245901639344,0.43137254901960786,0.5352680508865202,0.6088470916057123,0.0,0.0,0.0
hancock,POME,Recurrence,16,3,0,610,153,0,0,0.2262295081967213,0.2549019607843137,0.4023029036604388,0.6333783175888439,0.0,0.0,0.0
hancock,POME,Survival,16,3,0,610,153,0,0,0.7262295081967213,0.6993464052287581,0.7427364470234195,0.5889882161722877,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,3,0,610,153,0,0,0.39344262295081966,0.4117647058823529,0.5600435593518347,0.6072310405643739,0.0,0.0,0.0
hancock,POME,Recurrence,16,4,0,610,153,0,0,0.23934426229508196,0.20261437908496732,0.22632924739542204,0.520888418826018,0.0,0.0,0.0
hancock,POME,Survival,16,4,0,610,153,0,0,0.7229508196721312,0.7124183006535948,0.7656801933988823,0.621976647206005,0.7124183006535948,1.0,0.8320610687022901
hancock,POME,RFS Event,16,4,0,610,153,0,0,0.3983606557377049,0.39215686274509803,0.5152633615358941,0.5903225806451613,0.0,0.0,0.0
hancock,POME,Recurrence,16,5,0,610,153,0,0,0.22131147540983606,0.27450980392156865,0.3400808064443118,0.5401115401115402,0.0,0.0,0.0
hancock,POME,Survival,16,5,0,610,153,0,0,0.7295081967213115,0.6862745098039216,0.7080990875738686,0.5652777777777778,0.6862745098039216,1.0,0.813953488372093
hancock,POME,RFS Event,16,5,0,610,153,0,0,0.38688524590163936,0.43790849673202614,0.5604055457073287,0.5446025685525858,0.0,0.0,0.0
hancock,POME,Recurrence,16,6,0,610,153,0,0,0.2262295081967213,0.2549019607843137,0.3065986656625404,0.5609536662168241,0.0,0.0,0.0
hancock,POME,Survival,16,6,0,610,153,0,0,0.7262295081967213,0.6993464052287581,0.7993547976268093,0.6877285656237302,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,6,0,610,153,0,0,0.38688524590163936,0.43790849673202614,0.6203980195733783,0.6631377993752169,0.0,0.0,0.0
hancock,POME,Recurrence,16,7,0,610,153,0,0,0.22295081967213115,0.2679738562091503,0.2598355327559092,0.46254355400696867,0.0,0.0,0.0
hancock,POME,Survival,16,7,0,610,153,0,0,0.7311475409836066,0.6797385620915033,0.7403876706872604,0.591640502354788,0.6797385620915033,1.0,0.8093385214007782
hancock,POME,RFS Event,16,7,0,610,153,0,0,0.38688524590163936,0.43790849673202614,0.4902113391163406,0.5480735855605692,0.0,0.0,0.0
hancock,POME,Recurrence,16,8,0,610,153,0,0,0.21311475409836064,0.30718954248366015,0.3806773775274258,0.5911280610196709,0.0,0.0,0.0
hancock,POME,Survival,16,8,0,610,153,0,0,0.7262295081967213,0.6993464052287581,0.7686692251980862,0.6359203575782202,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,8,0,610,153,0,0,0.37540983606557377,0.48366013071895425,0.636689797486005,0.6288060212110844,0.0,0.0,0.0
hancock,POME,Recurrence,16,9,0,610,153,0,0,0.21311475409836064,0.30718954248366015,0.40439821742170134,0.6025692492974709,0.0,0.0,0.0
hancock,POME,Survival,16,9,0,610,153,0,0,0.7327868852459016,0.673202614379085,0.7315619270862816,0.6333980582524271,0.673202614379085,1.0,0.8046875
hancock,POME,RFS Event,16,9,0,610,153,0,0,0.37540983606557377,0.48366013071895425,0.6325991995621625,0.628634964078002,0.0,0.0,0.0
hancock,POME,Recurrence,16,0,1,610,153,0,0,0.23442622950819672,0.2222222222222222,0.2528500370621186,0.5249629263470094,0.0,0.0,0.0
hancock,POME,Survival,16,0,1,610,153,0,0,0.7213114754098361,0.7189542483660131,0.7620145709248666,0.5951374207188159,0.7189542483660131,1.0,0.8365019011406845
hancock,POME,RFS Event,16,0,1,610,153,0,0,0.3983606557377049,0.39215686274509803,0.5035482842747749,0.5530465949820789,0.0,0.0,0.0
hancock,POME,Recurrence,16,1,1,610,153,0,0,0.2360655737704918,0.21568627450980393,0.47665954761830465,0.6775252525252524,0.0,0.0,0.0
hancock,POME,Survival,16,1,1,610,153,0,0,0.7213114754098361,0.7189542483660131,0.7776894544307388,0.6408033826638477,0.7189542483660131,1.0,0.8365019011406845
hancock,POME,RFS Event,16,1,1,610,153,0,0,0.40491803278688526,0.3660130718954248,0.5433620747017922,0.6244477172312224,0.0,0.0,0.0
hancock,POME,Recurrence,16,2,1,610,153,0,0,0.24098360655737705,0.19607843137254902,0.1999403577275255,0.48834688346883465,0.0,0.0,0.0
hancock,POME,Survival,16,2,1,610,153,0,0,0.7245901639344262,0.7058823529411765,0.7459279599731934,0.6086419753086421,0.7058823529411765,1.0,0.8275862068965517
hancock,POME,RFS Event,16,2,1,610,153,0,0,0.3885245901639344,0.43137254901960786,0.5248958767282594,0.5714036920933473,0.0,0.0,0.0
hancock,POME,Recurrence,16,3,1,610,153,0,0,0.2262295081967213,0.2549019607843137,0.3861846699933831,0.6045883940620782,0.0,0.0,0.0
hancock,POME,Survival,16,3,1,610,153,0,0,0.7262295081967213,0.6993464052287581,0.7409337643744616,0.5832994717594473,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,3,1,610,153,0,0,0.39344262295081966,0.4117647058823529,0.5578283938543207,0.5943562610229278,0.0,0.0,0.0
hancock,POME,Recurrence,16,4,1,610,153,0,0,0.23934426229508196,0.20261437908496732,0.22835990448555882,0.49894235854045477,0.0,0.0,0.0
hancock,POME,Survival,16,4,1,610,153,0,0,0.7229508196721312,0.7124183006535948,0.7651318492950354,0.603419516263553,0.7124183006535948,1.0,0.8320610687022901
hancock,POME,RFS Event,16,4,1,610,153,0,0,0.3983606557377049,0.39215686274509803,0.48819912185319425,0.5663082437275986,0.0,0.0,0.0
hancock,POME,Recurrence,16,5,1,610,153,0,0,0.22131147540983606,0.27450980392156865,0.35348242241105243,0.5218790218790219,0.0,0.0,0.0
hancock,POME,Survival,16,5,1,610,153,0,0,0.7295081967213115,0.6862745098039216,0.7077607727625086,0.5617063492063492,0.6862745098039216,1.0,0.813953488372093
hancock,POME,RFS Event,16,5,1,610,153,0,0,0.38688524590163936,0.43790849673202614,0.5621686174735808,0.5380076362374175,0.0,0.0,0.0
hancock,POME,Recurrence,16,6,1,610,153,0,0,0.2262295081967213,0.2549019607843137,0.3096115205110964,0.5645524066576698,0.0,0.0,0.0
hancock,POME,Survival,16,6,1,610,153,0,0,0.7262295081967213,0.6993464052287581,0.7967485982094287,0.6818366517675741,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,6,1,610,153,0,0,0.38688524590163936,0.43790849673202614,0.6102303924089614,0.6513363415480736,0.0,0.0,0.0
hancock,POME,Recurrence,16,7,1,610,153,0,0,0.22295081967213115,0.2679738562091503,0.2769529512784345,0.44795296167247395,0.0,0.0,0.0
hancock,POME,Survival,16,7,1,610,153,0,0,0.7311475409836066,0.6797385620915033,0.7187620403985036,0.575353218210361,0.6797385620915033,1.0,0.8093385214007782
hancock,POME,RFS Event,16,7,1,610,153,0,0,0.38688524590163936,0.43790849673202614,0.49397308598259393,0.5321069073238459,0.0,0.0,0.0
hancock,POME,Recurrence,16,8,1,610,153,0,0,0.21311475409836064,0.30718954248366015,0.38664001287184224,0.5957446808510638,0.0,0.0,0.0
hancock,POME,Survival,16,8,1,610,153,0,0,0.7262295081967213,0.6993464052287581,0.777362471049408,0.6281999187322226,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,8,1,610,153,0,0,0.37540983606557377,0.48366013071895425,0.6389026810508486,0.6279507355456722,0.0,0.0,0.0
hancock,POME,Recurrence,16,9,1,610,153,0,0,0.21311475409836064,0.30718954248366015,0.3891328347668504,0.5794861501405058,0.0,0.0,0.0
hancock,POME,Survival,16,9,1,610,153,0,0,0.7327868852459016,0.673202614379085,0.7297315985350843,0.6351456310679612,0.673202614379085,1.0,0.8046875
hancock,POME,RFS Event,16,9,1,610,153,0,0,0.37540983606557377,0.48366013071895425,0.6318351775469926,0.6144372220321588,0.0,0.0,0.0
hancock,POME,Recurrence,16,0,2,610,153,0,0,0.23442622950819672,0.2222222222222222,0.26756947560371147,0.5659911023232823,0.0,0.0,0.0
hancock,POME,Survival,16,0,2,610,153,0,0,0.7213114754098361,0.7189542483660131,0.7754965542578254,0.6114164904862579,0.7189542483660131,1.0,0.8365019011406845
hancock,POME,RFS Event,16,0,2,610,153,0,0,0.3983606557377049,0.39215686274509803,0.5270568085670765,0.5772401433691757,0.0,0.0,0.0
hancock,POME,Recurrence,16,1,2,610,153,0,0,0.2360655737704918,0.21568627450980393,0.3706154582703887,0.6510101010101011,0.0,0.0,0.0
hancock,POME,Survival,16,1,2,610,153,0,0,0.7213114754098361,0.7189542483660131,0.8015280041247159,0.6640591966173361,0.7189542483660131,1.0,0.8365019011406845
hancock,POME,RFS Event,16,1,2,610,153,0,0,0.40491803278688526,0.3660130718954248,0.5283364408271969,0.6435935198821797,0.0,0.0,0.0
hancock,POME,Recurrence,16,2,2,610,153,0,0,0.24098360655737705,0.19607843137254902,0.20488335340687364,0.4929539295392954,0.0,0.0,0.0
hancock,POME,Survival,16,2,2,610,153,0,0,0.7245901639344262,0.7058823529411765,0.712659988138322,0.5604938271604939,0.7058823529411765,1.0,0.8275862068965517
hancock,POME,RFS Event,16,2,2,610,153,0,0,0.3885245901639344,0.43137254901960786,0.5500835803273101,0.5529432253570185,0.0,0.0,0.0
hancock,POME,Recurrence,16,3,2,610,153,0,0,0.2262295081967213,0.2549019607843137,0.3455478315602264,0.5951417004048583,0.0,0.0,0.0
hancock,POME,Survival,16,3,2,610,153,0,0,0.7262295081967213,0.6993464052287581,0.7446731999648016,0.5757822023567656,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,3,2,610,153,0,0,0.39344262295081966,0.4117647058823529,0.5388069739825984,0.5835978835978836,0.0,0.0,0.0
hancock,POME,Recurrence,16,4,2,610,153,0,0,0.23934426229508196,0.20261437908496732,0.20493695535655745,0.4846641988365944,0.0,0.0,0.0
hancock,POME,Survival,16,4,2,610,153,0,0,0.7229508196721312,0.7124183006535948,0.7765037847165264,0.6019599666388658,0.7124183006535948,1.0,0.8320610687022901
hancock,POME,RFS Event,16,4,2,610,153,0,0,0.3983606557377049,0.39215686274509803,0.48371723344713125,0.5666666666666667,0.0,0.0,0.0
hancock,POME,Recurrence,16,5,2,610,153,0,0,0.22131147540983606,0.27450980392156865,0.32067380514109545,0.5208065208065208,0.0,0.0,0.0
hancock,POME,Survival,16,5,2,610,153,0,0,0.7295081967213115,0.6862745098039216,0.7008617471848493,0.549404761904762,0.6862745098039216,1.0,0.813953488372093
hancock,POME,RFS Event,16,5,2,610,153,0,0,0.38688524590163936,0.43790849673202614,0.5313436263443614,0.5185699409927108,0.0,0.0,0.0
hancock,POME,Recurrence,16,6,2,610,153,0,0,0.2262295081967213,0.2549019607843137,0.3001963599159397,0.537561853351327,0.0,0.0,0.0
hancock,POME,Survival,16,6,2,610,153,0,0,0.7262295081967213,0.6993464052287581,0.7777318691999306,0.6600975213327915,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,6,2,610,153,0,0,0.38688524590163936,0.43790849673202614,0.5959392215037908,0.6239153071850052,0.0,0.0,0.0
hancock,POME,Recurrence,16,7,2,610,153,0,0,0.22295081967213115,0.2679738562091503,0.2903960469468123,0.4949912891986063,0.0,0.0,0.0
hancock,POME,Survival,16,7,2,610,153,0,0,0.7311475409836066,0.6797385620915033,0.7289908504596827,0.5953689167974883,0.6797385620915033,1.0,0.8093385214007782
hancock,POME,RFS Event,16,7,2,610,153,0,0,0.38688524590163936,0.43790849673202614,0.5258995530170687,0.569593891010066,0.0,0.0,0.0
hancock,POME,Recurrence,16,8,2,610,153,0,0,0.21311475409836064,0.30718954248366015,0.37318742674249855,0.5754716981132075,0.0,0.0,0.0
hancock,POME,Survival,16,8,2,610,153,0,0,0.7262295081967213,0.6993464052287581,0.7478997345770851,0.6009752133279155,0.6993464052287581,1.0,0.823076923076923
hancock,POME,RFS Event,16,8,2,610,153,0,0,0.37540983606557377,0.48366013071895425,0.6381178068956734,0.6063975367772836,0.0,0.0,0.0
hancock,POME,Recurrence,16,9,2,610,153,0,0,0.21311475409836064,0.30718954248366015,0.3790377896966042,0.597751906864713,0.0,0.0,0.0
hancock,POME,Survival,16,9,2,610,153,0,0,0.7327868852459016,0.673202614379085,0.7397187004723903,0.6219417475728155,0.673202614379085,1.0,0.8046875
hancock,POME,RFS Event,16,9,2,610,153,0,0,0.37540983606557377,0.48366013071895425,0.6113515608742058,0.616832021895313,0.0,0.0,0.0
hancock,POME,Recurrence,16,0,3,610,153,0,0,0.23442622950819672,0.2222222222222222,0.27759085636903685,0.5608007909045971,0.0,0.0,0.0
hancock,POME,Survival,16,0,3,610,153,0,0,0.7213114754098361,0.7189542483660131,0.766482751432713,0.6080338266384777,0.7189542483660131,1.0,0.8365019011406845
hancock,POME,RFS Event,16,0,3,610,153,0,0,0.3983606557377049,0.39215686274509803,0.522104487185735,0.5743727598566308,0.0,0.0,0.0
hancock,POME,Recurrence,16,1,3,610,153,0,0,0.2360655737704918,0.21568627450980393,0.35876096160425963,0.6835858585858586,0.0,0.0,0.0
hancock,POME,Survival,16,1,3,610,153,0,0,0.7213114754098361,0.7189542483660131,0.7894005327683565,0.639323467230444,0.7189542483660131,1.0,0.8365019011406845
hancock,POME,RFS Event,16,1,3,610,153,0,0,0.40491803278688526,0.3660130718954248,0.49594844963021245,0.6205817378497791,0.0,0.0,0.0
hancock,POME,Recurrence,16,2,3,610,153,0,0,0.24098360655737705,0.19607843137254902,0.20807895329118314,0.5262872628726287,0.0,0.0,0.0
hancock,POME,Survival,16,2,3,610,153,0,0,0.7245901639344262,0.7058823529411765,0.7782641559574912,0.6372427983539094,0.7058823529411765,1.0,0.8275862068965517
hancock,POME,RFS Event,16,2,3,610,153,0,0,0.3885245901639344,0.43137254901960786,0.5366768915929476,0.5977011494252874,0.0,0.0,0.0
hancock,POME,Recurrence,16,3,3,610,153,0,0,0.2262295081967213,0.2549019607843137,0.39897134189506284,0.6279802069275754,0.0,0.0,0.0
