,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-71-6725-01,0.16638117,-0.011436129,-0.28341362,-0.3755266,-0.23209503,0.096871726,0.11269711,0.10857055,0.23589514,-0.33532926,0.08500728,0.37166673,-0.21450461,0.19486949,-0.48291945,-0.18013997
TCGA-69-7973-01,-0.018795198,0.013729559,-0.37088248,-0.46151805,-0.19567585,0.10164313,0.19679771,0.10309324,0.20301002,-0.35057855,0.24664068,0.29288065,-0.17513658,0.021087319,-0.4404114,-0.122958645
TCGA-50-8457-01,0.09937452,-0.17586865,-0.160932,-0.55588186,-0.3541373,-0.21145773,0.3152553,0.31040198,0.14014171,-0.28914687,0.09822182,0.10365874,0.07428348,-0.13226596,-0.25552696,-0.21560057
TCGA-64-1676-01,-0.023675522,-0.14429516,-0.24613638,-0.56745034,-0.3206829,0.11635891,0.17081152,0.13575684,0.1656654,-0.404892,0.048532926,0.21340014,-0.10657143,0.03016747,-0.4199259,-0.064568385
TCGA-62-8399-01,-0.10556864,-0.11093844,-0.27863646,-0.5558338,-0.2599066,0.10001789,0.1986867,0.121442005,0.17153712,-0.3773871,0.17414266,0.24366462,-0.13512512,-0.040727586,-0.40863076,-0.09868179
TCGA-55-8514-01,0.19729754,0.08577832,-0.4480114,-0.36661142,-0.17972855,0.0802671,0.15694043,0.17843807,0.22268748,-0.35689786,0.08539999,0.3260545,-0.1884276,0.04051243,-0.43935853,-0.051277485
TCGA-44-6146-01,0.17450391,-0.18835896,0.27684206,-0.30251235,-0.2957507,-0.3774943,0.27181187,0.035399083,0.04829301,0.05638656,0.10741784,0.12169047,0.09623835,0.078048185,-0.089791484,-0.63681567
TCGA-97-7941-01,0.25089312,-0.20508671,-0.008162059,-0.41293135,-0.32289618,-0.38802767,0.3145506,0.31496814,0.20861544,-0.14378597,0.054295845,0.052407548,0.17857805,-0.10858241,-0.10404117,-0.38346386
TCGA-97-A4M0-01,0.14448702,-0.06412481,-0.3576182,-0.48494866,-0.27083945,0.020519154,0.20439342,0.25313234,0.21887992,-0.374129,-1.0960337e-05,0.2549061,-0.108011656,-0.024394931,-0.40157345,-0.07705232
TCGA-62-8395-01,-0.10631844,-0.22762504,-0.16710047,-0.61141074,-0.33667427,0.039293163,0.22554283,0.18606715,0.13208696,-0.35749933,0.063370205,0.1699084,-0.06781159,-0.08705437,-0.36817986,-0.094249174
