	PCA_1	PCA_2	UMAP_1	UMAP_2	tSNE_1	tSNE_2
TCGA-05-4244-01	-0.44880861774288466	-2.8601278653526254	-1.6150599	-4.9278674	-0.44830525	-1.6255984
TCGA-05-4249-01	-2.0921326052495663	-2.597183959972353	-0.70603555	-3.7079597	-6.6229663	-5.3541617
TCGA-05-4250-01	-1.4662103764537915	-2.7029176406624615	0.1475289	-3.2663314	-6.0005317	-8.42844
TCGA-05-4382-01	-3.4968016023997675	-2.986067827289322	-1.5344007	-3.836794	-10.964466	-6.127994
TCGA-05-4384-01	5.772245045697391	0.27625164884089237	0.5000376	0.5255893	12.058514	-18.85582
TCGA-05-4389-01	-3.0453357891235138	-2.7226538586724125	-1.2643001	-3.4889085	-12.466535	-6.4717913
TCGA-05-4390-01	-1.3435537046383452	-2.9498622535682917	-1.0628507	-4.1537385	-3.5190861	-1.3062068
TCGA-05-4395-01	0.004124820853095423	-3.163636346060534	-0.18725921	-5.8741326	-14.325979	0.34505376
TCGA-05-4396-01	0.9034581801514607	-3.185774845427191	-0.36267737	-5.5199337	-10.992653	1.4925162
TCGA-05-4397-01	-0.969853927107818	-2.0806389664561022	-1.3639889	-3.8386762	-0.21763872	-5.1671677
TCGA-05-4398-01	0.9430981847677943	-2.152905256576347	-2.251754	-5.8169556	-8.250969	12.393386
TCGA-05-4402-01	0.5111011726903576	-1.1152412195876253	-0.08683755	-1.961355	-0.46578947	-17.342201
TCGA-05-4403-01	5.447867512635523	1.0125316612095145	0.4631739	0.51242197	11.892806	-18.494349
TCGA-05-4405-01	-2.64443389165446	-2.210314521908011	-1.2518466	-3.3226225	-13.080883	-7.4974966
TCGA-05-4410-01	-0.9290070752425627	-0.7181161585049032	-0.7697326	-2.343955	-7.268553	-14.091306
TCGA-05-4415-01	0.3429938828583863	-3.3811823355542012	-0.2681135	-5.6364923	-11.739475	1.0277789
TCGA-05-4417-01	-0.8729497335710588	-2.310375650748344	-0.028085709	-3.4969587	-4.19831	-6.9344125
TCGA-05-4418-01	-0.30939358199774397	-1.5790822432035656	0.96153706	-2.7921228	-1.1564031	-13.193408
TCGA-05-4420-01	-2.5095851330911163	-1.7786361195646971	-1.1383662	-3.0826807	-11.36635	-9.80357
