	PCA_1	PCA_2	UMAP_1	UMAP_2	tSNE_1	tSNE_2
TCGA-05-4244-01	1.441673507510063	-1.3428940594339822	16.627588	9.173557	18.130554	-5.1062446
TCGA-05-4249-01	2.190279574444532	-1.0847385342618343	16.599041	10.40566	16.482962	2.482954
TCGA-05-4250-01	1.0867182360377554	-0.9307793089330414	16.306625	8.683467	12.573767	-7.8053184
TCGA-05-4382-01	0.9488568867947059	-1.5471535381178432	16.899822	8.30799	16.039888	-7.679652
TCGA-05-4384-01	0.5116217220520833	0.9344888809083144	13.243078	9.197336	3.2302358	-7.7789216
TCGA-05-4389-01	0.9203767256210718	-1.624282303226959	16.833994	8.329803	16.074282	-8.053464
TCGA-05-4390-01	1.9069480353974195	-0.5104827005056125	15.754508	10.677723	13.421517	2.0381544
TCGA-05-4395-01	1.6739780057118387	-2.2516546203571868	17.105822	9.409352	21.392998	-5.374074
TCGA-05-4396-01	1.4870380944415196	0.22930756295122723	14.515706	10.856312	7.839837	-0.08553084
TCGA-05-4397-01	1.0677558406946113	0.14291104831062487	14.385459	9.447671	8.829848	-7.8704624
TCGA-05-4398-01	2.031045306712121	-1.1654586990472389	15.982451	9.815954	18.340584	-0.45064667
TCGA-05-4402-01	0.8492063773775831	-3.0739407753659744	17.569578	9.1294155	24.198786	-7.4077725
TCGA-05-4403-01	-0.6503917005697546	0.7240730683773213	13.523177	8.659058	4.1909447	-11.6241455
TCGA-05-4405-01	0.9124443278213097	-0.9201885726089466	16.662855	8.196093	13.717703	-8.350256
TCGA-05-4410-01	0.693481390835578	-0.944778154365062	16.656519	8.182263	14.218301	-8.504987
TCGA-05-4415-01	2.5076239355310994	-0.6647206275276859	15.973613	11.155642	13.955576	5.3528275
TCGA-05-4417-01	1.5283845238580704	-0.20504430909688098	15.242773	10.334878	11.722241	-0.46115682
TCGA-05-4418-01	0.7891147856753035	0.49383569862273496	13.667117	9.272902	4.703604	-7.1661406
TCGA-05-4420-01	0.2774227206713409	-2.3979263370653747	17.054152	7.8873696	16.947598	-10.380209
TCGA-05-4422-01	0.5793631147804917	-0.2538366327515176	14.285168	9.004366	9.641609	-9.01372
TCGA-05-4424-01	-0.454945665634914	-1.7869274510247954	14.832367	8.020771	12.969577	-14.865371
TCGA-05-4425-01	1.077826495894056	-0.24262658455621894	14.559643	9.167751	9.679148	-8.486622
TCGA-05-4426-01	0.6370646613447352	0.9325361004511956	13.205333	9.464052	3.422276	-6.5658593
TCGA-05-4427-01	1.2821733675994476	-0.8128874989087166	15.67568	9.7970915	13.698474	-2.712734
TCGA-05-4430-01	0.4647656469789948	-1.0828623313069394	16.733126	8.008277	14.6795225	-9.038513
TCGA-05-4432-01	0.5522334327496996	-1.998571489361989	16.93638	8.005461	16.392822	-9.9981
TCGA-05-4433-01	0.6863446080659449	1.3151225965849946	13.436489	10.368877	2.6070778	-2.3761823
TCGA-05-4434-01	1.224246275039531	0.5242859093221519	13.353489	9.290172	3.0234206	-8.449949
TCGA-05-5423-01	-0.027079719740189176	-1.439030106073275	14.816854	8.188481	12.616467	-13.191425
TCGA-05-5425-01	-0.9075722754245384	-0.10824639322568445	13.351702	8.598185	3.8562253	-12.881514
TCGA-05-5428-01	1.2842956537717303	-1.4893032511394746	16.638472	8.879849	16.698406	-5.3211875
TCGA-05-5429-01	0.5886174325798502	0.00514320371870405	13.901337	9.072795	5.8087397	-7.7755113
TCGA-05-5715-01	1.0319507653782465	0.9222864071585809	13.91111	10.440826	4.746889	-2.3859885
TCGA-17-Z000-01	-9.317395255627053	-0.4707786731010604	-10.284299	12.88615	-27.49254	-22.5347
TCGA-17-Z001-01	-5.724632839892407	-1.0864088897092081	1.7902477	-2.4212673	-20.889105	-20.500555
TCGA-17-Z002-01	-9.317658569420349	-0.44825077247176254	-10.292418	12.860235	-28.082901	-22.368513
TCGA-17-Z003-01	-5.850429426493525	-1.0667884853821517	1.9059123	-2.304646	-21.269535	-19.579344
TCGA-17-Z004-01	-9.326583572064695	-0.47434127273671034	-10.246575	12.928752	-27.536932	-21.208649
TCGA-17-Z005-01	-9.306876294765045	-0.43002029579499934	-10.366948	12.769413	-27.300455	-23.275059
TCGA-17-Z007-01	-9.278677643560027	-0.36731446206512486	-10.46163	12.68065	-28.956055	-21.811533
TCGA-17-Z009-01	-9.343154015351127	-0.4706168675913665	-10.307396	12.587784	-26.985151	-22.861467
