Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-55-6982-01,6.192509,0.4994951,-2.566946,13.263762,12.409491,2.2255592,8.506608,5.784128,7.2743993,3.3449733,0.27900028,3.7626472,1.275049,2.566457,4.9523377,5.599953
TCGA-78-8662-01,6.055509,0.06647084,-2.123659,13.428964,12.128392,2.8856103,8.069956,5.1597495,6.5359626,2.3724442,0.34047022,3.311136,1.88473,2.751926,4.827301,5.602758
TCGA-17-Z042-01,6.05124,0.87788266,-1.7731066,13.172296,13.117193,2.8434687,8.370817,6.064079,7.254693,2.9134855,0.23128678,3.516713,1.2770228,1.5743965,5.431632,5.8509073
TCGA-78-7158-01,7.215333,0.7327824,-1.7493453,14.925726,12.8005495,2.6263776,7.9981065,5.699241,6.7993207,3.4065037,0.30922312,3.4290192,1.0081061,2.1956582,5.823997,5.2564154
TCGA-64-1677-01,6.2403092,0.9474782,-2.2361708,13.191699,12.704656,2.5232456,8.363152,5.68611,7.1842055,3.0272913,0.27313626,3.5725758,1.6966342,2.2921543,5.287348,5.7433205
TCGA-44-7671-01,6.8748617,0.33564517,-1.8770703,13.8740225,13.066093,2.8186152,7.8662505,5.4446597,6.829664,2.800737,0.25977114,3.5013082,1.6097867,1.752936,5.126929,6.110808
TCGA-95-8039-01,7.262943,0.6896077,-1.6349316,14.302525,12.731067,2.6428685,8.196573,5.60952,6.839452,3.3183548,0.22096935,3.5618937,1.0229573,1.5715538,5.5569186,5.710239
TCGA-73-4666-01,6.065985,0.45729715,-1.7212408,13.19312,12.434183,2.807898,8.23428,5.4176917,6.669646,2.6522725,0.3472693,3.606059,1.7666487,2.674461,5.18796,5.554362
TCGA-17-Z058-01,6.4303656,0.81017053,-1.839503,13.363644,13.238148,2.7740812,8.255795,6.2065396,7.0775714,3.1764867,0.12496316,3.6390154,1.109269,1.6603156,5.2736554,5.471399
TCGA-MP-A4TD-01,6.503066,0.95924515,-2.200357,13.190263,12.724427,2.5330238,8.197145,5.928544,7.2921042,3.4470234,0.3871062,3.6096473,1.3916159,2.431984,5.298539,5.514774
TCGA-17-Z054-01,6.172144,0.7561037,-1.7261701,13.2421055,13.226365,2.6977093,8.385029,6.2121053,7.218257,3.1455407,0.16834767,3.7405407,1.0481575,1.6795481,5.364922,5.655171
TCGA-62-8402-01,6.53407,0.975575,-2.1565125,13.180629,12.719558,2.587741,8.170612,5.9190006,7.219565,3.3863726,0.3514479,3.5772684,1.4334825,2.4565132,5.3199615,5.471147
TCGA-55-7573-01,6.287031,0.84024286,-1.8836467,13.159309,12.858606,2.8517907,8.29498,5.9435477,7.1001854,2.9892104,0.22981544,3.5078273,1.020698,1.6136845,5.3942885,5.856259
TCGA-62-8395-01,6.9762325,0.7201315,-1.7291017,14.894567,12.404727,2.6221879,8.31406,5.5460134,6.9123726,3.3860831,0.44895485,3.406197,1.3110132,2.0876794,5.6720376,5.3797
TCGA-L9-A443-01,6.435541,0.45290524,-2.1736639,13.060678,11.668434,2.8833086,8.303253,5.209312,6.6425867,2.500185,0.06309497,2.9773855,1.4039658,2.0819285,5.038294,6.0203433
TCGA-78-7155-01,6.336489,0.23469035,-1.9456822,13.877235,11.873777,2.8089144,8.210423,4.989182,6.4759574,2.3669033,0.16918351,3.0237048,1.9108949,2.5317674,5.244244,5.7038827
TCGA-75-6205-01,6.1924677,0.50807714,-1.6603887,13.053816,12.440853,2.943874,8.215274,5.5656676,6.937423,2.9060535,0.5232461,3.7116022,1.3182468,2.0132747,5.067169,5.7062383
TCGA-62-A46P-01,6.7850795,0.6910286,-1.6582221,14.74362,12.457864,2.6354468,8.256663,5.5965347,6.930874,3.3308737,0.44298875,3.4935558,1.3356757,2.0637307,5.6662183,5.5542026
TCGA-17-Z047-01,6.5059147,0.6923991,-1.6608878,13.428349,13.193078,2.5972807,8.433934,6.0802803,7.0862064,3.2362537,0.14054458,3.8135848,1.0394948,1.6041142,5.369646,5.87194
TCGA-MP-A4TE-01,6.9089155,1.0525925,-2.1522439,14.047552,12.808186,2.4281719,8.246226,5.8375893,7.5330186,3.5949912,0.5061715,3.6094115,1.2832836,2.0922163,5.5561776,5.5707846
TCGA-78-8640-01,6.091202,0.42709312,-1.8483536,13.313604,12.280042,2.7344615,8.299019,5.278076,6.830174,2.577279,0.33521608,3.4823518,1.8184568,2.5269706,5.1947293,5.582317
TCGA-50-5051-01,6.614029,0.67573446,-2.464347,13.705946,12.504381,2.778646,7.806565,5.400831,6.754223,2.6563225,0.13112639,3.1696448,1.9495966,2.7102358,5.1749697,5.169772
TCGA-97-7938-01,7.3585167,0.4020834,-1.8986071,14.048529,12.510916,2.5197792,8.2110405,5.65707,6.5034595,3.2676945,-0.13822371,3.6108568,0.75812614,1.5220731,5.2851825,6.189984
TCGA-50-8460-01,6.8012185,0.48828828,-1.695182,13.850168,12.779901,2.5190263,8.288615,5.869033,6.86339,3.3103874,0.067115866,3.861676,0.76265854,1.4649433,5.359742,6.127983
TCGA-86-7953-01,6.5931373,0.259311,-2.4012167,13.128074,12.01847,3.0428693,8.015762,4.8708653,6.8921223,2.4781296,0.4293309,3.0850673,1.291521,2.2133105,4.9547153,5.8873754
TCGA-05-4398-01,6.204365,0.0733246,-2.1932316,13.801204,12.359833,2.4347434,8.081558,5.845586,7.1067452,3.2826908,0.35527217,3.5352085,1.4198351,2.7901206,4.9737325,5.6014986
TCGA-75-6214-01,6.036784,0.10031775,-2.103478,13.535141,12.201268,2.8737328,8.038691,5.216231,6.5639396,2.3817344,0.34175012,3.3070374,1.9597516,2.8156798,4.887033,5.4748054
TCGA-95-A4VP-01,6.9288187,1.0009058,-2.2862027,13.491324,12.599592,2.91838,7.535605,5.784926,7.123412,3.2923691,0.3478192,3.196827,1.330459,2.1958952,5.325127,5.670777
TCGA-62-8397-01,6.3785567,0.6490378,-1.6025664,13.343958,12.964059,2.4447694,8.367041,6.02579,7.0735197,3.3790503,0.2481583,4.0820904,1.1450969,2.0691614,5.33286,5.79143
TCGA-64-1680-01,7.050175,0.81392014,-1.6458939,14.097767,12.8104315,2.8037777,7.68327,5.8642335,7.2172284,3.8064828,0.6899221,3.651518,1.4116488,2.230504,5.365405,5.4833784
TCGA-97-A4M6-01,7.173141,0.33536828,-1.6309249,13.749,12.994816,2.7402403,8.01228,5.6184855,6.681988,3.114441,0.15542975,3.6060102,1.280373,1.7161832,5.183176,6.2296495
TCGA-L9-A444-01,6.4427314,0.43488622,-2.1840549,13.02521,11.671479,2.93203,8.225769,5.0936027,6.672359,2.4678063,0.15342455,2.9846509,1.4995953,2.1650953,5.0145044,6.00098
TCGA-49-6744-01,6.502142,0.7399872,-1.8252201,13.522275,12.981083,2.726409,8.170957,6.1175694,6.9299684,3.2621264,0.09333923,3.8673024,1.1259371,1.4081593,5.0669146,5.5478554
TCGA-MP-A4T6-01,6.374081,0.93065023,-2.193978,13.281911,12.501011,2.3332431,8.543161,5.7318387,7.100565,3.2652268,0.24062444,3.7358677,1.567976,2.5155823,5.347705,5.802143
TCGA-95-7039-01,6.3007326,0.22214669,-2.361239,13.3378105,11.684131,2.8473577,8.182443,5.071558,6.593752,2.4332802,0.18315366,3.1301444,1.4057413,2.2832885,4.870002,5.8413243
TCGA-99-AA5R-01,7.423889,0.74060357,-1.8547539,14.143069,12.660843,2.4675586,8.305819,5.9106736,6.7184296,3.6332378,-0.08032554,3.8525853,0.7255343,1.4817772,5.2491875,5.3398795
TCGA-86-8669-01,6.733226,0.3799379,-2.6665614,13.569297,11.687446,2.8839633,7.8900414,4.880434,6.865691,2.5962684,0.31969452,2.9320574,1.2508519,2.0915675,4.974713,5.9594755
TCGA-50-8457-01,7.026776,0.45280942,-1.531076,13.698253,12.750949,2.6583958,8.24428,5.757261,6.6790824,3.2520976,0.03741488,3.7780688,0.9128208,1.42891,5.233178,6.054162
TCGA-55-6979-01,6.354788,0.36272502,-1.8956044,14.1142435,12.26285,2.7342825,8.304276,5.1001353,6.7407804,2.5315173,0.26582453,3.2142642,1.8690698,2.2214236,5.3090043,5.6333036
TCGA-80-5608-01,6.33985,0.63789284,-1.7077329,13.242702,12.947417,2.4526575,8.24687,5.7783384,6.8610234,3.0594122,0.13460223,4.1852264,1.565369,2.0509982,5.1033535,5.7562656
TCGA-83-5908-01,6.60653,0.26075098,-2.7015157,13.762498,12.428493,2.454312,8.300262,4.9763856,7.1633987,2.7317443,0.17217687,3.4447653,1.2603518,1.7373339,4.891884,5.9900727
TCGA-50-5066-01,6.7294464,0.640056,-1.7489848,14.7448,12.231386,2.6628125,8.310537,5.4192243,6.8496156,3.144225,0.4001743,3.3562617,1.3845904,2.0623405,5.6395493,5.5612564
TCGA-73-4659-01,6.88389,0.82343554,-2.4575515,13.535293,12.353858,2.9022083,7.5264626,5.4319654,7.0688405,3.0766006,0.40938273,3.1251411,1.4952469,2.2889788,5.1641526,5.743163
TCGA-17-Z015-01,6.0092173,0.78647774,-1.6990013,13.130528,13.166832,2.9011273,8.321485,6.1748495,7.160496,2.940807,0.17814729,3.5387063,1.1388164,1.5670068,5.363122,5.693567
TCGA-17-Z017-01,6.112248,0.7717815,-1.9423305,13.199731,13.293569,2.7062483,8.307757,6.061663,7.2634377,2.9588952,0.19314773,3.6453295,1.2695502,1.6856563,5.2666125,5.7320566
TCGA-17-Z050-01,6.065611,0.7709754,-1.7676736,13.193979,13.359714,2.7812984,8.396061,6.2161746,7.287525,3.025574,0.226702,3.6271312,1.1189344,1.6285117,5.3584657,5.689234
TCGA-05-4426-01,6.9446635,0.70559835,-2.050162,14.5513525,12.8145275,2.5211709,8.034038,5.7912793,7.349942,3.5856159,0.43950042,3.5370288,0.8348004,1.9075946,5.672464,5.6677322
TCGA-55-7227-01,6.874354,1.1054068,-1.8988422,12.980805,12.75387,2.766003,8.202214,6.030003,6.973497,3.3860755,0.19002667,3.4807637,1.0267296,1.8802915,5.4599247,5.92818
TCGA-69-8253-01,7.066549,0.428292,-1.4891655,13.644328,13.0174055,2.8221135,8.045503,5.707684,6.752719,3.1474962,0.23359618,3.5219474,1.2857265,1.786758,5.295144,6.199155
TCGA-50-5942-01,7.096317,0.8061984,-1.8728532,14.380567,12.836117,2.5429752,8.084102,5.931863,7.0135555,3.6752005,0.28008962,3.82369,1.0968722,1.8870602,5.3090377,5.1635833
TCGA-49-4490-01,6.6433945,0.7326848,-2.512116,13.228533,12.052093,2.5167425,8.287363,5.3315988,7.026543,3.063544,0.2778007,3.2705305,1.634674,3.068251,5.271179,5.531512
TCGA-55-8513-01,7.6255674,0.6689626,-1.6494234,14.37016,12.672885,2.4162593,8.484046,5.7606854,6.6463976,3.5967422,-0.06331994,3.7529473,0.60100496,1.5283971,5.50919,5.4452386
TCGA-MP-A4T8-01,6.900202,1.0493875,-2.2954924,13.386475,12.644092,2.7153277,7.8290634,6.005094,7.0895348,3.4961286,0.23399828,3.3810444,1.2647814,2.3169203,5.3187056,5.460434
TCGA-86-7711-01,7.019415,0.27991506,-2.3444285,13.650434,11.889619,3.0539446,7.7692614,5.0464115,6.4025316,2.4222448,-0.084813744,2.565183,1.5174148,2.0701287,5.0439224,6.0433755
TCGA-55-6969-01,6.246057,0.56792486,-1.7883018,13.455166,12.113902,2.768003,8.264346,5.2504888,6.5906386,2.6435678,0.272754,3.2998354,2.0029404,2.8631382,5.374049,5.5388274
TCGA-17-Z043-01,5.9830046,0.79511243,-1.7560581,13.208879,13.26418,2.76652,8.3643055,6.154403,7.3367224,3.006268,0.30064163,3.6821125,1.1847682,1.7483643,5.3698106,5.599289
TCGA-17-Z048-01,6.2669444,0.7740745,-1.7437497,13.325562,13.339136,2.7406044,8.39883,6.1973686,7.244763,3.1209931,0.20205598,3.6017168,1.0358299,1.6472144,5.4447584,5.736123
TCGA-J2-A4AG-01,6.9378266,0.6257443,-1.5968539,13.636975,12.768626,2.6262128,8.284126,5.8861613,6.7449102,3.314623,-0.017507248,3.8942897,0.85694176,1.2887297,5.2176647,5.846788
TCGA-55-1596-01,6.270161,0.72249943,-1.842109,13.360809,12.144932,2.6307518,8.394114,5.353306,6.661855,2.7896962,0.2135808,3.4024813,1.9802119,2.8578992,5.413245,5.577228
TCGA-86-7714-01,7.3313413,0.49005944,-1.5837482,13.915103,12.87648,2.5408132,8.323238,5.833384,6.7663455,3.5264273,0.08602051,3.8495088,0.6107541,1.4459786,5.3342705,5.952704
TCGA-44-6774-01,7.238842,0.6895068,-1.7981802,13.788809,12.381693,2.4224098,8.500561,5.6453805,6.7706084,3.4058602,-0.07201213,3.8152266,0.5918442,1.4266862,5.367816,5.658048
TCGA-55-7910-01,6.671725,0.5802315,-2.4086118,13.454815,11.768941,2.7829313,8.130877,5.2202787,6.8588233,2.7669342,0.1377811,3.074057,1.0007137,1.9908178,5.2628665,5.8796916
TCGA-62-A46S-01,6.9637647,0.97732913,-2.221017,13.613034,12.491714,2.8312082,7.6462555,6.0063925,6.963349,3.5444946,0.260853,3.3072262,1.2203702,2.493464,5.341819,5.282286
TCGA-35-4122-01,6.2868867,0.61916256,-2.274568,13.333535,11.917899,2.4824607,8.520982,5.2948465,6.671479,2.739095,0.066287465,3.3893044,1.7628865,2.6500988,5.1278543,5.637144
TCGA-86-8279-01,6.4927034,-0.025138414,-2.2897015,13.270658,12.136552,3.0844228,7.824127,5.1275916,6.444072,2.3625002,0.18773043,2.9872518,1.549438,2.5398796,4.7378116,5.8737655
TCGA-17-Z045-01,5.9851108,0.81127864,-1.7565095,13.244348,13.251514,2.8080122,8.358355,6.1293125,7.2164235,2.8805141,0.21963736,3.5708792,1.2987039,1.6939214,5.382627,5.654697
TCGA-55-A4DG-01,6.5494356,0.4215646,-2.2810993,13.681836,11.710758,2.8823147,8.229417,4.8434973,6.6711383,2.36702,0.21396518,2.8765182,1.5391921,2.0997846,5.2451477,5.932301
TCGA-55-8299-01,6.604199,0.5109475,-2.284374,13.34605,11.7800665,2.8643548,8.178361,5.0554934,6.845281,2.632751,0.21068026,3.127142,1.1146877,1.745574,5.147766,6.0537443
TCGA-49-4507-01,6.600484,0.6250438,-2.3687093,13.819834,12.628871,2.754982,7.824084,5.4019294,6.7064304,2.6191645,0.11753038,3.2911718,2.0140631,2.571631,5.1360483,5.1949873
TCGA-L4-A4E5-01,5.9061613,0.09915012,-1.8772225,13.627349,12.317424,2.7598596,8.090167,5.4800053,6.6194644,2.6163309,0.34432063,3.6779675,1.6701212,2.5277982,4.887356,5.5045395
TCGA-44-3398-01,7.4983,0.6871481,-2.0104547,13.958255,12.498266,2.4841936,8.275024,5.838012,6.759937,3.6561644,-0.12378086,3.7831252,0.5568673,1.4950523,5.156489,5.3679075
TCGA-62-A470-01,6.925372,0.95643127,-2.284306,13.528615,12.44777,2.8116932,7.701782,5.959774,6.9352016,3.463303,0.22962193,3.248269,1.2993387,2.6265535,5.3262153,5.270606
TCGA-64-1679-01,6.2924314,0.82180494,-2.1371715,13.2595825,12.114242,2.4602482,8.536569,5.409466,6.837699,2.924753,0.18275034,3.4596467,1.8810922,2.798315,5.336712,5.6659107
TCGA-62-A46R-01,6.3233843,0.43280533,-1.8151171,14.253884,12.545171,2.4289079,8.172111,5.8590417,7.032307,3.4216764,0.3460868,3.7994235,1.0599618,2.565075,5.488255,5.4325066
TCGA-38-4627-01,6.668451,0.6901435,-1.5877501,13.607033,12.899523,2.599784,8.310496,6.0113945,6.889492,3.3073726,0.04720903,3.9823346,0.87846595,1.3357302,5.2692003,5.7796516
