Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-97-8552-01,11.16286,4.1270576,4.635388,4.6620145,3.6726987,4.6223044,4.6475368,5.438074,6.0782127,5.884246,5.3228445,4.5154176,4.526308,4.9262443,5.2336206,7.1809397,5.5192,4.4203553,5.0092854,4.1669197,5.652781,4.399485,6.273579,4.5202436,4.860212,5.0106606,5.918984,5.463934,7.045916,2.518472,5.58391,5.507122,3.6508975,4.100669,5.4364786,4.623086,4.391483,5.8617935,4.45791,5.4563074,4.371572,4.6407332,5.2726316,6.18354,8.687255,4.8694186,5.0206084,4.135104,3.461272,4.9113517,4.1690702,4.782927,4.3224177,6.688779,4.999219,5.1879277,4.189065,5.0248437,4.174282,3.5635934,5.483454,5.473787,5.154707,3.7363524
TCGA-73-4668-01,5.4982357,6.1677904,4.9766326,4.8644624,4.963524,5.6571827,5.0415163,5.0881524,6.862716,5.298823,6.41174,4.9006624,6.122221,4.289304,4.6515203,7.693056,7.065181,3.7662652,5.9489164,4.0214634,6.2394915,5.207433,5.207223,5.0592475,4.946191,6.553747,4.6172476,4.968204,6.5584974,4.700871,6.418258,7.3992157,4.5560966,3.6767359,4.6459756,5.74727,5.4895353,5.5732503,5.5855336,5.1797476,3.8137784,4.3167677,6.3167014,5.9202304,6.9234543,4.8066382,7.940719,3.6782932,5.070278,4.8904686,5.134184,6.121521,6.2985163,3.9689353,5.10412,4.069768,2.760989,5.7545714,3.7835543,4.082407,6.2144175,5.915982,4.2551875,4.1706405
TCGA-62-A470-01,9.578281,4.490896,4.6838894,5.0041447,3.9606893,4.803365,4.808152,5.267323,6.422613,5.7300773,5.3504906,4.767866,4.9272237,4.80032,5.167909,7.4176764,5.640946,4.262165,5.03493,4.044255,5.876997,4.3136525,6.043058,4.676239,5.0551043,5.394751,5.5391245,5.376815,6.816677,3.2626665,5.9788156,6.1498404,4.037624,3.9448144,5.399422,5.0124683,4.844623,5.942226,5.164193,5.6074467,4.104758,4.621212,5.4304953,6.0594125,8.066585,4.9240937,6.112967,3.9661283,3.837403,5.086709,4.313188,5.4286795,5.0253854,5.507768,4.831985,4.8574495,3.7638443,5.508931,4.2537427,3.6513073,5.8740187,5.542351,4.829247,3.710679
TCGA-97-7546-01,7.0914297,5.198002,4.8590784,5.1379642,4.4095597,5.0667577,4.9948397,5.1615505,6.7204347,5.561719,5.720777,4.8651586,5.6860857,4.5940566,4.9776573,7.3726697,6.450728,3.9942765,5.3085938,3.8812237,6.1332974,4.6866984,5.482089,5.0378175,5.0376344,5.9296246,4.998885,5.1567497,6.697628,4.3323336,6.218847,6.870562,4.471774,3.6285198,5.1372676,5.61963,5.338598,5.7101736,5.7780013,5.4961834,3.954886,4.52932,5.951286,5.9479046,7.359287,4.779963,7.3981338,3.8154738,4.6671214,5.1460023,4.7160044,6.036413,5.9456997,4.002828,4.913056,4.2192955,3.1323168,5.7401066,4.1723313,3.7739182,6.2358074,5.6738825,4.504596,3.8994956
TCGA-44-3918-01,4.6449842,6.949792,5.0069714,4.923558,5.412348,5.915645,5.0005865,4.9672723,6.9835777,5.4305162,6.6647587,4.918917,6.1941333,4.21618,4.422956,7.7485228,7.181801,3.7611985,6.012053,4.1759224,6.1711125,5.4345145,5.1237674,5.274663,4.8527803,6.694684,4.42344,4.6513476,6.421458,4.7707953,6.3839583,7.6861115,4.500061,3.8568273,4.4245667,5.646803,5.459645,5.6219044,5.267144,5.004709,3.920129,4.202012,6.415403,5.916748,6.88663,4.691569,7.812363,3.4927964,5.127848,4.8280377,5.1276245,5.9886627,6.357772,4.163997,5.2024217,3.9665942,2.7653909,5.7054605,3.477465,4.192654,6.046498,5.940991,4.197055,4.359403
TCGA-97-A4LX-01,8.632152,4.761029,4.7367654,5.1002073,4.1402264,4.8288937,4.896893,5.175756,6.564743,5.7123604,5.4124885,4.817162,5.267932,4.764711,5.1327806,7.341768,5.8506756,4.1436176,5.052649,4.007074,5.970515,4.3982606,5.843892,4.8691554,5.136721,5.6050167,5.326193,5.300401,6.755377,3.7381625,6.0875297,6.3986354,4.2346425,3.7576308,5.3333864,5.243401,5.0129666,5.8761597,5.4276876,5.612985,4.006903,4.5649242,5.5838165,6.0060606,7.7198586,4.91082,6.6244698,3.8674996,4.1584616,5.164527,4.445617,5.713224,5.4145346,4.8158035,4.7933626,4.601381,3.5400157,5.6489406,4.2489886,3.6591234,6.042617,5.5537457,4.63703,3.744417
TCGA-55-8616-01,5.9768143,5.777771,4.963696,4.800976,4.7063437,5.5038505,5.013303,5.126391,6.8422475,5.332566,6.297728,4.8813114,6.0961285,4.3166757,4.750172,7.6655855,6.986853,3.7751753,5.8953934,3.987495,6.3176885,5.0593376,5.2535005,4.9706707,4.963466,6.4294553,4.7952924,5.0478253,6.6582065,4.596031,6.406611,7.290355,4.5712357,3.682319,4.7923074,5.8204756,5.5099096,5.5703206,5.7362733,5.2142982,3.773798,4.4448776,6.24078,5.904232,6.991323,4.903421,7.998558,3.7541351,4.9959993,4.9202957,5.1269336,6.195206,6.2196236,3.8750892,5.0677915,4.132862,2.808391,5.7362924,3.878539,4.0255203,6.2938967,5.9480515,4.263231,4.094007
TCGA-44-A4SS-01,5.866966,5.8495703,5.019695,4.7904234,4.7236757,5.548914,4.982211,5.065653,6.862723,5.369799,6.3485317,4.8562026,6.097801,4.2828827,4.6921887,7.646906,7.0927224,3.7460525,5.933471,4.0440993,6.3310294,5.078556,5.2304792,5.031999,4.8729725,6.4870996,4.8425517,5.036367,6.647543,4.5877643,6.3851314,7.3095336,4.5993485,3.7249036,4.740182,5.818147,5.5107017,5.5667195,5.74056,5.126686,3.7752259,4.338497,6.2178774,5.911599,6.985818,4.89672,7.983818,3.7447116,5.033682,4.9017677,5.147828,6.1794662,6.234385,3.9123662,5.075954,4.0622516,2.8234966,5.747601,3.8164148,4.0543613,6.2473187,5.9714575,4.2476745,4.0270004
TCGA-44-5643-01,9.489806,4.4928885,4.678842,5.0148683,3.9836876,4.7858214,4.8537426,5.2436748,6.471245,5.7311854,5.3789134,4.7530794,5.019024,4.801469,5.1865454,7.399216,5.6633673,4.224219,5.0053573,4.0410757,5.8713403,4.3275213,6.0483465,4.737416,5.0520926,5.407572,5.4770904,5.339259,6.8012466,3.3147368,5.9633756,6.15245,4.0749526,3.931968,5.409386,5.0605283,4.873267,5.9635053,5.2116146,5.6189094,4.0980854,4.647123,5.4478264,6.058223,8.008187,4.940399,6.17314,3.9453201,3.8858624,5.0977173,4.3016686,5.461211,5.0924582,5.4013486,4.7839184,4.8132343,3.7376287,5.508479,4.230802,3.6449566,5.8945007,5.524874,4.7673597,3.7349243
TCGA-44-3919-01,10.701582,4.16522,4.6207213,4.7576885,3.7186522,4.5733194,4.7831182,5.403033,6.182463,5.875116,5.3290615,4.54457,4.581107,4.996462,5.255347,7.18671,5.491787,4.3589907,4.8677197,4.1924977,5.673345,4.353256,6.294872,4.6132307,4.9351263,5.1074877,5.8213153,5.4169555,6.972664,2.5558765,5.6415644,5.6071806,3.7769017,4.1534157,5.480261,4.743513,4.508407,5.965848,4.608732,5.559373,4.294091,4.738751,5.2223525,6.1377788,8.584098,4.977279,5.2405295,4.0720677,3.4604871,5.0276246,4.1630907,4.880909,4.5638623,6.464981,4.8675184,5.0567374,4.13188,5.103813,4.1661987,3.6275306,5.5389876,5.42959,5.009119,3.7216215
