run,k,silhouette,davies_bouldin,db_custom,calinski_harabasz,dunn,method,dim,entropy
0,7,0.3253676897371316,1.3482547511462595,0.9886932748184434,1098.7363176284332,0.0028828435229122738,POME_KNN_Leiden,16,0.9899993467846883
0,7,0.26817625634756165,1.2648192287094442,1.1609167445831918,1557.6397572908913,0.020208669122343065,UMAP_KNN_Leiden,16,0.9897482843761565
1,9,0.47003031198022793,0.8021559240307928,0.42784458132520276,9475.118643300006,3.41008451107938e-05,POME_KNN_Leiden,16,0.9732559009701633
1,8,0.2631090019373123,1.1871809691744395,1.2022035804135567,1275.7910847642756,0.015412533311903264,UMAP_KNN_Leiden,16,0.973092641232628
2,7,0.4697118527990425,0.841421171385791,0.46512333725775734,7525.665803227375,4.005978569211618e-05,POME_KNN_Leiden,16,0.99095253678693
2,8,0.266213346535403,1.189600917594937,1.185284877694306,1524.3690879153114,0.012047530131988766,UMAP_KNN_Leiden,16,0.9775026905566845
3,10,0.5464175531348414,0.7104994408251788,0.3328171510663321,12325.468457427727,1.0101336632811895e-07,POME_KNN_Leiden,16,0.9711490535508479
3,8,0.26536527012523076,1.1940143537545256,1.1832010418419754,1468.6447365302076,0.012765814025387207,UMAP_KNN_Leiden,16,0.9777235831600395
4,7,0.26849418889059423,1.2356690701924706,0.8960501458379578,1227.831385841811,0.0002720927841301111,POME_KNN_Leiden,16,0.9961044483220367
4,8,0.26269181971555666,1.1931166654099084,1.1275223835998738,1571.743934975035,0.01913641066170435,UMAP_KNN_Leiden,16,0.9746943985004305
5,8,0.4521678312859186,0.9594083743071871,0.5396992322741317,3072.991865959031,0.00031199925336090434,POME_KNN_Leiden,16,0.9962246460616669
5,8,0.2610490506638639,1.1830611821590131,1.1761752847174334,1469.390119451934,0.016691062299886154,UMAP_KNN_Leiden,16,0.9753198973502437
6,8,0.5692433401626339,0.6631415424080862,0.27088643896528297,16053.46162116995,0.0001373042839771081,POME_KNN_Leiden,16,0.9680533198168314
6,8,0.2716118929155801,1.2250473164232019,1.1436908679187643,1647.87814226077,0.017375559566596595,UMAP_KNN_Leiden,16,0.9839493141051526
7,8,0.38440100074225997,1.117383976544173,0.7158955804245797,2403.2883051663507,0.000541584151463131,POME_KNN_Leiden,16,0.9900394346888568
7,8,0.2528328326387983,1.3198369592329748,1.1368909689173616,1470.9780988380844,0.013640961047700255,UMAP_KNN_Leiden,16,0.9948114338639634
8,7,0.24033381720965608,1.4351325182520458,1.1316179805547864,831.0803359167022,0.0018672946137997457,POME_KNN_Leiden,16,0.9919529640143009
8,8,0.2650552966985227,1.187688940995604,1.1564834267677748,1383.2618350093123,0.021597109282692758,UMAP_KNN_Leiden,16,0.977579291021199
9,5,0.32106014437517316,1.3963443060959637,1.0680758637703691,1079.75598384603,0.002611810377921889,POME_KNN_Leiden,16,0.9894705837542516
