run,dim,method,K,jaccard_index,dataset
1,32,PCA,50,0.4827527215835321,HANCOCK
1,32,tSNE,10,0.4564535472147189,HANCOCK
1,32,tSNE,30,0.48818229040998573,HANCOCK
1,32,tSNE,50,0.5125062695339377,HANCOCK
2,32,UMAP,10,0.4259129024080393,HANCOCK
2,32,UMAP,30,0.48811902647090954,HANCOCK
2,32,UMAP,50,0.5092918635547549,HANCOCK
2,32,PCA,10,0.19648666819683946,HANCOCK
2,32,PCA,30,0.2973853524051968,HANCOCK
2,32,PCA,50,0.35669956829537025,HANCOCK
2,32,tSNE,10,0.48462972219915845,HANCOCK
2,32,tSNE,30,0.513249693157012,HANCOCK
2,32,tSNE,50,0.5193996183046817,HANCOCK
3,32,UMAP,10,0.5319098238951839,HANCOCK
3,32,UMAP,30,0.5286713768056857,HANCOCK
3,32,UMAP,50,0.5224855207810375,HANCOCK
3,32,PCA,10,0.324105899902515,HANCOCK
3,32,PCA,30,0.40698657103619174,HANCOCK
3,32,PCA,50,0.46177581122962774,HANCOCK
3,32,tSNE,10,0.6251234875615579,HANCOCK
3,32,tSNE,30,0.611600748334049,HANCOCK
3,32,tSNE,50,0.592491088366894,HANCOCK
4,32,UMAP,10,0.42355747364795887,HANCOCK
4,32,UMAP,30,0.4459240668352555,HANCOCK
4,32,UMAP,50,0.4556099763587287,HANCOCK
4,32,PCA,10,0.1490622026026917,HANCOCK
4,32,PCA,30,0.24651607159214145,HANCOCK
4,32,PCA,50,0.29368560535853083,HANCOCK
4,32,tSNE,10,0.4727959972757071,HANCOCK
4,32,tSNE,30,0.47559440490743926,HANCOCK
4,32,tSNE,50,0.47719047455513597,HANCOCK
5,32,UMAP,10,0.533004290781762,HANCOCK
5,32,UMAP,30,0.555107441728184,HANCOCK
5,32,UMAP,50,0.567423501308221,HANCOCK
5,32,PCA,10,0.5062499730859107,HANCOCK
5,32,PCA,30,0.5812896592126949,HANCOCK
5,32,PCA,50,0.6351447473415004,HANCOCK
5,32,tSNE,10,0.6057995879814999,HANCOCK
5,32,tSNE,30,0.6241736533408069,HANCOCK
5,32,tSNE,50,0.6297444890017381,HANCOCK
6,32,UMAP,10,0.3922194556666598,HANCOCK
6,32,UMAP,30,0.48276434980621885,HANCOCK
6,32,UMAP,50,0.5330785855814797,HANCOCK
6,32,PCA,10,0.36493595163340214,HANCOCK
6,32,PCA,30,0.5321213431492885,HANCOCK
6,32,PCA,50,0.617384060057278,HANCOCK
6,32,tSNE,10,0.4348349187737864,HANCOCK
6,32,tSNE,30,0.5006144555066395,HANCOCK
6,32,tSNE,50,0.5466822645021174,HANCOCK
7,32,UMAP,10,0.45353574893966614,HANCOCK
7,32,UMAP,30,0.4790110936461212,HANCOCK
7,32,UMAP,50,0.49750559025871494,HANCOCK
7,32,PCA,10,0.20899421179296526,HANCOCK
7,32,PCA,30,0.3015251624403041,HANCOCK
7,32,PCA,50,0.3622022290072807,HANCOCK
7,32,tSNE,10,0.5183634347376136,HANCOCK
7,32,tSNE,30,0.5146474616672664,HANCOCK
7,32,tSNE,50,0.521592200754868,HANCOCK
8,32,UMAP,10,0.37455832400323963,HANCOCK
8,32,UMAP,30,0.4214095632614782,HANCOCK
8,32,UMAP,50,0.46811147201887804,HANCOCK
8,32,PCA,10,0.33469887703522244,HANCOCK
8,32,PCA,30,0.4846532102888491,HANCOCK
8,32,PCA,50,0.5691851561258329,HANCOCK
8,32,tSNE,10,0.4142833457783001,HANCOCK
8,32,tSNE,30,0.4332789647861474,HANCOCK
8,32,tSNE,50,0.4752709250551479,HANCOCK
9,32,UMAP,10,0.4847634926261742,HANCOCK
9,32,UMAP,30,0.5603145892990345,HANCOCK
9,32,UMAP,50,0.6023983262978966,HANCOCK
9,32,PCA,10,0.26224029673932087,HANCOCK
9,32,PCA,30,0.38301370885424935,HANCOCK
9,32,PCA,50,0.46943192156079433,HANCOCK
9,32,tSNE,10,0.5695446111911587,HANCOCK
9,32,tSNE,30,0.6111483324757389,HANCOCK
9,32,tSNE,50,0.6516630697200771,HANCOCK
0,64,UMAP,10,0.3800367589630276,HANCOCK
0,64,UMAP,30,0.4005440100278112,HANCOCK
0,64,UMAP,50,0.39817860123222454,HANCOCK
0,64,PCA,10,0.10082118431513235,HANCOCK
0,64,PCA,30,0.16597635236762012,HANCOCK
0,64,PCA,50,0.21113526070427047,HANCOCK
0,64,tSNE,10,0.4377423243425946,HANCOCK
0,64,tSNE,30,0.4238213680461222,HANCOCK
0,64,tSNE,50,0.40975773732807075,HANCOCK
1,64,UMAP,10,0.35830325777738836,HANCOCK
1,64,UMAP,30,0.405402456091952,HANCOCK
1,64,UMAP,50,0.4210159876815675,HANCOCK
1,64,PCA,10,0.08257859099513964,HANCOCK
1,64,PCA,30,0.14438022205591897,HANCOCK
1,64,PCA,50,0.18839904651247655,HANCOCK
1,64,tSNE,10,0.41721852029156986,HANCOCK
1,64,tSNE,30,0.43094463136350936,HANCOCK
1,64,tSNE,50,0.429103471931202,HANCOCK
2,64,UMAP,10,0.384208904230288,HANCOCK
2,64,UMAP,30,0.4279114076828784,HANCOCK
2,64,UMAP,50,0.4466432822374228,HANCOCK
2,64,PCA,10,0.10990281910533158,HANCOCK
2,64,PCA,30,0.20268046994113173,HANCOCK
2,64,PCA,50,0.24692039257235104,HANCOCK
2,64,tSNE,10,0.42418116618762597,HANCOCK
2,64,tSNE,30,0.4472953104993376,HANCOCK
2,64,tSNE,50,0.44580714349004386,HANCOCK
3,64,UMAP,10,0.4297539649113403,HANCOCK
3,64,UMAP,30,0.4419653442961538,HANCOCK
3,64,UMAP,50,0.4332589289513111,HANCOCK
3,64,PCA,10,0.10955247901634375,HANCOCK
3,64,PCA,30,0.1669039134622673,HANCOCK
3,64,PCA,50,0.21183016190853232,HANCOCK
3,64,tSNE,10,0.48100142000502727,HANCOCK
3,64,tSNE,30,0.453472922215674,HANCOCK
3,64,tSNE,50,0.44455561394924664,HANCOCK
4,64,UMAP,10,0.4059655154445557,HANCOCK
4,64,UMAP,30,0.43960592467755083,HANCOCK
4,64,UMAP,50,0.44639611907393306,HANCOCK
4,64,PCA,10,0.09025806090614633,HANCOCK
4,64,PCA,30,0.1614012848037058,HANCOCK
4,64,PCA,50,0.21704548290042952,HANCOCK
4,64,tSNE,10,0.45539095003284347,HANCOCK
4,64,tSNE,30,0.46060163549529415,HANCOCK
4,64,tSNE,50,0.4559088342003662,HANCOCK
5,64,UMAP,10,0.4095385823045501,HANCOCK
5,64,UMAP,30,0.43288565686283403,HANCOCK
5,64,UMAP,50,0.4254864794837472,HANCOCK
5,64,PCA,10,0.08324637163362417,HANCOCK
5,64,PCA,30,0.13869831824032444,HANCOCK
5,64,PCA,50,0.17898110039455767,HANCOCK
5,64,tSNE,10,0.4514375515383838,HANCOCK
5,64,tSNE,30,0.4400049619096644,HANCOCK
5,64,tSNE,50,0.4261658027072834,HANCOCK
6,64,UMAP,10,0.4657555957003307,HANCOCK
6,64,UMAP,30,0.46199669867828014,HANCOCK
6,64,UMAP,50,0.4602467395572164,HANCOCK
6,64,PCA,10,0.15796335856470003,HANCOCK
6,64,PCA,30,0.22795280950273394,HANCOCK
6,64,PCA,50,0.28151115601475846,HANCOCK
6,64,tSNE,10,0.5337619128515014,HANCOCK
6,64,tSNE,30,0.4907981726484762,HANCOCK
6,64,tSNE,50,0.5103603564960749,HANCOCK
7,64,UMAP,10,0.4116604609515921,HANCOCK
7,64,UMAP,30,0.41923499304842826,HANCOCK
7,64,UMAP,50,0.4201706715242706,HANCOCK
7,64,PCA,10,0.10976042445940883,HANCOCK
7,64,PCA,30,0.16306907199628404,HANCOCK
7,64,PCA,50,0.20358363900107257,HANCOCK
7,64,tSNE,10,0.46193546926761503,HANCOCK
7,64,tSNE,30,0.44240204952354284,HANCOCK
7,64,tSNE,50,0.4354971151623485,HANCOCK
8,64,UMAP,10,0.3713956678129793,HANCOCK
8,64,UMAP,30,0.38350624620158363,HANCOCK
8,64,UMAP,50,0.38616741562142065,HANCOCK
8,64,PCA,10,0.11260672848668742,HANCOCK
8,64,PCA,30,0.17982223322768434,HANCOCK
8,64,PCA,50,0.22797022444943935,HANCOCK
8,64,tSNE,10,0.42074084014505764,HANCOCK
8,64,tSNE,30,0.3978989965559127,HANCOCK
8,64,tSNE,50,0.3951276562452856,HANCOCK
9,64,UMAP,10,0.42726450043988357,HANCOCK
9,64,UMAP,30,0.42753128818888736,HANCOCK
9,64,UMAP,50,0.4471918634118495,HANCOCK
9,64,PCA,10,0.14057105397910188,HANCOCK
9,64,PCA,30,0.20863615170904,HANCOCK
9,64,PCA,50,0.25893413355439193,HANCOCK
9,64,tSNE,10,0.47882631130787945,HANCOCK
9,64,tSNE,30,0.47229992063286375,HANCOCK
9,64,tSNE,50,0.47672012472357933,HANCOCK
0,16,UMAP,10,0.2293913660400777,MIMIC
0,16,UMAP,30,0.2626419323538863,MIMIC
0,16,UMAP,50,0.28291710513884283,MIMIC
0,16,PCA,10,0.04877484633299026,MIMIC
0,16,PCA,30,0.08799740967278227,MIMIC
0,16,PCA,50,0.1141440474454163,MIMIC
0,16,tSNE,10,0.35924688863400717,MIMIC
0,16,tSNE,30,0.32693323566977067,MIMIC
0,16,tSNE,50,0.32846913000797917,MIMIC
1,16,UMAP,10,0.5230344470619206,MIMIC
1,16,UMAP,30,0.5316184528189936,MIMIC
1,16,UMAP,50,0.5322968130301872,MIMIC
1,16,PCA,10,0.4543317336160725,MIMIC
1,16,PCA,30,0.4831757327438434,MIMIC
1,16,PCA,50,0.5063535135773378,MIMIC
1,16,tSNE,10,0.6105927473819945,MIMIC
