run,dim,method,silhouette,davies_bouldin,dataset
0,16,UMAP,0.29278791901294793,1.031001225138942,HANCOCK
0,16,PCA,0.2814776762850823,0.9913458325862804,HANCOCK
0,16,tSNE,0.2895310473235104,0.9901261600305905,HANCOCK
1,16,UMAP,0.29519759487516917,0.9799952582418642,HANCOCK
1,16,PCA,0.20389064175646843,1.0955670737259593,HANCOCK
1,16,tSNE,0.2853819032843098,0.9570428570556018,HANCOCK
2,16,UMAP,0.35885159692960417,0.8879448335451956,HANCOCK
2,16,PCA,0.23668421913005744,0.9832002183671842,HANCOCK
2,16,tSNE,0.3522524112051415,0.8938711003278332,HANCOCK
3,16,UMAP,0.2764090079800229,1.0569237134981606,HANCOCK
3,16,PCA,0.24127005978121635,0.9402633855764255,HANCOCK
3,16,tSNE,0.28363673393812183,0.9671834617294925,HANCOCK
4,16,UMAP,0.24210889435450902,1.7837897020782656,HANCOCK
4,16,PCA,0.205126146091395,1.0809848570461988,HANCOCK
4,16,tSNE,0.3516771993899601,0.959208349373198,HANCOCK
5,16,UMAP,0.33348637930399944,0.9194859839921984,HANCOCK
5,16,PCA,0.24992427701118988,0.9843894751064108,HANCOCK
5,16,tSNE,0.42618307725838755,0.7688943630823352,HANCOCK
6,16,UMAP,0.2861058929847897,1.1412045042542933,HANCOCK
6,16,PCA,0.17769552136808156,1.6009635684011603,HANCOCK
6,16,tSNE,0.277875280175224,1.3316632848646004,HANCOCK
7,16,UMAP,0.283697200137822,1.351036387505671,HANCOCK
7,16,PCA,0.0447801398621091,1.4030780304033381,HANCOCK
7,16,tSNE,0.24574464932844406,1.8227246707257083,HANCOCK
8,16,UMAP,0.23246946888505737,1.0322091124220851,HANCOCK
8,16,PCA,0.18903829846850675,1.0247679987630993,HANCOCK
8,16,tSNE,0.24895551570344765,1.0075848014140778,HANCOCK
9,16,UMAP,0.2614946218012245,1.664601054095343,HANCOCK
9,16,PCA,0.1842472630312681,1.1598714029289297,HANCOCK
9,16,tSNE,0.2786825133339974,1.7659673727212277,HANCOCK
0,32,UMAP,0.26239225463450805,1.0034682373175632,HANCOCK
0,32,PCA,0.21858241616420226,1.0638111720936279,HANCOCK
0,32,tSNE,0.2528647045963413,1.0058418176275665,HANCOCK
1,32,UMAP,0.521862212407744,0.8018280563181546,HANCOCK
1,32,PCA,0.2809821647867592,1.18832876777257,HANCOCK
1,32,tSNE,0.48629943725016517,0.9096578576894853,HANCOCK
2,32,UMAP,0.4254674083580796,0.8703204973695068,HANCOCK
2,32,PCA,0.1714260189831347,1.501876968401429,HANCOCK
2,32,tSNE,0.41142293167806027,0.8756618349176788,HANCOCK
3,32,UMAP,0.2665712093007055,1.3117790537357172,HANCOCK
3,32,PCA,0.2381273881696309,1.2990738526168084,HANCOCK
3,32,tSNE,0.42110183316631017,0.7773578390430911,HANCOCK
4,32,UMAP,0.3608293731703527,1.2085608350621198,HANCOCK
4,32,PCA,0.06116412022748377,1.9102285549368774,HANCOCK
4,32,tSNE,0.3538575433181731,1.298775050147718,HANCOCK
5,32,UMAP,0.452790466915341,0.7105445637624489,HANCOCK
5,32,PCA,0.39592301694691373,0.7533319708623039,HANCOCK
5,32,tSNE,0.5240439238802728,0.627118454797563,HANCOCK
6,32,UMAP,0.35848834454151635,0.9679180253343679,HANCOCK
6,32,PCA,0.2663785008018732,0.9870525828974327,HANCOCK
6,32,tSNE,0.339537074160531,0.9647412525546827,HANCOCK
7,32,UMAP,0.3531396740203328,1.1527311782273248,HANCOCK
7,32,PCA,0.12972168685256436,1.9427800265978021,HANCOCK
7,32,tSNE,0.3249522800035106,1.1917223910087753,HANCOCK
8,32,UMAP,0.297781130318597,1.8905710227315051,HANCOCK
8,32,PCA,0.26346157290864,1.0199631578695025,HANCOCK
8,32,tSNE,0.3394619008028969,1.2886419980234858,HANCOCK
9,32,UMAP,0.4509271109770155,0.7914455132945891,HANCOCK
9,32,PCA,0.34278826288230596,0.9611470711874568,HANCOCK
9,32,tSNE,0.4438323084284017,0.8303997771742738,HANCOCK
0,64,UMAP,0.2155548502516864,3.319320440502597,HANCOCK
0,64,PCA,0.05221223313538071,1.905622168602361,HANCOCK
0,64,tSNE,0.32397951796054014,1.2427387450144705,HANCOCK
1,64,UMAP,0.2878955717249446,1.1350992742927506,HANCOCK
1,64,PCA,-0.025689927355462477,4.006858175665313,HANCOCK
1,64,tSNE,0.2831138382608211,1.0100166193351106,HANCOCK
2,64,UMAP,0.3989849650571029,0.9188474501125465,HANCOCK
2,64,PCA,0.05519709781162729,2.209460253433905,HANCOCK
2,64,tSNE,0.3811855379180481,0.9438307898672003,HANCOCK
3,64,UMAP,0.4158844683240526,1.7496942653207905,HANCOCK
3,64,PCA,-2.9155485637850034e-05,3.0435093926386285,HANCOCK
3,64,tSNE,0.40317836731594087,1.0837886190949786,HANCOCK
4,64,UMAP,0.3263449452069556,1.3725614231191188,HANCOCK
4,64,PCA,0.07053001876500348,5.543060580789017,HANCOCK
4,64,tSNE,0.3380125319306971,3.551549714689829,HANCOCK
5,64,UMAP,0.28564061267156815,1.1857157162741432,HANCOCK
5,64,PCA,0.000853128514905074,3.552316751572207,HANCOCK
5,64,tSNE,0.28929598337603835,1.1002552860560666,HANCOCK
6,64,UMAP,0.4710389605009578,1.1024069358446724,HANCOCK
6,64,PCA,0.10170904214288418,2.0742651353320527,HANCOCK
6,64,tSNE,0.4592782692297229,0.7674588338029137,HANCOCK
7,64,UMAP,0.3124665285288114,1.620830134529304,HANCOCK
7,64,PCA,-0.0013417498465238794,2.4755575821485736,HANCOCK
7,64,tSNE,0.2523219415289464,1.8744423341297736,HANCOCK
8,64,UMAP,0.24381411657404228,1.9886341544166097,HANCOCK
8,64,PCA,0.06016966739991047,2.040791706498962,HANCOCK
8,64,tSNE,0.24443825349687065,1.6464503410497389,HANCOCK
9,64,UMAP,0.3170404981980411,1.1199873580994426,HANCOCK
9,64,PCA,0.06257345428654924,4.623117278593048,HANCOCK
9,64,tSNE,0.3267951780622107,1.206559346742639,HANCOCK
0,16,UMAP,0.30619829220191624,0.9749382086746323,MIMIC
0,16,PCA,0.0702625824647293,1.6536595785362092,MIMIC
0,16,tSNE,0.273292709842434,1.07679314616071,MIMIC
1,16,UMAP,0.34014731819924127,0.9842619080583617,MIMIC
