,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95
695,-0.031297803,0.1298834,-0.056146283,-0.10126847,-0.013321665,-0.10819769,0.22103153,-0.02060005,-0.1075198,-0.06076268,0.16980179,-0.0032626805,0.06955676,0.039345413,-0.14060684,-0.07733112,-0.031802494,0.057043735,-0.13656002,-0.02989863,0.049886826,-0.036535535,-0.09025407,-0.14323188,0.08224538,-0.15364015,0.13976707,0.18318425,-0.034967974,0.14733088,0.06183493,0.14023764,0.0063224784,0.14221902,0.03642342,0.14253743,0.05817623,0.12790349,0.20090331,0.082816236,0.13406447,0.13087317,0.11192177,0.13418588,0.10268435,-0.044763934,-0.035856806,-0.14981663,0.01650472,-0.008986074,-0.13252719,0.14847071,-0.05783556,-0.078375556,-0.12849943,0.11668327,0.09958848,0.14507358,0.119067475,-0.093678735,0.110202834,0.047606993,0.08779902,0.091731586,0.083157584,-0.06873006,0.023084257,0.016800718,0.05661498,-0.09844844,-0.1409518,0.13703372,0.058044583,0.015115804,0.10461966,0.04634338,-0.012269537,0.15237993,0.17465863,-0.16260237,0.11900191,-0.10707312,0.06720753,-0.004128424,-0.044178862,-0.009989208,-0.14575443,-0.09606816,0.12833999,-0.065871336,0.020949386,0.11149004,0.04945952,0.0733422,0.002268554,-0.07186049
82,-0.019623507,0.097462416,-0.056918945,-0.22316533,-0.0948008,-0.107457116,-0.15345594,0.101114236,-0.21801369,-0.0151549615,0.10014377,0.15154728,0.087859236,-0.0064580357,-0.027507883,0.12606038,-0.16139275,0.044419754,-0.069063276,-0.054763068,0.014537035,-0.17415546,0.036957033,-0.041714396,-0.0037639712,0.18605487,-0.08531675,0.12030474,0.12479371,-0.05793356,-0.2812412,0.08569124,-0.14550978,-0.042459834,0.054263067,0.059363022,0.1894135,0.11406842,-0.15589355,0.05559767,0.037114795,0.12159046,0.08386481,0.10262456,-0.06064872,-0.0056364494,0.035340883,-0.032425385,0.10195292,-0.012950454,-0.07066883,-0.019329961,-0.05389999,-0.009428431,-0.08230223,0.10778953,0.13001911,0.075182274,0.038517315,-0.072461694,0.030656412,0.034431007,0.027657421,0.13264778,0.07045217,-0.18736534,-0.09656202,-0.055388108,-0.07012928,-0.108929105,-0.1183453,0.020676963,0.114135616,0.031327497,0.095873706,0.17787431,0.057222117,0.07363991,0.00928024,-0.116499186,0.044929553,-0.17287935,-0.1437658,-0.1750814,0.044897668,-0.06880017,-0.09811865,0.003698407,0.09374398,0.052321628,-0.041099194,0.079750516,0.025625978,-0.04021669,0.17751844,0.0016342102
327,0.02614002,0.023629557,-0.09146268,0.06653967,0.0244123,-0.112027705,0.23169817,0.021598577,0.062130604,-0.07893624,0.113275334,-0.13286015,0.055647247,-0.060553253,-0.061044335,-0.018596865,0.07582622,0.020570777,-0.093169734,-0.050427802,-0.02329702,0.06096272,-0.12560776,-0.15328993,0.079968564,-0.40245837,0.09070028,0.10061602,-0.09908017,0.048350114,0.00075560156,0.1092181,-0.16998716,0.09637903,-0.08736803,0.051470395,-0.15042269,0.05149297,0.08268013,0.17236133,0.058619633,0.08483705,0.09327238,0.1042511,-0.003257759,-0.12836151,0.06621513,0.039815735,-0.04845024,-0.034914233,-0.088430844,-0.11184726,-0.18476567,0.18003988,-0.029824235,0.07415267,0.09887591,0.13614222,0.08803388,-0.10562047,0.068246156,0.20959574,0.05284199,0.08955975,0.06065284,0.09603698,-0.0055257683,0.064412974,0.011423182,-0.10257132,-0.07960617,0.066150665,0.0327539,-0.06912435,0.08441852,-0.10211659,0.07940364,0.14103726,0.07692584,-0.092320785,0.13141285,0.15880929,0.0583773,-0.029161554,-0.13598791,-0.042182148,-0.14351723,-0.03200206,0.107934624,0.039678227,0.0604715,0.056769606,0.04281475,0.037628498,-0.11375272,-0.04124131
661,0.0064463015,-0.014625432,-0.07519928,-0.061160315,0.20938537,-0.10389573,0.03081572,0.025388861,0.080335654,-0.0724928,0.09234402,-0.21098344,0.070591696,-0.22221458,-0.086828426,0.03908102,-0.06454689,0.020783726,-0.15679765,-0.074410915,-0.053161986,0.015053978,-0.097580254,-0.080687314,0.104293264,-0.050069466,-0.03212689,0.06955679,-0.1636318,-0.06619928,-0.12579416,0.121885546,-0.079874165,-0.00950887,0.040439222,0.08757882,-0.17365877,0.08052127,0.07259768,0.11072165,0.07314939,0.12807533,0.13556962,0.11414143,-0.16827655,-0.09293712,-0.029673021,-0.08662573,0.039945733,-0.020239407,-0.08196511,-0.12853839,-0.13082246,0.16300091,-0.098629095,0.08667458,0.10737146,0.100780465,0.1391305,-0.0730026,0.13445455,0.15145278,0.054899726,0.12005102,0.0026770295,0.1286033,0.110754624,-0.055619057,-0.1716355,-0.110533126,-0.116865814,0.04864724,0.05929227,-0.26545948,0.09983832,-0.064134106,-0.021906665,0.1050346,0.008126129,-0.052749835,0.07422848,0.09669952,-0.09173392,-0.06640251,-0.14680432,-0.05607309,-0.12531969,-0.07774873,0.076704495,0.120836474,-0.00406399,0.07505167,-0.046815034,0.0977832,0.006560615,-0.08669636
98,-0.01391918,0.056812696,-0.14301954,-0.10598142,0.06465772,-0.06666524,-0.027970858,-0.0648912,0.21888879,-0.05069869,0.09872433,-0.026040625,-0.013494467,0.07080148,-0.0934647,-0.32908383,-0.22047819,0.2560692,-0.18020688,0.0010174245,0.24545406,-0.090462424,-0.05853593,-0.051695257,0.02508417,0.0439626,0.009040079,0.1357261,0.10140179,0.03090532,-0.09848763,0.11936691,-0.089134574,0.015220068,0.15323853,0.12584016,0.09165025,0.09958735,-0.019473057,0.033059433,0.12945019,0.090547465,0.14636488,0.087012246,-0.050508942,-0.038162593,-0.10906894,-0.07650293,0.058633268,0.008549648,-0.11642045,0.10316658,-0.01233558,0.0078073028,-0.10035114,0.083967134,0.07053918,0.08323448,0.21734852,-0.03525608,0.17364575,-0.04109668,0.08863266,0.064931035,-0.045236573,-0.020933414,0.09296641,0.0011062264,-0.011142801,-0.104513615,-0.14661214,0.11388961,0.103231184,-0.18124914,0.09465747,0.085550085,-0.054381996,0.1340163,-0.018430408,-0.11935823,0.023995843,-0.10207458,0.00074759254,-0.019747024,-0.021110998,-0.011780165,-0.09640919,0.061753824,0.072257616,-0.018786559,-0.04497467,0.07192378,-0.04336554,0.02560611,0.036101565,-0.06890857
119,-0.05118826,0.07828175,-0.12539555,-9.114759e-05,0.07206633,-0.1306095,0.043797683,0.021991957,0.19289535,-0.050576843,0.12848404,0.09855189,0.04055415,0.03059758,-0.111771226,-0.23173694,-0.12462204,0.2226679,-0.12247867,-0.1461916,0.19449213,-0.08371631,-0.18902703,-0.06230853,0.08428999,-0.09498016,0.018435126,0.069946125,-0.03187947,-0.039909557,-0.047234,0.14788869,0.069757596,0.014481132,0.16977492,0.11251342,0.056396123,0.102382414,0.11885659,0.05540574,0.08692936,0.13436198,0.0957138,0.083350696,-0.08042439,0.04051252,-0.1140907,-0.031713195,0.137327,0.030572388,-0.025734818,0.16994882,-0.095760226,-0.106930055,-0.116506584,0.124410026,0.10088998,0.103756696,0.08557128,-0.061873876,0.119038,0.052690495,0.09867675,0.083007075,-0.17898054,0.030291172,-0.066482864,-0.028573183,0.04911659,-0.124540314,-0.15826568,0.08557196,0.11679691,-0.056478456,0.13401918,-0.02042043,-0.10050526,0.09961823,-0.13557632,-0.07213739,-0.002065702,0.010852527,-0.11372324,0.033789832,-0.025327994,-0.1268627,-0.09755001,0.07881156,0.052043136,-0.045955602,-0.08850225,0.07816437,0.04396018,0.09747126,-0.16110472,-0.07788084
163,-0.009339633,0.14328243,-0.08500772,-0.14391571,-0.0067128297,-0.09735124,-0.18339218,0.07219653,-0.22094876,-0.013195569,0.10414023,0.058402225,0.06321058,-0.018529981,-0.072589815,0.07677335,-0.2061062,0.022426715,-0.105907336,0.00037267306,0.100279436,-0.14784582,0.03764377,-0.051495366,0.04956579,0.25294846,0.012910251,0.12213224,-0.012494466,0.041834548,-0.2888204,0.075077415,-0.14161456,0.04664713,0.05474877,0.089955665,0.13510668,0.11110593,0.016142983,0.1196622,0.053869758,0.097572796,0.031389296,0.088113695,-0.056802973,0.033043057,-0.014195552,-0.066274345,0.063651495,-0.022735693,-0.062014367,-0.016766319,-0.104466036,0.04965324,-0.07981693,0.08533826,0.10021952,0.07402546,0.0058612865,-0.07392322,0.047155622,0.112343125,0.07867183,0.11754566,0.07917274,-0.12759037,-0.0678843,-0.0019180628,-0.051974338,-0.12309549,-0.11341439,0.037447125,0.09329618,-0.035853654,0.0867786,0.16717297,0.06372985,0.08649073,0.07627706,-0.10461537,0.05463943,-0.1700101,-0.22125012,-0.1300895,-0.016268488,-0.08409891,-0.095812686,0.050892454,0.0986434,0.012211108,-0.047961697,0.106859274,0.08060156,0.050884113,0.27839115,-0.03702728
551,-0.022558201,-0.12552617,-0.13296677,-0.036504727,0.034307923,-0.12072664,0.09987615,-0.03692792,-0.011455216,0.0038232089,0.17264017,0.16653861,0.03850177,-0.016858421,0.008146223,-0.13276486,0.022230243,0.1488906,-0.09490295,-0.10468651,0.067440435,0.06390488,-0.16250817,-0.06445304,-0.0065526734,-0.3383993,0.083158635,0.03523944,0.044989206,-0.21901007,0.019768223,0.12796183,0.09867911,0.13637222,0.13899387,0.034834404,0.17632163,0.09466268,-0.03936908,-0.18651398,0.09017751,0.09096644,0.15572552,0.08598726,0.03552476,0.011976502,-0.062206395,0.11464292,0.019354438,-0.05558085,-0.06847783,0.012475934,0.022893464,-0.1483431,-0.06550503,0.10570908,0.114471585,0.124745384,0.17044394,-0.1121588,0.068158165,0.14788586,0.04726719,0.06661993,-0.08940327,-0.10235276,-0.19904034,-0.0036658607,-0.099335775,-0.110600285,-0.12601474,0.10140096,0.073440395,0.031443257,0.10673583,0.046346497,0.054866523,0.12705769,-0.0016998358,-0.06606718,0.009361055,-0.1009834,-0.12926225,0.12564042,-0.009243737,-0.023107687,-0.13180907,-0.09069643,0.047249794,-0.123639524,0.015347406,0.049334086,0.020705111,0.004393412,-0.090446524,0.0077085677
48,0.039768837,0.026513468,-0.13854557,-0.0155185815,-0.122176684,-0.13099745,0.17207263,0.06095892,-0.021842685,0.011634596,0.18289243,-0.047884338,0.07230479,0.11433192,-0.051552407,-0.063225344,-0.09979109,0.09014524,-0.11568004,-0.1446339,0.04744922,0.06500743,-0.2341766,-0.14961928,0.052036677,-0.33202115,0.04141623,0.13688403,-0.02043782,0.13215373,0.018719694,0.12862448,-0.13015886,-0.06627789,-0.012644816,0.07817166,-0.041803703,0.05197918,0.15328307,-0.0023910059,0.029400751,0.1026159,0.17505893,0.10391713,-0.052425258,-0.104570806,0.06289247,0.08051895,-0.07964002,0.07495872,-0.093922056,-0.10987434,-0.120875224,0.2518026,-0.03250532,0.109234504,0.121167526,0.13299404,0.031710967,-0.112907685,0.034347873,0.114776805,0.051047932,0.11776807,0.027447285,0.045850072,-0.058912795,0.086963266,0.06864479,-0.111661285,-0.09282857,0.085887946,0.07332325,-0.031993423,0.111501,-0.040451664,-0.0045032077,0.13402064,0.08089258,-0.08457063,0.094321884,0.118626796,-0.0072917305,0.072764896,-0.14729203,-0.101135895,-0.16654772,-0.027704379,0.10810048,0.0034631065,-0.034166828,0.013785895,0.03438611,0.009410308,-0.095874034,0.04994268
20,0.06506708,-0.0045674546,-0.15606453,0.059656415,-0.077442594,-0.10897219,0.12760843,-0.043393407,-0.03901722,0.031872995,0.15791179,-0.061878156,7.200209e-05,0.04525231,0.0045957975,-0.032648787,-0.03799753,0.10771957,-0.092587665,-0.10220335,-0.0040373094,0.10643804,-0.1933454,-0.15322971,0.045932304,-0.38675988,0.08329487,0.053679645,-0.05284834,0.08584352,-0.020489799,0.08741004,0.11004471,-0.04960075,0.005668424,0.02920686,-0.07092092,0.04355794,0.25750205,0.077168785,0.038730543,0.08585942,0.18971649,0.07074466,0.04477993,-0.09305018,0.058137637,0.14539845,0.010056723,0.06512332,-0.077349074,-0.1005014,-0.090937294,0.0051882444,-0.004911712,0.08476447,0.10279166,0.123998605,0.10735489,-0.07977764,0.026298104,0.059908077,0.0043144785,0.07664182,-0.2109015,0.13105804,-0.14244409,0.029920235,-0.026138004,-0.0986617,-0.08897569,0.07061861,0.039262354,-0.013371605,0.07882303,-0.034205325,0.081560485,0.12634297,-0.016776737,-0.03713766,0.05388055,0.01456798,-0.15707809,-0.018089281,-0.18069722,-0.03125466,-0.1414878,-0.07984078,0.06682359,-0.08345453,0.056948785,0.00017655574,-0.024570715,0.23285832,-0.19809075,0.085401714
