Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-50-7109-01,6.046999,14.55978,-9.430502,16.235178,3.3549976,-9.66352,-5.0392017,13.433066,7.6699204,7.6643043,1.0622532,12.184644,8.991404,3.6648808,9.989643,2.4790308
TCGA-17-Z015-01,5.4215765,14.973455,-9.668337,16.28213,2.816519,-9.319133,-4.8823934,13.718077,7.3237677,7.908323,0.30337128,12.462959,9.475243,3.1766262,9.111086,1.6018245
TCGA-55-8205-01,6.3236537,14.1523905,-9.023477,15.201347,3.6917145,-9.473959,-4.743688,13.511233,8.058559,8.296596,1.1473523,12.262771,9.339682,3.5288808,9.965184,2.010629
TCGA-73-4676-01,6.151226,14.888364,-9.754606,16.607737,3.028143,-10.153384,-5.9859114,14.416898,7.3490596,8.475327,0.33453143,11.546921,9.4291935,3.5484242,10.612543,1.7120177
TCGA-44-8117-01,6.646844,14.299919,-9.057687,15.065498,3.5577602,-9.64507,-4.267236,13.571241,8.07144,8.093329,1.35019,12.233318,8.732009,4.160233,10.113321,2.3276966
TCGA-55-6979-01,6.4772553,14.859555,-9.510658,16.306536,2.8388693,-9.637187,-5.238842,13.8775,7.514556,8.021734,0.89475477,11.988112,8.899941,3.7760222,10.577595,1.8867975
TCGA-50-5942-01,6.319018,14.87596,-9.738618,16.642902,3.0339231,-10.281354,-6.030791,14.4219055,7.395197,8.478722,0.35499445,11.430271,9.40703,3.7319603,10.684797,1.7646462
TCGA-64-1676-01,5.978898,14.685974,-9.533476,16.373035,3.0549376,-9.337012,-5.2286425,13.5950985,7.405133,7.8035545,1.0121963,12.150077,9.260662,3.4434834,10.093525,1.8837916
TCGA-78-7162-01,6.111287,14.802422,-10.04122,16.855103,3.0367477,-9.67288,-6.135476,14.417335,7.3586106,8.037368,0.7470417,11.272848,9.505087,3.3390086,10.453647,1.7368091
TCGA-62-A46P-01,6.312013,14.774809,-10.018863,16.76059,3.029216,-9.656565,-6.0372515,14.427145,7.477545,8.047668,0.89749825,11.335492,9.283588,3.4253917,10.681491,1.8062593
TCGA-50-5941-01,6.3431787,14.692735,-9.087697,16.247234,3.0122733,-9.04975,-4.8366365,13.102598,7.710395,7.559629,0.975953,12.371157,8.395149,3.4536142,10.571716,2.0882964
TCGA-86-8673-01,6.7596097,14.473035,-9.1776705,15.473273,3.2055118,-9.373543,-4.4355073,13.505018,7.9884233,7.832657,1.503935,12.10485,8.700896,4.1835313,10.13661,2.0740762
TCGA-50-5055-01,6.216058,14.682804,-10.022812,16.776184,3.1703146,-9.865549,-6.235784,14.584468,7.4766893,8.288519,0.70938414,11.317326,9.490671,3.3144171,10.729394,1.6777945
TCGA-73-4658-01,5.7829165,14.720344,-9.732256,16.582693,3.261128,-9.758636,-5.8889256,14.248128,7.341162,8.299072,0.49924445,11.799808,9.498196,3.0444672,10.4688835,1.7911879
TCGA-44-6779-01,6.2911415,14.941791,-9.380894,16.454369,2.7420928,-9.525295,-5.114721,13.779764,7.4737673,7.825284,0.7338613,12.073637,8.516417,3.6465502,10.736122,1.9567465
TCGA-91-6828-01,6.523454,14.154478,-8.931935,15.123007,3.8980777,-9.287655,-4.581196,13.492376,8.104865,8.13397,1.4237945,12.054473,9.105806,3.523015,9.958862,2.1935003
TCGA-97-A4M7-01,6.3701277,14.297828,-9.536102,15.628236,3.6756442,-10.100811,-5.6429014,14.435207,7.843595,8.828441,0.8021788,11.416974,10.180862,3.7790592,10.028782,1.7077904
TCGA-NJ-A4YG-01,6.042465,15.023493,-9.853088,16.790285,2.8517563,-9.772565,-5.893754,14.1860075,7.200098,8.0623,0.49652508,11.497093,9.396881,3.4434116,10.347931,1.7958667
TCGA-55-8621-01,6.021108,14.197232,-9.808795,15.811337,3.7444603,-10.233509,-5.885156,14.798114,7.6917486,9.003545,0.75571615,11.554996,10.090363,3.3719075,10.308242,1.5507447
TCGA-05-4433-01,6.331344,14.526883,-10.016609,16.73054,3.2695265,-9.63384,-6.166743,14.553853,7.6646204,8.175195,0.97796625,11.487118,9.251078,3.1502087,10.990915,1.7504585
TCGA-55-7726-01,6.196377,14.135323,-9.059896,15.057266,3.9383318,-9.688603,-4.511099,13.71217,7.9391675,8.323603,1.323126,12.291413,9.320576,3.6022758,9.771378,2.2198884
TCGA-44-A4SS-01,6.2595,14.384171,-9.153312,15.429164,3.5747929,-9.859181,-4.6369925,13.6049385,7.886847,8.086853,1.0667148,12.184121,9.093866,3.95995,9.900115,2.441861
TCGA-69-8255-01,6.495431,14.153973,-9.511786,15.75676,3.7027674,-9.766027,-4.9443808,13.460034,8.061502,7.9721074,1.4755876,12.022941,9.362401,4.0919414,9.704758,2.201651
TCGA-NJ-A55A-01,6.0973973,14.572907,-9.96038,16.29416,3.4173698,-10.074631,-6.0735245,14.748766,7.5112305,8.687667,0.678713,11.374077,9.780464,3.3745658,10.474896,1.6249692
TCGA-49-4490-01,6.25365,14.722732,-9.057491,16.18122,2.9953628,-9.1103115,-4.8208694,13.158867,7.629611,7.7065954,0.8270122,12.412079,8.478868,3.4165516,10.570889,2.0157008
TCGA-44-2668-01,6.2638183,14.5924,-9.571182,15.754794,3.2556317,-10.2446785,-5.17419,14.601592,7.6902685,8.383054,0.9022271,11.55769,9.2119875,3.9957483,10.278001,2.0006557
TCGA-69-7974-01,6.83218,14.63761,-9.236238,16.131475,3.054092,-9.19467,-4.866851,13.301108,7.9354243,7.627791,1.3419758,12.306837,8.350706,3.7678335,10.751466,2.2056913
TCGA-MP-A4TJ-01,6.202348,14.756113,-9.3510895,16.47253,3.0489178,-9.836049,-5.1286535,13.626787,7.5846167,7.7133913,0.8471301,12.144054,8.6811695,3.8083842,10.502894,2.3648582
TCGA-55-A491-01,6.218717,14.134532,-9.018745,15.062864,3.9311118,-9.603425,-4.490873,13.637667,7.9632206,8.254198,1.3648262,12.302672,9.258708,3.5594296,9.797228,2.2367284
TCGA-64-5815-01,6.3257847,14.639096,-9.920606,16.606274,3.1578128,-9.677953,-5.8901725,14.406587,7.6320176,8.065901,0.9754539,11.519142,9.1477375,3.3895702,10.743426,1.848903
TCGA-86-7954-01,6.460763,14.450916,-9.067272,15.029001,3.4559798,-9.562531,-4.205507,13.630919,7.9299717,8.1360445,1.1787225,12.086731,8.817586,4.104822,9.918337,2.2464797
TCGA-35-3615-01,6.148486,14.99857,-9.813817,16.75519,2.8862429,-9.880385,-5.9337835,14.218435,7.2508287,8.162284,0.46207672,11.479745,9.384341,3.5241058,10.458793,1.7946435
TCGA-O1-A52J-01,6.03271,14.729362,-9.108582,16.225119,3.0682456,-9.220583,-5.0223923,13.333301,7.543987,7.825995,0.7179002,12.338975,8.816142,3.2666688,10.37314,1.9294283
TCGA-91-6849-01,6.334166,14.929627,-9.704895,16.742517,2.9912949,-10.179444,-6.04983,14.344722,7.337609,8.416698,0.3258853,11.456846,9.309641,3.6622891,10.775865,1.7498926
TCGA-50-5066-01,6.3983946,14.765293,-9.989306,16.801199,2.9987297,-9.530249,-5.9347534,14.319481,7.5242505,7.891082,1.0197458,11.441065,9.057524,3.4045744,10.835717,1.8988503
TCGA-55-8094-01,6.389476,14.148348,-9.265043,15.417025,3.6594098,-9.790448,-4.577028,13.316142,8.024763,8.187193,1.2256695,12.519703,9.152871,4.0009747,9.886895,2.228218
TCGA-38-4632-01,6.570834,14.50686,-9.286948,16.1114,3.2773182,-9.430602,-4.707425,13.238218,7.962273,7.4763765,1.3370962,12.204126,8.304052,3.980768,10.398288,2.5751927
TCGA-75-7025-01,6.022135,14.743576,-9.542047,16.642216,3.1520054,-9.498421,-5.3817863,13.71891,7.5688047,7.7010055,0.8378194,12.2293825,8.632837,3.1643982,10.774186,2.410542
TCGA-17-Z062-01,5.3007216,14.959776,-9.703506,16.204166,2.855641,-9.352738,-4.853012,13.847464,7.2719755,7.961559,0.2610498,12.483575,9.549509,3.1183715,9.107735,1.5886744
TCGA-55-1596-01,6.2712474,14.547899,-9.146924,16.370958,3.2335753,-9.291675,-4.9711,13.227865,7.8294177,7.4582396,1.1379068,12.347984,8.489475,3.4946804,10.4957,2.286231
TCGA-NJ-A55R-01,5.909616,14.397994,-9.488489,15.914891,3.6059446,-9.698514,-4.878727,13.829248,7.7361264,7.803981,1.2844303,12.191838,9.014886,3.405942,9.9229555,2.389271
TCGA-75-6214-01,6.5687137,14.696111,-9.35087,16.274654,3.0636039,-9.464453,-4.899091,13.473302,7.7942758,7.627655,1.1194046,12.139906,8.293094,3.7668326,10.779009,2.5375357
TCGA-78-7146-01,6.37023,14.592264,-9.785472,16.68412,3.1961594,-9.224943,-5.7968817,14.014094,7.696449,7.7847986,1.1500629,11.758665,8.91812,3.1291125,10.9038315,1.9888228
TCGA-05-4390-01,6.542647,14.472134,-9.608299,16.411572,3.277842,-9.121154,-5.371346,13.7474785,7.8780446,7.527575,1.5279176,11.853526,8.747976,3.4668472,10.644617,2.127212
TCGA-91-6847-01,5.842943,14.852868,-9.320709,16.326136,2.880947,-9.245799,-4.919453,13.5585375,7.3468475,7.7548995,0.80295116,12.431143,8.805383,3.228191,10.305552,1.873867
TCGA-44-2655-01,6.2828717,14.744154,-9.737737,16.26814,3.1281474,-10.38131,-5.7785764,14.624188,7.5074563,8.503181,0.5659527,11.347912,9.486646,3.8938646,10.442268,1.7950783
TCGA-17-Z051-01,5.246807,15.027676,-9.63826,16.186413,2.7791176,-9.489115,-4.8732176,13.738373,7.2584896,7.9275246,0.3305283,12.487274,9.60639,3.166747,9.1269,1.8125067
