	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
Neoplasm Disease Stage American Joint Committee on Cancer Code	0.29371315	0.16062099	0.078497425	0.1110329	0.14024204	-0.37369093	0.223088	-0.3359689	-0.15801881	-0.32774863	-0.013238126	0.057380714	-0.3089733	0.095473975	-0.46706584	-0.019401837
American Joint Committee on Cancer Publication Version Type	-0.079565346	0.054240182	0.27635172	-0.25169128	0.26670465	0.3318353	-0.028269704	0.23408537	-0.0911255	-0.09292414	0.25045088	0.030706022	-0.39490798	-0.13540596	-0.24355629	-0.46642214
Center of sequencing	0.26337567	0.11668133	-0.31140596	-0.06719092	0.19571856	-0.42995209	0.07068395	-0.29116938	0.06746547	-0.12309677	-0.034235448	-8.8799694e-05	-0.36967948	0.27339688	-0.20247407	-0.24914818
Ethnicity Category	0.30872554	0.6020626	0.17385113	-0.21107575	-0.31483305	0.09503521	-0.073625475	0.5559507	-0.2983143	-0.021961132	-0.17276883	-0.23608366	-0.3190792	-0.4628534	0.0012543809	0.18859349
Form completion date	0.115253165	-0.5942364	-0.47710758	0.039712675	0.41367275	0.012292836	0.5729745	-0.0026751678	0.0036030936	-0.1363838	0.10402515	0.23991786	0.034830898	0.20976079	-0.33291668	-0.060153544
Neoadjuvant Therapy Type Administered Prior To Resection Text	0.053017773	-0.06754515	0.32420346	-0.21142912	-0.065127544	0.04748327	0.004526515	0.5269484	0.47927874	-0.11648208	-0.23026343	-0.3118242	0.21892911	0.040390037	-0.058522694	0.4306786
ICD-10 Classification	-0.48534656	-0.04546753	-0.23169383	0.05589582	-0.033837676	0.47574005	0.098116584	0.1777408	-0.070234165	-0.2870136	0.30078018	0.16215184	-0.23845813	-0.28395748	0.37911245	-0.28159901
International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code	-0.4967848	0.31699207	0.07840853	-0.46704805	0.016849926	-0.26092243	-0.059428386	-0.10236454	0.30782837	0.14105898	0.30749467	-0.19834158	0.014408618	-0.18178548	0.14714578	0.46489346
International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code	-0.021140333	0.3732926	0.11308283	-0.49923182	0.016035872	0.42282578	-0.44858772	-0.27070984	0.29893202	0.28136253	-0.29673672	-0.17807582	-0.038644817	-0.17582922	-0.086926706	-0.21613695
Informed consent verified	-0.2997027	0.27857107	0.23837027	-0.73609334	-0.32669744	-0.13997634	-0.01452545	-0.027756393	-0.02259492	0.2578242	-0.13271019	0.44456574	0.15586282	-0.780696	0.24367182	-0.120010816
In PanCan Pathway Analysis	-0.107084274	-0.20810583	-0.271147	-0.586545	-0.4852411	-0.4066467	0.36148864	0.23991936	0.12767379	-0.12875977	0.091486074	-0.21538569	0.005239969	0.18040729	0.14422531	0.13327265
New Neoplasm Event Post Initial Therapy Indicator	0.071755886	-0.12142644	-0.008620657	-0.038690254	-0.22258717	0.21713349	-0.07100042	-0.13518427	0.09788557	-0.47056547	0.49549603	0.006321745	-0.3673366	0.48880923	-0.00048292958	0.26071522
Other Patient ID	0.3067041	-0.6946858	-0.6478601	-0.1912833	1.317288	-0.48053178	0.47738177	-0.1344719	-0.10933696	0.05818178	0.05610558	0.22867711	0.2284504	0.21057388	-0.027611459	-0.21653134
American Joint Committee on Cancer Metastasis Stage Code	-0.24325022	0.2578614	0.29516098	0.36785638	-0.048233896	0.23128846	0.1590341	0.4121534	-0.034710005	-0.10559919	0.20866397	0.41475838	-0.34607878	-0.32536826	-0.22439282	0.26716128
Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code	-0.16646029	0.13375634	0.24341376	-0.55996686	-0.26094103	-0.15595339	-0.36121345	-0.10032229	-0.37446418	0.0736018	-0.005127331	-0.20030712	0.4834747	0.29347798	0.3486081	0.22593482
American Joint Committee on Cancer Tumor Stage Code	-0.31822395	-0.024621908	-0.34497842	-0.046202272	0.03114723	0.13803428	-0.68837667	-0.14088081	0.2013801	0.10479476	0.04550917	-0.21555893	-0.28720334	-0.28369984	-0.0013954873	0.0967146
Person Neoplasm Cancer Status	-0.26937583	-0.14901511	0.19103798	-0.123731256	-0.16842112	-0.38375354	0.20975998	-0.33339816	-0.20101911	-0.42929974	-0.39122808	-0.5088281	0.08289499	0.0538529	-0.73513633	0.11255981
Prior Diagnosis	-0.4084953	-0.17623487	-0.021943934	0.15280628	-0.05167485	0.24098648	-0.39635146	0.004694205	-0.30703554	0.04716642	-0.18575491	0.39833644	-0.27583554	0.5098589	0.15813188	0.49651024
Race Category	0.2936225	-0.027411835	0.13727628	-0.5053935	-0.4675679	0.17776763	-0.21352579	0.043713618	-0.3342384	-0.41735238	0.2946933	-0.110769816	0.27979425	0.3852615	0.17640115	-0.25987908
Radiation Therapy	0.36001077	0.047905434	-0.3891437	0.029187774	-0.33337474	0.4140632	-0.48238012	-0.3013619	0.08045694	0.20956248	0.17842555	0.2351788	-0.31578016	0.024469044	-0.17353751	0.12687533
Sex	-0.33893895	-0.054262064	-0.3282581	0.06264822	-0.18737614	0.23652741	-0.096471235	0.03585561	0.28250834	-0.47308704	-0.19027509	-0.39207155	-0.40468568	0.19546033	-0.5086754	0.26008752
10p Status	-0.020707307	0.45261657	0.06547419	-0.16394395	-0.25153366	-0.35052866	0.45005018	0.33123422	0.21088357	0.27177244	0.019493701	-0.1652958	-0.19453034	-0.07156093	-0.039859332	0.43341398
10q Status	0.34915993	0.60006374	-0.26312333	-0.2962796	-0.36773506	-0.43531355	0.13146584	0.3553343	0.21318842	0.573615	0.37665236	-0.029812455	0.24718471	0.12432007	-0.16990799	0.21980943
11p Status	-0.3774979	0.4890242	-0.085394144	-0.068566635	-0.39717612	-0.29243773	-0.22981253	-0.19323562	0.0040594423	0.11585663	-0.3595039	0.004621547	-0.3709267	0.21425086	0.36889786	0.22725609
