	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
Diagnosis Age	0.24408305	-0.03389061	0.2297267	0.12576814	0.514844	0.124488495	-0.30796957	-0.546839	-0.22870606	-0.19002305	-0.017559899	-0.2913925	-0.16430303	-0.12375791	0.04251524	-0.27396122	-0.1173829	0.27981797	0.4389667	0.53045136	-0.35112116	0.38678473	0.029952718	-0.21083392	-0.11430007	0.1343961	0.022504507	-0.109864086	0.1327098	-0.18581147	-0.04500963	0.072262555
Neoplasm Disease Stage American Joint Committee on Cancer Code	-0.05005647	-0.108334854	0.12757054	-0.30259788	-0.16322675	0.1789331	0.044795487	0.22449176	-0.18218954	0.0022573024	0.2615657	-0.09560051	-0.21879871	0.038385876	0.0312565	-0.13477892	0.33598283	0.037436597	0.06826989	-0.084184885	0.097234085	-0.29508004	0.1418227	-0.2880876	0.27440518	-0.017596768	-0.11222973	0.21294135	-0.1448648	0.10652859	0.09437812	-0.3613863
American Joint Committee on Cancer Publication Version Type	0.24119179	0.08097762	0.072269976	0.024537671	0.15328504	-0.22416596	-0.31216952	-0.12197343	-0.13993828	0.09285592	-0.07834909	0.15065503	-0.19872934	-0.054281358	-0.15751532	0.26996452	-0.18408637	0.05968731	-0.16176014	0.0653429	0.44725263	-0.21805437	-0.21264659	0.08756285	0.438106	-0.049648795	0.15352565	-0.25368565	-0.30388892	0.05585762	0.32346043	-0.052156005
Aneuploidy Score	-0.10642068	-0.14648718	0.34298584	0.2724544	-0.06083012	0.22514307	0.26263312	0.03747116	0.1230435	0.02899391	0.0008688016	0.1915207	-0.24142323	0.105988294	0.32331648	-0.43513614	-0.3739863	0.08547667	0.11044384	-0.31143776	-0.0013259194	-0.08106426	0.0044800686	0.14143308	-0.048330247	-0.10930807	-0.13227163	0.25709414	-0.10825541	0.43262538	-0.142264	0.25483868
Center of sequencing	0.34591866	0.10135556	0.3148529	-0.21543883	-0.05726991	0.1990793	-0.18570256	-0.2781896	-0.07017887	0.16393356	-0.17406663	-0.013660847	-0.124990426	-0.04965258	0.21375902	-0.008232692	0.055622805	-0.016145736	0.08675328	-0.032495953	-0.27599683	-0.25421137	0.08424699	0.18426952	0.18644617	-0.17171033	-0.40609765	0.035834767	0.04007502	-0.3403275	0.41045678	0.33211422
Last Communication Contact from Initial Pathologic Diagnosis Date	-0.076566465	0.16697548	-0.2189165	-0.15618202	0.34775054	0.185651	0.1212901	-0.06976238	0.19818388	0.19926277	0.22800349	-0.1902749	0.14278878	-0.17128928	0.10612855	0.020092	0.05343189	0.21907955	0.47188562	-0.033385642	0.11050844	-0.1782958	0.14212722	-0.21962273	-0.010621468	0.33995107	-0.2674463	0.1388026	0.23853895	0.051481977	0.33779484	-0.2834744
Birth from Initial Pathologic Diagnosis Date	-0.18180409	-0.10116538	0.048963267	-0.21091294	0.09674985	0.085478686	-0.48923385	-0.21481718	-0.16893397	-0.1400341	0.5618605	-0.3211567	0.014184029	-0.12665428	-0.070951924	0.16589633	0.3094648	0.012356186	-0.02669851	0.47322837	-0.033263594	0.39856753	0.10368968	-0.47874662	-0.15423104	-0.015178565	0.20576668	0.19914803	0.30921125	0.06581628	-0.25223383	-0.018226013
Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value	0.0021038214	-0.2685906	0.21997206	-0.123908594	0.03438441	0.07618775	-0.23441698	-0.23800163	-0.22411588	-0.15139396	-0.12940612	-0.3920928	-0.50365645	0.3564677	0.0459865	-0.014305358	0.053657744	-0.30575442	0.20091046	-0.28322047	0.039834283	0.33921066	-0.24710435	-0.2729554	0.031757478	0.18549465	-0.29496288	-0.23166983	-0.047077037	0.070365556	-0.00818649	0.66980773
Ethnicity Category	-0.11132058	-0.048924882	0.43780476	0.13001044	-0.09455568	-0.08090935	-0.22041608	-0.32084098	-0.06782224	0.22886944	0.17920549	0.015616407	-0.119677745	0.0017375798	0.47751683	-0.1649337	0.20763527	-0.12380329	0.16831124	-0.6262398	0.066127814	0.04190258	-0.42609712	-0.123643726	-0.15572856	-0.23361638	-0.0028453027	-0.24443246	0.20546734	-0.18077523	0.16223414	0.07347456
Form completion date	-0.124539666	0.069692664	-0.19787994	-0.09681831	-0.25664693	0.10210816	0.16708592	-0.1570415	0.2929573	-0.05740402	-0.1994203	-0.06421523	-0.28416547	-0.09384498	-0.30965006	0.24138014	-0.33313605	0.1491237	-0.024431521	0.011345047	0.2053019	-0.332307	-0.045961764	0.046203088	-0.13089164	-0.065666795	0.03655298	0.24477828	-0.15664218	-0.23951693	0.31412718	0.5262191
