	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
Diagnosis Age	-0.33905774	-0.1223148	-0.12006702	0.30980462	0.27899638	0.23265858	0.15249538	0.34017965	0.35849184	-0.18645364	-0.050373677	0.22845261	0.43319193	-0.23208813	-0.2359174	0.37620246
Aneuploidy Score	0.08197489	0.2346431	-0.57345223	-0.65636885	0.441293	-0.23275968	0.055600695	0.005811477	0.5005667	-0.13205677	0.022019356	-0.05633004	0.20516695	-0.4916221	0.01426411	0.4406652
Last Communication Contact from Initial Pathologic Diagnosis Date	0.008248303	-0.44640553	-0.46780112	-0.093293786	-0.44481254	0.08069141	0.20876107	-0.08360908	0.6817429	0.13761571	-0.0072528147	0.48701328	0.4097285	-0.14371292	-0.41171739	0.46994457
Birth from Initial Pathologic Diagnosis Date	-0.34031323	-0.21086405	0.096236154	-0.21459244	-0.45826048	0.38972074	0.3561757	0.13808529	0.42843544	0.4078426	-0.4186219	0.108168855	0.16784687	-0.37180042	-0.13189045	-0.11626126
Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value	0.20247844	0.16699883	-0.19913132	-0.47015393	-0.34606573	0.15324984	0.039210856	-0.2187564	0.69154954	-0.44244596	0.4697168	0.36842212	0.07983445	-0.026045773	0.01350884	0.18920064
Fraction Genome Altered	-0.32653248	0.24180661	-0.10859599	0.15053834	-0.75804746	0.21827869	0.028246768	0.08211445	0.0020263153	-0.08521895	0.2837345	-0.40788522	0.5309967	0.23435532	0.35968336	0.41685393
Mutation Count	0.012238262	-0.19914821	0.10935202	-0.3096666	-0.32340842	-0.09754102	-0.36499858	0.17477426	0.9268555	-0.274376	0.1306959	-0.21627007	-0.16507837	-0.14348812	-0.65691537	0.23348804
cigarettes_per_day.exposures	-0.17142543	-0.45965052	0.34973383	-0.29106474	0.104057916	0.2768694	-0.049577553	0.16130784	0.8732771	0.157346	-0.73417574	-0.19637075	-0.21587497	0.2946422	0.037954617	0.24329309
pack_years_smoked.exposures	-0.006395685	-0.51650745	0.14563617	-0.1501987	0.063740134	0.18603657	-0.004357817	0.14106779	0.76811695	-0.36300567	-0.17431453	0.20852071	0.11054883	-0.4423235	-0.015165935	-0.3320908
years_smoked.exposures	0.44544846	0.25912282	-0.034498658	-0.06622945	-0.32696047	-0.4301506	0.3321993	0.050313916	0.051974434	0.3472577	0.20908105	0.23447783	0.03787034	-0.08783694	-0.21597295	0.21617253
