	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
Neoplasm Disease Stage American Joint Committee on Cancer Code	-0.15618367	-0.15218323	0.08534488	0.17841339	-0.27589056	-0.2661061	-0.018284189	0.19237922	-0.19475968	0.04648197	0.019159684	0.10189507	0.32153317	0.11675596	-0.23886977	-0.13655232	0.21247737	-0.16732304	0.12119515	-0.24313006	0.28890866	-0.164499	0.15960653	-0.035990685	-0.24765779	0.24355438	0.096412994	0.13159487	0.1521261	0.2607818	0.10443636	0.14420289
American Joint Committee on Cancer Publication Version Type	0.26415813	-0.04316225	0.09647013	0.16748253	0.09705827	-0.1970389	-0.26796764	0.23918082	-0.26703432	-0.16480093	0.15244031	0.18635686	0.22103725	0.3514202	0.17755413	0.023946567	-0.14688618	-0.009395125	-0.103787705	0.2507612	0.03200186	-0.19573644	0.102483876	-0.06348991	-0.124759026	0.098518394	-0.08986693	-0.03758566	-0.20560777	0.033539042	-0.18233387	-0.07103444
Center of sequencing	0.23628035	0.15150857	-0.35904902	-0.07640909	-0.33140656	-0.20806284	0.19598237	-0.07247586	-0.05119511	0.19925135	0.053071164	0.030022498	0.28353143	0.34609377	-0.10056153	0.113122	0.035479143	0.0012328839	-0.24668564	-0.36011434	-0.01326269	0.10309412	0.19151418	0.2124549	-0.04926222	-0.090897396	-0.065482646	-0.0006765765	0.13781299	0.10984508	0.30908582	0.12287652
Ethnicity Category	-0.067587934	-0.30976903	0.10394477	0.24903628	-0.31934717	-0.06404627	-0.18760198	0.024347642	0.18231682	0.16080527	-0.24913426	0.13571304	0.18490133	0.34312877	-0.242169	-0.078899875	0.11546938	-0.30302134	-0.42518175	-0.04338712	0.11507074	0.2089298	0.23088185	0.00018134476	0.14155921	-0.21160483	-0.040874027	0.10150218	-0.24971169	-0.22441967	0.011477304	0.25285175
Form completion date	-0.2497621	0.15530068	-0.1600132	-0.019768236	-0.15781607	-0.1961728	0.026956284	0.15924124	0.22416097	0.11098897	-0.30219376	-0.09906478	0.059081316	0.14835218	0.0103969285	0.18020365	-0.30223167	0.4071274	-0.01913486	-0.2605626	0.15565287	-0.016192902	-0.010905487	-0.18791294	-0.21976264	-0.15863487	0.17871426	-0.005002529	-0.067086875	-0.20026453	-0.06825288	-0.23066331
Neoadjuvant Therapy Type Administered Prior To Resection Text	0.27253586	-0.33302733	-0.04653751	-0.24728785	0.19994679	0.15550394	0.06663247	0.124254785	-0.39234373	-0.018191608	-0.12651184	-0.35874438	-0.13705009	-0.2310651	0.34079355	-0.21804221	-0.18833508	0.01616584	0.24603398	0.24857472	0.19508623	-0.16222066	0.16913421	-0.2521887	-0.057057012	-0.047708116	-0.15739754	-0.29477945	0.038538534	-0.034823477	0.34930232	0.18623076
ICD-10 Classification	-0.16861036	-0.0074740164	-0.018889453	-0.13651301	0.20297277	-0.01414885	-0.24662319	0.22406478	-0.13408476	-0.057228345	0.40099183	0.081527054	0.3415249	0.35425	-0.021814393	-0.0023175934	-0.17026149	-0.17655379	-0.069639504	-0.2939798	0.14923833	0.015188127	0.12005794	0.05488201	-0.13046134	-0.23945586	-0.16278368	-0.27965072	-0.27431682	0.28579462	-0.14580323	-0.14009888
International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code	-0.0061126035	0.010808931	-0.37233666	-0.05518218	0.047356416	0.01985766	-0.11715088	0.19686995	-0.1402749	-0.18955402	0.06609509	-0.11289998	0.0047111963	0.045391012	-0.16755818	-0.19412279	-0.068391874	-0.1684528	-0.042536255	0.090376325	-0.17584005	-0.1599512	-0.22594078	-0.37366688	0.09057906	0.22493379	-0.25256693	0.025826186	-0.3665543	-0.1462479	-0.101565436	0.06894172
International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code	0.2667284	-0.31918857	-0.39959162	-0.24729183	0.20199633	-0.058203857	0.12873045	-0.22233778	-0.009785128	-0.13064916	0.005819355	0.11310148	-0.07951191	-0.050018772	0.054245908	-0.067719795	0.22262083	-0.43565673	-0.28573143	-0.41590667	0.023678754	0.017370226	0.13489251	-0.20638555	0.000999176	0.013059542	0.2470976	0.08164178	-0.24746138	0.09141507	0.08625054	0.044823255
Informed consent verified	0.013551085	-0.21412303	0.10952133	-0.23398048	-0.1294815	-0.2560794	-0.33964625	0.034528	-0.4173395	0.19306134	0.4019434	0.005358069	-0.13149936	0.046746206	0.08482085	0.44666293	-0.14254224	-0.023569262	0.0772627	-0.30626047	0.17207056	0.19760881	0.3574995	0.23307988	-0.004156334	0.284754	-0.45235658	-0.003907088	0.16619858	-0.059730478	0.053760562	0.324155
In PanCan Pathway Analysis	-0.2635996	-0.5087304	-0.19864926	0.0775518	0.15823498	-0.060553677	-0.050885815	0.11105672	-0.045688365	0.1410422	0.22744918	-0.37818846	0.15221377	0.2967536	0.1573426	-0.0346861	0.27641612	-0.4905389	0.112384625	-0.00074888306	0.20112996	-0.13492559	-0.33218497	-0.1895563	0.30230066	-0.019236099	-0.32860923	-0.16787167	0.0042735655	-0.13861875	0.02971929	0.016970895
New Neoplasm Event Post Initial Therapy Indicator	0.0114012845	0.27685505	-0.29817536	-0.18758664	-0.28925058	0.33133924	-0.2767861	-0.081106216	0.1384472	-0.22489494	0.18154359	-0.15140475	-0.006401329	0.1724285	0.11195748	-0.45343482	-0.05178991	-0.013229082	0.16853322	0.0046179118	0.24333464	-0.26163203	0.14945643	-0.19547215	0.07914804	-0.3355707	-0.21573031	0.2852675	-0.18288401	0.16484524	-0.30762208	0.24827218
Other Patient ID	-0.2637267	0.4217125	-0.024105264	-0.08483708	-0.07408757	0.06358105	-0.04055711	-0.32801303	0.4381873	0.015994467	-0.21914677	0.27837133	-0.18028349	0.10593381	-0.04163386	0.031207984	-0.0072203428	0.6544908	0.087325044	-0.10038029	0.05857669	-0.18081076	-0.05529677	0.11877679	-0.19334155	0.13397495	0.2712689	-0.049109522	0.22517972	-0.077909276	-0.19088018	-0.09602143
American Joint Committee on Cancer Metastasis Stage Code	-0.18652451	-0.14493217	0.09151624	0.042513832	-0.114418104	0.31704265	-0.021083353	-0.28022754	-0.3987519	0.14693731	0.2863321	-0.13337809	-0.15100454	-0.06709082	-0.36361754	-0.13933772	-0.21570323	-0.29457185	0.16891475	-0.2014503	0.16976607	-0.19397391	-0.072045915	0.21975353	-0.075386636	-0.19705376	-0.39787883	0.2066027	0.022048466	0.34585023	-0.012518869	-0.029472858
Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code	-0.108260065	-0.42918932	0.20961964	0.0055634603	0.044523753	-0.05024954	0.0014885203	0.057882357	-0.1159107	0.22656538	0.21936606	-0.27944356	-0.06518931	-0.0905057	0.1557505	-0.03918026	0.28227028	-0.14765084	-0.1365537	0.14206016	0.20523125	0.0047260174	0.09700071	0.14700663	-0.23253155	0.30620092	0.29465395	-0.06418406	-0.26009095	-0.2007951	0.04257016	0.2503409
American Joint Committee on Cancer Tumor Stage Code	0.035124797	-0.03693545	-0.10021366	-0.024578925	-0.13717347	-0.32868004	-0.20123991	0.07506901	0.3523357	0.092851594	-0.17614906	0.007005724	0.016162042	0.23958024	-0.012692322	-0.2792359	0.111184	-0.18805513	-0.12923646	-0.23210941	-0.18610932	0.16884226	0.12558293	-0.16017066	0.07237658	0.2647521	-0.24365659	-0.13405764	0.022714097	0.2691446	0.1996712	-0.27397516
Person Neoplasm Cancer Status	-0.007273609	0.14966425	0.25066873	0.32170027	-0.36563945	0.4393817	-0.3580209	0.08698298	-0.07891996	0.20893553	-0.041832175	-0.09720385	0.32097962	-0.10041924	-0.34627584	0.08396873	0.21509063	-0.27602375	0.06992271	-0.1820986	-0.14333713	-0.14823659	-0.035861153	-0.18152913	0.09033866	0.31434673	0.036117576	0.20568056	0.032024052	0.31731576	-0.015862348	0.3271466
Prior Diagnosis	0.019315576	-0.24974436	-0.010381046	-0.19726187	-0.053805288	0.16458666	-0.10944696	0.10613867	-0.118915066	0.2750109	-0.21983294	-0.016099144	0.17904443	0.14711535	-0.15613969	-0.026127258	0.2672245	-0.46032542	-0.68859714	0.015304782	0.30884254	0.29662773	-0.022790063	-0.036778565	0.26624054	-0.012336938	-0.16653377	0.37101665	-0.19454654	-0.04141694	0.3879346	0.11271031
Race Category	-0.16112912	-0.3431114	0.13412066	-0.21359645	-0.059430383	0.089941435	-0.26866716	0.28666773	-0.028212385	-0.06349334	0.19368629	0.02116516	0.16457914	0.1476979	0.10634868	-0.011147028	0.0772821	-0.5218617	-0.33781862	-0.14819482	0.00205106	-0.1130589	-0.1580221	0.21414119	0.15920934	0.14451821	0.0321862	0.374053	-0.30948663	0.1463137	0.20753178	-0.14878148
Radiation Therapy	-0.01983987	-0.2820249	0.23469122	0.2430303	-0.32048866	0.11340394	-0.06535978	0.24716203	-0.19995376	0.09785805	-0.06520044	-0.3788352	-0.24309537	-0.010860999	-0.0033406175	-0.013135833	0.08961808	-0.16808103	0.5618321	0.018395878	0.32008734	0.10955989	-0.00492851	-0.14225392	0.07095726	0.15016161	-0.21092924	-0.14197306	-0.3783456	-0.23040621	-0.4832388	0.024218535
