Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-05-4244-01,18.57809,6.9091144,11.569398,5.7641625,6.606189,-0.31200805,3.833197,4.1443586,3.4184422,-3.2825475,0.67098767,12.61374,2.0974255,10.188834,6.447509,2.7909393
TCGA-05-4249-01,18.716467,7.255142,11.543744,5.83476,6.6711736,-0.027905824,4.1122556,3.9697473,3.3234837,-3.3200247,0.7927001,12.906354,2.2377229,10.033007,6.482671,2.4863265
TCGA-05-4250-01,18.814718,7.3353753,11.237099,5.794612,6.7453647,-0.13460177,4.1766467,3.8468263,3.5976102,-3.35158,0.76076823,12.869221,2.480895,10.243003,6.520075,2.505563
TCGA-05-4382-01,18.589775,7.2421474,11.523214,5.83526,6.683797,-0.04170034,4.0473313,4.1185565,3.1147552,-3.3683171,1.1627362,12.611642,2.3480823,9.773406,6.344318,2.4513392
TCGA-05-4384-01,18.369398,7.2492847,11.021143,5.607806,6.7640553,-0.45572346,3.6206532,3.6099927,3.9796488,-3.349937,0.3952332,12.300482,2.3600156,10.255131,6.320171,2.8688989
TCGA-05-4389-01,18.478937,7.185716,11.618262,5.844132,6.7260365,-0.1890876,3.916383,4.176037,3.0334723,-3.3311014,1.2087777,12.470247,2.3249521,9.752554,6.319458,2.478921
TCGA-05-4390-01,18.590826,7.165418,11.443686,5.8383884,6.5721884,0.14587608,4.0426035,4.0546465,3.2051432,-3.340511,1.1827463,12.621707,2.3266215,9.668307,6.277042,2.6740112
TCGA-05-4395-01,18.528286,7.226406,11.545939,5.851124,6.660246,0.003019822,4.001541,4.1529617,3.0178812,-3.3740518,1.2867237,12.52837,2.3506732,9.649555,6.2955785,2.5052435
TCGA-05-4396-01,18.393215,7.349679,11.056731,5.5957522,6.786646,-0.40360975,3.7048368,3.6029935,3.9221067,-3.3659708,0.4010346,12.36683,2.362512,10.217064,6.344219,2.7070935
TCGA-05-4397-01,18.417345,7.2006726,11.097561,5.713798,6.8117604,-0.3607064,3.688401,3.5578356,4.0584435,-3.2611213,0.49949086,12.372804,2.399009,10.181709,6.348429,2.7830904
TCGA-05-4398-01,18.541527,7.114781,11.518946,5.850371,6.56673,0.10340598,3.9819806,4.144787,3.090175,-3.339021,1.2881685,12.533633,2.3089323,9.61096,6.2666273,2.7010484
TCGA-05-4402-01,18.605015,7.0936046,11.623316,5.902106,6.628106,0.027318118,4.0623407,4.2234883,3.0310528,-3.2917829,1.3162985,12.609999,2.3268037,9.670238,6.320074,2.5655456
TCGA-05-4403-01,18.302963,7.1927094,11.101026,5.6778054,6.7876544,-0.4701476,3.5591094,3.5782385,3.9475584,-3.282342,0.5334977,12.222933,2.3796012,10.105719,6.233337,2.867288
TCGA-05-4405-01,18.529055,6.904718,11.705174,5.8626437,6.540924,-0.08177202,3.808759,4.2460356,3.0865366,-3.2384987,1.2051319,12.472422,2.2000074,9.757459,6.322009,2.8864596
TCGA-05-4410-01,18.362785,7.1561036,11.476363,5.7588506,6.7316866,-0.3712614,3.7307231,4.031,3.2550757,-3.3166478,0.9734699,12.306633,2.3080373,9.857157,6.2494745,2.6603107
TCGA-05-4415-01,18.539833,7.3460875,11.0841465,5.770024,6.7897916,-0.017214328,3.9152613,3.5865865,3.9316614,-3.3265727,0.72424793,12.53319,2.4714534,9.99351,6.381753,2.58847
TCGA-05-4417-01,18.623865,7.2181125,11.519205,5.816437,6.6239104,-0.0105920425,4.0526648,4.056282,3.1708524,-3.3348436,0.99333555,12.729869,2.2705088,9.845825,6.3543425,2.592568
TCGA-05-4418-01,18.407373,7.4114733,11.017032,5.620854,6.771708,-0.30000675,3.7427812,3.561342,3.9018593,-3.38158,0.4782051,12.387002,2.4039347,10.130998,6.3101563,2.6933162
TCGA-05-4420-01,18.54686,7.1145196,11.698875,5.853866,6.6334505,-0.116517246,3.9279861,4.2553363,2.95592,-3.3049316,1.2257004,12.539651,2.2546964,9.752109,6.332463,2.5909605
TCGA-05-4422-01,18.334671,7.4266453,11.011405,5.5258436,6.74497,-0.41156465,3.701616,3.654462,3.7635412,-3.447609,0.41788182,12.310211,2.3495455,10.165747,6.2525806,2.7136374
TCGA-05-4424-01,18.35449,7.1439204,11.522363,5.7717943,6.7464657,-0.37598175,3.7243457,4.049235,3.2343044,-3.3054218,0.997222,12.301683,2.2996109,9.838298,6.2593927,2.631634
TCGA-05-4425-01,18.361706,7.404357,11.038673,5.5626607,6.711056,-0.37321135,3.6784377,3.648174,3.765762,-3.4142106,0.4953763,12.299613,2.362002,10.1163,6.251941,2.7816708
TCGA-05-4426-01,18.421762,7.3977494,10.946238,5.5447755,6.7157793,-0.29250193,3.7968266,3.6541328,3.8391933,-3.4416711,0.47131222,12.385186,2.3958523,10.163321,6.301048,2.7536356
TCGA-05-4427-01,18.528845,7.2550745,11.389736,5.7824893,6.570857,0.13201569,3.9606175,3.9936466,3.2450926,-3.367149,1.1103516,12.539052,2.3265412,9.678463,6.271143,2.7067385
TCGA-05-4430-01,18.532164,7.1204066,11.602706,5.791034,6.5923867,-0.15214273,3.8819788,4.137688,3.1321573,-3.2974389,1.0249699,12.524928,2.2182777,9.840661,6.3251696,2.6851377
TCGA-05-4432-01,18.511515,7.1076403,11.562106,5.834957,6.776463,-0.2973858,3.9416564,4.1235714,3.2719405,-3.2807086,1.0753212,12.487854,2.3472698,9.91854,6.3793974,2.4463284
TCGA-05-4433-01,18.358517,7.472644,10.961608,5.5329657,6.708726,-0.33156356,3.723255,3.6262841,3.7587347,-3.463801,0.47756878,12.319959,2.3829944,10.102041,6.236846,2.7491825
TCGA-05-4434-01,18.353281,7.3779573,11.012908,5.5762334,6.749838,-0.40568703,3.5976486,3.5583801,3.945896,-3.3672292,0.37699378,12.270906,2.356913,10.212242,6.3181734,2.8280604
TCGA-05-5423-01,18.451628,6.626268,11.743882,5.8730564,6.60338,-0.4833504,3.5267048,4.160635,3.4487228,-3.1102972,0.7137404,12.423395,2.0487309,10.181083,6.408376,3.155177
TCGA-05-5425-01,18.283403,7.1867466,11.080741,5.6839623,6.791006,-0.47770947,3.5221565,3.556737,3.9776762,-3.2752566,0.50465715,12.208221,2.3775494,10.123827,6.2318506,2.9318988
TCGA-05-5428-01,18.589577,6.4154553,11.60877,6.1462593,6.5619745,0.24142787,3.9751823,4.1203585,3.5570893,-3.0427616,1.6386434,12.544767,2.384967,9.480154,6.2278867,3.0552595
TCGA-05-5429-01,18.491386,6.89746,10.941084,5.7546782,6.7790895,-0.4159237,3.7806466,3.6623268,4.1262527,-3.254773,0.6912356,12.399263,2.5413327,10.202057,6.278824,3.0878108
TCGA-05-5715-01,18.419477,7.157237,11.178289,5.7892213,6.8532763,-0.27154452,3.738869,3.560451,4.0176153,-3.217722,0.6826088,12.396077,2.4522545,10.007762,6.326076,2.718219
TCGA-17-Z000-01,-10.543366,5.8929963,7.6069665,6.9487824,6.9167814,7.689499,6.0700355,3.701025,2.8646662,8.158618,5.6912766,4.067675,5.3736258,7.35192,6.2901187,5.611462
TCGA-17-Z001-01,-10.579599,5.8422923,7.6320286,6.9083533,6.8601604,7.668713,6.0987577,3.7253106,2.8074737,8.257952,5.7784376,4.0050697,5.3803067,7.3644114,6.255625,5.62799
TCGA-17-Z002-01,-10.593306,5.8693156,7.576324,6.849956,6.86989,7.5790358,6.1118293,3.692667,2.9766726,8.222171,5.6512613,4.0293612,5.282084,7.4697323,6.22538,5.540014
TCGA-17-Z003-01,-10.595629,5.8733177,7.5868344,6.984071,6.8860984,7.6232677,6.0550256,3.629768,2.8792725,8.142192,5.733983,3.999918,5.356981,7.4473114,6.256326,5.5761065
TCGA-17-Z004-01,-10.602318,5.978281,7.5636477,6.929206,6.868664,7.559496,6.149604,3.6739101,2.902429,8.16864,5.751141,4.0532193,5.3052125,7.388464,6.2927237,5.5481367
TCGA-17-Z005-01,-10.596829,5.84379,7.7085485,6.850465,6.8690124,7.6775594,6.0801387,3.6946313,2.8132696,8.191559,5.776356,3.972581,5.2898765,7.4081473,6.278581,5.577318
TCGA-17-Z007-01,-10.621181,5.8925705,7.610435,6.9312215,6.9158797,7.5988665,6.165715,3.664972,2.8854406,8.201672,5.73089,4.0668654,5.255826,7.4430876,6.2909346,5.5404897
TCGA-17-Z009-01,-10.562188,5.857936,7.54145,6.9467993,6.936421,7.6948423,6.08251,3.7752001,2.8533638,8.148022,5.669024,4.116265,5.2719154,7.447037,6.3717585,5.6327767
TCGA-17-Z010-01,-10.608382,5.890223,7.633059,6.9472156,6.8834257,7.590745,6.1831927,3.593812,2.9025035,8.133279,5.6810455,4.0852404,5.3001385,7.371126,6.240277,5.5019054
TCGA-17-Z011-01,-10.585821,5.8939962,7.6703296,6.905156,6.902918,7.631165,6.135488,3.7065341,2.833744,8.222224,5.708656,4.035257,5.3393335,7.3495803,6.324829,5.5897
TCGA-17-Z013-01,-10.62422,5.920203,7.6831083,6.8746114,6.878813,7.590327,6.09071,3.7059436,2.8680046,8.218901,5.766273,4.00442,5.29149,7.4411716,6.2453,5.5118933
TCGA-17-Z014-01,-10.517924,5.9159813,7.708224,6.9450407,6.918098,7.713111,6.074751,3.6263955,2.8025017,8.188311,5.7478724,3.957527,5.3951454,7.28961,6.2567267,5.556141
TCGA-17-Z015-01,-10.582321,5.847355,7.640802,6.945269,6.9416156,7.6806874,6.064779,3.6700087,2.8649745,8.222606,5.7197185,3.9346902,5.3334947,7.465049,6.276118,5.49849
TCGA-17-Z016-01,-10.6350155,5.840753,7.493483,6.915452,6.934444,7.801575,6.128443,3.7079632,2.795863,8.282451,5.75247,4.078644,5.288819,7.4662404,6.2124944,5.539816
TCGA-17-Z017-01,-10.561383,5.919793,7.642329,6.8601203,6.926743,7.5340014,6.07319,3.7205133,2.9411933,8.196769,5.7756615,3.915764,5.341319,7.331972,6.347055,5.5713077
TCGA-17-Z018-01,-10.612135,6.0244646,7.6048093,6.9944363,6.8442435,7.501468,6.056766,3.6441422,2.9432714,8.148412,5.794578,4.0203495,5.1393065,7.4213133,6.2885165,5.569095
TCGA-17-Z019-01,-10.532728,5.9570236,7.4528303,6.975958,6.829142,7.627052,6.0733356,3.7355628,2.9725735,8.172198,5.598429,4.1239324,5.320227,7.40971,6.3245864,5.615464
TCGA-17-Z020-01,-10.5477,5.7800536,7.6084332,6.878592,6.9833636,7.6022105,6.1577444,3.8641937,2.9018686,8.202061,5.681913,4.1167192,5.2990475,7.392532,6.417159,5.6508694
TCGA-17-Z021-01,-10.61206,5.9408946,7.5662813,6.894528,6.97974,7.6439724,6.159819,3.6780128,2.8336422,8.072725,5.60431,3.948329,5.4051323,7.4120164,6.460778,5.4292927
TCGA-17-Z022-01,-10.672848,5.9243073,7.6293106,6.9911127,6.881536,7.5837045,6.035255,3.678708,2.8130217,8.198649,5.8123884,3.9383025,5.19587,7.447626,6.3205233,5.571621
TCGA-17-Z023-01,-10.441242,5.919404,7.625309,6.8278036,6.980152,7.644065,6.0437846,3.737016,3.0137234,8.349252,5.646472,4.0458546,5.337126,7.3457766,6.253442,5.4912724
TCGA-17-Z025-01,-10.654945,5.824345,7.708558,6.818979,6.8121066,7.46688,6.1908503,3.7190087,2.8801143,8.153947,5.718914,4.0642533,5.3705235,7.414509,6.308326,5.6103053
TCGA-17-Z026-01,-10.633264,5.915381,7.474155,6.9560485,6.8801847,7.6255336,6.1370907,3.6862707,2.8996496,8.241458,5.789857,4.0003424,5.343013,7.459996,6.241082,5.499155
TCGA-17-Z027-01,-10.6087265,5.8815765,7.579944,7.0092607,6.883552,7.7213793,6.041904,3.703729,2.8398857,8.125392,5.731522,4.097228,5.250085,7.4212847,6.2385044,5.5865316
TCGA-17-Z028-01,-10.655196,5.865116,7.696422,6.956259,6.860763,7.55297,6.129778,3.6405005,2.7936172,8.088783,5.693798,4.0435176,5.3000436,7.2950997,6.2869463,5.526294
TCGA-17-Z030-01,-10.608779,5.8011103,7.63006,6.848199,6.9818935,7.733354,6.1208415,3.7923076,2.80394,8.242169,5.742582,3.9736283,5.313784,7.346179,6.3766937,5.5634522
TCGA-17-Z031-01,-10.643947,5.983701,7.4607353,7.016267,6.932011,7.6748314,6.14316,3.7585666,2.8940372,8.224747,5.832835,4.101716,5.271484,7.422179,6.2831326,5.5712457
TCGA-17-Z032-01,-10.519657,5.996745,7.563632,6.906718,6.9186134,7.529229,6.04709,3.7215312,3.021389,8.205115,5.7931533,4.02828,5.219145,7.3614545,6.310905,5.629146
TCGA-17-Z033-01,-10.594047,5.7761636,7.5315037,6.8634477,6.892372,7.617497,6.1087413,3.7526236,2.9269335,8.30332,5.7686825,4.0995674,5.328243,7.4981966,6.169127,5.5753865
TCGA-17-Z036-01,-10.456484,5.897743,7.5336304,6.941169,6.95021,7.6636176,6.1268473,3.7449691,2.908365,8.174835,5.6772017,4.071645,5.391988,7.4794188,6.346245,5.568184
TCGA-17-Z037-01,-10.669212,5.7553625,7.710389,6.975659,7.040367,7.5934496,6.2173004,3.6246023,2.8135173,8.156972,5.9234815,3.9325147,5.4459705,7.495677,6.311439,5.574882
TCGA-17-Z041-01,-10.607373,5.840668,7.6422453,6.881197,6.7558928,7.6271625,6.1006255,3.7065682,2.783199,8.146367,5.641601,4.1297755,5.319967,7.48138,6.248584,5.652487
TCGA-17-Z042-01,-10.504722,5.849535,7.4550643,6.9748435,6.988255,7.7960596,6.1033864,3.6925924,2.9342098,8.299923,5.834131,3.9334462,5.3975916,7.486127,6.21592,5.5768986
TCGA-17-Z043-01,-10.6141205,5.8199105,7.565932,6.9532447,6.9311147,7.7551146,6.183828,3.6809108,2.8007236,8.156222,5.74034,3.8929126,5.4300556,7.3615174,6.3591413,5.5859942
TCGA-17-Z044-01,-10.4908905,5.8120923,7.665912,6.917939,6.945743,7.667174,6.1428576,3.6521983,2.915062,8.3116045,5.7345653,4.073567,5.3593736,7.4770107,6.2114797,5.604957
TCGA-17-Z045-01,-10.587676,5.7852397,7.6127048,6.971145,7.0149193,7.740957,6.176755,3.7531343,2.8120666,8.235989,5.7670465,3.9891589,5.392006,7.212458,6.3866663,5.6451526
TCGA-17-Z047-01,-10.730832,5.853587,7.640304,6.8108077,6.7829633,7.5693727,6.1605477,3.8185694,2.8111615,8.162156,5.8160553,4.0248485,5.3233976,7.4150386,6.2911906,5.5747294
TCGA-17-Z048-01,-10.611751,5.944242,7.513856,6.8595686,6.8226447,7.715549,6.0403247,3.7865677,2.8487442,8.33268,5.735243,3.8438013,5.422972,7.3860855,6.338587,5.563694
TCGA-17-Z049-01,-10.586822,5.9033556,7.6155415,6.992009,6.9589868,7.540974,6.108352,3.7431488,2.8566668,8.092694,5.6595626,4.0507455,5.391423,7.366098,6.4283237,5.613573
TCGA-17-Z050-01,-10.696011,5.887611,7.5939913,6.8238206,6.956267,7.620486,6.2578006,3.7052283,2.844448,8.171919,5.740535,4.005505,5.2385874,7.4634876,6.3418727,5.454763
TCGA-17-Z051-01,-10.562542,5.805802,7.599877,6.88805,6.836588,7.555888,6.0518303,3.7794187,2.9101493,8.211276,5.6901975,4.0041013,5.390928,7.507139,6.298088,5.660067
TCGA-17-Z052-01,-10.528666,5.999699,7.709757,6.9569187,6.759891,7.6749077,6.032857,3.62733,2.7646441,8.230047,5.626083,4.0217705,5.3110843,7.331336,6.22604,5.5531545
TCGA-17-Z053-01,-10.496245,5.9383583,7.660297,6.945765,6.96126,7.467885,6.1014724,3.6454744,2.995052,8.159945,5.778021,4.1014247,5.26795,7.4379497,6.251044,5.5716004
TCGA-17-Z054-01,-10.636861,5.8581877,7.690029,6.9171457,6.8805504,7.6703897,6.069529,3.7185366,2.7994118,8.289122,5.8013396,3.910321,5.328037,7.2535744,6.3381257,5.6062374
