Sample ID,dim_0,dim_1
TCGA-05-4244-01,18.91906,12.507742
TCGA-05-4249-01,19.470224,12.2941065
TCGA-05-4250-01,19.851042,12.555358
TCGA-05-4382-01,19.070158,11.936871
TCGA-05-4384-01,19.51636,13.89447
TCGA-05-4389-01,18.721249,12.203268
TCGA-05-4390-01,18.949417,11.808378
TCGA-05-4395-01,18.713888,11.862806
TCGA-05-4396-01,19.552866,13.771754
TCGA-05-4397-01,19.650528,13.687218
TCGA-05-4398-01,18.754198,11.850433
TCGA-05-4402-01,18.598238,11.64036
TCGA-05-4403-01,19.565552,13.623686
TCGA-05-4405-01,18.51948,12.121533
TCGA-05-4410-01,19.03212,12.514635
TCGA-05-4415-01,19.745089,13.04352
TCGA-05-4417-01,19.105783,12.01649
TCGA-05-4418-01,19.630098,13.875089
TCGA-05-4420-01,18.47603,12.004394
TCGA-05-4422-01,19.73071,13.754103
TCGA-05-4424-01,18.89737,12.540876
TCGA-05-4425-01,19.798998,13.605376
TCGA-05-4426-01,19.86556,13.49411
TCGA-05-4427-01,18.856806,11.984982
TCGA-05-4430-01,18.672808,12.147083
TCGA-05-4432-01,18.811008,12.426154
TCGA-05-4433-01,19.811377,13.699868
TCGA-05-4434-01,19.484602,13.838514
TCGA-05-5423-01,18.155182,12.714836
TCGA-05-5425-01,19.416708,13.945195
TCGA-05-5428-01,18.023748,11.2355795
TCGA-05-5429-01,19.20035,13.417614
TCGA-05-5715-01,19.614325,13.405447
TCGA-17-Z000-01,-18.809734,-0.78234124
TCGA-17-Z001-01,-18.93704,-0.59383285
TCGA-17-Z002-01,-18.915825,-0.76142204
TCGA-17-Z003-01,-18.864048,-0.7015347
TCGA-17-Z004-01,-18.916512,-0.74850696
TCGA-17-Z005-01,-18.88886,-0.82632464
TCGA-17-Z007-01,-18.931805,-0.73212004
TCGA-17-Z009-01,-18.716059,-0.81155986
TCGA-17-Z010-01,-18.74775,-0.79231983
TCGA-17-Z011-01,-18.784739,-0.7846205
TCGA-17-Z013-01,-18.86244,-0.92981416
TCGA-17-Z014-01,-18.61649,-0.6358452
TCGA-17-Z015-01,-18.738684,-0.6914695
TCGA-17-Z016-01,-18.795668,-0.5851347
TCGA-17-Z017-01,-18.707767,-0.511564
TCGA-17-Z018-01,-18.705183,-0.52953166
TCGA-17-Z019-01,-19.11683,-0.8969149
TCGA-17-Z020-01,-18.925117,-0.9471823
TCGA-17-Z021-01,-19.129442,-0.56034285
TCGA-17-Z022-01,-19.248379,-0.6519614
TCGA-17-Z023-01,-18.792074,-0.5024904
TCGA-17-Z025-01,-18.945608,-0.6339831
TCGA-17-Z026-01,-18.985447,-0.88780457
TCGA-17-Z027-01,-18.89032,-0.6982398
TCGA-17-Z028-01,-18.717773,-0.47255433
TCGA-17-Z030-01,-19.029032,-0.5641554
TCGA-17-Z031-01,-19.025852,-0.7049081
TCGA-17-Z032-01,-19.05903,-0.92210966
TCGA-17-Z033-01,-18.713203,-0.55978346
TCGA-17-Z036-01,-18.924702,-0.90745395
TCGA-17-Z037-01,-18.769886,-0.88148725
TCGA-17-Z041-01,-18.720146,-1.0920373
TCGA-17-Z042-01,-18.894299,-0.43027586
TCGA-17-Z043-01,-19.132763,-0.6390889
TCGA-17-Z044-01,-19.075502,-0.9032013
TCGA-17-Z045-01,-18.727757,-0.6754679
TCGA-17-Z047-01,-19.21366,-0.7996694
TCGA-17-Z048-01,-18.563044,-0.7677147
TCGA-17-Z049-01,-19.035357,-0.88931173
TCGA-17-Z050-01,-18.77283,-0.5830894
TCGA-17-Z051-01,-19.00368,-0.7853156
TCGA-17-Z052-01,-18.848122,-0.95339733
TCGA-17-Z053-01,-18.9745,-0.5455243
TCGA-17-Z054-01,-18.542007,-0.7404062
TCGA-17-Z055-01,-18.944878,-0.46869892
TCGA-17-Z056-01,-19.02133,-0.93559104
TCGA-17-Z057-01,-18.965918,-0.7039423
TCGA-17-Z058-01,-19.19741,-0.74433744
TCGA-17-Z059-01,-18.696028,-0.97284466
TCGA-17-Z060-01,-18.722364,-0.5586218
TCGA-17-Z061-01,-18.864388,-0.8584119
TCGA-17-Z062-01,-18.946264,-0.89515066
TCGA-35-3615-01,18.327051,13.153437
TCGA-35-4122-01,18.256073,10.864819
TCGA-35-4123-01,17.89157,11.352301
TCGA-35-5375-01,18.617975,10.898922
TCGA-38-4625-01,19.104008,11.4922285
TCGA-38-4626-01,18.45781,13.344792
TCGA-38-4627-01,19.167994,13.211159
TCGA-38-4628-01,19.846249,11.36564
TCGA-38-4631-01,20.092585,11.319894
TCGA-38-4632-01,19.51831,11.37096
TCGA-38-6178-01,17.482014,10.049924
TCGA-38-7271-01,18.220684,13.450446
TCGA-38-A44F-01,15.915481,13.233123
TCGA-44-2655-01,16.826796,12.66161
TCGA-44-2656-01,15.983103,9.651703
TCGA-44-2657-01,16.810848,12.683343
TCGA-44-2659-01,15.725799,11.05656
TCGA-44-2662-01,15.650151,9.963678
TCGA-44-2665-01,16.546265,12.892699
TCGA-44-2666-01,17.330805,13.19705
TCGA-44-2668-01,16.354828,12.182806
TCGA-44-3396-01,16.383144,13.251801
TCGA-44-3398-01,16.426977,13.249609
TCGA-44-3917-01,15.843545,9.712199
TCGA-44-3918-01,16.535727,12.2235365
TCGA-44-3919-01,15.765783,12.337131
TCGA-44-4112-01,16.612064,13.078032
TCGA-44-5643-01,16.925453,10.748091
TCGA-44-5644-01,15.631667,10.461331
TCGA-44-5645-01,16.396727,12.981055
TCGA-44-6144-01,15.456991,11.804632
TCGA-44-6145-01,15.823225,11.501438
TCGA-44-6146-01,15.800981,14.003474
TCGA-44-6148-01,15.997056,13.754891
TCGA-44-6774-01,16.159113,13.932074
TCGA-44-6775-01,15.558591,10.047793
TCGA-44-6776-01,17.47467,13.171443
TCGA-44-6777-01,19.179623,11.694719
TCGA-44-6778-01,19.229013,10.558871
TCGA-44-6779-01,19.452042,11.78237
TCGA-44-7659-01,16.139235,12.708802
TCGA-44-7660-01,15.88525,10.01983
TCGA-44-7661-01,16.011057,13.281261
TCGA-44-7662-01,15.844953,10.188238
TCGA-44-7667-01,15.621561,10.458811
TCGA-44-7669-01,17.59184,10.744748
TCGA-44-7670-01,15.525627,10.715085
TCGA-44-7671-01,16.63383,12.475553
TCGA-44-7672-01,15.248476,11.063394
TCGA-44-8117-01,15.886726,9.777402
TCGA-44-8119-01,15.408147,10.586562
TCGA-44-8120-01,16.707617,11.253754
TCGA-44-A479-01,16.15984,12.552466
TCGA-44-A47A-01,15.42286,10.301603
TCGA-44-A47B-01,16.222036,12.241262
TCGA-44-A47F-01,15.309796,11.178014
TCGA-44-A47G-01,16.044153,13.311845
TCGA-44-A4SS-01,16.313108,12.946674
TCGA-44-A4SU-01,15.401945,12.971663
TCGA-49-4486-01,18.16046,13.721491
TCGA-49-4487-01,19.365494,10.657162
TCGA-49-4488-01,19.465075,10.456044
TCGA-49-4490-01,19.216606,10.71724
TCGA-49-4494-01,18.10117,13.932371
TCGA-49-4501-01,19.437578,11.316107
TCGA-49-4505-01,19.73419,11.465221
TCGA-49-4506-01,19.481781,12.941885
TCGA-49-4507-01,18.555038,11.711634
TCGA-49-4510-01,19.51256,11.5392685
TCGA-49-4512-01,19.145058,10.668391
TCGA-49-4514-01,18.315046,13.419382
TCGA-49-6742-01,19.42336,13.196226
TCGA-49-6743-01,19.841642,10.892037
TCGA-49-6744-01,17.56906,13.712893
TCGA-49-6745-01,17.96405,13.937809
TCGA-49-6761-01,18.186272,12.17211
TCGA-49-6767-01,19.410385,10.424727
TCGA-49-AAQV-01,17.655293,13.868805
TCGA-49-AAR0-01,17.87938,13.6704445
TCGA-49-AAR2-01,19.074528,12.92361
TCGA-49-AAR3-01,19.207813,13.332457
TCGA-49-AAR4-01,18.99903,13.030403
TCGA-49-AAR9-01,18.7677,13.224485
TCGA-49-AARE-01,19.465878,10.390514
TCGA-49-AARN-01,17.907835,13.8197775
TCGA-49-AARO-01,19.555853,10.354712
TCGA-49-AARQ-01,18.840544,12.717683
TCGA-49-AARR-01,18.066998,13.8009615
TCGA-4B-A93V-01,16.565115,10.512355
TCGA-50-5044-01,18.794806,13.997842
TCGA-50-5045-01,18.994005,13.985222
TCGA-50-5049-01,19.117258,11.409043
TCGA-50-5051-01,18.573614,11.6772375
TCGA-50-5055-01,18.99526,13.940207
TCGA-50-5066-01,19.334888,12.672291
TCGA-50-5068-01,19.292288,10.85944
TCGA-50-5072-01,19.713648,11.006524
TCGA-50-5930-01,19.045666,13.920224
TCGA-50-5931-01,19.603197,12.121947
TCGA-50-5932-01,19.397224,13.0039625
TCGA-50-5933-01,18.801308,11.242765
TCGA-50-5935-01,17.92716,11.880503
TCGA-50-5936-01,20.136518,12.702213
TCGA-50-5939-01,19.538374,13.262612
TCGA-50-5941-01,18.908442,10.570732
TCGA-50-5942-01,18.295341,13.785784
TCGA-50-5944-01,18.03292,11.812497
TCGA-50-5946-01,19.619263,10.786671
TCGA-50-6590-01,18.9371,11.26342
TCGA-50-6591-01,19.392317,10.91743
TCGA-50-6592-01,18.935646,13.822048
TCGA-50-6593-01,19.693205,11.114429
TCGA-50-6594-01,19.883703,11.672837
TCGA-50-6595-01,18.742416,13.864344
TCGA-50-6597-01,19.699108,12.248804
TCGA-50-6673-01,19.902029,11.980682
TCGA-50-7109-01,18.5706,10.931941
TCGA-50-8457-01,16.008568,13.313576
TCGA-50-8459-01,15.872909,13.945426
TCGA-50-8460-01,16.000694,13.43291
TCGA-53-7624-01,19.99454,11.351922
TCGA-53-7626-01,19.462976,12.797369
TCGA-53-7813-01,17.634447,11.391155
TCGA-53-A4EZ-01,15.772921,10.487431
TCGA-55-1592-01,19.059963,10.88519
TCGA-55-1594-01,19.653843,11.586151
TCGA-55-1595-01,17.067266,11.113002
TCGA-55-1596-01,19.094673,10.526934
TCGA-55-5899-01,18.635408,10.72837
TCGA-55-6543-01,16.72933,13.122483
TCGA-55-6642-01,19.588123,12.152329
TCGA-55-6712-01,17.80948,10.726789
TCGA-55-6968-01,17.781643,13.036248
TCGA-55-6969-01,19.978807,11.15419
TCGA-55-6970-01,18.411043,13.124574
TCGA-55-6971-01,17.563467,11.81833
TCGA-55-6972-01,18.48168,12.588518
TCGA-55-6975-01,20.068888,12.664774
TCGA-55-6978-01,17.896975,13.411686
TCGA-55-6979-01,18.223892,12.217037
TCGA-55-6980-01,17.671026,12.73317
TCGA-55-6981-01,18.955256,10.7492485
TCGA-55-6982-01,19.889837,11.722632
TCGA-55-6983-01,19.689157,13.030134
TCGA-55-6984-01,18.667141,13.580313
TCGA-55-6985-01,19.821856,11.851474
TCGA-55-6986-01,18.502897,13.733783
TCGA-55-6987-01,17.879595,12.762578
TCGA-55-7227-01,15.94545,11.579735
TCGA-55-7281-01,15.153968,12.400928
TCGA-55-7283-01,15.344036,12.9015045
TCGA-55-7284-01,15.9916935,13.685204
TCGA-55-7570-01,15.304341,11.7697115
TCGA-55-7573-01,15.121603,12.30917
TCGA-55-7574-01,15.37167,13.261089
TCGA-55-7576-01,16.219034,10.159375
TCGA-55-7724-01,15.456265,11.816139
TCGA-55-7725-01,15.70802,13.007229
TCGA-55-7726-01,15.387661,10.888377
TCGA-55-7727-01,16.114922,12.013372
TCGA-55-7728-01,15.58496,13.522132
TCGA-55-7815-01,17.233318,11.891325
TCGA-55-7816-01,15.63613,12.63138
TCGA-55-7903-01,15.774741,12.466413
TCGA-55-7907-01,15.817346,10.66973
TCGA-55-7910-01,16.418945,10.571275
TCGA-55-7911-01,15.172783,12.486994
TCGA-55-7913-01,15.47307,11.066742
TCGA-55-7914-01,15.612863,12.6978
TCGA-55-7994-01,16.188738,10.884762
TCGA-55-7995-01,15.617617,10.97585
TCGA-55-8085-01,16.33613,13.705686
TCGA-55-8087-01,15.793778,13.040556
TCGA-55-8089-01,16.892725,11.350126
TCGA-55-8090-01,15.871694,13.027814
TCGA-55-8091-01,15.490812,12.10938
TCGA-55-8092-01,16.065762,12.354673
TCGA-55-8094-01,16.152445,10.492292
TCGA-55-8096-01,16.341515,10.247419
TCGA-55-8097-01,15.395406,12.877489
TCGA-55-8203-01,16.282272,10.7933035
TCGA-55-8204-01,15.184798,11.757567
TCGA-55-8205-01,16.704659,11.372475
TCGA-55-8206-01,14.980329,11.996016
TCGA-55-8207-01,15.845846,12.481665
TCGA-55-8208-01,15.10329,11.880484
TCGA-55-8299-01,15.061044,11.836176
TCGA-55-8301-01,16.368944,11.616859
TCGA-55-8302-01,16.419554,11.113252
TCGA-55-8505-01,15.872278,12.189319
TCGA-55-8506-01,15.684235,12.3137865
TCGA-55-8507-01,15.897552,10.545969
TCGA-55-8508-01,15.67455,13.247883
TCGA-55-8510-01,16.156824,10.2893505
TCGA-55-8511-01,15.935328,10.262523
