Sample ID,dim_0,dim_1
TCGA-05-4244-01,18.132975,12.004274
TCGA-05-4249-01,18.881556,11.726707
TCGA-05-4250-01,19.067415,12.138177
TCGA-05-4382-01,18.432745,11.592121
TCGA-05-4384-01,18.90005,13.441724
TCGA-05-4389-01,17.923603,11.700442
TCGA-05-4390-01,18.443485,11.30308
TCGA-05-4395-01,18.041634,11.478101
TCGA-05-4396-01,19.09438,13.398556
TCGA-05-4397-01,18.799355,13.246699
TCGA-05-4398-01,18.14258,11.418968
TCGA-05-4402-01,17.930902,11.315476
TCGA-05-4403-01,18.862726,13.1626215
TCGA-05-4405-01,17.67939,11.558728
TCGA-05-4410-01,18.021748,12.195385
TCGA-05-4415-01,19.367374,12.870344
TCGA-05-4417-01,18.64742,11.598702
TCGA-05-4418-01,19.005756,13.375818
TCGA-05-4420-01,17.756153,11.599174
TCGA-05-4422-01,19.007286,13.398232
TCGA-05-4424-01,17.949669,12.123133
TCGA-05-4425-01,18.687092,13.145054
TCGA-05-4426-01,18.92453,13.15211
TCGA-05-4427-01,18.20079,11.340198
TCGA-05-4430-01,17.927505,11.843797
TCGA-05-4432-01,18.279493,11.912314
TCGA-05-4433-01,18.97883,13.359673
TCGA-05-4434-01,18.729582,13.244429
TCGA-05-5423-01,17.48,12.276905
TCGA-05-5425-01,18.84087,13.49562
TCGA-05-5428-01,17.620205,10.858549
TCGA-05-5429-01,18.637907,13.103016
TCGA-05-5715-01,19.048674,13.015904
TCGA-17-Z000-01,-15.560986,7.3961463
TCGA-17-Z001-01,-15.615655,7.3153415
TCGA-17-Z002-01,-15.581886,7.2098265
TCGA-17-Z003-01,-15.590079,7.334397
TCGA-17-Z004-01,-15.468675,7.2356167
TCGA-17-Z005-01,-15.678918,7.2085357
TCGA-17-Z007-01,-15.414189,7.3678865
TCGA-17-Z009-01,-15.485975,7.378595
TCGA-17-Z010-01,-15.562617,7.2135954
TCGA-17-Z011-01,-15.674454,7.3541965
TCGA-17-Z013-01,-15.625627,7.3849545
TCGA-17-Z014-01,-15.711906,7.5536766
TCGA-17-Z015-01,-15.748871,7.492172
TCGA-17-Z016-01,-15.568797,7.343217
TCGA-17-Z017-01,-15.719867,7.3107095
TCGA-17-Z018-01,-15.537101,7.626119
TCGA-17-Z019-01,-15.343339,7.2053394
TCGA-17-Z020-01,-15.404128,7.555028
TCGA-17-Z021-01,-15.399851,7.180709
TCGA-17-Z022-01,-15.420306,7.5037794
TCGA-17-Z023-01,-15.390363,7.0176344
TCGA-17-Z025-01,-15.690601,7.173914
TCGA-17-Z026-01,-15.807915,7.368563
TCGA-17-Z027-01,-15.599312,7.502027
TCGA-17-Z028-01,-15.478199,7.449105
TCGA-17-Z030-01,-15.381935,7.4475985
TCGA-17-Z031-01,-15.703223,7.699355
TCGA-17-Z032-01,-15.5358515,7.4442754
TCGA-17-Z033-01,-15.789373,7.234504
TCGA-17-Z036-01,-15.41088,7.4661927
TCGA-17-Z037-01,-15.411505,7.237487
TCGA-17-Z041-01,-15.839436,7.23111
TCGA-17-Z042-01,-15.609868,7.1092043
TCGA-17-Z043-01,-15.4402485,7.2096424
TCGA-17-Z044-01,-15.890925,7.153193
TCGA-17-Z045-01,-15.515923,7.02688
TCGA-17-Z047-01,-15.805218,7.122149
TCGA-17-Z048-01,-15.363935,7.2655635
TCGA-17-Z049-01,-15.216987,7.400103
TCGA-17-Z050-01,-15.34253,7.0462337
TCGA-17-Z051-01,-15.876166,7.1126847
TCGA-17-Z052-01,-15.718454,7.46965
TCGA-17-Z053-01,-15.502076,7.329583
TCGA-17-Z054-01,-15.616649,7.106257
TCGA-17-Z055-01,-15.814945,7.2801247
TCGA-17-Z056-01,-15.711874,7.415688
TCGA-17-Z057-01,-15.539042,7.306613
TCGA-17-Z058-01,-15.368847,7.329762
TCGA-17-Z059-01,-15.623909,7.6300745
TCGA-17-Z060-01,-15.465326,7.4503713
TCGA-17-Z061-01,-15.654752,7.2702684
TCGA-17-Z062-01,-15.271175,7.2949867
TCGA-35-3615-01,17.91188,12.556468
TCGA-35-4122-01,17.81748,10.312745
TCGA-35-4123-01,17.501816,10.917498
TCGA-35-5375-01,18.370125,10.315145
TCGA-38-4625-01,18.509676,10.939414
TCGA-38-4626-01,17.803934,12.761349
TCGA-38-4627-01,19.021767,12.789128
TCGA-38-4628-01,19.46273,11.068544
TCGA-38-4631-01,19.793747,11.3289995
TCGA-38-4632-01,19.250666,11.055381
TCGA-38-6178-01,18.229254,9.884898
TCGA-38-7271-01,17.878752,12.952348
TCGA-38-A44F-01,15.456669,12.743903
TCGA-44-2655-01,16.529709,12.120949
TCGA-44-2656-01,16.837145,10.251492
TCGA-44-2657-01,16.497225,12.142567
