Sample ID,dim_0,dim_1
TCGA-05-4244-01,5.0616803,14.386766
TCGA-05-4249-01,5.504161,14.981224
TCGA-05-4250-01,5.38207,15.258911
TCGA-05-4382-01,5.505121,14.424221
TCGA-05-4384-01,3.9621942,15.620524
TCGA-05-4389-01,5.1669655,14.101726
TCGA-05-4390-01,5.618783,14.365076
TCGA-05-4395-01,5.723435,14.084615
TCGA-05-4396-01,4.218499,15.81847
TCGA-05-4397-01,4.379302,15.653216
TCGA-05-4398-01,5.6749916,14.005363
TCGA-05-4402-01,5.6994,13.916754
TCGA-05-4403-01,4.0637083,15.587807
TCGA-05-4405-01,5.245557,13.997855
TCGA-05-4410-01,4.691349,14.641759
TCGA-05-4415-01,4.789161,15.485602
TCGA-05-4417-01,5.6736245,14.659936
TCGA-05-4418-01,4.184841,15.860232
TCGA-05-4420-01,5.351298,14.013702
TCGA-05-4422-01,4.2462897,15.862205
TCGA-05-4424-01,4.6823106,14.353383
TCGA-05-4425-01,4.195995,15.799014
TCGA-05-4426-01,4.3830605,15.89886
TCGA-05-4427-01,5.4680815,14.371981
TCGA-05-4430-01,5.1132817,14.102886
TCGA-05-4432-01,5.1041827,14.358376
TCGA-05-4433-01,4.322344,15.946408
TCGA-05-4434-01,3.9335575,15.67349
TCGA-05-5423-01,4.298758,14.005134
TCGA-05-5425-01,3.8785472,15.530761
TCGA-05-5428-01,5.775454,13.222988
TCGA-05-5429-01,4.3043833,15.169755
TCGA-05-5715-01,4.633977,15.63129
TCGA-17-Z000-01,-3.1509573,-2.5086684
TCGA-17-Z001-01,-3.0486488,-2.6348557
TCGA-17-Z002-01,-3.064936,-2.417945
TCGA-17-Z003-01,-3.1865366,-2.5851634
TCGA-17-Z004-01,-2.9461107,-2.4431412
TCGA-17-Z005-01,-2.9177866,-2.4009519
TCGA-17-Z007-01,-3.2071497,-2.5643697
TCGA-17-Z009-01,-3.2295055,-2.3454773
TCGA-17-Z010-01,-3.147452,-2.4764118
TCGA-17-Z011-01,-3.0082035,-2.3677642
TCGA-17-Z013-01,-3.1853902,-2.5181754
TCGA-17-Z014-01,-3.0924795,-2.2869704
TCGA-17-Z015-01,-2.961743,-2.5762827
TCGA-17-Z016-01,-3.03644,-2.2597213
TCGA-17-Z017-01,-3.017688,-2.158297
TCGA-17-Z018-01,-2.8870869,-2.5149403
TCGA-17-Z019-01,-2.931349,-2.4289958
TCGA-17-Z020-01,-3.2330005,-2.4887128
TCGA-17-Z021-01,-2.9231021,-2.577727
TCGA-17-Z022-01,-2.9468925,-2.5567613
TCGA-17-Z023-01,-2.9659855,-2.5150387
TCGA-17-Z025-01,-3.302007,-2.5622635
TCGA-17-Z026-01,-2.8371797,-2.2953956
TCGA-17-Z027-01,-3.1901724,-2.4358819
TCGA-17-Z028-01,-3.3826451,-2.6648877
TCGA-17-Z030-01,-2.981514,-2.4805064
TCGA-17-Z031-01,-2.8430643,-2.4758475
TCGA-17-Z032-01,-3.427284,-2.3467107
TCGA-17-Z033-01,-2.9846182,-2.26605
TCGA-17-Z036-01,-3.1520188,-2.7299535
TCGA-17-Z037-01,-3.015532,-2.4281957
TCGA-17-Z041-01,-3.0462482,-2.7993696
TCGA-17-Z042-01,-3.243497,-2.192616
TCGA-17-Z043-01,-2.83678,-2.3015018
TCGA-17-Z044-01,-3.2242885,-2.7766294
TCGA-17-Z045-01,-2.783418,-2.3375916
TCGA-17-Z047-01,-3.1219952,-2.7155325
TCGA-17-Z048-01,-3.1243436,-2.363906
TCGA-17-Z049-01,-2.8077323,-2.5000968
TCGA-17-Z050-01,-3.0004215,-2.2199626
TCGA-17-Z051-01,-3.180775,-2.6496394
TCGA-17-Z052-01,-3.3709762,-2.5862439
TCGA-17-Z053-01,-3.0609198,-2.305268
TCGA-17-Z054-01,-3.3202412,-2.5651107
TCGA-17-Z055-01,-2.9850004,-2.712853
TCGA-17-Z056-01,-2.8654213,-2.1703222
TCGA-17-Z057-01,-2.9886723,-2.8947651
TCGA-17-Z058-01,-3.2257488,-2.582628
TCGA-17-Z059-01,-3.1398802,-2.4182804
TCGA-17-Z060-01,-3.3582175,-2.290142
TCGA-17-Z061-01,-2.911429,-2.7642531
TCGA-17-Z062-01,-3.3301518,-2.5321126
TCGA-35-3615-01,4.40089,14.27583
TCGA-35-4122-01,6.3396783,13.230816
TCGA-35-4123-01,5.658311,13.148901
TCGA-35-5375-01,6.3677363,13.403241
TCGA-38-4625-01,6.0513196,14.112505
TCGA-38-4626-01,3.8514056,14.274067
TCGA-38-4627-01,4.367394,15.390059
TCGA-38-4628-01,6.5147877,14.706506
TCGA-38-4631-01,6.179857,15.273501
TCGA-38-4632-01,6.4818163,14.338969
TCGA-38-6178-01,6.9340773,13.275147
TCGA-38-7271-01,4.001987,14.324204
TCGA-38-A44F-01,3.505399,12.40629
TCGA-44-2655-01,3.9390292,12.672378
TCGA-44-2656-01,5.6764197,12.127567
TCGA-44-2657-01,3.927771,12.536981
TCGA-44-2659-01,5.566026,11.263951
TCGA-44-2662-01,5.6103773,11.510721
TCGA-44-2665-01,3.6118073,12.626694
TCGA-44-2666-01,3.6439624,13.574376
TCGA-44-2668-01,4.5050836,12.4368925
TCGA-44-3396-01,3.2973235,12.254745
TCGA-44-3398-01,3.3442762,12.685545
TCGA-44-3917-01,5.4199567,11.56809
TCGA-44-3918-01,4.207477,12.106558
TCGA-44-3919-01,4.132395,11.9499
TCGA-44-4112-01,3.4903612,12.907129
TCGA-44-5643-01,6.141167,11.9882965
TCGA-44-5644-01,5.760834,10.666151
TCGA-44-5645-01,3.5198257,12.82009
TCGA-44-6144-01,4.4328356,11.346106
TCGA-44-6145-01,4.5139256,11.181501
TCGA-44-6146-01,2.4486601,12.192902
TCGA-44-6148-01,2.7236326,12.485558
TCGA-44-6774-01,2.7136025,12.504668
TCGA-44-6775-01,5.0973835,11.397298
TCGA-44-6776-01,3.7407475,13.541025
TCGA-44-6777-01,5.8259125,14.334951
TCGA-44-6778-01,6.342167,14.067431
TCGA-44-6779-01,6.0267725,14.771976
TCGA-44-7659-01,3.7553196,12.402956
TCGA-44-7660-01,5.615957,11.249498
TCGA-44-7661-01,3.2869587,12.173524
TCGA-44-7662-01,5.6809177,10.992682
TCGA-44-7667-01,5.7912183,10.667088
TCGA-44-7669-01,5.029677,12.579055
TCGA-44-7670-01,5.4956384,10.935369
TCGA-44-7671-01,4.2723475,12.625054
TCGA-44-7672-01,5.1982937,11.270794
TCGA-44-8117-01,5.6615,11.562347
TCGA-44-8119-01,5.5685897,11.116453
TCGA-44-8120-01,4.9596515,11.5404005
TCGA-44-A479-01,4.3268356,11.813016
TCGA-44-A47A-01,5.183562,11.199877
TCGA-44-A47B-01,4.5979924,12.404789
TCGA-44-A47F-01,4.9853673,12.107259
TCGA-44-A47G-01,3.2709405,12.183242
TCGA-44-A4SS-01,3.6519523,12.703268
TCGA-44-A4SU-01,3.3298643,11.963748
TCGA-49-4486-01,3.6493847,14.332594
TCGA-49-4487-01,6.8243184,14.241502
TCGA-49-4488-01,6.923801,14.22375
TCGA-49-4490-01,6.907593,13.9654455
TCGA-49-4494-01,3.495269,14.470293
TCGA-49-4501-01,6.401006,14.549444
TCGA-49-4505-01,6.506464,14.5135145
TCGA-49-4506-01,5.3689094,15.380943
TCGA-49-4507-01,5.6401243,14.017658
TCGA-49-4510-01,6.342535,14.628331
TCGA-49-4512-01,6.790525,13.993055
TCGA-49-4514-01,3.8823178,14.170396
TCGA-49-6742-01,4.8626842,15.638368
TCGA-49-6743-01,6.8940563,14.499423
TCGA-49-6744-01,3.4473217,13.836639
TCGA-49-6745-01,3.3892767,14.4416895
TCGA-49-6761-01,5.4939713,13.785416
TCGA-49-6767-01,6.9480505,14.158261
TCGA-49-AAQV-01,3.1862905,13.961652
TCGA-49-AAR0-01,3.5107584,14.020752
TCGA-49-AAR2-01,4.71633,15.392619
TCGA-49-AAR3-01,4.5492473,15.375409
TCGA-49-AAR4-01,4.5930915,15.027702
TCGA-49-AAR9-01,4.2274647,14.773645
TCGA-49-AARE-01,6.8574457,14.056164
TCGA-49-AARN-01,3.4000666,14.095074
TCGA-49-AARO-01,6.8772497,14.188711
TCGA-49-AARQ-01,4.7937217,14.576283
TCGA-49-AARR-01,3.6189892,14.382084
TCGA-4B-A93V-01,6.252578,11.130124
TCGA-50-5044-01,3.709181,15.19494
TCGA-50-5045-01,3.619201,15.234242
TCGA-50-5049-01,5.924571,13.792004
TCGA-50-5051-01,5.582789,13.820102
TCGA-50-5055-01,3.6944003,15.244373
TCGA-50-5066-01,5.0947957,15.062156
TCGA-50-5068-01,6.4477396,14.290961
TCGA-50-5072-01,6.7904973,14.962371
TCGA-50-5930-01,3.7337284,15.352083
TCGA-50-5931-01,5.851669,14.976462
TCGA-50-5932-01,4.8255286,15.229049
TCGA-50-5933-01,6.0795813,14.440075
TCGA-50-5935-01,4.821617,13.484527
TCGA-50-5936-01,5.506548,15.527025
TCGA-50-5939-01,4.452776,15.399062
TCGA-50-5941-01,6.76459,13.747383
TCGA-50-5942-01,3.7245655,14.523529
TCGA-50-5944-01,4.9205294,13.584777
TCGA-50-5946-01,6.842748,14.733844
TCGA-50-6590-01,6.0393853,13.800421
TCGA-50-6591-01,6.358488,14.103442
TCGA-50-6592-01,3.7434523,15.1962805
TCGA-50-6593-01,6.570602,14.542345
TCGA-50-6594-01,6.1088552,15.224329
TCGA-50-6595-01,3.6761475,14.899699
TCGA-50-6597-01,5.4529305,15.120394
TCGA-50-6673-01,5.796546,15.361846
TCGA-50-7109-01,6.3291388,13.575962
TCGA-50-8457-01,3.3094985,12.441997
TCGA-50-8459-01,2.392645,12.108174
TCGA-50-8460-01,3.1958072,12.553722
TCGA-53-7624-01,6.278244,15.057097
TCGA-53-7626-01,4.687283,15.108318
TCGA-53-7813-01,5.58499,13.060292
TCGA-53-A4EZ-01,5.5075808,10.94682
TCGA-55-1592-01,6.6834135,14.0235195
TCGA-55-1594-01,6.1719823,14.720568
TCGA-55-1595-01,5.646739,12.597298
TCGA-55-1596-01,6.7181945,13.805413
TCGA-55-5899-01,6.78851,13.557559
TCGA-55-6543-01,3.687601,12.956001
TCGA-55-6642-01,5.4480715,14.922118
TCGA-55-6712-01,5.1295857,12.7805
TCGA-55-6968-01,3.9657474,13.696677
TCGA-55-6969-01,6.589127,15.071464
TCGA-55-6970-01,4.1883345,14.505146
TCGA-55-6971-01,5.2070103,13.5343685
TCGA-55-6972-01,4.7822475,14.251562
TCGA-55-6975-01,5.234791,15.594903
TCGA-55-6978-01,4.738042,13.990082
TCGA-55-6979-01,4.8440714,13.877022
TCGA-55-6980-01,4.3126106,13.569464
TCGA-55-6981-01,6.8175273,13.867266
TCGA-55-6982-01,6.0720983,14.954381
TCGA-55-6983-01,4.6520476,15.341464
TCGA-55-6984-01,3.9020808,14.894012
TCGA-55-6985-01,6.0099473,15.416978
TCGA-55-6986-01,3.645152,14.486573
TCGA-55-6987-01,4.310858,13.681266
TCGA-55-7227-01,4.487749,10.720796
TCGA-55-7281-01,3.6390374,11.291238
TCGA-55-7283-01,3.522373,11.278365
TCGA-55-7284-01,2.6768525,11.861519
TCGA-55-7570-01,4.285048,11.115881
TCGA-55-7573-01,3.741342,11.133854
TCGA-55-7574-01,3.1912858,11.585281
TCGA-55-7576-01,6.080772,11.159723
TCGA-55-7724-01,4.1897273,11.149462
TCGA-55-7725-01,3.2369561,11.589272
TCGA-55-7726-01,5.150982,10.642172
TCGA-55-7727-01,3.8512495,11.606949
TCGA-55-7728-01,2.981192,11.588333
TCGA-55-7815-01,4.743742,12.912734
TCGA-55-7816-01,3.4460092,11.201102
TCGA-55-7903-01,3.8327332,11.000569
TCGA-55-7907-01,5.1493344,10.918855
TCGA-55-7910-01,6.200785,11.081561
TCGA-55-7911-01,3.6837413,11.195092
TCGA-55-7913-01,5.1032867,10.532135
TCGA-55-7914-01,3.541199,11.238918
TCGA-55-7994-01,5.491887,10.996087
TCGA-55-7995-01,5.149117,10.538048
TCGA-55-8085-01,2.8060093,12.83289
TCGA-55-8087-01,3.341064,11.470213
TCGA-55-8089-01,4.8263416,11.423735
TCGA-55-8090-01,3.2270591,11.645026
TCGA-55-8091-01,3.9993792,11.167091
TCGA-55-8092-01,4.2988853,11.776738
TCGA-55-8094-01,5.8549643,10.930039
TCGA-55-8096-01,6.049903,11.3386755
TCGA-55-8097-01,3.2917597,11.4479885
TCGA-55-8203-01,5.8001175,10.685213
TCGA-55-8204-01,4.3218703,10.940517
TCGA-55-8205-01,5.180527,12.368496
TCGA-55-8206-01,4.5132284,12.250406
TCGA-55-8207-01,3.8121965,11.593242
TCGA-55-8208-01,4.339444,10.9366455
TCGA-55-8299-01,4.441928,10.751224
TCGA-55-8301-01,4.655166,11.096223
TCGA-55-8302-01,4.9777765,11.068388
TCGA-55-8505-01,3.7684872,10.954366
TCGA-55-8506-01,4.175172,11.59454
TCGA-55-8507-01,5.271514,10.734938
TCGA-55-8508-01,2.9049826,11.561862
TCGA-55-8510-01,5.9221234,11.046371
TCGA-55-8511-01,5.7803774,10.574966
TCGA-55-8512-01,2.9054668,11.792107
TCGA-55-8513-01,2.531741,12.064619
TCGA-55-8514-01,5.329523,10.683867
TCGA-55-8614-01,5.439577,10.694521
TCGA-55-8615-01,5.2254434,10.479598
TCGA-55-8616-01,5.960198,11.132009
TCGA-55-8619-01,2.6143408,11.948749
TCGA-55-8620-01,3.279511,11.523975
TCGA-55-8621-01,3.1600695,11.851675
TCGA-55-A48X-01,4.5307016,12.132516
TCGA-55-A48Y-01,3.871396,11.709163
TCGA-55-A48Z-01,3.5993135,11.551318
TCGA-55-A490-01,4.999878,10.736677
TCGA-55-A491-01,5.2327824,10.606024
TCGA-55-A492-01,4.268413,11.158626
TCGA-55-A493-01,5.077263,11.302206
TCGA-55-A494-01,6.0069876,10.893697
TCGA-55-A4DF-01,4.4998593,10.6691065
TCGA-55-A4DG-01,5.6080565,10.851926
TCGA-55-A57B-01,3.6509132,11.519331
TCGA-62-8394-01,5.5306253,14.302317
