	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
TCGA-05-4427-01	-0.092784435	0.2800864	0.02622947	-0.4962317	0.1461324	0.08824076	0.06419455	-0.2104405	0.38295555	-0.018352944	-0.22551136	0.32215637	-0.018792523	-0.06530468	-0.066344984	-0.5270769
TCGA-05-4430-01	0.09982669	0.06335734	-0.14618813	-0.6272096	0.01196157	-0.15911062	-0.0103452355	-0.15390633	0.305913	-0.2398271	0.12337782	0.25355652	-0.2716571	0.1663887	0.084435895	-0.42752683
TCGA-05-4432-01	0.03766675	0.27241954	0.14401236	-0.21201289	0.23067833	-0.09625668	-0.09516807	-0.18326552	0.4456469	-0.356181	-0.12208944	0.14106137	0.030790763	0.08833131	-0.07876045	-0.61508924
TCGA-05-4433-01	0.05943285	0.29851562	-0.19352815	-0.67548144	-0.33159906	-0.12669821	0.024121378	-0.17363036	0.21550293	0.09515243	-0.25564685	0.22536765	-0.1662199	0.11983595	0.16077796	-0.13193727
TCGA-05-4434-01	0.44788378	0.54658073	0.076515205	0.0847944	0.024598539	0.21614055	0.06772022	-0.34379163	0.15795504	-0.19037987	0.25146633	-0.20029493	0.30127323	0.13086571	-0.14617948	-0.15393801
TCGA-05-5423-01	0.08360981	-0.17341207	-0.19754462	-0.5047128	0.14775169	-0.2583898	0.0056908196	-0.06240402	0.24460332	-0.30721804	0.047708	0.32115054	-0.3600209	0.07491246	0.07984083	-0.41884056
TCGA-05-5425-01	0.20624386	0.2823776	0.21033266	-0.058556344	0.29336342	-0.13066363	0.0055880877	-0.12220624	0.41465262	-0.38567585	-0.0358933	0.08470501	0.12277461	0.08705332	0.005810741	-0.6001046
TCGA-05-5428-01	0.3290582	0.49129957	0.16287427	-0.05778962	-0.07892987	-0.04481964	-0.18002763	-0.20561683	0.3099492	-0.41243586	0.10871077	-0.2568361	0.12464926	0.34407654	-0.008040835	-0.2441422
TCGA-05-5429-01	0.31181213	0.63622683	0.19682723	-0.12016993	-0.092673935	0.18193512	0.01803571	-0.28874013	0.282195	-0.12955037	0.13010545	-0.17012215	0.27590504	0.20123291	-0.09828443	-0.22551598
TCGA-05-5715-01	0.4381844	0.21573912	0.20853034	0.21236578	0.35830927	-0.049396675	0.075260684	-0.02656649	0.26296607	-0.4953217	0.0980549	-0.052177742	0.13222566	0.07566322	0.106996216	-0.41735205
TCGA-17-Z000-01	0.4263662	0.07649921	-0.20597276	0.31329086	0.43052462	0.26497325	0.0796021	-0.371059	-0.19352886	-0.20650074	0.22336987	-0.14570045	0.17468533	-0.12168428	-0.27499768	0.005982933
TCGA-17-Z001-01	0.24930076	-0.059697777	0.45732138	0.30827102	0.36732802	-0.2725537	0.097143866	0.3231539	0.010515518	-0.3252283	-0.08615669	-0.17853025	0.15126623	0.12058217	0.29498595	-0.19342275
TCGA-17-Z002-01	0.4343392	0.06691334	-0.11557357	0.3529362	0.42925045	0.30453175	0.062802926	-0.34186286	-0.20805162	-0.24920534	0.19500838	-0.14097527	0.1584985	-0.13126898	-0.254112	0.030392403
TCGA-17-Z003-01	0.304487	-0.07410759	0.43486798	0.37516862	0.28955424	-0.38375145	0.05717103	0.22129333	-0.05486242	-0.32428992	-0.11293592	-0.14153548	0.15094888	0.13446105	0.26443428	-0.19192864
TCGA-17-Z004-01	0.42753562	0.0765624	-0.20137858	0.31463227	0.43076915	0.26760882	0.078683175	-0.36925757	-0.19334543	-0.20965323	0.2225403	-0.1465123	0.17341414	-0.121835515	-0.2734813	0.0071155187
TCGA-17-Z005-01	0.42769992	0.077756174	-0.20378467	0.31260324	0.42997265	0.2676116	0.07880705	-0.37003955	-0.19177394	-0.20911363	0.22424386	-0.14713971	0.17319027	-0.121458046	-0.27370366	0.006608894
TCGA-17-Z007-01	0.432819	0.067215286	-0.112622544	0.35438448	0.42781377	0.30650368	0.06225756	-0.34264457	-0.20988566	-0.2489683	0.1930986	-0.1393637	0.1584555	-0.13224335	-0.25554356	0.031330604
TCGA-17-Z009-01	0.43389404	0.066863075	-0.115177564	0.35342574	0.42877296	0.30473244	0.06263132	-0.34227633	-0.20859002	-0.24885604	0.19478959	-0.1402776	0.15865317	-0.13162452	-0.2545793	0.030649582
TCGA-17-Z010-01	0.09547457	0.008126571	0.33716738	0.34383065	0.31892067	-0.3662208	0.026116572	0.31105283	0.12898329	-0.27676097	0.09764174	-0.06461068	0.26163682	0.14908203	0.34743753	-0.32759622
TCGA-17-Z011-01	0.4340916	0.0669866	-0.114943534	0.35312843	0.42914757	0.3049416	0.06277959	-0.34187716	-0.2083822	-0.24926534	0.19446827	-0.1408637	0.15844572	-0.13135897	-0.2543226	0.030500855
TCGA-17-Z013-01	0.43286657	0.067074	-0.11303302	0.35433564	0.42803422	0.3061276	0.062387437	-0.3426376	-0.20988859	-0.24880165	0.19315456	-0.139413	0.15858212	-0.1321701	-0.255513	0.031193096
TCGA-17-Z014-01	0.2772703	-0.06597744	0.43648508	0.29549882	0.3415323	-0.34656242	0.11888452	0.31506342	0.020576224	-0.29618064	-0.06800316	-0.1651421	0.16172375	0.12292012	0.29723787	-0.20279087
TCGA-17-Z015-01	-0.12713991	0.20216255	0.07929644	-0.19680525	0.36113033	0.01411233	-0.040971264	-0.18724307	0.40070745	-0.2114235	-0.10190028	0.26074845	0.078329906	-0.06196502	-0.1107477	-0.65169984
TCGA-17-Z016-01	0.30012152	-0.061265185	0.4653871	0.38474283	0.27893484	-0.34267682	0.043843474	0.22546352	-0.049091466	-0.34306002	-0.10830224	-0.137455	0.14297138	0.12769964	0.26994652	-0.18229319
TCGA-17-Z017-01	0.27504537	-0.08098683	0.3775916	0.28909844	0.34402928	-0.3787339	0.15268372	0.33249417	0.02308785	-0.24587305	-0.086318105	-0.14711149	0.17336088	0.13136113	0.33048072	-0.22219607
TCGA-17-Z018-01	0.2637021	-0.05972729	0.45739773	0.30707282	0.3483883	-0.29942122	0.1034234	0.3201453	0.017214091	-0.31573665	-0.073938265	-0.16822362	0.15444843	0.11889486	0.29951623	-0.19421187
TCGA-17-Z019-01	0.42808342	0.07754847	-0.2080055	0.31042293	0.43156838	0.2649458	0.08023329	-0.3697917	-0.19069742	-0.20776999	0.2247409	-0.14861915	0.17371546	-0.12022837	-0.27328518	0.0049592177
TCGA-17-Z020-01	0.43338677	0.066909805	-0.11413527	0.3538126	0.42870408	0.3053268	0.06267767	-0.3423133	-0.20931502	-0.24884182	0.19366898	-0.14005326	0.15864123	-0.13177167	-0.25501817	0.03078409
TCGA-17-Z021-01	0.29804635	-0.04987965	0.47350386	0.3687016	0.28798473	-0.3285196	0.04501726	0.22667867	-0.042227834	-0.3569629	-0.11301303	-0.15491219	0.1371751	0.1324969	0.25906703	-0.18654768
TCGA-17-Z022-01	-0.27350584	-0.06369739	-0.2328714	-0.24726608	-0.1951087	-0.08638282	-0.48532012	0.0706513	0.014168383	-0.29995707	0.035541836	-0.082661614	-0.2988686	0.34364268	0.46231312	0.017136242
TCGA-17-Z023-01	0.2676722	-0.06159177	0.4466582	0.29897892	0.35082144	-0.31624183	0.11099846	0.31873846	0.01803601	-0.30925617	-0.075963505	-0.17185055	0.15650432	0.122718915	0.29662582	-0.19964607
TCGA-17-Z025-01	0.2940115	-0.04344148	0.48604426	0.37273577	0.2864736	-0.3105614	0.04668004	0.23096798	-0.039146155	-0.35876304	-0.110962965	-0.14914462	0.13884348	0.12714866	0.26047477	-0.18538268
TCGA-17-Z026-01	0.10649244	0.336123	0.1846889	-0.43026748	-0.060992572	-0.24118517	0.053841345	-0.13474648	0.44723085	-0.17262864	-0.2210217	0.1824358	0.010526801	0.14837986	-0.10374326	-0.47817895
TCGA-17-Z027-01	0.43620974	0.06858808	-0.11331171	0.35069987	0.43002903	0.30731073	0.06266486	-0.3394237	-0.20529568	-0.25289392	0.19493851	-0.1445967	0.15634711	-0.12989922	-0.25188103	0.030221151
TCGA-17-Z028-01	0.050991487	0.25921008	0.10974352	-0.187143	0.2697263	-0.12286564	-0.055664074	-0.21626537	0.42479327	-0.32368243	-0.090089746	0.17322701	0.07038258	0.052077033	-0.12246252	-0.631997
TCGA-17-Z030-01	0.22795342	0.3585493	0.17771043	-0.15434906	0.15472557	-0.21645357	-0.0012127517	-0.19845779	0.4297094	-0.30111864	-0.029653385	0.07852625	0.15428299	0.14265804	-0.055613466	-0.569456
TCGA-17-Z031-01	-0.09688415	0.54501134	0.31824386	-0.43224722	-0.3208961	0.2297671	-0.02073145	-0.052751984	0.23266941	0.26843846	0.009851456	-0.092607245	0.17646374	0.19027323	0.18799199	-0.09448679
TCGA-17-Z032-01	0.42714915	0.07742909	-0.20682338	0.31173655	0.4304244	0.26553294	0.079648264	-0.37076685	-0.19191499	-0.20720342	0.22444934	-0.14697163	0.17404309	-0.121133134	-0.27435142	0.0056813997
TCGA-17-Z033-01	0.3556578	-0.055065703	0.3553358	0.26124397	0.26472303	-0.5139874	0.123884164	0.17043674	0.06951351	-0.379024	-0.10891658	-0.032962512	0.12377015	0.14442086	0.111734286	-0.29530397
TCGA-17-Z036-01	0.43520072	0.06701778	-0.11647742	0.35206196	0.42988938	0.30410624	0.06298297	-0.34124547	-0.20693168	-0.2497789	0.19582127	-0.14207233	0.15823036	-0.13071142	-0.25323904	0.030008288
TCGA-17-Z037-01	0.42708075	0.07732174	-0.20423685	0.3130562	0.4301183	0.26696348	0.07916904	-0.37046683	-0.19273338	-0.208094	0.22347283	-0.14646585	0.17373694	-0.121640876	-0.27433077	0.0064620455
TCGA-17-Z041-01	0.43365988	0.06676649	-0.11509978	0.35365993	0.428686	0.30468377	0.062639795	-0.34245333	-0.20892268	-0.24860793	0.194571	-0.13997655	0.15879032	-0.13175432	-0.25482187	0.030698705
TCGA-17-Z042-01	0.26816532	-0.06192077	0.45266962	0.30505145	0.34778696	-0.31527236	0.10797207	0.3157523	0.015415151	-0.31049913	-0.07268635	-0.1675753	0.15794802	0.11939639	0.29442954	-0.1966548
TCGA-17-Z043-01	0.27503002	-0.062180266	0.44786364	0.3021628	0.3362011	-0.32912236	0.112860195	0.31828034	0.022578228	-0.30242836	-0.0662609	-0.16104625	0.15862884	0.11984058	0.303437	-0.19828606
TCGA-17-Z044-01	0.4344065	0.06740122	-0.11446954	0.35287714	0.4286881	0.30564642	0.06241507	-0.34173733	-0.20775184	-0.24989825	0.1950565	-0.14108829	0.15801972	-0.13137066	-0.2539931	0.030747153
TCGA-17-Z045-01	-0.039341427	0.017264733	-0.115221046	-0.3377468	0.31274614	-0.15856384	-0.050683096	-0.13508545	0.33411816	-0.34216553	0.030958796	0.327815	-0.16783457	0.0016267365	-0.027432512	-0.60081524
TCGA-17-Z047-01	0.4311149	0.06573758	-0.11429776	0.35621893	0.42755997	0.30415922	0.062635936	-0.34445184	-0.21246248	-0.24588054	0.19241317	-0.13658173	0.16027132	-0.13322772	-0.25745034	0.03130081
TCGA-17-Z048-01	0.42887473	0.07751722	-0.20501523	0.31138158	0.43159178	0.266459	0.07936991	-0.36866724	-0.19041328	-0.20993738	0.22470556	-0.14903383	0.17290924	-0.120390825	-0.27225193	0.0057888306
TCGA-17-Z049-01	0.044470616	0.26183233	0.11155918	-0.18421791	0.27308226	-0.11788317	-0.057063356	-0.21344647	0.42624253	-0.31903753	-0.085881315	0.17376854	0.07608035	0.05061967	-0.11497269	-0.6349728
TCGA-17-Z050-01	0.2877466	-0.056041095	0.47327846	0.36794624	0.3039388	-0.31530607	0.04044469	0.23395571	-0.044500984	-0.36079618	-0.11216967	-0.16206078	0.13641585	0.13072641	0.25842962	-0.18174736
TCGA-17-Z051-01	0.29921064	-0.05087629	0.47372088	0.36546883	0.28765714	-0.3337512	0.049299907	0.23070441	-0.037792925	-0.3527676	-0.106578045	-0.15315314	0.13959758	0.13057676	0.2608815	-0.1866255
TCGA-17-Z052-01	0.27231908	-0.069683045	0.43374774	0.29755878	0.3486937	-0.34033808	0.116968356	0.31793317	0.017391356	-0.2964806	-0.071091086	-0.16706249	0.16145507	0.122856535	0.2988146	-0.201269
TCGA-17-Z053-01	0.33857477	-0.07045023	0.39309412	0.30030432	0.28384653	-0.46008518	0.06531176	0.18889618	0.020802233	-0.39461204	-0.108430594	-0.105837464	0.11357033	0.15225841	0.17052533	-0.24337955
TCGA-17-Z054-01	0.4338312	0.06666912	-0.115549475	0.35347536	0.42899784	0.30432358	0.06279263	-0.34232736	-0.2087621	-0.24857609	0.19468811	-0.14021884	0.15884526	-0.13159218	-0.2546573	0.030514443
TCGA-17-Z055-01	0.22927566	0.001385362	0.003146584	-0.1837423	0.18417399	-0.44657618	0.009849313	-0.06491903	0.3366491	-0.46946397	-0.03976956	0.20866503	-0.13684618	0.12230177	-0.0752242	-0.50774276
TCGA-17-Z056-01	0.048617065	0.2616235	0.111536205	-0.18745561	0.27158147	-0.11833398	-0.054275393	-0.21354559	0.42702287	-0.31805974	-0.08905267	0.17361341	0.073677555	0.050380323	-0.114466146	-0.6345479
TCGA-17-Z057-01	0.26322526	-0.07549735	0.44116202	0.30716515	0.35980102	-0.32451606	0.10536383	0.31682763	0.007868313	-0.30498502	-0.07083953	-0.16989696	0.16083133	0.11842105	0.29295027	-0.19266163
TCGA-17-Z058-01	0.42687666	0.07691119	-0.20288123	0.31417066	0.42986932	0.26717567	0.07865378	-0.3704509	-0.19335227	-0.20841083	0.22331542	-0.14575742	0.17380863	-0.122085236	-0.2744229	0.006990304
TCGA-17-Z059-01	0.26224297	-0.06767159	0.45361435	0.3109139	0.35318598	-0.30699202	0.101170264	0.3183651	0.0115083335	-0.3126243	-0.070825964	-0.16730069	0.15733434	0.116741806	0.29657757	-0.19085671
TCGA-17-Z060-01	0.30194002	-0.054370593	0.4691952	0.37099642	0.28209338	-0.34280723	0.05025997	0.22887732	-0.04014047	-0.34634298	-0.10575123	-0.14590514	0.14202327	0.12974738	0.2650079	-0.18659765
TCGA-17-Z061-01	0.26883212	-0.088596195	0.42538416	0.31126454	0.35056	-0.35344896	0.11062455	0.31946915	0.008710989	-0.28506762	-0.059300587	-0.15573354	0.16731896	0.115471676	0.3050443	-0.19088133
TCGA-17-Z062-01	0.051192522	0.26331607	0.110181294	-0.18105483	0.27248737	-0.11397788	-0.055184223	-0.22344151	0.42184916	-0.3190027	-0.086263835	0.17741583	0.07666147	0.04631942	-0.123563915	-0.6332328
TCGA-35-3615-01	0.3198224	0.6362092	0.20164697	-0.12624297	-0.0973907	0.17393602	0.021764275	-0.2702739	0.2843554	-0.11712928	0.13367862	-0.1892325	0.280915	0.21170963	-0.07300288	-0.21394509
TCGA-35-4122-01	-0.0113607505	0.058951978	0.055346116	0.013283553	0.10093341	-0.03713532	-0.4876425	0.02823953	0.1931736	-0.5736434	0.1086122	-0.25260767	-0.14299105	0.35534278	0.33234513	-0.20937636
TCGA-35-4123-01	-0.10527033	-0.12880032	-0.24260171	-0.36229914	-0.52872014	0.048832126	-0.11146842	-0.101676196	0.02136122	0.2383899	-0.029842066	0.5174413	-0.20690726	-0.04804146	0.29834512	0.13217072
