	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
Diagnosis Age	0.14779824	-0.35661608	0.3922259	0.0882838	-0.19503252	0.19994375	-0.18740346	-0.26761302	0.12771742	0.32241753	-0.462067	-0.13300405	-0.13369572	0.3022823	0.20985888	0.26682493
Neoplasm Disease Stage American Joint Committee on Cancer Code	-0.1654416	-0.39531007	0.19824527	0.307464	0.17258506	-0.2958347	0.24310943	-0.176882	0.018013654	-0.022766419	0.32432345	0.14098367	0.1853531	-0.14364159	0.41127083	0.3286943
American Joint Committee on Cancer Publication Version Type	0.1713366	0.34176528	0.33451244	-0.42728776	0.5328664	0.30000108	-0.2920595	-0.33281636	-0.15831971	-0.045758426	0.05634574	0.045587994	0.4081514	0.059857294	0.0579132	0.045965143
Aneuploidy Score	0.09986269	0.32762247	0.31937954	0.06526838	-0.13776885	-0.83437705	0.1805862	-0.096352756	-0.14928651	0.32154596	0.29256386	0.2811913	0.4709341	-0.16348943	-0.08450521	0.056108776
Center of sequencing	-0.42077112	-0.33303934	-0.0062463204	-0.41272873	0.081890695	0.18313156	0.035492066	-0.3616395	-0.43611205	0.047853846	0.32606664	0.24178906	0.5277865	-0.153289	-0.20848465	-0.12432157
Last Communication Contact from Initial Pathologic Diagnosis Date	-0.16630119	0.45059487	-0.17162918	-0.13573693	-0.1397848	-0.33811817	0.2598055	-0.38743493	0.33577588	0.00949859	0.34646428	-0.3984994	-0.21489884	-0.25018293	-0.010368661	0.15085673
Birth from Initial Pathologic Diagnosis Date	-0.2782042	-0.24004914	0.0949059	-0.2836399	0.30669436	-0.16079164	0.27876887	0.117159665	0.30100197	-0.2424397	-0.26890004	-0.2837109	0.32029596	-0.2740728	0.067960344	0.20194834
Last Alive Less Initial Pathologic Diagnosis Date Calculated Day Value	-0.005813655	0.4912095	-0.1113805	0.09718645	-0.08650117	0.12063974	0.42800176	-0.052582834	-0.6382728	0.042625677	0.5736361	-0.068349935	-0.2511659	0.3011734	0.32192376	-0.43855256
Ethnicity Category	0.06802615	0.04013673	0.18331933	-0.19186682	0.35767567	0.2649143	-0.18254945	0.06650072	-0.23913679	-0.31551218	0.34862837	-0.15671423	-0.20492007	-0.46851495	0.40067485	0.30692562
Form completion date	-0.32068226	-0.09702799	-0.02407753	0.09871493	0.14133164	-0.092654064	0.23137496	-0.33582786	0.3525845	-0.110742964	0.5192167	0.042882755	0.30047268	-0.16238801	-0.17474422	0.25162852
Fraction Genome Altered	0.0880024	0.3390821	0.35173684	-0.35536882	-0.22094584	-0.30718637	0.081486434	-0.11102623	-0.013841424	0.014771418	-0.22331358	-0.29743055	0.18491751	-0.22677208	-0.08790626	0.17225564
Neoadjuvant Therapy Type Administered Prior To Resection Text	0.16472454	-0.046384636	0.13737889	-0.095680065	-0.3386164	-0.42937005	-0.019083783	-0.026052369	0.046346527	-0.38734484	0.39988786	-0.45542315	-0.072756164	-0.21598415	-0.25770485	-0.41243795
ICD-10 Classification	0.15237428	-0.02361423	0.26389307	-0.11871378	-0.4486131	0.21799992	-0.21037601	0.31976476	-0.4869853	-0.3451695	-0.033223744	0.112057075	0.08358827	-0.2695031	0.10207219	-0.3360734
International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code	-0.15289655	-0.117011935	-0.21404962	-0.43753496	0.071631506	-0.24843092	0.15835528	0.44557232	-0.40516153	-0.110716894	-0.2934724	0.23820873	0.34798887	-0.0945069	0.063883014	0.11966165
International Classification of Diseases for Oncology, Third Edition ICD-O-3 Site Code	0.3713923	0.28380892	-0.20007466	0.14203645	0.19951193	-0.17723732	-0.2437077	0.11406112	-0.56457466	-0.119013995	0.20106895	-0.49091282	-0.42534196	0.1593931	0.4575175	0.17186148
Informed consent verified	-0.28026462	0.3855177	-0.11224534	0.043235786	0.28846037	0.18387605	0.0569488	0.37643474	-0.33051166	-0.37922084	0.2501367	0.28632888	0.038164653	-0.26523808	0.35059017	-0.36431202
In PanCan Pathway Analysis	0.07022631	0.35882553	-0.41914105	-0.41405377	0.1232471	-0.29578602	0.30830234	0.5768793	-0.031383965	-0.16197383	-0.24828668	0.3064032	-0.17346266	-0.06793216	-0.29431906	-0.036643043
Mutation Count	-0.11544945	0.44286245	0.40979737	-0.0087660765	-0.11687157	0.3000559	-0.15624677	0.39746875	0.28280035	-0.2864832	-0.05268848	0.23503278	0.22837675	-0.26180223	0.35134667	0.19320357
New Neoplasm Event Post Initial Therapy Indicator	0.20494033	-0.14027217	0.22600846	0.17957	-0.3341638	-0.13717443	-0.25693157	-0.3799147	-0.25982746	-0.25952864	0.20673995	0.38834718	0.15032792	-0.46906883	0.04601196	0.2350512
Other Patient ID	-0.22919065	-0.28819412	-0.07550753	0.14766513	-0.17298882	0.30251402	0.26900554	-0.36140245	-0.0022516253	-0.061381374	0.3893549	-0.18002552	0.22997493	0.23072875	-0.37340125	0.43164116
American Joint Committee on Cancer Metastasis Stage Code	0.08924154	-0.17513727	-0.2788998	0.023073493	0.38219327	0.31012374	-0.5483091	0.3479961	-0.292471	-0.35382244	0.15335253	-0.2958587	0.18498206	0.10805485	0.16738331	-0.3492066
Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code	0.23178342	-0.39361838	-0.16249283	0.5299961	-0.060910076	0.23808789	0.22190124	0.16777214	0.32941577	0.14178948	-0.27520296	0.18091151	-0.089538895	0.2184499	-0.05113311	-0.3218007
American Joint Committee on Cancer Tumor Stage Code	0.0928259	-0.3021998	-0.19888847	0.039587583	0.40430778	-0.054369833	0.24479221	0.14194246	0.22605339	0.037312992	0.13359559	-0.13240117	0.13802165	-0.36165854	-0.49534062	-0.32254872
Person Neoplasm Cancer Status	0.0051840506	-0.15710261	-0.2506302	-0.06716312	0.35920814	-0.21337473	-0.4112275	0.17933683	0.2604004	-0.2567906	-0.27394596	-0.37937388	-0.3515607	0.22231238	-0.2920928	0.31260207
Prior Diagnosis	0.22787571	0.35087645	0.26333755	-0.21222173	0.42519248	-0.049943846	-0.34959257	0.032539863	-0.14197451	0.06636878	-0.08868692	-0.5857988	0.2571571	-0.10707379	-0.06176531	-0.33376807
Race Category	-0.09077701	-0.21545352	-0.29899806	0.22824706	0.05889636	-0.16177954	0.40918475	-0.11228925	0.39877558	0.09660549	-0.424066	0.3844845	0.0059230356	0.21203858	-0.20513853	0.32284224
Radiation Therapy	0.2831368	-0.18540376	0.3471015	0.11149873	-0.1052129	-0.07907601	-0.69035494	0.050141007	-0.13399886	0.18849933	-0.012248933	-0.4325365	0.2590077	-0.15104014	-0.17591651	-0.36934468
Sex	-0.084438704	0.291685	0.11651632	0.0037971223	0.20929134	-0.10675222	0.19807081	0.27395087	-0.39466438	-0.21773557	0.14964488	-0.12869449	0.0062317126	0.34712073	-0.062279366	-0.15415293
10p Status	-0.18564291	0.39067137	-0.06478954	0.34526676	0.47850332	-0.106279574	0.13128296	-0.10600436	-0.023530178	0.049760208	-0.22179796	0.06719323	0.44643825	0.17121704	-0.18816896	-0.4123763
10q Status	-0.4217372	-0.17369695	0.075531535	0.14408445	0.3107761	0.27355388	-0.24151315	0.15807024	-0.12227104	-0.31440824	0.043983154	-0.3003206	0.28353515	0.2563441	0.38826352	-0.31338295
11p Status	0.31626117	0.2283941	0.3095953	-0.41086233	0.20345215	-0.289341	0.070070416	-0.023215229	0.09705674	-0.37740925	-0.06442106	-0.3361537	0.24065506	-0.1379484	-0.05057964	-0.29562175
11q Status	-0.3534582	-0.3427018	-0.16534431	-0.39476952	-0.026027132	0.034081418	-0.4162046	0.3486157	0.24176049	-0.18289384	-0.18178903	0.15150225	0.6454853	0.0302825	-0.010775124	-0.07177365
12p Status	0.3738921	0.22581095	-0.2549529	-0.014057603	-0.05731275	0.35112157	-0.028994812	0.12654234	-0.4944425	-0.25930545	-0.42708313	-0.20529713	0.10229734	0.43861726	0.09912121	-0.0024977452
12q Status	0.021331524	-0.43391073	0.23559667	0.2956432	0.05063139	-0.032195047	-0.23748247	0.13661903	-0.44701633	-0.46156478	0.47504154	0.05653118	0.6006297	0.27216274	-0.383765	0.1520115
13 (13q) Status	0.203231	-0.03309742	-0.34216115	-0.22277787	0.45886683	0.0941214	-0.061201163	-0.37520313	0.379747	0.4002859	0.2964298	0.09232244	-0.06797216	0.18359992	0.3650561	0.12106186
14 (14q) Status	-0.19040571	0.20611705	-0.07297545	-0.31032133	0.2950582	0.31721932	0.2740154	0.44804117	-0.021175375	0.28380266	-0.07957027	-0.44399062	-0.08058027	0.003988407	-0.23151512	-0.16643918
15 (15q) Status	0.10154168	-0.25492194	0.35995445	0.0431536	0.016329732	-0.19760266	0.05837739	-0.17366563	0.26594537	0.077765696	-0.0018009197	0.20093124	0.529551	-0.38108772	-0.4012979	-0.29773477
16p Status	-0.042450435	0.0090260105	0.44067538	-0.33028644	0.4144032	-0.41703236	0.12305666	-0.16265224	0.067500114	0.27383134	-0.33553123	-0.21375397	0.14328814	-0.048704986	-0.17207608	0.25151226
16q Status	0.2602952	-0.02282676	-0.113027595	-0.19127698	0.38208932	-0.30540055	0.4280138	0.6245857	-0.0976406	-0.02145558	-0.16162243	-0.3892346	0.06021213	-0.3021663	0.2381868	-0.022062479
17p Status	0.07916406	0.4225682	-0.1353648	-0.09234763	0.20259744	-0.09245021	0.36245924	-0.11275867	0.1357611	-0.43729404	-0.43520468	0.076136224	0.5466657	0.013759687	-0.51156425	-0.11328908
17q Status	-0.2900626	-0.013481627	0.12049929	0.27052408	-0.05920311	-0.46550816	-0.4237232	-0.24813983	-0.4127047	-0.2531326	0.5115245	-0.43076873	0.149625	0.22182883	-0.03371762	0.27907494
18p Status	0.22769922	-0.17939383	0.30269647	-0.17067163	0.08283119	-0.10334346	0.1372713	0.35096693	-0.5732325	-0.23775335	0.06212313	0.08878156	-0.15836325	0.41645792	-0.013451962	-0.11733684
18q Status	0.20838818	0.33497408	-0.020304734	-0.18553226	-0.16119644	-0.26480362	0.03910628	0.25177166	-0.17335638	-0.29995698	0.27058733	-0.039323505	0.28458905	0.3862954	-0.3403979	-0.37393302
19p Status	-0.023850227	-0.005853424	-0.28179455	0.350829	0.40087438	0.170195	-0.104956746	0.24016584	0.13742964	-0.24772765	0.26324347	-0.25715205	-0.1597604	0.16261964	-0.35872546	0.12451631
19q Status	-0.17089048	-0.34535283	0.15411904	-0.3934709	0.4356314	-0.5040131	-0.24670322	0.42756107	-0.15129077	-0.36217314	-0.08226147	-0.2521514	0.15737748	0.11385011	-0.13875996	0.2042237
1p Status	-0.3586664	0.30949125	-0.4135492	-0.31866702	0.24998978	-0.25508168	0.026070755	0.07223829	-0.033623934	-0.23612975	0.13738407	-0.3974669	-0.105657935	-0.12732886	0.12400231	-0.14109525
1q Status	-0.3169786	-0.0625665	-0.015862891	0.08237275	0.27738094	-0.31690612	0.35967648	-0.12377438	0.45632082	-0.014278839	-0.053398103	-0.39094996	0.44819158	-0.039770607	-0.08169404	-0.0836175
20p Status	-0.37785536	0.050582424	0.05552808	-0.36516625	-0.026087495	0.2233866	0.2660696	0.45235854	-0.36187693	-0.24314359	-0.13910559	-0.30895105	-0.18695314	-0.24497199	-0.11162203	0.23872851
20q Status	-0.16532296	-0.2069842	-0.2283806	-0.13354443	0.034111764	-0.6109899	0.45593393	0.18356122	0.12890318	0.2819203	-0.35897404	-0.1633151	-0.2156238	-0.30405334	0.14156756	-0.14865011
21 (21q) Status	-0.06116362	0.47317737	0.4549726	-0.30043054	-0.023012944	0.15876003	0.24038471	0.4938633	-0.30836177	0.325854	0.38723376	-0.30977303	-0.14167796	0.16240795	-0.351201	-0.14001215
22 (22q) Status	-0.2560986	-0.32375056	0.21958001	0.07748096	0.16507015	0.32685873	-0.38782343	-0.25261387	-0.31593496	-0.24607284	-0.030827578	0.37114185	-0.061233155	0.15289226	-0.21406393	-0.40938613
2p Status	-0.24167112	0.14619339	-0.1822454	0.4038463	0.41450396	0.1318679	-0.05679053	0.26188987	-0.34734854	0.204252	-0.13757168	-0.33684754	0.06270787	-0.2751155	0.16039607	0.30948865
2q Status	0.34906057	0.05375321	0.4835837	0.29794276	-0.21797559	-0.31321606	0.20090234	-0.07568873	-0.32793486	-0.37554172	-0.027382238	0.17105608	0.3589987	-0.36716557	-0.15640725	-0.033012047
3p Status	0.08754356	-0.39407656	-0.00894219	0.19385779	-0.07230087	0.2828804	-0.19271146	-0.20544504	0.09058329	0.34744188	-0.032065716	0.023534257	0.52293795	-0.38891822	0.12422872	-0.40328926
3q Status	-0.09591242	-0.2854572	-0.2576481	-0.09488064	0.25199026	-0.3295562	0.0029281937	0.30433553	-0.52597356	-0.18860385	-0.12529437	-0.38062692	0.42598802	-0.19574682	0.18504822	-0.18590306
4p Status	0.3219649	-0.032066748	0.39677358	0.23086281	-0.2584493	0.4150899	-0.2803074	0.21452922	-0.11601862	0.22979678	-0.2074017	0.08504157	0.07172551	-0.28738654	-0.06588487	0.19128484
4q Status	-0.3131524	-0.14574288	0.16359296	-0.4074087	-0.29035816	-0.24985681	0.10925822	-0.24991299	-0.20501354	-0.16591936	0.03092516	0.26540634	-0.18413408	0.2782698	0.16388713	-0.1453543
5p Status	-0.35610753	-0.056753166	-0.31225553	0.37263423	-0.23020998	-0.3342391	-0.51196057	0.16543151	-0.040985193	-0.31290588	-0.059234243	-0.068620406	0.2639565	-0.13924672	-0.07400195	0.2997441
5q Status	0.15721987	0.027600206	-0.36836028	0.23460743	-0.09650863	-0.37540665	-0.47745505	-0.11797629	0.23661494	-0.13127455	0.2748928	-0.27201608	0.26656282	-0.33230302	-0.35212058	-0.13871998
6p Status	0.4460646	0.195808	0.33464247	0.1916853	0.46224514	0.056375284	-0.055039298	-0.081599005	-0.102170095	0.0012365619	0.3530514	-0.33435735	0.46278092	0.19475019	-0.108544715	0.20858736
6q Status	0.21038365	0.3561958	-0.26569772	0.31832156	0.34908	0.31045547	-0.08900693	0.063753426	-0.3624566	0.3750213	0.017960496	0.113916084	-0.06256149	-0.06613589	0.2186801	-0.46736398
7p Status	0.26035833	0.15563671	0.009636116	-0.34214523	0.34629568	0.28985444	0.109622225	0.28778598	0.3169683	0.0682124	-0.044368222	-0.22218056	-0.12972471	-0.28365755	-0.18737139	0.414855
7q Status	0.31077033	0.3296793	-0.22452055	-0.07629521	-0.14653334	0.4483257	0.083104804	0.14183493	-0.16180474	-0.37645015	0.14539737	-0.3510581	0.09336958	-0.2883665	-0.27321878	0.09966794
8p Status	0.39339712	0.13327807	-0.34238482	0.22558084	0.10390147	0.1574093	-0.21822862	-0.32213095	0.1345296	-0.36506528	-0.30564636	0.06613927	0.39518553	0.19801907	0.04759267	-0.32705086
8q Status	-0.028423946	0.38733956	-0.4100552	-0.19432484	0.19787507	-0.2521858	-0.27344996	0.2205063	-0.13115521	-0.15013403	0.40942267	0.1920246	-0.09140635	0.274762	0.18524589	0.22872263
9p Status	-0.3523443	-0.09646604	-0.38341165	0.26582026	0.14846541	0.01324453	-0.4378264	-0.012156749	-0.09505283	0.24046472	0.2869066	-0.36760548	0.27145287	0.27642274	0.29027462	0.14551172
9q Status	0.09691992	0.40296462	0.4200508	0.2220436	0.3914859	-0.28311372	0.22382827	0.36256203	-0.34849712	-0.061733827	0.044007745	-0.052380465	0.3447614	-0.22974344	-0.12200186	0.263904
Subtype	-0.2887534	0.2890975	0.311951	-0.25182772	0.2721158	-0.46647865	0.17323661	0.03312786	0.22069229	-0.24208133	-0.32040885	0.13668118	-0.28187665	0.19630085	0.18862587	0.08782838
Tissue Prospective Collection Indicator	-0.41834727	-0.064514674	0.26951936	-0.13630995	-0.08299852	-0.053035073	-0.8135861	-0.130852	-0.27734387	-0.012000227	0.12126255	-0.43343106	0.21951658	-0.11519112	0.07996263	-0.21550937
Tissue Retrospective Collection Indicator	0.3551984	-0.27181315	0.2682902	0.16359922	0.22178921	-0.3026668	-0.3880208	-0.090967834	-0.09266624	0.0027098847	-0.28656504	-0.26116392	0.31449658	-0.17293003	0.36968428	-0.18784365
Tissue Source Site	-0.21355085	0.20310132	0.08307553	-0.22480826	-0.2310145	0.10184335	0.4833288	-0.34165123	0.05660429	-0.33893993	0.47974962	0.011653606	0.41471654	-0.48309714	-0.38297096	0.1827134
Tumor Disease Anatomic Site	0.5462073	-0.021072648	-0.16682504	0.297075	0.33142155	0.12179507	0.071946725	0.45084497	-0.32187855	-0.1699423	0.25776255	0.31727862	0.14376386	0.37111157	-0.05721474	0.10933034
Tumor Type	-0.24218014	-0.23076512	0.44510245	0.14773254	-0.24466513	0.14262004	0.04187275	0.057505105	-0.31351548	0.09427554	-0.48162657	-0.07257663	-0.48722774	0.22790317	-0.14255852	0.09688269
cigarettes_per_day.exposures	-0.11782543	0.056977518	-0.2822813	0.013248769	-0.030229252	-0.8369508	-0.24097742	-0.121821165	-0.376287	0.38690022	0.3466965	0.46475422	0.1410458	-0.2339237	-0.008514643	-0.052641224
pack_years_smoked.exposures	0.4707475	-0.011587735	-0.20256957	-0.3620749	-0.24406385	-0.36248022	0.45573232	0.36779022	-0.49756536	-0.09749433	-0.16241546	0.21679768	0.16895726	-0.34575003	-0.120096825	-0.08059122
years_smoked.exposures	-0.14188363	0.09373268	-0.13450117	0.18131071	-0.5525931	-0.36773667	0.42860878	0.010263334	-0.96614635	0.095176525	0.7735469	0.13631628	-0.2965435	0.11838199	0.14881486	0.3565134
