Sample ID,dim_0,dim_1
TCGA-17-Z018-01,-18.200977,6.3026047
TCGA-17-Z019-01,-18.130713,6.6426506
TCGA-17-Z020-01,-18.45177,6.6006994
TCGA-17-Z021-01,-18.331957,6.634141
TCGA-17-Z022-01,-18.107042,6.407014
TCGA-17-Z023-01,-17.995815,6.4858
TCGA-17-Z025-01,-18.362263,6.3755016
TCGA-17-Z026-01,-18.164679,6.6510715
TCGA-17-Z027-01,-18.22075,6.720534
TCGA-17-Z028-01,-18.162601,6.248834
TCGA-17-Z030-01,-18.408472,6.5066733
TCGA-17-Z031-01,-18.397655,6.630045
TCGA-17-Z032-01,-17.962582,6.5885973
TCGA-17-Z033-01,-18.282827,6.774829
TCGA-17-Z036-01,-18.098179,6.808577
TCGA-17-Z037-01,-18.281544,6.3918386
TCGA-17-Z041-01,-17.887093,6.8668413
TCGA-17-Z042-01,-18.206665,6.7434306
TCGA-17-Z043-01,-17.819695,6.532492
TCGA-17-Z044-01,-18.210379,6.476873
TCGA-17-Z045-01,-18.253422,6.3966336
TCGA-17-Z047-01,-18.417353,6.827653
TCGA-17-Z048-01,-18.299044,6.7681227
TCGA-17-Z049-01,-18.01031,6.7469816
TCGA-17-Z050-01,-18.115225,6.7208476
TCGA-17-Z051-01,-18.199785,6.3128557
TCGA-17-Z052-01,-17.78987,6.765442
TCGA-17-Z053-01,-18.157087,6.1849613
TCGA-17-Z054-01,-18.424385,6.3614964
TCGA-17-Z055-01,-18.107954,6.9526143
TCGA-17-Z056-01,-18.260193,6.8382225
TCGA-17-Z057-01,-17.874146,6.5452976
TCGA-17-Z058-01,-18.232035,6.7073445
TCGA-17-Z059-01,-18.10568,6.4087076
TCGA-17-Z060-01,-18.1493,6.5094385
TCGA-17-Z061-01,-18.32172,6.694066
TCGA-17-Z062-01,-18.417814,6.472288
TCGA-35-3615-01,19.358656,4.661289
TCGA-35-4122-01,18.519234,2.65819
TCGA-35-4123-01,18.237162,3.153228
TCGA-35-5375-01,18.856087,2.3993447
TCGA-38-4625-01,19.341288,2.9064615
TCGA-38-4626-01,19.302584,4.9819183
TCGA-38-4627-01,20.31112,4.6196213
TCGA-38-4628-01,20.273264,2.9079435
TCGA-38-4631-01,20.684305,2.974104
TCGA-38-4632-01,20.367094,3.0462646
TCGA-38-6178-01,18.48798,2.044703
TCGA-38-7271-01,19.505625,5.032804
TCGA-38-A44F-01,17.29353,5.702775
TCGA-44-2655-01,17.871464,5.070603
TCGA-44-2656-01,16.948895,3.139028
TCGA-44-2657-01,17.823963,4.969797
TCGA-44-2659-01,15.776288,3.425641
TCGA-44-2662-01,16.745485,3.2971683
TCGA-44-2665-01,17.74432,5.3947906
TCGA-44-2666-01,18.649265,5.35988
TCGA-44-2668-01,17.350206,4.5988016
TCGA-44-3396-01,17.815226,5.442349
TCGA-44-3398-01,17.648827,5.623172
TCGA-44-3917-01,16.830996,3.4287422
TCGA-44-3918-01,17.232224,4.7169604
TCGA-44-3919-01,16.839703,4.906739
TCGA-44-4112-01,17.775532,5.499743
TCGA-44-5643-01,17.141363,3.0540776
TCGA-44-5644-01,15.661608,3.450627
TCGA-44-5645-01,17.642204,5.4306526
TCGA-44-6144-01,16.185823,4.781524
TCGA-44-6145-01,16.368443,4.335348
TCGA-44-6146-01,17.10665,6.4933815
TCGA-44-6148-01,17.260468,6.3038583
TCGA-44-6774-01,17.453154,6.3043075
TCGA-44-6775-01,16.662476,3.7451715
TCGA-44-6776-01,18.482883,5.216075
TCGA-44-6777-01,19.729704,3.148269
TCGA-44-6778-01,19.646511,2.6886692
TCGA-44-6779-01,19.959866,3.179065
TCGA-44-7659-01,17.287176,5.0691705
TCGA-44-7660-01,16.318604,3.15306
TCGA-44-7661-01,17.327133,5.6143317
TCGA-44-7662-01,16.065495,3.4525728
TCGA-44-7667-01,15.689018,3.4375448
TCGA-44-7669-01,17.841673,4.2749767
TCGA-44-7670-01,15.742666,3.2869353
TCGA-44-7671-01,17.722313,4.856057
TCGA-44-7672-01,16.05673,3.8502579
TCGA-44-8117-01,16.732437,3.1095386
TCGA-44-8119-01,15.79034,3.3144085
TCGA-44-8120-01,17.164976,3.824473
TCGA-44-A479-01,16.870539,4.4345946
TCGA-44-A47A-01,16.36307,3.7807353
TCGA-44-A47B-01,17.206131,4.6043925
TCGA-44-A47F-01,16.753447,4.068195
TCGA-44-A47G-01,17.359507,5.8053937
TCGA-44-A4SS-01,17.581383,5.2416706
TCGA-44-A4SU-01,16.700594,5.498798
TCGA-49-4486-01,19.673172,5.4239273
TCGA-49-4487-01,19.842207,2.1905415
TCGA-49-4488-01,19.871021,2.1943429
TCGA-49-4490-01,19.626074,2.1303124
TCGA-49-4494-01,19.482147,5.521847
TCGA-49-4501-01,20.148968,2.8545022
TCGA-49-4505-01,20.12225,2.9172823
TCGA-49-4506-01,20.520222,3.7602198
TCGA-49-4507-01,19.433489,3.2422912
TCGA-49-4510-01,20.154825,3.0466404
TCGA-49-4512-01,19.531857,2.1963294
TCGA-49-4514-01,19.226955,5.052672
TCGA-49-6742-01,20.263279,4.5179095
TCGA-49-6743-01,20.08817,2.319673
TCGA-49-6744-01,18.997458,5.532359
TCGA-49-6745-01,19.291727,5.689662
TCGA-49-6761-01,19.015022,4.1507907
TCGA-49-6767-01,19.416573,2.2130013
TCGA-49-AAQV-01,18.930624,5.6362267
TCGA-49-AAR0-01,19.259672,5.5227523
TCGA-49-AAR2-01,20.787395,4.286996
TCGA-49-AAR3-01,20.572138,4.538634
TCGA-49-AAR4-01,20.596375,4.1579814
TCGA-49-AAR9-01,20.439718,4.4107804
TCGA-49-AARE-01,19.617441,2.4362037
TCGA-49-AARN-01,19.241152,5.6710424
TCGA-49-AARO-01,19.565187,2.2780776
TCGA-49-AARQ-01,19.68573,4.089993
TCGA-49-AARR-01,19.528097,5.3985033
TCGA-4B-A93V-01,15.91065,2.8225021
TCGA-50-5044-01,20.069284,5.346715
TCGA-50-5045-01,20.173992,5.3849845
TCGA-50-5049-01,19.230341,2.799163
TCGA-50-5051-01,19.413837,3.3530443
TCGA-50-5055-01,20.221933,5.2273135
TCGA-50-5066-01,20.055986,3.6732051
TCGA-50-5068-01,19.902538,2.5864074
TCGA-50-5072-01,20.35138,2.4012315
TCGA-50-5930-01,20.291382,5.284466
TCGA-50-5931-01,20.146664,3.3854446
TCGA-50-5932-01,20.371973,4.55351
TCGA-50-5933-01,19.508726,2.7658906
TCGA-50-5935-01,18.662312,3.9631963
TCGA-50-5936-01,20.860628,4.016144
TCGA-50-5939-01,20.125656,4.3710146
TCGA-50-5941-01,19.481855,2.1132703
TCGA-50-5942-01,19.463785,5.1736298
TCGA-50-5944-01,18.726706,3.9561143
TCGA-50-5946-01,20.260061,2.2082763
TCGA-50-6590-01,19.224829,2.7990317
TCGA-50-6591-01,19.684788,2.4260123
TCGA-50-6592-01,20.163042,5.260956
TCGA-50-6593-01,20.062092,2.4731388
TCGA-50-6594-01,20.522352,3.1629922
TCGA-50-6595-01,19.73063,5.2820415
TCGA-50-6597-01,20.361862,3.6623282
TCGA-50-6673-01,20.57843,3.5641088
TCGA-50-7109-01,19.185429,2.5032437
TCGA-50-8457-01,17.200905,5.9221735
TCGA-50-8459-01,16.951504,6.499767
TCGA-50-8460-01,17.405767,6.064012
TCGA-53-7624-01,20.398186,3.1169558
TCGA-53-7626-01,20.327679,4.268356
TCGA-53-7813-01,18.031565,3.3456974
TCGA-53-A4EZ-01,16.019459,3.5708508
TCGA-55-1592-01,19.652433,2.0979836
TCGA-55-1594-01,20.265627,3.134455
TCGA-55-1595-01,17.635202,2.9630601
TCGA-55-1596-01,19.23678,2.1586385
TCGA-55-5899-01,19.350262,1.961158
TCGA-55-6543-01,17.627983,5.290496
TCGA-55-6642-01,20.109932,3.4352672
TCGA-55-6712-01,18.27095,4.1720424
TCGA-55-6968-01,18.76305,5.0564356
TCGA-55-6969-01,20.44547,2.6012034
TCGA-55-6970-01,19.438755,4.901772
TCGA-55-6971-01,18.560463,3.6178384
TCGA-55-6972-01,19.2614,4.261646
TCGA-55-6975-01,20.9535,4.057309
TCGA-55-6978-01,18.848587,5.1926827
TCGA-55-6979-01,19.58434,3.8771026
TCGA-55-6980-01,18.527912,4.7402377
TCGA-55-6981-01,19.521109,2.0385318
TCGA-55-6982-01,20.805828,3.4091322
TCGA-55-6983-01,20.3849,4.8609505
TCGA-55-6984-01,19.879116,5.235814
TCGA-55-6985-01,20.75215,3.225368
TCGA-55-6986-01,19.95665,5.2810483
TCGA-55-6987-01,18.626392,4.7841897
TCGA-55-7227-01,16.431189,4.3542414
TCGA-55-7281-01,15.87837,5.362581
TCGA-55-7283-01,16.41175,5.434045
TCGA-55-7284-01,16.977211,6.302777
TCGA-55-7570-01,16.047815,4.83948
TCGA-55-7573-01,15.930241,5.2879896
TCGA-55-7574-01,16.523415,5.883714
TCGA-55-7576-01,16.28622,2.9167168
TCGA-55-7724-01,16.217825,4.7166057
TCGA-55-7725-01,16.780294,5.51208
TCGA-55-7726-01,15.552297,3.9667876
TCGA-55-7727-01,16.855452,4.9497123
TCGA-55-7728-01,16.580986,5.942313
TCGA-55-7815-01,18.027975,4.1879396
TCGA-55-7816-01,16.215448,5.4449396
TCGA-55-7903-01,16.572708,4.836562
TCGA-55-7907-01,16.112083,3.8642108
TCGA-55-7910-01,15.8070345,2.9108553
TCGA-55-7911-01,16.0729,5.3473773
TCGA-55-7913-01,15.58814,4.0167217
TCGA-55-7914-01,16.262688,5.464121
TCGA-55-7994-01,16.248737,3.9451516
TCGA-55-7995-01,15.563654,3.9412029
TCGA-55-8085-01,17.826113,6.1754704
TCGA-55-8087-01,16.576502,5.545655
TCGA-55-8089-01,17.181824,3.8980596
TCGA-55-8090-01,16.757282,5.502295
TCGA-55-8091-01,16.534588,4.8503084
TCGA-55-8092-01,16.896578,4.5104036
TCGA-55-8094-01,15.902063,3.0907464
TCGA-55-8096-01,16.24913,3.0172296
TCGA-55-8097-01,16.447603,5.691668
TCGA-55-8203-01,15.673996,3.3321939
TCGA-55-8204-01,16.014708,4.6243544
TCGA-55-8205-01,17.44556,3.8019798
TCGA-55-8206-01,17.136038,4.4147406
TCGA-55-8207-01,16.642994,5.1518946
TCGA-55-8208-01,16.108774,4.641456
TCGA-55-8299-01,15.7295885,4.56864
TCGA-55-8301-01,16.941996,4.2257614
TCGA-55-8302-01,16.817028,3.8737571
TCGA-55-8505-01,16.508657,4.8695445
TCGA-55-8506-01,16.646954,4.9572005
TCGA-55-8507-01,15.791838,3.6804996
TCGA-55-8508-01,16.495836,5.911068
TCGA-55-8510-01,16.057377,3.210903
TCGA-55-8511-01,15.899272,3.439677
TCGA-55-8512-01,16.534367,6.000052
TCGA-55-8513-01,16.987486,6.372887
TCGA-55-8514-01,16.228504,3.6062014
TCGA-55-8614-01,15.882158,3.5172079
TCGA-55-8615-01,16.084045,3.7389362
TCGA-55-8616-01,16.051554,3.1571143
TCGA-55-8619-01,16.950134,6.4492435
TCGA-55-8620-01,16.37254,5.8362894
TCGA-55-8621-01,17.029179,5.8503895
TCGA-55-A48X-01,17.667923,4.7450438
TCGA-55-A48Y-01,17.29516,4.928443
TCGA-55-A48Z-01,16.552704,5.1105466
TCGA-55-A490-01,15.693121,3.8857903
TCGA-55-A491-01,15.465706,3.7775269
TCGA-55-A492-01,16.087202,4.81771
TCGA-55-A493-01,16.201967,4.099535
TCGA-55-A494-01,15.833037,2.9290695
TCGA-55-A4DF-01,15.945063,4.349688
TCGA-55-A4DG-01,15.952823,3.3587973
TCGA-55-A57B-01,15.996338,5.4248743
TCGA-62-8394-01,19.159937,3.5784848
TCGA-62-8395-01,19.880863,4.794858
TCGA-62-8397-01,19.3664,3.8495357
TCGA-62-8398-01,19.55354,3.8529592
TCGA-62-8399-01,19.268501,4.9125586
TCGA-62-8402-01,20.1201,2.6682348
TCGA-62-A46O-01,20.522024,3.5034986
TCGA-62-A46P-01,19.49293,4.4571924
TCGA-62-A46R-01,19.068672,3.4006598
TCGA-62-A46S-01,19.606512,4.034025
TCGA-62-A46U-01,20.78604,3.8100338
TCGA-62-A46V-01,19.41399,4.749379
TCGA-62-A46Y-01,20.135765,5.3540773
TCGA-62-A470-01,19.9121,3.4615712
TCGA-62-A471-01,19.568369,2.6303046
TCGA-62-A472-01,20.223158,3.362556
TCGA-64-1676-01,18.607351,3.5260935
TCGA-64-1677-01,19.119053,2.4252188
TCGA-64-1678-01,18.968908,4.661576
TCGA-64-1679-01,19.359299,2.100596
TCGA-64-1680-01,19.107409,4.680341
TCGA-64-1681-01,19.329018,2.211916
TCGA-64-5774-01,19.020527,2.6639097
TCGA-64-5775-01,19.085667,5.109662
TCGA-64-5778-01,19.579565,4.438821
TCGA-64-5779-01,18.866228,2.509925
TCGA-64-5781-01,19.47197,4.3018565
TCGA-64-5815-01,20.530249,4.493893
TCGA-67-3770-01,16.570484,4.6524434
TCGA-67-3771-01,16.019247,3.746866
TCGA-67-3772-01,16.476828,4.502321
TCGA-67-3773-01,17.988504,5.8660336
TCGA-67-3774-01,18.061518,5.9493065
TCGA-67-4679-01,17.906357,6.092918
TCGA-67-6215-01,17.885006,5.7454166
TCGA-67-6216-01,17.205732,6.051661
TCGA-67-6217-01,18.525604,2.0980206
TCGA-69-7760-01,17.467932,4.8707395
TCGA-69-7761-01,18.01158,4.0869966
TCGA-69-7763-01,18.615452,3.6798744
TCGA-69-7764-01,18.4831,4.104821
TCGA-69-7765-01,16.834658,5.978743
TCGA-69-7973-01,18.817635,3.7153337
TCGA-69-7974-01,20.433867,2.2396822
TCGA-69-7978-01,18.05871,3.586726
TCGA-69-7979-01,17.9813,3.3082285
TCGA-69-7980-01,15.8118925,3.9373927
TCGA-69-8253-01,16.643417,5.9957275
TCGA-69-8254-01,17.163002,6.279911
TCGA-69-8255-01,17.305851,3.551955
TCGA-69-8453-01,16.908056,6.4161615
TCGA-69-A59K-01,16.177982,5.30868
TCGA-71-6725-01,16.748404,3.1648872
TCGA-71-8520-01,16.861801,3.3773298
TCGA-73-4658-01,18.802782,4.8069515
TCGA-73-4659-01,18.917448,2.6088674
TCGA-73-4662-01,18.426424,4.506465
TCGA-73-4666-01,19.243282,3.9828703
TCGA-73-4668-01,17.78355,2.690485
TCGA-73-4670-01,18.95544,2.1572657
TCGA-73-4675-01,18.399649,4.393445
TCGA-73-4676-01,18.863716,4.9883113
TCGA-73-4677-01,19.36201,4.27742
TCGA-73-7498-01,18.095585,5.6749907
TCGA-73-7499-01,19.82829,3.2433517
TCGA-73-A9RS-01,17.636166,2.516521
TCGA-75-5122-01,20.286173,3.8499613
TCGA-75-5125-01,20.665415,3.3459208
TCGA-75-5126-01,19.762316,5.412232
TCGA-75-5146-01,20.444908,3.8541434
TCGA-75-5147-01,20.215141,3.3250034
TCGA-75-6203-01,19.888218,4.9420166
TCGA-75-6205-01,20.102596,3.1208205
TCGA-75-6206-01,19.787888,4.170658
TCGA-75-6207-01,20.569695,4.063754
TCGA-75-6211-01,20.148726,3.3398178
TCGA-75-6212-01,20.902483,3.679555
TCGA-75-6214-01,20.576336,3.1449142
