Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-05-4244-01,7.730688,9.739525,5.4238057,5.9004006,3.1792746,5.374719,2.6702735,2.568451,4.16028,6.3659406,5.7588897,5.9295993,3.3446386,6.122115,5.8457313,5.86592,4.690508,4.508518,6.858606,5.7285748,4.247921,2.9176097,5.2543774,3.5748744,5.474279,5.8083878,5.3659167,7.7494698,4.231987,6.346717,4.103,5.427817
TCGA-05-4249-01,7.590294,9.614044,5.484866,5.8395953,3.0408332,5.265556,2.6082082,2.4446487,4.1631107,6.48626,5.793686,6.0268993,3.3791482,6.0915036,5.83499,5.974143,4.634401,4.5860467,6.728086,5.709084,4.1936297,2.8058946,5.178369,3.5580554,5.5695477,5.696052,5.144853,7.9089017,4.2888684,6.1351533,4.1926,5.1778107
TCGA-05-4250-01,7.5019116,9.533077,5.4536247,5.830158,2.9688218,5.20118,2.5940375,2.4630466,4.2922926,6.483616,5.805409,6.1031218,3.447367,6.092891,5.8418126,6.057439,4.611883,4.5795884,6.6656466,5.656478,4.1922793,2.8642642,5.1756277,3.5024133,5.6241894,5.639852,5.070489,7.901586,4.325094,5.9712944,4.199178,4.9849315
TCGA-05-4382-01,7.0205946,9.083799,5.0542283,6.092294,2.9537318,5.059048,2.819164,2.517865,4.6158056,6.7035723,5.4046073,6.0791526,3.3331106,5.6783986,6.1585083,5.5319905,4.320539,4.5767817,6.4733486,5.727732,3.9068198,2.7459342,5.5863276,3.345686,5.5066752,6.427808,5.4145265,7.2718725,3.794953,5.886793,3.9699752,5.0090795
TCGA-05-4384-01,7.5008984,10.397251,5.182909,5.8779726,3.1912878,5.57081,3.1025634,2.3521342,4.155678,6.0156703,5.838991,6.4818826,3.459661,6.303951,6.0123653,6.0548444,4.0485783,4.2604103,6.6558223,5.8510313,3.9224298,3.3071187,5.615768,3.4137235,5.4037395,6.464109,5.7521505,7.733299,4.3451576,5.958851,4.135115,4.945434
TCGA-05-4389-01,7.759866,9.9281225,5.7796946,5.8427434,3.2223506,5.354726,2.5220146,2.5034907,4.2058816,6.4855237,5.8366327,5.894183,3.2188356,6.151796,5.931639,5.748916,4.441079,4.5151625,6.825887,5.719843,4.1564755,2.7963235,5.200944,3.663794,5.544804,5.858288,5.613328,7.6745048,4.0911713,6.4059567,4.12544,5.3473163
TCGA-05-4390-01,7.251754,9.110128,5.1003876,5.9395723,2.8739123,5.1925855,2.6705093,2.5240977,4.3605394,6.5886774,5.684084,6.162201,3.3654995,5.630942,6.031624,5.6059775,4.3153186,4.6685424,6.5429,5.8485117,4.033958,2.6365795,5.556404,3.4284906,5.420082,6.2283163,5.2809653,7.4544053,4.023857,5.940917,4.1718698,5.0680766
TCGA-05-4395-01,7.778164,10.050175,5.895421,5.8358417,3.2001739,5.4550805,2.4704902,2.4909658,4.0917253,6.3536553,5.918178,5.9486504,3.2453237,6.200546,5.939796,5.714893,4.4000673,4.512156,6.8417425,5.793467,4.209893,2.8192816,5.2089686,3.8002744,5.5409408,5.8161564,5.5931573,7.7450914,4.1567197,6.4723463,4.213916,5.3726425
TCGA-05-4396-01,7.471674,10.192508,5.071242,5.7907276,2.9755719,5.5655117,3.138376,2.326821,4.1465845,5.935832,5.810407,6.666112,3.526493,6.0905733,5.991006,6.028574,3.9612906,4.2616973,6.597508,5.825607,3.9138393,3.2916896,5.649763,3.368593,5.420744,6.4422073,5.6745915,7.6743946,4.3437085,5.795967,4.2237124,4.802407
TCGA-05-4397-01,7.246895,9.628726,4.875723,5.995591,3.0369885,5.3173647,3.0578609,2.4920213,4.2630415,6.338593,5.76084,6.2772417,3.329546,5.847508,6.0327225,5.7178087,4.1536007,4.467741,6.580702,5.917206,3.8975742,2.9004457,5.707908,3.32849,5.271968,6.5352235,5.588609,7.3880615,4.094449,5.9755063,4.021599,5.1049323
