Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-05-4405-01,15.499075,2.393922,2.5698428,1.5774447,1.7515086,2.519733,9.456331,7.28607,8.3258915,3.5777874,6.061321,2.2214103,3.966471,5.5880656,6.9884763,4.7214727,4.5702286,10.274022,5.982313,3.0070605,5.7992325,7.286877,5.990126,4.7047744,3.909463,3.8700356,6.6171227,7.8564014,0.6522596,5.9372025,7.7055674,3.9257226
TCGA-05-4410-01,15.630579,2.3564303,2.5862098,1.493773,1.6766825,2.5780554,9.467739,7.4576015,8.359577,3.6803014,6.0207653,2.1387088,4.0190325,5.55403,7.024148,4.7843046,4.4988365,10.312588,5.9387145,2.9337773,5.905343,7.25776,6.095484,4.832231,3.907097,3.8453987,6.5617204,7.9118176,0.56674415,5.994467,7.752407,3.7831733
TCGA-05-4415-01,15.567988,1.5744414,2.5962353,1.17413,2.011484,2.7663748,9.612483,7.734223,8.424922,3.6870768,5.911789,1.8841205,4.102247,5.4303627,7.102526,4.7838693,4.7571197,10.107619,5.8163753,2.7378523,6.1341953,7.0343866,6.5090165,4.9806566,4.1117516,3.6055613,6.361561,7.8908906,0.68038785,5.9812827,7.6800394,3.948531
TCGA-05-4417-01,15.489506,2.1696548,2.5511136,1.4638358,1.832689,2.5575936,9.484324,7.3225136,8.370722,3.6123707,6.0673375,2.16049,3.9182,5.5661364,7.024371,4.76559,4.655157,10.270582,5.996249,2.9404113,5.779421,7.2588663,6.0024233,4.672307,3.959508,3.793937,6.5919123,7.865315,0.7652853,5.8652906,7.651382,3.9520152
TCGA-05-4418-01,15.700315,1.623807,2.6296952,1.0653496,1.8266313,2.7789385,9.500387,7.7884502,8.597809,3.6289263,5.78158,1.8273218,3.9178066,5.519663,7.070303,4.80089,4.6482306,10.160673,5.7423964,2.7141342,6.2405148,7.04765,6.572452,5.0120206,4.1697297,3.609635,6.366414,7.9642415,0.2960852,6.034328,7.765807,3.7939563
TCGA-05-4420-01,15.514442,2.3957582,2.5578098,1.5850992,1.7077231,2.490849,9.481001,7.2939343,8.347348,3.6500607,6.0761185,2.2351775,3.9676635,5.581351,7.0439315,4.7846,4.565882,10.317076,6.0051513,2.9587374,5.7846117,7.3226986,5.9658422,4.728671,3.8371356,3.8868876,6.632113,7.882858,0.73096967,5.9240427,7.6628995,3.865355
TCGA-05-4422-01,15.653574,1.6633011,2.5969546,1.1613603,1.8587812,2.7650304,9.510808,7.775287,8.482019,3.6487062,5.8612165,1.8694649,3.9871328,5.4673905,7.0565424,4.839134,4.658144,10.205273,5.800911,2.7338731,6.1496167,7.09323,6.4554405,4.969008,4.1010766,3.6512587,6.3667803,7.952413,0.45945933,6.010645,7.753567,3.807435
TCGA-05-4424-01,15.634866,2.413881,2.5848722,1.5269874,1.6931624,2.6195745,9.479504,7.512229,8.290875,3.7416139,6.079267,2.1341448,4.10962,5.5454226,6.999776,4.7754025,4.4662313,10.324751,5.9404016,2.9456525,5.9355006,7.2415414,6.1410565,4.871834,3.878972,3.8522058,6.53778,7.901614,0.5994609,6.0205016,7.8002467,3.7642648
TCGA-05-4425-01,15.721587,1.7059153,2.6136627,1.1136051,1.7473629,2.746209,9.475508,7.7042875,8.590145,3.6451507,5.792793,1.8976556,3.8326347,5.5383635,7.110214,4.8368516,4.629407,10.230167,5.796701,2.7046793,6.1455874,7.091192,6.448647,4.9732723,4.1176505,3.6589236,6.4153314,8.001102,0.3471685,6.0084214,7.7282357,3.7528322
TCGA-05-4426-01,15.639261,1.6480591,2.6108308,1.133524,1.8054129,2.7169948,9.489769,7.596309,8.580382,3.5974011,5.863325,1.9134651,3.8315468,5.5412154,7.1176705,4.8348475,4.7165246,10.207352,5.8692436,2.7399633,6.0322976,7.1041083,6.3379283,4.852663,4.127659,3.6406283,6.4138556,7.965703,0.4784101,5.902243,7.6566668,3.8583612
TCGA-05-4427-01,15.421258,2.1884937,2.5689504,1.6015038,1.9592712,2.5341516,9.530059,7.2968507,8.196883,3.610157,6.0432353,2.2954714,3.9754891,5.509727,7.0396695,4.713677,4.650306,10.214826,5.9733305,2.931302,5.849617,7.2544427,6.10465,4.771683,3.93042,3.8920803,6.600654,7.8684387,0.824804,6.0024915,7.6552186,3.9670029
TCGA-05-4430-01,15.558555,2.2999363,2.545784,1.4721119,1.6682363,2.515102,9.444168,7.3235893,8.46105,3.5866606,6.0121994,2.133681,3.888604,5.5877156,7.0301867,4.7954736,4.581373,10.314282,5.9771595,2.9501014,5.7779098,7.30269,5.950884,4.6820965,3.9291763,3.8173554,6.6173697,7.8792677,0.618317,5.8826275,7.6703324,3.8861203
TCGA-05-4432-01,15.54809,2.3822987,2.5644038,1.5379673,1.725538,2.5627987,9.496024,7.3731523,8.31985,3.702798,6.1316204,2.167845,4.078196,5.584758,7.0204606,4.7672763,4.549251,10.306382,6.0028844,2.975018,5.809785,7.264675,6.0157366,4.747878,3.8670166,3.8260062,6.5647025,7.858249,0.7555274,5.899381,7.7082286,3.8767323
TCGA-05-4433-01,15.717915,1.7913834,2.5871227,1.2016687,1.7460184,2.7335448,9.491358,7.701552,8.50198,3.6993663,5.816821,1.9660443,3.858671,5.4931173,7.1166015,4.8448725,4.605558,10.269799,5.812341,2.7051692,6.1092505,7.120404,6.3943977,5.0075574,4.051088,3.7153635,6.4576964,8.0126705,0.43398973,6.05159,7.733252,3.7276397
TCGA-05-4434-01,15.75044,1.6791989,2.628629,1.0507451,1.7455642,2.7706513,9.471022,7.7656126,8.646514,3.6307893,5.742714,1.8397739,3.8426943,5.5554037,7.0903788,4.8083267,4.6088767,10.192591,5.7357473,2.699985,6.239896,7.055476,6.562094,5.019931,4.169021,3.6218398,6.392645,7.9920573,0.22831136,6.046661,7.769663,3.7459922
