,run,na_ratio,tool,mae_cont,mae_cat,mae_joint,acc_cat,mre_cont,dim,bins,discretization
0,4.0,0.25,KNN,215.1123795087565,-1,-1,0.5333499563645431,1326511832994747.5,-1,-1,
1,4.0,0.25,AutoComplete,2139.4653411658232,-1,-1,0.4736317167435482,6.715843384904712e+17,-1,-1,
2,4.0,0.25,MissForest,209.08857624018495,-1,-1,0.5885799775589079,1966007206138608.8,-1,-1,
3,4.0,0.25,POME,255.10697694433216,-1,-1,0.6640069816731081,2521718451978020.0,16,15,z
4,4.0,0.25,POME,261.6425369368824,-1,-1,0.6752275277396833,2291421493589733.5,32,15,z
5,4.0,0.25,POME,295.64465975558164,-1,-1,0.6729834185263683,635574141451723.5,64,15,z
6,5.0,0.5,KNN,301.80847172596975,-1,-1,0.5669315782938036,1360240178095422.5,-1,-1,
7,5.0,0.5,AutoComplete,2231.517723451206,-1,-1,0.484415745684838,7.858587544672936e+17,-1,-1,
8,5.0,0.5,MissForest,272.0246629972203,-1,-1,0.5946852104805662,1216921196133886.5,-1,-1,
9,5.0,0.5,POME,340.267968493687,-1,-1,0.6487023469514467,1303043481645759.5,16,15,z
10,5.0,0.5,POME,330.2663888462497,-1,-1,0.6477710170122936,438180134153182.0,32,15,z
11,5.0,0.5,POME,344.14984358516296,-1,-1,0.6366571464050664,430965342543637.06,64,15,z
12,5.0,0.05,KNN,254.54140868745048,-1,-1,0.5258186397984886,596749755937549.9,-1,-1,
13,5.0,0.05,AutoComplete,1758.628434882682,-1,-1,0.4817380352644836,1.0298010296897321e+18,-1,-1,
14,5.0,0.05,MissForest,250.50458406575987,-1,-1,0.6076826196473551,281325023264201.28,-1,-1,
15,5.0,0.05,POME,290.3516195634706,-1,-1,0.6668765743073047,368367515193338.44,16,15,z
16,5.0,0.05,POME,257.09163871128646,-1,-1,0.6983627204030227,368367515193338.5,32,15,z
17,5.0,0.05,POME,327.73748506033763,-1,-1,0.690176322418136,140606694360149.23,64,15,z
18,2.0,0.1,KNN,300.15966886013945,-1,-1,0.5313964386129335,153428572687623.34,-1,-1,
19,2.0,0.1,AutoComplete,2369.1809799626267,-1,-1,0.47985004686035615,5.854917614669546e+17,-1,-1,
20,2.0,0.1,MissForest,296.82839614692506,-1,-1,0.5954389253358325,229704197642350.4,-1,-1,
21,2.0,0.1,POME,394.35812981193874,-1,-1,0.6716651046547953,507736724836298.75,16,15,z
22,2.0,0.1,POME,367.9878970505846,-1,-1,0.6638550452983443,206331848264903.3,32,15,z
23,2.0,0.1,POME,359.34924325837085,-1,-1,0.6788503592627304,507736724836298.7,64,15,z
24,5.0,0.01,KNN,426.0209313918998,-1,-1,0.48909657320872274,0.49407430200682256,-1,-1,
25,5.0,0.01,AutoComplete,1213.225592167731,-1,-1,0.3956386292834891,58.43962954410926,-1,-1,
26,5.0,0.01,MissForest,293.33596534563804,-1,-1,0.5077881619937694,0.3271475421400317,-1,-1,
27,5.0,0.01,POME,525.5835760533787,-1,-1,0.616822429906542,0.668648684959481,16,15,z
28,5.0,0.01,POME,434.9206907957595,-1,-1,0.660436137071651,0.5192897708839985,32,15,z
29,5.0,0.01,POME,472.69150094383775,-1,-1,0.660436137071651,0.9027169793876516,64,15,z
30,7.0,0.25,KNN,273.17911613588774,-1,-1,0.5402973884793203,206526916969806.53,-1,-1,
31,7.0,0.25,AutoComplete,2403.6980109871356,-1,-1,0.4750718480569786,9.166883308965695e+17,-1,-1,
32,7.0,0.25,MissForest,283.1679719359844,-1,-1,0.6053979757590904,283216541726245.2,-1,-1,
33,7.0,0.25,POME,353.94508429931005,-1,-1,0.6733724853180058,255572212688390.84,16,15,z
34,7.0,0.25,POME,325.06472192263453,-1,-1,0.6816193927277271,244265845662718.94,32,15,z
35,7.0,0.25,POME,319.5281159522056,-1,-1,0.6803698613020117,295404548252352.7,64,15,z
