,run,na_ratio,tool,mae_cont,mae_cat,mae_joint,acc_cat,mre_cont,dim,bins,discretization
0,4.0,0.25,KNN,205.282089483045,-1,-1,0.8328253440472891,695051115177853.0,-1,-1,
1,4.0,0.25,AutoComplete,196.2005746305821,-1,-1,0.8451094486007205,5448639670343031.0,-1,-1,
2,4.0,0.25,MissForest,160.9587632130175,-1,-1,0.8582248083494967,605243102606857.4,-1,-1,
3,4.0,0.25,POME,179.89851230009495,-1,-1,0.8690311258889812,832952221960801.4,16,15,z
4,4.0,0.25,POME,179.41323818494843,-1,-1,0.8764200609587143,261911640384492.84,32,15,z
5,4.0,0.25,POME,178.4994440899362,-1,-1,0.8844555278470491,798755497933527.5,64,15,z
6,5.0,0.5,KNN,186.58714224029688,-1,-1,0.8462249757270331,2272298552811025.0,-1,-1,
7,5.0,0.5,AutoComplete,211.66279779692343,-1,-1,0.8431272828147395,4537667308880888.0,-1,-1,
8,5.0,0.5,MissForest,162.5726031099302,-1,-1,0.8606038189467844,1313679712938565.5,-1,-1,
9,5.0,0.5,POME,177.38461040899838,-1,-1,0.8599565398307828,1683520402936444.8,16,15,z
10,5.0,0.5,POME,178.6298449229059,-1,-1,0.8695732581256647,1341015215542621.2,32,15,z
11,5.0,0.5,POME,185.43953545858608,-1,-1,0.8636552776365065,1360182554989784.2,64,15,z
12,5.0,0.05,KNN,119.00444185160171,-1,-1,0.8407079646017699,161128786668145.0,-1,-1,
13,5.0,0.05,AutoComplete,212.3012833620716,-1,-1,0.8467629250116442,98281133549384.52,-1,-1,
14,5.0,0.05,MissForest,147.95474154755868,-1,-1,0.8630647414997671,58690486159505.16,-1,-1,
15,5.0,0.05,POME,182.65530151920566,-1,-1,0.8844899860270145,86906523160760.6,16,15,z
16,5.0,0.05,POME,182.8843345339155,-1,-1,0.8756404285048905,77250242809564.95,32,15,z
17,5.0,0.05,POME,175.12000495079135,-1,-1,0.8942710759198882,57937682107173.98,64,15,z
18,2.0,0.1,KNN,133.3470028409285,-1,-1,0.839813736903376,88105162030063.77,-1,-1,
19,2.0,0.1,AutoComplete,210.75030630511696,-1,-1,0.8428405122235157,95473035952086.06,-1,-1,
20,2.0,0.1,MissForest,156.51545233362089,-1,-1,0.8535506402793946,41316739315451.28,-1,-1,
21,2.0,0.1,POME,179.46589951231397,-1,-1,0.8649592549476135,49734039164390.16,16,15,z
22,2.0,0.1,POME,177.04284927710543,-1,-1,0.8775320139697322,49553468777511.28,32,15,z
23,2.0,0.1,POME,170.90680982661797,-1,-1,0.8849825378346915,39737542612709.01,64,15,z
24,5.0,0.01,KNN,99.0703761737997,-1,-1,0.8042452830188679,204487766864390.5,-1,-1,
25,5.0,0.01,AutoComplete,197.9037160266148,-1,-1,0.8066037735849056,226116847228009.88,-1,-1,
26,5.0,0.01,MissForest,145.20665297858284,-1,-1,0.8066037735849056,120758603835033.08,-1,-1,
27,5.0,0.01,POME,200.65451432407548,-1,-1,0.8207547169811321,95588427498863.53,16,15,z
28,5.0,0.01,POME,187.21820519433422,-1,-1,0.8231132075471698,95588427498863.6,32,15,z
29,5.0,0.01,POME,175.60192751200543,-1,-1,0.8490566037735849,143382641248295.06,64,15,z
30,7.0,0.25,KNN,185.10806903489456,-1,-1,0.833287356321839,178869549036250.5,-1,-1,
31,7.0,0.25,AutoComplete,193.03315372170795,-1,-1,0.8470804597701149,5006630103718295.0,-1,-1,
32,7.0,0.25,MissForest,151.6693642557709,-1,-1,0.8609655172413793,55475616926112.92,-1,-1,
33,7.0,0.25,POME,174.62044541963724,-1,-1,0.8772413793103448,74890160430975.92,16,15,z
34,7.0,0.25,POME,174.20894915554214,-1,-1,0.8804597701149425,78928354315306.66,32,15,z
35,7.0,0.25,POME,171.0676002061472,-1,-1,0.8911264367816092,83899113727461.67,64,15,z
