,run,na_ratio,tool,mae_cont,mae_cat,mae_joint,acc_cat,mre_cont,dim,bins,discretization
274,4.0,0.5,POME,16.398033243088644,-1,-1,0.8704839809134287,100636074424767.94,32,7,nonlinear
275,4.0,0.5,POME,16.70862615574341,-1,-1,0.8741195182912974,102486530770233.06,64,7,nonlinear
276,6.0,0.5,KNN,18.922256405432805,-1,-1,0.8630444544229906,137967446903328.9,-1,-1,
277,6.0,0.5,AutoComplete,21.473700167894645,-1,-1,0.8758419398293669,151120565882538.5,-1,-1,
278,6.0,0.5,MissForest,13.6746614636282,-1,-1,0.8648405927256398,51152607544310.125,-1,-1,
279,6.0,0.5,POME,16.05920217877548,-1,-1,0.873372249663224,104625058720468.94,16,7,nonlinear
280,6.0,0.5,POME,16.938436172596635,-1,-1,0.8753929052537045,114471386148479.4,32,7,nonlinear
281,6.0,0.5,POME,16.544415530763125,-1,-1,0.8686573866187697,114181525708669.42,64,7,nonlinear
282,3.0,0.1,KNN,15.620039043557185,-1,-1,0.8683035714285714,111908860407635.38,-1,-1,
283,3.0,0.1,AutoComplete,15.624495861714445,-1,-1,0.8895089285714286,126700619355920.28,-1,-1,
284,3.0,0.1,MissForest,12.284936853664183,-1,-1,0.8694196428571429,38669579467628.42,-1,-1,
285,3.0,0.1,POME,15.936432799224407,-1,-1,0.8694196428571429,106863729435680.22,16,7,nonlinear
286,3.0,0.1,POME,15.89563312505775,-1,-1,0.8705357142857143,110089170819301.45,32,7,nonlinear
287,3.0,0.1,POME,15.833744732219161,-1,-1,0.8839285714285714,109275634138453.23,64,7,nonlinear
288,0.0,0.05,KNN,16.20249640146081,-1,-1,0.8668076109936576,89505190377826.06,-1,-1,
289,0.0,0.05,AutoComplete,15.643495150014676,-1,-1,0.8837209302325582,99955416231965.38,-1,-1,
290,0.0,0.05,MissForest,12.167784094126953,-1,-1,0.8604651162790697,30358374436289.55,-1,-1,
291,0.0,0.05,POME,16.09279022660792,-1,-1,0.8604651162790697,95568832219882.69,16,7,nonlinear
292,0.0,0.05,POME,16.033784752963406,-1,-1,0.8752642706131079,95568832219882.69,32,7,nonlinear
293,0.0,0.05,POME,15.865387005431225,-1,-1,0.8858350951374208,95568832219882.69,64,7,nonlinear
294,4.0,0.05,KNN,15.923154634215141,-1,-1,0.8923766816143498,104079083640247.39,-1,-1,
295,4.0,0.05,AutoComplete,19.908227382492722,-1,-1,0.8946188340807175,121817787302199.22,-1,-1,
296,4.0,0.05,MissForest,12.673479147353653,-1,-1,0.8946188340807175,35021057172006.84,-1,-1,
297,4.0,0.05,POME,16.289790008949446,-1,-1,0.905829596412556,102029695755938.56,16,7,nonlinear
298,4.0,0.05,POME,16.269611930331465,-1,-1,0.9013452914798207,102029695755938.55,32,7,nonlinear
299,4.0,0.05,POME,16.16660459948711,-1,-1,0.9080717488789237,102029695755938.55,64,7,nonlinear
