run,na_ratio,epoch,mae_cont,acc_cat,dataset
8,0.5,1000,170.4987972831484,0.8652904775099289,HANCOCK
2,0.25,1500,180.39089139815204,0.858081836696908,HANCOCK
6,0.5,500,175.0015932781604,0.8644269498352252,HANCOCK
2,0.05,1500,174.44331918590962,0.8935185185185185,HANCOCK
9,0.01,1000,172.58119529217686,0.8521939953810623,HANCOCK
9,0.5,1000,174.82457020258605,0.8698186528497409,HANCOCK
1,0.01,500,200.1422310944851,0.8646080760095012,HANCOCK
2,0.01,1500,257.4783078512443,0.8733031674208145,HANCOCK
4,0.05,1000,165.62498877610452,0.8691290469676243,HANCOCK
6,0.5,2000,186.42016839932387,0.8670358842914683,HANCOCK
0,0.25,1000,175.25480192085547,0.8752078329946426,HANCOCK
8,0.25,2000,182.08032213804094,0.8785271532981774,HANCOCK
6,0.1,1000,162.05457380076442,0.8685727461378834,HANCOCK
9,0.01,1500,167.44716415809486,0.8568129330254042,HANCOCK
0,0.01,2000,151.6091256578063,0.8852097130242825,HANCOCK
9,0.5,1500,180.92791407834838,0.8716228719467062,HANCOCK
1,0.01,2000,176.46666113364583,0.8788598574821853,HANCOCK
7,0.1,1000,168.66141773404735,0.8658280922431866,HANCOCK
3,0.1,1500,167.382710047137,0.8798352025635157,HANCOCK
9,0.25,1000,182.39006125315197,0.881376256802878,HANCOCK
2,0.05,2000,162.14686206845371,0.9041666666666667,HANCOCK
2,0.1,1500,187.2558662052664,0.8793946449359721,HANCOCK
5,0.01,1000,182.17892868604022,0.8372641509433962,HANCOCK
4,0.05,1500,162.95076647127172,0.8746010031919744,HANCOCK
7,0.5,500,187.18708170525528,0.8616587984819032,HANCOCK
6,0.1,2000,172.02333464326347,0.8798708784874337,HANCOCK
4,0.01,1500,143.921581924703,0.9151376146788991,HANCOCK
6,0.05,2000,175.65884033603314,0.8941176470588236,HANCOCK
4,0.05,2000,161.54820577081685,0.8741450068399452,HANCOCK
4,0.25,2000,190.06729917521707,0.8778978479726609,HANCOCK
2,0.5,500,173.50566143301194,0.8652328425716528,HANCOCK
3,0.25,2000,179.89034343499708,0.8836293719099066,HANCOCK
0,0.01,1000,152.13569978565204,0.8719646799116998,HANCOCK
2,0.1,500,191.69843823030462,0.8656577415599535,HANCOCK
8,0.05,2000,147.02617544589538,0.8939252336448598,HANCOCK
0,0.05,1500,181.82120373754518,0.8621825023518345,HANCOCK
1,0.25,2000,170.18937943599815,0.8725751585915233,HANCOCK
5,0.25,2000,174.47473003035466,0.8777151307884278,HANCOCK
8,0.01,500,264.4569678682135,0.8761682242990654,HANCOCK
3,0.01,500,217.00663603300865,0.8668171557562077,HANCOCK
2,0.01,500,281.3614983675551,0.8642533936651584,HANCOCK
4,0.1,1500,177.8865567873871,0.8838916934373566,HANCOCK
7,0.1,2000,165.8248269097977,0.8756114605171209,HANCOCK
3,0.1,1000,162.94862116473362,0.8697642481116961,HANCOCK
6,0.01,500,154.13065165706823,0.8614318706697459,HANCOCK
1,0.25,1500,174.68642775590246,0.8663234347706169,HANCOCK
6,0.25,1000,162.1809424193317,0.8718634686346863,HANCOCK
8,0.5,1500,177.264599686441,0.8644130414703981,HANCOCK
4,0.25,1000,181.223368531308,0.8665373603029464,HANCOCK
8,0.1,2000,184.42578530167077,0.8925244262667575,HANCOCK
4,0.5,1500,172.08787310884162,0.8588278828807993,HANCOCK
5,0.5,2000,182.06725510049105,0.8672615469970872,HANCOCK
6,0.05,1000,159.9090413912035,0.8795294117647059,HANCOCK
3,0.25,1500,184.0621867987956,0.8828053470060429,HANCOCK
0,0.01,1500,159.51169162838497,0.8874172185430463,HANCOCK
9,0.25,1500,183.05696818591227,0.8846969836730929,HANCOCK
3,0.05,500,162.74859664039047,0.8639705882352942,HANCOCK
2,0.25,2000,180.20880876614385,0.858081836696908,HANCOCK
1,0.5,2000,182.51523899845927,0.8627487360267174,HANCOCK
4,0.5,500,179.8082062807674,0.8588278828807993,HANCOCK
8,0.1,1500,181.2164791125907,0.8875255623721882,HANCOCK
4,0.05,500,166.81457957340962,0.8618331053351573,HANCOCK
6,0.01,1500,148.39069210549388,0.8868360277136259,HANCOCK
0,0.5,2000,193.91599709970066,0.8699194476409666,HANCOCK
9,0.01,500,177.045471543317,0.8498845265588915,HANCOCK
9,0.01,2000,187.00701293253616,0.8660508083140878,HANCOCK
