run,na_ratio,epoch,mae_cont,nmae_cont,acc_cat,dataset
0,0.01,100,15.691958612964827,0.08933732668513734,0.7865168539325843,MIMIC
0,0.01,500,15.603697150887793,0.08759448853216524,0.7865168539325843,MIMIC
0,0.01,1000,15.57944728160299,0.08735565328961348,0.7865168539325843,MIMIC
0,0.01,1500,15.317864282154066,0.0877554112765605,0.7865168539325843,MIMIC
0,0.01,2000,15.476484199787288,0.08611912452338315,0.7865168539325843,MIMIC
1,0.01,100,18.46513474695792,0.08789824947630935,0.803921568627451,MIMIC
1,0.01,500,18.65547955613506,0.08777193664046258,0.803921568627451,MIMIC
1,0.01,1000,18.3275104538473,0.0864648763670094,0.803921568627451,MIMIC
1,0.01,1500,19.06902053143889,0.08535071894378339,0.803921568627451,MIMIC
1,0.01,2000,18.195385711579256,0.08656328168017513,0.803921568627451,MIMIC
2,0.01,100,15.20082285493328,0.08031542597492171,0.8488372093023255,MIMIC
2,0.01,500,14.674581193056252,0.08118581779929099,0.8604651162790697,MIMIC
2,0.01,1000,14.548530318508126,0.08113856223013866,0.8604651162790697,MIMIC
2,0.01,1500,14.554795876782501,0.07857932692434953,0.872093023255814,MIMIC
2,0.01,2000,14.849952686691172,0.0785553865486021,0.9069767441860465,MIMIC
3,0.01,100,14.533097799351788,0.087136847950025,0.9385964912280702,MIMIC
3,0.01,500,14.295489366278934,0.08764237966841885,0.9385964912280702,MIMIC
3,0.01,1000,13.776981496358012,0.0867256195482631,0.9385964912280702,MIMIC
3,0.01,1500,13.63327649599536,0.08466614553809669,0.9385964912280702,MIMIC
3,0.01,2000,14.352453017073875,0.08436183083289743,0.956140350877193,MIMIC
4,0.01,100,20.814294236214216,0.07348678396967066,0.8854166666666666,MIMIC
4,0.01,500,20.788402871755213,0.07412592772100603,0.8854166666666666,MIMIC
4,0.01,1000,20.750882695600676,0.07362934288378149,0.8854166666666666,MIMIC
4,0.01,1500,20.74763025242253,0.07339972277287204,0.8854166666666666,MIMIC
4,0.01,2000,20.450572635431474,0.07267606788759155,0.8854166666666666,MIMIC
5,0.01,100,11.702570780477457,0.07324645818542051,0.8666666666666667,MIMIC
5,0.01,500,11.489755821720346,0.07147386764920781,0.8666666666666667,MIMIC
5,0.01,1000,11.599979372471637,0.0711928769351398,0.8666666666666667,MIMIC
5,0.01,1500,11.653150070307163,0.07368179725260364,0.88,MIMIC
5,0.01,2000,11.017695127279321,0.07109921064115864,0.88,MIMIC
6,0.01,100,16.893414178132485,0.0736313758032163,0.8589743589743589,MIMIC
6,0.01,500,16.987583167401137,0.07429919148088478,0.8589743589743589,MIMIC
6,0.01,1000,17.061012508833585,0.07338178227499416,0.8589743589743589,MIMIC
6,0.01,1500,16.952771041463116,0.07261499750167669,0.8333333333333334,MIMIC
6,0.01,2000,16.75547078093876,0.07361898404551033,0.8589743589743589,MIMIC
7,0.01,100,14.241114907798707,0.07942421102427848,0.8604651162790697,MIMIC
7,0.01,500,14.566833397500291,0.07653808641100691,0.8604651162790697,MIMIC
7,0.01,1000,14.90128389488908,0.07854204983896221,0.8837209302325582,MIMIC
7,0.01,1500,13.84479487267206,0.07730366057030963,0.8837209302325582,MIMIC
7,0.01,2000,14.046778374203878,0.07626001205533034,0.8837209302325582,MIMIC
8,0.01,100,12.932432220325133,0.0717007830208942,0.8846153846153846,MIMIC
8,0.01,500,13.475690782179303,0.07617300310578475,0.8846153846153846,MIMIC
8,0.01,1000,13.426260238281486,0.07383018381180506,0.8846153846153846,MIMIC
8,0.01,1500,12.985217797742473,0.07276066903781178,0.8846153846153846,MIMIC
8,0.01,2000,13.362959381684648,0.07100537195777881,0.8846153846153846,MIMIC
9,0.01,100,19.515552256742595,0.08853909017939658,0.85,MIMIC
9,0.01,500,19.071518598838,0.08616282359367577,0.85,MIMIC
9,0.01,1000,18.55351574023005,0.08664167894796433,0.85,MIMIC
9,0.01,1500,18.72654294829921,0.08621394419393691,0.85,MIMIC
9,0.01,2000,18.076161184117936,0.0845814170162303,0.8625,MIMIC
0,0.05,100,14.898979683864988,0.08190253971816587,0.8604651162790697,MIMIC
0,0.05,500,14.869816665919702,0.08083886414129368,0.8604651162790697,MIMIC
0,0.05,1000,14.755516201614377,0.08083265161789686,0.8604651162790697,MIMIC
