,run,na_ratio,tool,mae_cont,nmae_cont,acc_cat,mre_cont,dim,bins,discretization
0,0.0,0.01,KNN,77.75124893153043,0.09352484996772184,0.8454746136865342,207858444340177.06,-1,-1,
1,0.0,0.01,AutoComplete,143.87807783216684,0.10268838387719098,0.8432671081677704,133746845750193.92,-1,-1,
2,0.0,0.01,MissForest,112.11017412713045,0.07521790880766491,0.8631346578366446,121697770744867.16,-1,-1,
3,0.0,0.01,POME,125.9781019597001,0.09712660863541656,0.869757174392936,107232037018116.22,16,15,nonlinear
4,0.0,0.01,POME,132.64369431960233,0.08892941997385467,0.8631346578366446,206927193885464.34,32,15,nonlinear
5,0.0,0.01,POME,84.47386399450897,0.07434279120401022,0.8962472406181016,38498619917388.97,64,15,nonlinear
6,1.0,0.01,KNN,108.92310480469047,0.06984338288606141,0.8551068883610451,225179981368525.53,-1,-1,
7,1.0,0.01,AutoComplete,188.68138315720157,0.08633148577556285,0.8527315914489311,81229242929938.08,-1,-1,
8,1.0,0.01,MissForest,134.92211949401866,0.062070422132586144,0.8551068883610451,78532101529968.06,-1,-1,
9,1.0,0.01,POME,174.39879663524033,0.08122752733870474,0.8551068883610451,16713653935033.766,16,15,nonlinear
10,1.0,0.01,POME,134.63230965956484,0.0733775073905288,0.8836104513064132,14221666471162.182,32,15,nonlinear
11,1.0,0.01,POME,117.81914967828581,0.06446969506410549,0.8907363420427553,12692485935182.846,64,15,nonlinear
12,2.0,0.01,KNN,167.30663787316243,0.09980900863107288,0.8619909502262444,43148259902951.41,-1,-1,
13,2.0,0.01,AutoComplete,257.538880850488,0.11815616117507094,0.8484162895927602,71732949239036.16,-1,-1,
14,2.0,0.01,MissForest,204.30873492817045,0.08793714172373074,0.8552036199095022,26786863810129.14,-1,-1,
15,2.0,0.01,POME,254.39320051344268,0.11156370971629871,0.8552036199095022,6613209975721.647,16,15,nonlinear
16,2.0,0.01,POME,216.3839470026291,0.09621541500289348,0.8778280542986425,44824086251170.61,32,15,nonlinear
17,2.0,0.01,POME,155.1851070488698,0.0781248546985296,0.8868778280542986,56072655538512.29,64,15,nonlinear
18,3.0,0.01,KNN,128.70357906436467,0.0896542275455323,0.8419864559819413,0.4688584800663966,-1,-1,
19,3.0,0.01,AutoComplete,210.90044766859523,0.1054704632318372,0.8419864559819413,0.531446396816816,-1,-1,
20,3.0,0.01,MissForest,132.5820148176368,0.07376523422216331,0.873589164785553,0.36001083633084763,-1,-1,
21,3.0,0.01,POME,196.28571218053597,0.09678201891671542,0.8690744920993227,0.3873769719483116,16,15,nonlinear
22,3.0,0.01,POME,164.37368092918845,0.08571569490262189,0.8848758465011287,0.36426380150017507,32,15,nonlinear
23,3.0,0.01,POME,130.0644327972268,0.0739162889351076,0.8893905191873589,0.4612716483243384,64,15,nonlinear
24,4.0,0.01,KNN,57.069740021885615,0.09689262020409999,0.8577981651376146,36445314903576.76,-1,-1,
25,4.0,0.01,AutoComplete,165.15086805137435,0.11651657795795711,0.8738532110091743,50700099713936.84,-1,-1,
26,4.0,0.01,MissForest,106.96495010822781,0.08599999544868754,0.8692660550458715,25641488396074.094,-1,-1,
27,4.0,0.01,POME,146.8680752170525,0.10588130374155781,0.8692660550458715,33917137430457.395,16,15,nonlinear
