,run,na_ratio,tool,mae_cont,nmae_cont,acc_cat,mre_cont,dim,bins,discretization
0,0.0,0.01,KNN,329.9374694355651,0.11318733997390115,0.5015015015015015,0.8291143136339024,-1,-1,
1,0.0,0.01,AutoComplete,453.8696337412968,0.13666493696736787,0.5015015015015015,1.069943832539989,-1,-1,
2,0.0,0.01,MissForest,235.77334793628776,0.08069833731141654,0.5525525525525525,0.5343129373721324,-1,-1,
3,0.0,0.01,POME,469.830280720904,0.10187703161329305,0.6576576576576577,399414340267.2474,16,7,z
4,0.0,0.01,POME,361.93260355569464,0.06875327620353326,0.6816816816816816,53248032768.59043,32,7,z
5,0.0,0.01,POME,405.6035379212132,0.07437068354865076,0.6786786786786787,176432865280.39075,64,7,z
6,1.0,0.01,KNN,205.98781488753414,0.10548890300024984,0.5078369905956113,4.707311167264213,-1,-1,
7,1.0,0.01,AutoComplete,230.2306196008745,0.10505107392991232,0.54858934169279,7.250857018699188,-1,-1,
8,1.0,0.01,MissForest,130.20086051220653,0.060930932456009564,0.5924764890282131,4.20812043546561,-1,-1,
9,1.0,0.01,POME,218.96778947486357,0.09389682842135592,0.6520376175548589,11419369112614.518,16,7,z
10,1.0,0.01,POME,156.81298663592594,0.05758880565601351,0.6739811912225705,555037059933.1876,32,7,z
11,1.0,0.01,POME,124.87000219326806,0.05534914784967731,0.6927899686520376,609152156178.267,64,7,z
12,2.0,0.01,KNN,276.10188179220785,0.11954235959513573,0.5356037151702786,0.9261776119970329,-1,-1,
13,2.0,0.01,AutoComplete,195.4390653234064,0.1276067823055112,0.5077399380804953,2.101154510927551,-1,-1,
14,2.0,0.01,MissForest,130.37849962457443,0.08800376662886945,0.6222910216718266,1.1633813508679038,-1,-1,
15,2.0,0.01,POME,173.5072567780144,0.09398720594520671,0.6718266253869969,1793559164716.6692,16,7,z
16,2.0,0.01,POME,255.8170651681655,0.11360738964854435,0.7027863777089783,820478973458.6405,32,7,z
17,2.0,0.01,POME,178.39289030310383,0.08567827386242444,0.6656346749226006,786562547712.3958,64,7,z
18,3.0,0.01,KNN,79.91823182737174,0.11511308295408336,0.5223880597014925,4.819101036780752,-1,-1,
19,3.0,0.01,AutoComplete,61.60380401898038,0.12299584695758276,0.4925373134328358,8.013055295287506,-1,-1,
20,3.0,0.01,MissForest,26.392240578816704,0.07666841193442214,0.5552238805970149,4.60927553528325,-1,-1,
21,3.0,0.01,POME,30.403454306870582,0.07967380428974197,0.6417910447761194,455142163151.0148,16,7,z
22,3.0,0.01,POME,26.77390648273388,0.07451847264894348,0.6477611940298508,695994314575.1353,32,7,z
23,3.0,0.01,POME,22.32530820551814,0.07355391614742654,0.6805970149253732,1860623343972.7527,64,7,z
24,4.0,0.01,KNN,328.18320958627936,0.10814648830197252,0.48923076923076925,1.428031081900239,-1,-1,
25,4.0,0.01,AutoComplete,574.4488425054508,0.12793451477413076,0.48923076923076925,1.9383719469820433,-1,-1,
26,4.0,0.01,MissForest,333.5735836156342,0.07908990732025986,0.5907692307692308,1.0837343317069246,-1,-1,
27,4.0,0.01,POME,477.3051414503157,0.09528629782882789,0.6584615384615384,2500009955914.669,16,7,z
28,4.0,0.01,POME,638.7349200957558,0.1092585411171054,0.6707692307692308,40850841601.22753,32,7,z
29,4.0,0.01,POME,578.2310487728089,0.0677489933539382,0.683076923076923,435712819200.6117,64,7,z
30,5.0,0.01,KNN,426.0209313918998,0.10862601871441288,0.48909657320872274,0.49407430200682256,-1,-1,
31,5.0,0.01,AutoComplete,464.5431327804563,0.13601059567761434,0.43302180685358255,0.6871077050860204,-1,-1,
32,5.0,0.01,MissForest,293.33596534563804,0.08525689232547176,0.5077881619937694,0.3271475421400317,-1,-1,
33,5.0,0.01,POME,462.5748298643227,0.11396362706877797,0.6386292834890965,79507187302.86595,16,7,z
34,5.0,0.01,POME,493.52688520384106,0.09448942760314093,0.6137071651090342,359115862835.54333,32,7,z
35,5.0,0.01,POME,563.4902994021385,0.07903451172802325,0.6573208722741433,735781165465.9231,64,7,z
36,6.0,0.01,KNN,249.50316871655153,0.1385069949045357,0.5727848101265823,3.4278795208444053,-1,-1,
37,6.0,0.01,AutoComplete,215.2938037639229,0.11893698284419506,0.5411392405063291,5.297525395840875,-1,-1,
