,run,na_ratio,tool,mae_cont,nmae_cont,acc_cat,mre_cont,dim,bins,discretization
0,0.0,0.01,KNN,16.24859688259653,0.08699874228348432,0.7752808988764045,146665885525869.4,-1,-1,
1,0.0,0.01,AutoComplete,16.482825178025106,0.0813279817450016,0.8202247191011236,82484955181923.95,-1,-1,
2,0.0,0.01,MissForest,13.458955402901921,0.0667168935582931,0.7865168539325843,36020807806975.29,-1,-1,
3,0.0,0.01,POME,15.642981116815353,0.08734685865584106,0.8089887640449438,48157925580037.68,16,15,z
4,0.0,0.01,POME,14.985651784498073,0.08394947773667522,0.8089887640449438,58317055083589.12,32,15,z
5,0.0,0.01,POME,15.34876115970503,0.08396222662455735,0.8089887640449438,56099280797311.35,64,15,z
6,1.0,0.01,KNN,18.353268116563033,0.08506180337512226,0.803921568627451,77670890015968.44,-1,-1,
7,1.0,0.01,AutoComplete,16.926930205857886,0.0755319117717092,0.803921568627451,74476088642349.39,-1,-1,
8,1.0,0.01,MissForest,14.386810407542411,0.06578926123527462,0.803921568627451,28605392737121.836,-1,-1,
9,1.0,0.01,POME,18.029295601884034,0.08447201854941784,0.803921568627451,40459530150535.71,16,15,z
10,1.0,0.01,POME,18.52997857124215,0.08788706092160214,0.7941176470588235,42943647085472.49,32,15,z
11,1.0,0.01,POME,18.031354060799984,0.08037240201021909,0.8235294117647058,39251318994227.37,64,15,z
12,2.0,0.01,KNN,15.308154902608146,0.07715888524174025,0.8488372093023255,78303818552263.47,-1,-1,
13,2.0,0.01,AutoComplete,15.466275052205573,0.07582627726761927,0.9069767441860465,103299925723540.44,-1,-1,
14,2.0,0.01,MissForest,13.595125080796825,0.06389309259312205,0.8488372093023255,34056924063554.03,-1,-1,
15,2.0,0.01,POME,14.632587703382402,0.0805420264646603,0.8488372093023255,53755414413310.52,16,15,z
16,2.0,0.01,POME,14.47947803234969,0.07866553284466306,0.9069767441860465,54993173663726.8,32,15,z
17,2.0,0.01,POME,15.039551033623125,0.07883329206364557,0.9069767441860465,64939827229934.77,64,15,z
18,3.0,0.01,KNN,16.011628745447187,0.08817431793739937,0.9385964912280702,104831629632437.72,-1,-1,
19,3.0,0.01,AutoComplete,15.484463218765692,0.07778090446110322,0.9385964912280702,138464675387626.73,-1,-1,
20,3.0,0.01,MissForest,10.878223638700609,0.06764078590963506,0.9385964912280702,44331068715295.94,-1,-1,
21,3.0,0.01,POME,13.803005602058928,0.08597520282919338,0.9385964912280702,53187926457358.89,16,15,z
22,3.0,0.01,POME,14.528611022958975,0.08568493260389835,0.9473684210526315,63885931558256.24,32,15,z
23,3.0,0.01,POME,14.04169150116006,0.08292126092379272,0.9385964912280702,57868527743863.695,64,15,z
24,4.0,0.01,KNN,21.09881628167844,0.07169349578381075,0.8854166666666666,102116538943803.34,-1,-1,
25,4.0,0.01,AutoComplete,20.444714950701123,0.07353854337908498,0.8958333333333334,118886376706523.02,-1,-1,
26,4.0,0.01,MissForest,18.586385930039338,0.0568092526522194,0.8854166666666666,53063065642953.71,-1,-1,
27,4.0,0.01,POME,20.561088729071656,0.07256336079706821,0.8854166666666666,60020813967915.4,16,15,z
28,4.0,0.01,POME,20.348124402396245,0.07035947570358533,0.90625,56370455550106.12,32,15,z
29,4.0,0.01,POME,21.095748957201096,0.07470963500524622,0.90625,72302572183887.86,64,15,z
