Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-55-7570-01,5.5587482,4.520591,3.5659964,3.8427682,4.9276266,6.417653,4.2869987,3.9615047,5.679499,5.19597,5.1417227,6.452203,2.7290723,3.481871,4.2255692,3.711467,4.5186043,5.670226,6.15718,3.79698,6.6302347,6.060763,5.1756268,5.273462,5.2905455,4.9366302,3.7854955,6.1158495,5.46417,3.7761831,4.252346,5.641608,7.227876,3.666384,3.0998201,4.1200886,4.266114,4.0750937,5.2753534,4.381044,5.2944436,5.0488324,3.0478895,7.115211,5.6272726,4.139641,6.4562755,5.198704,6.1863565,4.188531,5.58494,4.725872,4.88689,5.4618106,5.191998,4.821156,7.346016,4.3104267,5.7509775,4.9660435,5.4715223,5.82417,3.630191,2.8172522
TCGA-78-7150-01,6.589546,4.31683,3.5645442,4.0531807,4.6265674,6.630565,4.42223,3.988506,5.827736,5.359712,4.8876634,6.6874676,2.7358966,3.493563,4.3682675,3.4414663,4.367898,5.682931,6.23564,4.056823,6.5552316,5.988836,5.2271914,4.973343,5.2898083,5.0622115,3.332553,6.1662717,5.5954185,3.54316,4.3566875,5.661151,7.1711683,3.67854,2.9896498,3.9332173,4.4613633,4.14043,5.3303614,4.306399,5.248473,5.122192,3.0219622,7.1518617,5.867986,4.1596413,6.4920673,5.4316316,6.3233256,4.302193,5.568522,4.657987,4.8776684,5.5111456,5.094687,4.8305864,7.3681526,4.2590823,5.770695,5.022299,5.50605,6.0588503,3.6773787,2.953637
TCGA-55-7728-01,2.4415593,5.5007343,3.6736205,2.9768572,5.782018,5.990823,4.29992,4.2039046,5.319163,4.5817714,5.657923,5.5570107,2.7986178,3.3940628,3.6004665,4.395247,4.934258,5.428949,5.8408237,3.0594313,6.9857993,6.187704,5.29762,6.0077677,5.4715643,4.5102124,5.357607,5.7264204,5.2623396,4.422035,4.252391,5.3086133,7.490094,3.662016,3.0365484,4.773709,3.9840426,3.9999135,5.0990653,4.5470314,5.356484,4.982488,3.1362493,7.1826086,4.7543902,4.2633977,6.646284,4.608106,6.169916,3.7838888,5.4749513,5.0579886,4.8995976,5.491208,5.357582,5.0543094,6.870047,4.629804,5.3787913,4.905969,5.3011813,4.899197,3.7230704,2.3245695
TCGA-62-A46P-01,4.9150295,4.7705975,3.5362697,3.7122848,4.9581776,6.4578333,4.243407,3.974332,5.7124257,5.2079344,5.222411,6.4593434,2.767052,3.5175016,4.218125,3.8626575,4.4349556,5.6463537,6.0984116,3.7086723,6.603503,6.0710225,5.159289,5.372643,5.2271986,4.811498,3.9680443,6.022234,5.50201,3.9021635,4.2451725,5.7438807,7.386604,3.5402062,3.1026638,4.217485,4.285502,4.0758905,5.139222,4.4786825,5.3360014,4.905157,3.042595,7.0343666,5.534004,4.266868,6.4563184,5.073704,6.1335945,4.155362,5.607605,4.705253,4.929468,5.4834304,5.275731,4.9032483,7.3708906,4.3572,5.7202682,5.121771,5.544568,5.7651224,3.6007714,2.783892
TCGA-91-6830-01,5.106891,4.668781,3.5154617,3.7566493,4.7918296,6.538741,4.1645074,3.956609,5.7743845,5.329516,5.16551,6.588461,2.7537084,3.578829,4.3334584,3.8307352,4.3197455,5.6492667,6.160105,3.8518133,6.53974,6.1122594,5.1281962,5.328199,5.1925015,4.829037,3.7690132,6.058287,5.527858,3.7947478,4.205379,5.8418336,7.398199,3.4801998,3.0642579,4.1673994,4.3792996,4.1548405,5.153683,4.528975,5.316641,4.8652678,3.0280116,6.9811616,5.6098337,4.3004208,6.4403677,5.132731,6.106578,4.237726,5.6695247,4.614514,4.95926,5.4870043,5.348968,4.86192,7.4130964,4.33116,5.7705607,5.1861296,5.6895847,5.92345,3.530022,2.8387914
TCGA-73-4659-01,4.65778,4.577081,3.643827,3.7089849,4.6842556,6.2907977,4.1800056,4.0891905,5.680399,5.0720177,5.3843665,6.4269876,2.7545671,3.4550242,4.2855496,3.940952,4.479566,5.486018,6.1637053,3.7753375,6.605783,6.189083,5.191544,5.449246,5.422313,5.0835133,3.8966296,6.0544534,5.384498,3.682398,4.1274705,5.6903796,7.34369,3.5760045,2.9942837,4.2662287,4.332534,4.2213025,5.2923183,4.5542784,5.3212895,4.9509387,3.1393812,7.013208,5.4596305,4.18887,6.463554,5.246445,6.0627966,4.1704593,5.659994,4.6934414,4.8668227,5.420846,5.3425713,4.791819,7.141911,4.3889284,5.7040434,5.0460305,5.6946054,5.671248,3.419277,2.718244
TCGA-17-Z015-01,6.9728527,4.1415157,3.64092,4.1772137,4.6164746,6.579069,4.3730946,3.8932562,5.823634,5.363842,4.9523034,6.720767,2.7581856,3.380808,4.3841343,3.5177293,4.40331,5.7952447,6.316545,4.090154,6.523336,6.062151,5.1851397,4.9342775,5.316711,5.207802,3.3780878,6.1702,5.629137,3.5262194,4.3555565,5.5471187,7.0957355,3.7931294,3.0030212,3.909379,4.360656,4.1185923,5.4505854,4.2378807,5.178524,5.037898,3.040834,7.129709,5.7908907,4.114927,6.544108,5.4177604,6.35675,4.2523985,5.598313,4.6844378,4.8497562,5.4225736,5.1281223,4.693704,7.2663107,4.1620526,5.8040743,4.90272,5.535635,5.9837246,3.685366,3.0150127
TCGA-97-A4LX-01,3.8112056,4.902467,3.5918865,3.4777472,5.0772147,6.161029,4.181469,4.105111,5.5492387,4.9098377,5.5071554,6.1232247,2.801933,3.501981,4.0588613,4.0730786,4.646304,5.4624906,6.03482,3.537227,6.717394,6.1740866,5.1912603,5.675631,5.466435,4.890845,4.3109508,5.918039,5.328273,3.905698,4.1207438,5.682293,7.4039354,3.5956798,2.9654646,4.406854,4.2178755,4.1620116,5.1953635,4.5659156,5.396587,4.955429,3.0986962,7.0598483,5.218351,4.188718,6.4505696,5.0316544,5.9872303,4.0798054,5.6485443,4.737422,4.8580523,5.4500628,5.376656,4.9265356,7.094678,4.46517,5.6143703,5.0350094,5.5634584,5.4806914,3.5162811,2.5923707
TCGA-44-3398-01,3.9713087,4.7733254,3.6288278,3.5476685,4.9749756,6.2025657,4.038535,4.113841,5.6220245,5.029931,5.4780207,6.2993374,2.7675464,3.5360188,4.163683,4.0465965,4.5482974,5.4959364,6.1230016,3.6295855,6.6336417,6.2801867,5.1205316,5.6572723,5.4025464,4.869908,4.1526003,6.0013986,5.293972,3.8116062,4.078875,5.7043686,7.3905373,3.53713,3.0161161,4.362111,4.277944,4.2566886,5.2787266,4.5997834,5.4121675,4.952963,3.1159997,6.983556,5.221604,4.252241,6.459675,5.081682,6.0107174,4.1244626,5.7447577,4.696192,4.8454638,5.4210944,5.419534,4.8624654,7.12954,4.478988,5.659996,5.107916,5.64839,5.581412,3.415837,2.6650233
TCGA-69-7764-01,2.172681,5.510391,3.6645482,2.9206429,5.734456,5.891683,4.3310356,4.2990203,5.2431736,4.5304046,5.6244874,5.5889554,2.7870595,3.4001174,3.6110413,4.3434286,4.906153,5.517156,5.871686,3.0382338,6.874234,6.174636,5.246166,6.085158,5.542385,4.5626535,5.253363,5.678425,5.17548,4.310882,4.1881533,5.377953,7.4541783,3.7439065,3.0480578,4.7759175,3.9664705,4.06922,5.1159077,4.5977087,5.394955,4.956068,3.103549,7.207622,4.61421,4.302673,6.5703106,4.678668,6.070455,3.8331609,5.5664735,4.986411,4.859188,5.4417562,5.4505944,4.994407,6.8198857,4.7009478,5.418862,4.9692836,5.337369,4.8426337,3.6513097,2.3970764
