Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-44-7669-01,12.332375,1.43356,6.377809,4.460953,3.6930313,4.990763,5.342411,2.9983475,4.0954304,4.0314894,5.4070168,3.3802392,3.0828817,5.2466273,3.8223476,4.160367,3.6181502,6.9209433,5.536506,4.1708236,3.8492076,5.499277,5.8614116,5.566911,4.0848002,6.3876367,3.7680855,4.8153825,2.932368,6.3865767,5.4397116,4.5584683,5.84472,5.3717675,4.857794,6.078785,6.4168763,3.4014976,6.1831884,6.235601,4.5684195,6.5164847,5.1316934,4.1589384,5.431598,5.0042763,7.6342096,4.8773785,5.325368,5.4111404,4.053407,6.104641,5.967657,3.8891304,4.9854045,4.5055857,5.6084146,4.2279873,6.578003,4.2807465,4.3092127,6.3585634,5.6775417,5.9725723
TCGA-55-A4DF-01,12.296361,1.3213272,6.4367056,4.4146004,3.582976,4.8908596,5.446006,3.2378352,4.1789002,3.9951181,5.3745937,3.4178612,3.2172797,5.2061777,3.787208,4.290334,3.695269,6.710132,5.55327,4.1435356,3.882622,5.380078,5.9125466,5.4786944,4.281224,6.461228,3.9227593,4.883854,2.8811584,6.4460254,5.4014816,4.64139,5.65805,5.4190793,4.9091144,5.9839683,6.3489723,3.4435441,6.2091503,6.269818,4.589183,6.4636745,4.992934,4.2599273,5.385543,5.1578274,7.4104667,4.748008,5.4546614,5.494177,4.083479,6.0248203,5.9801536,4.0916033,5.074729,4.4331264,5.6373196,4.223654,6.5538397,4.0714164,4.0999317,6.2054505,5.6011024,5.7443805
TCGA-50-5933-01,12.907023,0.5435195,6.683128,4.212564,2.8806033,5.0864973,5.6460567,2.6208067,4.006099,3.5046906,5.4598556,3.985492,2.7344768,5.4800353,3.2075596,3.6627128,3.7671008,6.5201254,5.7037096,4.0486746,4.296882,4.9524746,5.532688,5.8955054,3.774139,7.2121215,3.563781,4.958949,2.816605,6.646331,5.759293,4.505965,6.0602937,5.259744,5.00964,6.3646984,6.629614,3.0672297,6.191916,6.0793557,4.5123143,6.8519177,5.104981,4.287394,5.621338,4.8198676,7.8964477,5.1173167,5.123303,5.529082,3.94196,5.685019,5.662095,3.6913738,4.4683933,4.9755454,6.2535686,4.1951866,6.3532333,4.1588025,3.960372,6.4600987,5.9825425,6.2006683
TCGA-05-4417-01,13.07736,0.45107102,6.618734,4.047791,2.9324925,5.0569534,5.589871,2.6852205,3.9313867,3.5215344,5.4433155,4.020773,2.7801373,5.4958305,2.7794929,3.5732183,3.7353065,6.4695096,5.7001853,4.0294037,4.1802483,5.119951,5.3639436,6.171662,3.7518265,7.2246437,3.555073,4.986862,2.858445,6.7110944,5.835751,4.576776,6.057534,5.2011766,4.963931,6.3743615,6.6670527,3.1544204,6.114037,5.986215,4.5588403,6.859583,5.1126494,4.1788816,5.7195234,4.722828,7.8636465,5.1769223,5.057615,5.4852104,3.8610156,5.828607,5.694179,3.587244,4.439777,5.0346274,6.2878666,4.0627904,6.367074,4.1096697,4.0997705,6.448463,5.95696,6.160639
TCGA-86-6562-01,12.179661,1.1537586,6.568533,4.370027,3.3415592,4.9918294,5.160697,2.8871622,3.8709483,3.8009775,5.464809,3.6933534,2.8645663,5.296916,3.6053884,4.003787,3.8029258,6.859244,5.363602,3.9802525,3.6713727,5.1797996,5.685263,5.606407,3.8590627,6.6467814,3.9410932,4.8360505,3.0105739,6.6625757,5.5282416,4.7022176,5.758883,5.185967,4.9469495,6.046568,6.471694,3.1116915,6.333026,6.3215537,4.5932465,6.621682,5.166783,3.8657234,5.317231,4.5431905,7.742677,4.875867,5.2844276,5.3787084,3.8294127,6.29881,5.879722,3.6620505,4.898194,4.4656763,5.606557,4.123316,6.3587956,4.3845015,4.1489906,6.3658223,5.7925587,5.980992
TCGA-44-6145-01,11.971462,1.1489222,6.7551312,4.575876,3.19929,5.022125,4.991069,2.9556153,3.8903947,3.6080449,5.5324807,3.6820455,2.8657115,5.288258,3.61407,4.1311154,3.892349,6.9634285,5.3186536,4.046117,3.4169972,5.12,5.6951704,5.509392,3.801992,6.7203403,4.010435,4.708917,2.9955957,6.7664304,5.478271,4.7821593,5.6218424,5.1749554,5.005347,5.944982,6.349871,2.8070085,6.5152936,6.4780884,4.550065,6.6702595,5.142911,3.6778662,5.1597614,4.403789,7.754313,4.6783757,5.382615,5.423805,3.7871735,6.4612656,5.851294,3.5821147,4.877782,4.300508,5.516291,4.0200095,6.3177905,4.352497,4.0685635,6.346625,5.854101,5.9435377
TCGA-91-A4BC-01,12.604187,1.2150439,6.4335585,4.3697944,3.695222,4.949662,5.5254602,2.9739983,4.2129016,4.0700774,5.4757624,3.3550975,3.1590946,5.204507,3.718704,4.181448,3.5267322,6.765261,5.5513134,4.2133822,4.0515156,5.3447394,5.844665,5.6179333,4.221931,6.5973916,3.6570714,4.7993813,2.8721583,6.3770037,5.3582687,4.5632405,5.917186,5.4213505,4.7971,6.1154456,6.4684606,3.5085988,6.148481,6.219456,4.583257,6.6361346,5.0510893,4.2847333,5.414214,5.156161,7.5722265,4.9730916,5.364704,5.422853,4.094961,5.9091806,6.1065116,3.9796102,4.9643006,4.6175685,5.6553593,4.1994743,6.685886,3.991282,4.3544827,6.3092556,5.716988,5.92029
TCGA-86-A4D0-01,12.357161,0.9985507,6.6811895,4.424927,3.3696313,4.920511,5.193506,3.0582356,4.006403,3.7501585,5.5682445,3.6063719,3.0243285,5.292702,3.4833064,4.140197,3.8233035,6.7916136,5.397727,4.120775,3.6410978,5.221634,5.6869054,5.603645,3.975326,6.837209,3.8704624,4.7978625,2.9486027,6.7324147,5.388641,4.758309,5.701535,5.3053045,4.978929,5.9759974,6.3662634,3.1024833,6.4138637,6.279775,4.636927,6.7261415,5.098372,3.9224288,5.326704,4.654605,7.6206203,4.7541933,5.434313,5.4579725,3.870501,6.321214,5.9218454,3.7840552,4.831069,4.47989,5.7083755,4.077858,6.4698043,4.008866,4.178735,6.308721,5.814186,5.82281
TCGA-05-4424-01,13.120944,0.5175192,6.6141343,3.971346,3.031989,4.9937243,5.5278044,2.8451214,3.9190314,3.5674322,5.4430547,4.0129175,2.868197,5.4851127,2.599958,3.5912838,3.7428186,6.44585,5.660242,4.0931063,4.031012,5.2827363,5.2563295,6.2930856,3.763948,7.145207,3.5671933,4.9647126,2.8897712,6.7654276,5.81235,4.648892,6.0054936,5.1852474,4.938995,6.318247,6.6085334,3.199603,6.1227794,5.938196,4.61538,6.812266,5.1056647,4.1088905,5.7584395,4.714908,7.7877645,5.114069,5.0871887,5.4625745,3.8093832,5.9876456,5.752579,3.6094997,4.451612,4.996286,6.2638535,4.018326,6.414395,4.0402155,4.1657653,6.4102383,5.8963017,6.074405
TCGA-49-4486-01,12.229044,0.71383667,7.0684757,4.472467,2.7987845,5.0806527,5.0185,2.7314327,3.833795,3.268981,5.6707487,4.051627,2.605393,5.4776998,3.1564434,3.842335,3.9641557,6.8410068,5.327051,4.155323,3.493747,4.9566355,5.372827,5.8277617,3.4541123,7.1517763,3.7577553,4.6438313,2.918329,7.059664,5.6138644,4.751914,5.8297734,5.1340218,5.079744,6.074507,6.4027333,2.459949,6.6840706,6.4106426,4.5464053,6.90267,5.2385793,3.6276596,5.289026,4.197147,8.023427,4.719981,5.2860794,5.459728,3.6252153,6.4690075,5.780398,3.4287658,4.454658,4.5217733,5.8933706,4.029593,6.2961264,4.2816334,3.9805584,6.5101366,6.0980844,6.155876
