Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-55-8619-01,-2.5273423,20.053566,-2.4786801,9.8345585,7.3502784,2.0155077,4.6459785,2.2512388,1.2769738,9.452511,1.3809843,5.571761,8.47859,0.24003984,2.9941914,7.6458015,3.4163198,4.9011874,1.5024447,6.056405,9.396295,7.640794,1.9583465,1.4482403,3.1277964,3.1749067,7.380038,12.551322,7.757194,6.5557456,6.774911,5.936443
TCGA-91-6836-01,-2.9049978,19.627384,-2.4912252,9.340301,7.742983,1.753224,3.7790415,1.8320045,0.51550066,9.47043,1.8974899,5.4365277,7.701031,1.2544369,2.2908835,6.924681,3.674706,4.380369,2.4413383,5.638113,8.514409,7.7728577,1.8728526,1.2030976,3.0591977,3.2575023,7.1516104,11.854474,7.4490952,5.814988,6.5344887,5.1880383
TCGA-44-5645-01,-2.6344821,19.988043,-2.4260128,9.855163,7.2742634,1.948552,4.520393,2.2653353,1.0777303,9.471701,1.5584497,5.4442835,8.04584,0.69228464,2.8517241,7.660306,3.609698,4.650126,1.8385051,5.9241724,9.164826,7.7378516,1.8864721,1.391647,3.2029345,3.3680305,7.242145,12.176379,7.3506956,6.1496725,6.714892,5.7039742
TCGA-MP-A4TF-01,-3.0436814,19.547482,-2.4237995,9.036611,7.994864,1.6341866,3.8316183,1.7434015,0.54788375,9.176892,1.8536963,5.514112,7.878515,1.378291,1.9390129,6.7828712,3.632634,4.2654104,2.4399753,5.486661,8.408866,7.663621,2.1553714,1.2327338,3.2858489,3.4406319,7.282085,11.931737,7.392919,5.902941,6.600208,5.1654224
TCGA-86-8055-01,-3.460195,19.213411,-2.5306027,9.222756,7.6083865,1.7075356,3.9924743,1.5925992,0.6910152,9.433367,1.9188193,5.612585,7.999453,0.8414856,2.3348162,6.74217,3.4093857,4.2582097,2.1158476,5.8348584,8.417467,8.187379,2.5272505,0.9391696,2.8700457,3.303095,7.520325,11.736778,7.0384793,5.622384,6.4064403,5.501104
TCGA-49-6761-01,-2.5959904,19.547989,-2.1732962,9.481791,7.4189334,1.9404819,4.212431,2.0331087,0.8951389,9.2979555,1.7642906,5.3370395,7.838238,0.80170214,2.5524805,7.363058,3.7191827,4.596303,2.2916582,5.706154,8.670647,7.5842147,1.9037493,1.4078536,3.441435,3.332064,7.209738,11.945993,7.229345,5.9523735,6.5315194,5.3895607
TCGA-73-7498-01,-2.438766,19.882185,-2.2332478,9.8370695,7.2163386,2.0248206,4.629825,2.232015,1.2778099,9.370511,1.5675899,5.385948,8.122285,0.44584417,3.0549273,7.530694,3.579079,4.9949975,1.9116699,5.9492793,9.28954,7.71552,1.8174709,1.5113493,3.2261758,3.0112107,7.337138,12.327259,7.704861,6.3218064,6.7179084,5.7294884
TCGA-97-A4M0-01,-3.5052888,19.492573,-2.5924854,9.610737,7.634192,1.6811603,4.0124416,1.7132478,0.751377,9.344313,1.8387911,5.649408,8.202169,0.7624236,2.825443,6.843169,3.2633283,4.5521755,1.9718658,5.8997297,8.899144,8.023549,2.396445,1.1055703,2.540795,3.1083221,7.514466,11.874945,7.5766664,5.858314,6.528256,5.677862
TCGA-44-A47G-01,-2.7555637,20.08557,-2.584545,9.964764,7.2775135,2.038879,4.537557,2.2797916,1.1665429,9.668465,1.3558211,5.667991,8.232906,0.6521731,2.838584,7.6878395,3.4600027,4.726655,1.4008749,6.1445594,9.20369,7.709031,1.9434223,1.3656702,3.1362255,3.2487054,7.3251147,12.315708,7.449768,6.304055,6.8685846,6.0302672
TCGA-55-8207-01,-2.7146883,19.624374,-2.4102492,9.68887,7.2713346,1.9829352,4.4807353,2.0475318,1.1249238,9.399812,1.66105,5.4749427,8.469813,0.09193863,3.1118531,7.4176598,3.398941,4.740923,1.7706081,6.027871,9.186073,7.9086685,2.1086805,1.287445,2.8690987,3.1664083,7.438573,12.302739,7.4913173,6.21813,6.474096,5.7845607
TCGA-71-6725-01,-3.4564292,19.532408,-2.4751258,9.262943,7.6520505,1.6636035,4.036131,1.6996974,0.7240911,9.501089,1.6553303,5.6014204,8.08036,1.04749,2.2659018,6.8776655,3.4641454,4.0307603,1.9765195,5.6599555,8.590179,8.237095,2.4758158,1.2606838,2.8797176,3.693755,7.4946504,11.781249,7.0108356,5.9817233,6.5349307,5.6803446
TCGA-L9-A444-01,-3.2475681,19.277313,-2.2939777,9.180366,7.594884,1.6948103,4.019593,1.5952013,0.71865314,9.202024,1.9205233,5.3911533,8.30764,0.6257816,2.7506192,6.8045583,3.4543579,4.183703,2.3741817,5.593147,8.682226,8.261426,2.3822665,1.2891439,2.6342149,3.532419,7.5074425,11.906143,7.2926593,6.001755,6.206318,5.4371114
TCGA-55-7903-01,-2.7545109,19.635252,-2.4846158,9.666653,7.282892,1.9876697,4.462233,2.041075,1.0939974,9.462339,1.6347555,5.5183406,8.471868,0.11333407,3.0320518,7.4427,3.3858197,4.661226,1.7119561,6.060793,9.124869,7.9265347,2.1463184,1.2289212,2.8786685,3.233359,7.4366755,12.3019085,7.397791,6.1917405,6.472164,5.8147807
