	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
survival_status_with_cause	-0.027822698	-0.35652006	-0.22776958	0.16359423	-0.0981329	-0.00202171	-0.4148759	-0.07843324	-0.023427596	-0.1812898	-0.068427555	0.034514632	0.35840705	-0.365033	0.041671254	-0.078277335	0.04319943	0.12073259	0.04673037	0.064162694	0.08977556	0.16444056	-0.21630767	0.11733099	0.15644756	-0.20287631	0.19850895	-0.037961345	-0.029841064	0.062382273	-0.09476138	-0.059001956
days_to_last_information	0.085984066	0.37013456	0.003416435	0.08110347	0.3452058	0.4101691	-0.3268787	-0.091501474	0.06825552	0.17225344	-0.2918786	0.27142364	0.2204012	0.3917284	0.14846861	0.53248113	-0.061401054	0.04947706	-0.021500643	-0.17545345	-0.059903964	0.01932745	0.2085354	0.05421732	0.04605094	-0.14162837	0.1944156	0.14032598	-0.010514964	-0.23875698	-0.09184183	-0.063446894
rfs_event	-0.090975925	-0.32186252	0.0717802	-0.030031553	0.21234372	-0.19354059	-0.118059024	-0.29012617	-0.39115977	0.12333293	-0.19833283	0.13955344	0.05308127	0.4806957	-0.23260754	0.02774085	-0.11621158	-0.18797149	0.1921118	-0.12736857	0.030617626	0.5442216	0.048391797	0.4144373	0.24311894	-0.05956129	0.2607954	0.19373524	0.24221948	-0.26528066	-0.09133321	-0.05047442
days_to_rfs_event	-0.42149898	-0.16518606	0.27578172	0.12475325	0.37820396	0.19726956	0.006272822	0.38980252	0.042113453	0.16702601	-0.34228268	0.15836781	0.17715207	-0.6224393	0.02894445	0.7270594	0.41719353	-0.36156237	-0.24300583	0.029190484	0.1967746	-0.02129743	0.07163622	0.014296125	0.64983046	-0.19773464	-0.48941445	0.048944127	0.37715757	-0.38576475	-0.08754177	0.2457816
sex	0.09889912	-0.2383881	0.31482658	-0.10484191	-0.12669793	-0.020924052	0.3147995	0.06391541	-0.30415195	0.3426073	0.02814218	-0.1422728	0.10761345	-0.028202193	-0.14165789	0.29650086	-0.035519727	-0.39010236	0.12581812	-0.21937595	-0.45272094	0.041074317	-0.09145221	0.11975368	0.35637635	0.16484766	0.29477382	-0.20147656	-0.11254245	0.22339097	-0.19517136	-0.065418415
primarily_metastasis	0.040993433	0.023376906	0.049301922	0.01006557	0.19910337	-0.28541803	-0.018709108	-0.07525307	0.02810229	-0.5787685	-0.10991349	0.093673915	0.46108726	-0.33126736	0.3213474	0.14220034	-0.2905644	-0.079436526	-0.0033375476	0.07239077	0.15953748	0.23569085	-0.20768842	0.24553145	-0.038900968	0.121149726	-0.08850819	-0.10159129	-0.15946649	-0.15135664	0.04121422	-0.0445988
smoking_status	-0.42331308	0.29049072	-0.2023909	-0.088183105	-0.093182944	-0.3533915	0.40636417	-0.022026349	0.10782717	-0.16127577	0.14512032	-0.09727669	0.120928295	0.16695614	0.23308477	0.15973257	0.13086857	-0.70385355	0.16938667	0.008114337	-0.23306754	-0.26173106	-0.14395474	0.09224108	-0.1268358	0.24374723	0.024249438	0.27933937	-0.24772872	0.034630656	-0.26755902	-0.3347264
age_at_initial_diagnosis	-0.2675117	0.25682536	0.2807656	0.04389009	-0.22435632	-0.24153939	0.2541025	-0.31318933	-0.34648472	0.4418277	-0.2560898	0.12521859	0.068254486	-0.029769013	0.03559882	-0.21244292	-0.24283653	0.3054799	-0.45184445	0.29361448	-0.19695094	-0.16633524	-0.1284774	0.20631233	0.17854273	-0.3197311	0.031262137	0.1441551	0.16857344	0.032726873	-0.31671602	-0.19717242
perinodal_invasion	0.033570558	0.10783052	0.12354773	0.23589492	-0.13474306	-0.17726922	0.13110733	-0.3274396	-0.05123685	-0.21107116	-0.20944797	-0.36455482	-0.052530035	0.09488592	-0.15357496	0.10809328	0.009629234	-0.32288697	-0.38062504	-0.07876607	0.021431178	0.20880236	0.09547259	-0.03648723	0.14114067	-0.24580872	0.17151439	0.24561028	0.1950098	-0.25682157	0.008863431	0.21042393
lymphovascular_invasion_L	0.007116843	0.042287063	-0.15147583	-0.1053169	0.4186276	0.114980966	0.17412037	0.17668048	0.24779366	-0.3403165	-0.28536114	0.18274394	0.27441773	0.035462864	-0.15057504	-0.21192111	-0.28809026	-0.26271886	0.014706712	0.3579462	-0.25768575	-0.2070202	0.2618266	0.01151737	-0.015549434	0.22155383	0.3123031	-0.15453987	-0.31338707	0.042123	-0.10072372	0.37069294
