	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31	dim_32	dim_33	dim_34	dim_35	dim_36	dim_37	dim_38	dim_39	dim_40	dim_41	dim_42	dim_43	dim_44	dim_45	dim_46	dim_47	dim_48	dim_49	dim_50	dim_51	dim_52	dim_53	dim_54	dim_55	dim_56	dim_57	dim_58	dim_59	dim_60	dim_61	dim_62	dim_63
c111	-0.15141264	0.17760211	0.12460852	-0.17331545	0.1755714	0.07138077	0.2904603	-0.1356018	0.068927824	-0.1434097	-0.0105865365	0.2564842	-0.07639588	-0.12345466	-0.0087751085	-0.07515125	0.11522265	0.10091822	-0.022340434	-0.024009094	-0.02087342	-0.3384802	-0.42837137	-0.02484919	-0.019211315	0.19178765	-0.019850787	0.028238466	-0.032147136	-0.19433042	0.13412517	0.059812114	0.09640558	0.20513816	0.038386863	-0.14895509	0.09353439	0.06899289	-0.12823585	0.19964495	-0.10200677	-0.13742392	0.27807802	-0.3384641	-0.085421555	-0.20579594	-0.17776094	-0.03167969	0.1330528	-0.012380281	-0.04827077	-0.29114872	-0.008235265	0.12999934	0.17603488	-0.11219111	0.044499885	-0.00052659214	0.052605826	0.047884032	-0.083549224	0.051475402	-0.09628052	0.036075976
c130	-0.26318115	0.2899598	0.22284243	0.094758615	0.102683865	0.042804375	0.21091871	-0.1578262	0.11665484	-0.15603097	-0.064757675	0.014547187	-0.015151321	-0.10764865	-0.19056946	-0.08608092	-0.02394095	0.008445735	0.32554168	0.12410789	0.18266572	-0.06063796	-0.28231362	-0.04488891	0.08694766	0.08987262	-0.06416697	-0.106582865	0.15139492	-0.04193088	0.11518894	-0.104031876	-0.05339074	0.25466016	-0.14137164	0.2057711	0.27972502	-0.049858034	-0.07970476	0.2020123	0.033536926	0.03900706	-0.10509621	-0.15565653	-0.07115966	0.1058319	-0.2695909	-0.3741628	-0.029975092	-0.3596659	-0.060206547	-0.41052777	-0.028808549	-0.16123268	0.21371503	-0.10009388	-0.19226453	-0.12387913	0.0113424705	0.10094879	0.14061792	0.044326015	-0.14462996	-0.22179857
c131	-0.069169536	0.28665847	-0.08742667	0.286728	0.2468426	-0.019388238	-0.025609184	0.025702275	0.12341376	-0.31007144	-0.30388585	0.14037451	-0.33758023	0.026126426	0.005576419	0.09625943	0.19798455	0.10918456	0.39657977	0.27384633	0.24700342	-0.13647096	-0.3729352	-0.19531101	0.26932734	-0.04453434	-0.04221054	-0.06895823	0.13233183	0.034210946	0.30386195	0.041142035	0.25124934	-0.3587749	0.070686206	-0.31850824	-0.11890026	-0.28703448	-0.26584664	0.23667422	0.011635237	0.02876824	0.17523743	-0.22776003	-0.09249939	-0.21908002	0.042183276	-0.01230406	-0.3197386	-0.008555644	0.08788891	0.20867112	-0.046033688	-0.13841702	0.056397133	0.19590986	-0.022099962	0.07714837	-0.25696522	0.19991167	-0.07078432	-0.19110267	-0.16281337	0.25565332
c132	-0.28973165	0.11785768	0.07529379	-0.23175459	-0.21094562	0.093217336	0.062112994	-0.16651599	0.20463581	-0.12511697	-0.25442767	0.19356877	0.018957108	-0.16129537	-0.27915525	-0.16646338	-0.14610313	0.012017362	0.060412694	-0.13504544	0.053019825	-0.04352546	-0.09112184	0.027846353	0.059758082	0.02106731	-0.06970587	-0.20748179	-0.015909836	-0.073484756	-0.07706664	-0.24037813	0.27425435	0.22887048	0.049839024	0.06558551	0.0024193018	-0.10551678	0.028976075	0.22970189	-0.032899123	-0.029850002	0.2604647	-0.30101645	-0.066409156	-0.05317942	-0.42660004	-0.1788935	-0.17058931	-0.2739684	-0.043347422	-0.29804775	0.19319549	0.11679804	0.17237557	0.07623499	-0.18778227	0.12053488	0.17889632	0.24928717	0.28571996	0.046027917	0.110260636	-0.22262983
c138	0.12933272	-0.068083644	-0.13810596	-0.11559675	-0.027557803	0.03552057	0.1787365	-0.26250634	-0.18461384	-0.07378281	-0.20933716	-0.073011436	0.11518153	-0.077955365	-0.1485044	0.22968805	0.17779072	-0.051253922	0.4394867	-0.002883856	0.17747444	0.02918765	-0.36361435	0.013447575	-0.092992984	-0.0630663	0.0070546577	0.07914727	-0.2287204	-0.15570128	-0.09906098	-0.020386199	-0.07746768	0.35794187	-0.020395359	-0.13206372	-0.13403687	-0.48105955	-0.28349409	0.33700997	0.012872127	0.11846829	-0.12713045	0.04561681	-0.00017637247	-0.21739362	-0.37078607	-0.0015771515	0.08672735	-0.21161266	0.013377344	-0.39966905	-0.062807985	0.033005405	0.038791027	-0.17009546	0.13251263	0.09293304	-0.03689282	-0.0356655	-0.08094127	-0.29193476	-0.21722709	-0.2018981
c139	-0.46385184	0.037050936	0.21463446	-0.10959422	-0.0139027545	0.08274293	0.18186714	0.03569291	-0.061608158	-0.35274988	0.0456346	0.2903393	0.07185226	-0.030849168	-0.1279377	0.23743787	0.26670724	-0.22381361	0.28681734	0.5206971	0.03401943	0.075427316	-0.29700997	-0.30923846	0.102148876	0.1381866	0.23110813	-0.245352	0.0061548688	0.034778863	-0.06841917	-0.26866475	0.20721868	-0.114751615	0.0498134	0.14697778	0.18858182	-0.007205249	-0.43152487	0.033793006	0.022660447	-0.013315575	-0.3135668	-0.2460776	0.15843697	0.22628026	0.1437206	-0.29728147	-0.032288555	-0.3190932	-0.0036100384	0.12736021	0.15708469	-0.05998329	0.21785153	-0.03526489	-0.7379532	0.1580047	-0.116739154	0.15371618	-0.054086126	-0.19724812	-0.3001464	0.29623824
c148	-0.30439144	0.10087541	-0.21911922	0.11500588	-0.12998834	-0.29273382	0.26080543	0.11019124	-0.16511811	-0.09046056	0.002463671	0.30815598	-0.074349955	0.34311476	-0.18781383	0.092553064	0.14410709	0.16928382	0.33982015	0.27388617	0.0058853873	0.044579275	-0.04511743	0.22441582	-0.0661748	-0.03219856	0.105229355	0.07921225	-0.26837218	-0.03579852	0.13282347	0.0066376044	0.012037003	0.013201346	-0.04144079	0.0655013	-0.02530649	-0.1837867	0.062379967	0.11500126	0.030287892	-0.0020421583	0.12683532	-0.10836327	-0.24049868	-0.116518304	-0.015322714	-0.21091218	-0.058350686	-0.05895288	-0.16152814	-0.033435725	-0.124613285	0.07465614	0.0060791317	0.042400517	-0.17183909	-0.04694796	-0.038281154	0.21111147	-0.14613318	0.024556572	-0.20009688	-0.094229005
c320	-0.23721214	-0.012219367	0.12483583	0.32542518	0.10838445	-0.14727573	0.19477928	-0.24420837	-0.13228472	-0.20179917	0.12718396	0.079213135	0.12640838	0.2738421	-0.15814817	-0.048258357	0.1904236	-0.025190389	0.19426177	0.3123032	-0.114599794	0.52055246	0.105049275	-0.20493788	-0.0053421147	0.09698442	0.080982074	-0.2799222	0.12517102	-0.054863676	-0.051864997	0.056356806	-0.006382034	0.22753622	0.028943112	0.13159202	0.40360475	-0.15038025	-0.06911357	0.14112002	0.10490802	-0.3098219	-0.15283878	-0.055788312	-0.03596072	-0.119892135	-0.13410538	-0.2220787	0.14293468	-0.046295464	0.07166377	-0.10635936	-0.07935293	-0.20850754	0.0905743	0.20321378	-0.3122066	0.11676199	-0.32131997	0.079263955	0.15508744	-0.30766204	-0.21651599	-0.06554115
c321	0.319409	-0.09659093	-0.22250444	0.13906074	0.23922424	0.17302251	-0.17052276	0.021650495	-0.16613297	-0.3458684	0.03095534	0.26567957	-0.18985295	0.6136808	-0.17872079	0.09587714	-0.014592334	0.013975571	-0.19702457	0.34363207	0.11802692	0.23019812	0.17447041	0.24678716	-0.2836597	0.27245465	-0.17437953	0.24844672	-0.35783562	0.39098802	0.08450646	-0.10096587	0.23553224	0.13676918	-0.16030064	-0.07249095	-0.21033658	-0.3141685	0.16669978	0.19921848	0.07002768	-0.24519925	-0.23285264	0.25539872	0.30049723	-0.025717415	0.14698276	0.17177075	-0.18094634	0.18306251	-0.07298987	0.0020744419	0.15912443	0.19356482	-0.23857427	-0.28816468	0.031201165	-0.15548472	0.303888	-0.14368632	0.112783164	-0.13493007	-0.36896864	0.05378167
c322	-0.12808011	0.35360512	-0.053103212	0.12235027	-0.0034188158	-0.12731457	0.2952094	-0.047681507	0.03645554	0.049993068	-0.2490317	0.15197934	0.054436605	0.027962117	0.051848434	0.022210557	0.2181133	0.16034369	0.40105298	0.06569041	0.23615484	0.24353865	-0.3224091	-0.054792862	0.25398862	0.031768687	0.24897666	-0.026835892	-0.06389979	-0.23641181	0.004510373	0.091903426	-0.09580577	-0.07354642	-0.23077533	0.03189575	0.30487102	-0.093849905	0.011131553	0.09644248	-0.029871475	-0.09003558	0.2103513	0.028692732	-0.017508168	-0.18715155	0.06585169	-0.31323415	0.068368025	-0.35928485	-0.103412054	-0.33299318	0.028810734	-0.3857561	-0.09483811	0.1003754	-0.2981442	-0.14157769	-0.08941512	-0.0038212608	-0.11723186	-0.013662897	-0.12621082	0.11818715
