	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
c020	-0.0416587	0.24256006	0.09975126	0.39516047	0.124151126	-0.2680482	0.21254021	0.23028772	-0.22481512	-0.0075852172	-0.39379048	-0.28962284	0.1391632	0.34238404	-0.15645958	-0.35611495
c021	-0.09592453	0.41659588	0.38266087	0.44061673	0.13304716	-0.26106638	0.05932116	0.06650278	0.40384686	0.06885794	-0.1354677	0.4349748	-0.43173668	0.33171707	0.08206607	0.37498534
c022	0.07076096	-0.26946852	-0.3769318	-0.11775644	0.09427155	-0.15324527	0.21577103	0.29280263	0.08376353	-0.2695567	-0.28742778	-0.31228158	-0.45862818	0.2582901	-0.08856895	-0.36566234
c028	0.51506555	-0.13503999	0.047863368	-0.100881204	0.0027011835	-0.24244691	-0.29484212	-0.42427778	0.36517736	0.32599363	0.061176833	-0.46921685	0.3144337	-0.33460307	-0.29387167	0.082785815
c029	0.09074041	-0.320527	0.41238052	-0.015271359	0.28384545	-0.2509671	0.22368321	-0.4840175	0.2231812	0.17913137	-0.13969731	0.43946943	-0.23776096	-0.40440258	-0.13662729	-0.0011321232
c048	-0.16341297	0.27446634	0.19658741	-0.25285426	0.4854112	0.07809638	0.072721444	-0.030364858	-0.40878254	0.106161386	0.024777157	0.21597598	-0.3915162	0.17965008	-0.41901883	-0.12536567
c051	0.13592947	-0.28756967	0.30607235	0.057597205	0.12338671	-0.20141883	-0.22169337	-0.50033605	0.009398874	0.0023661323	0.079025716	0.45505476	-0.22868301	0.43656337	-0.44381896	0.3448485
c052	0.13947895	-0.06730704	-0.30036104	0.15043636	0.02373228	-0.3584952	-0.40153307	-0.12970676	0.30802533	-0.22888659	-0.18271922	0.60981417	-0.2637184	0.15772836	-0.1504499	-0.36568618
c058	-0.22842993	-0.1468461	0.21610323	0.37005773	-0.17581202	0.13478935	0.015636953	0.1897082	0.3809457	0.013588942	-0.53759253	0.012661104	-0.1492087	0.06891154	0.34597448	0.47830266
c068	0.03493749	-0.31512862	0.037370455	0.2759716	0.11420028	-0.38568804	-0.051201213	0.064877205	-0.17690246	-0.36079335	0.39756906	-0.22035553	-0.3227533	-0.3668059	0.08701671	0.20799518
c090	0.15538716	-0.11849557	-0.3065366	-0.013668454	-0.13117047	0.21504794	-0.21249945	-0.04935981	0.40807515	0.014295736	0.025509093	0.47174862	-0.009287519	0.12083104	0.2352193	0.5189408
c091	0.383184	-0.22349927	0.028288295	0.2312111	-0.22830269	0.35769224	0.08589148	-0.25637788	0.22227341	-0.22316931	-0.12527081	-0.5615871	-0.116435714	0.39658144	0.29912123	-0.008492546
c098	0.5413613	-0.093911454	-0.23793116	0.5089721	-0.103087135	-0.04071607	-0.4509037	0.09284017	0.08212422	-0.17115559	-0.30221975	0.29889154	-0.20990668	-0.030851692	-0.33079284	-0.061668105
