	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
Leukocytes [#/volume] in Blood	-0.06594649	-0.07391086	0.24788667	0.049271785	-0.17208506	0.23442955	0.08844849	0.30274644	0.0332947	0.11384282	-0.24180405	-0.06030561	-0.09419798	-0.22659037	0.06356779	-0.24951483	-0.16739467	-0.298182	-0.11515221	0.4028081	-0.39457503	-0.19428472	-0.23539077	0.18052457	0.22102931	0.11678491	0.058939207	0.11815414	-0.008486818	0.11796902	-0.463881	-0.048720557
Hemoglobin [Mass/volume] in Blood	0.13217685	-0.17165586	0.25055388	-0.19034371	-0.008230122	-0.18340504	-0.17564249	-0.1428398	0.19505692	-0.09912032	-0.3875289	0.13006288	-0.020751255	-0.041904096	0.079176	-0.41628635	0.1785085	0.1292957	-0.093696415	0.15190051	-0.25724113	-0.32873702	-0.12939395	-0.0096256845	-0.060329374	0.15038276	-0.2538856	0.036123067	0.044469908	-0.1781235	-0.23018922	0.15027308
Platelets [#/volume] in Blood	-0.068402484	0.50564456	0.098650165	0.37772092	-0.016344177	-0.00253243	0.15339004	0.045186896	-0.1255873	-0.15002532	0.057774138	-0.11126485	0.42281353	-0.22822508	0.16423608	0.22295535	-0.18205164	-0.29288465	0.59968656	-0.18564463	0.030470254	-0.35713002	0.11957693	0.15452597	0.27591038	0.15836343	-0.09320948	0.5618475	0.32149434	-0.033991374	-0.25379992	-0.2760667
Erythrocytes [#/volume] in Blood	-0.25672612	-0.04353804	0.05159353	0.40352198	-0.16730806	0.35514194	-0.034922674	0.26454288	-0.10866567	-0.37681428	-0.44442916	-0.12837435	0.022045413	0.29920906	-0.12314795	-0.029773004	0.27679908	0.31332397	-0.2970722	0.08892207	-0.21403441	0.2876266	0.26991162	-0.011626855	0.11269632	-0.16405462	0.09173804	-0.033563893	-0.06436523	0.26779082	0.30683938	-0.34196588
Hematocrit [Volume Fraction] of Blood	-0.014181789	0.13496359	-0.019437445	0.12400196	0.20767444	-0.12812991	-0.097834006	-0.030150605	-0.030010598	0.030350598	-0.12876107	0.4084111	0.4219685	-0.3033334	0.14012994	-0.2709582	0.27156487	-0.07546454	0.060091585	0.47966862	0.053376384	0.30539098	0.17933209	-0.038457375	-0.013589768	0.054644316	-0.22709918	0.27121463	0.39723462	0.5025232	-0.45464373	0.1740921
Erythrocyte mean corpuscular hemoglobin [Entitic mass]	-0.1708932	-0.2232464	-0.096256725	-0.15174605	0.1859036	-0.054009832	0.18861656	-0.23402432	0.054075662	0.2632669	-0.8950642	0.338567	-0.18485913	0.28976017	-0.20638703	0.18051788	-0.08958687	-0.15418471	0.24977152	-0.48234388	0.26489764	-0.016341846	0.25786072	0.40114737	0.15359782	0.60297143	0.17870416	-0.24577181	0.4151464	-0.22670443	0.26927623	-0.15149455
Erythrocyte mean corpuscular volume [Entitic volume]	0.14010586	-0.15091766	0.16749881	0.36730996	-0.14856036	-0.112650305	-0.2462371	-0.16354091	0.23097235	0.08890145	-0.052406605	-0.17796756	0.5472248	-0.06986526	-0.35628226	-0.20223454	0.3720495	0.08363415	0.40185443	0.14618373	0.158462	-0.4030088	0.2562452	-0.020927222	0.034240425	0.04835696	-0.117216304	0.1642395	0.23310144	0.3638819	-0.33898234	0.24417372
Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume]	-0.25910565	-0.19514129	-0.31313354	0.23192452	0.29431236	0.1610117	-0.042747505	0.22117747	-0.105248384	-0.019307638	-0.3975288	-0.29945683	0.01208792	-0.20424749	-0.08273789	-0.094133146	0.21029508	-0.3739189	-0.21397372	-0.050420407	-0.28398487	-0.107068226	-0.029055215	-0.08334297	0.28135344	-0.12514918	0.059878696	0.07330323	0.5599024	-0.1774069	-0.19359851	0.12991385
Erythrocyte distribution width [Ratio]	-0.16403568	0.19767375	-0.13430463	0.2850603	-0.12118134	-0.2804147	-0.14459823	-0.18491462	-0.05903495	-0.4188675	0.14178675	0.2967767	0.5193846	-0.26195806	-0.32907835	0.3016377	0.33526465	-0.18665163	-0.18331069	0.073807694	0.04785588	-0.39664897	-0.050014056	-0.20036371	-0.12404648	0.17809655	-0.0055778585	-0.09563443	0.2073676	-0.056979023	0.18858822	0.039432753
Platelet mean volume [Entitic volume] in Blood	0.23175432	-0.27124116	-0.02975572	0.29379123	0.034331273	-0.17126258	0.21269852	-0.03724599	-0.24693978	-0.13009024	-0.30059165	0.37615702	0.8012534	-0.2913888	-0.18934573	-0.1875187	0.038291328	-0.055212304	-0.03169345	0.19426122	-0.035929203	-0.3173661	-0.06443294	-0.21485911	-0.012123692	-0.06066926	0.24812295	0.30127275	-0.06039895	-0.14213061	-0.20389453	0.20322758
