	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
Leukocytes [#/volume] in Blood	-0.033917714	-0.1486736	-0.29017818	0.38587013	0.21689601	0.6504248	-0.0013286556	-0.5375823	-0.04679441	-0.24826878	0.28760538	-0.18948497	-0.016120402	-0.22612514	-0.24039727	-0.40423328
Hemoglobin [Mass/volume] in Blood	-0.17333506	-0.025361495	-0.06776818	0.30404752	0.32572553	-0.2272938	0.16774462	0.14047864	0.29048857	-0.32969087	0.4642349	-0.4391641	0.30237997	0.2949122	0.03433465	0.04570202
Platelets [#/volume] in Blood	-0.07742496	0.3733812	-0.08184401	0.11984097	0.30928737	-0.13648398	0.10140068	-0.14380741	-0.4673862	0.21918626	-0.10656082	-0.64181864	0.29046842	-0.35435244	0.24302877	-0.3340375
Erythrocytes [#/volume] in Blood	0.10134391	0.08760472	0.37565067	0.087973565	0.32893157	-0.36439678	-0.07853769	-0.09662742	-0.30750433	0.1787918	0.15597151	0.34721768	0.22761734	0.40975848	0.46779048	0.06965606
Hematocrit [Volume Fraction] of Blood	0.16839199	-0.046540212	-0.069712594	-0.31382987	0.0161649	0.19804838	-0.20016389	0.19597794	-0.28379402	0.19873738	-0.34829208	-0.023224112	-0.34324405	0.34805453	-0.012579673	0.19971402
Erythrocyte mean corpuscular hemoglobin [Entitic mass]	-0.2395738	-0.052561086	-0.31524342	0.31827387	0.09703799	-0.21004987	0.058808647	-0.0038827783	0.031885557	-0.19229491	0.020028347	-0.30994943	0.28148693	-0.5819209	0.17138386	-0.24497372
Erythrocyte mean corpuscular volume [Entitic volume]	0.0114547545	0.44115588	0.0013689318	0.16568872	-0.0681791	-0.1999638	0.36425468	0.13302179	0.6110702	-0.18823548	0.47595072	0.010486113	-0.2769115	-0.23110406	-0.24901295	-0.06572816
Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume]	0.11759815	-0.29277465	0.2299124	0.13994691	0.0026091782	-0.516369	0.15112184	-0.18064609	0.47881112	0.20482352	-0.0073412154	0.077639036	0.3255741	-0.14551097	0.3427347	-0.013633471
Erythrocyte distribution width [Ratio]	0.53803676	0.471379	0.30485475	-0.20493262	-0.20642106	0.3567574	-0.0033342983	-0.1652382	0.5917529	0.1783874	0.6771659	0.08857737	-0.39283642	-0.10712172	-0.21605992	-0.31105894
Platelet mean volume [Entitic volume] in Blood	-0.14278647	0.2916287	0.40160766	0.29089087	-0.27783683	0.34641162	-0.023873126	-0.33401805	0.51511264	-0.16542938	0.48082364	-0.234993	-0.22107252	0.3277211	-0.35111186	-0.27728444
Granulocytes [#/volume] in Blood	0.45353824	-0.18901226	0.32161057	-0.010357117	-0.22758329	-0.04291857	-0.3655426	-0.21847695	-0.15156768	-0.16541027	0.45168087	-0.2760469	-0.2110271	0.15743262	-0.067158364	0.39021713
Eosinophils [#/volume] in Blood	-0.38999104	-0.36747244	-0.14691928	-0.184455	0.084768735	0.19514108	-0.2890237	0.06369533	-0.44118205	0.1288641	0.037762314	0.14300618	-0.18799916	0.16318794	0.20694804	0.27491948
Basophils [#/volume] in Blood	-0.1743297	-0.30000648	0.08930102	0.14815	-0.21346949	0.26471344	0.15844865	0.23494606	-0.6014105	-0.005511823	0.2097085	-0.16454826	-0.33323333	-0.5469566	0.14105314	-0.37099278
Lymphocytes [#/volume] in Blood	0.22561264	-0.055907294	0.32805103	0.31437194	0.097684026	0.0909888	-0.4034448	-0.13485615	-0.58580685	0.44494265	-0.15381873	-0.45602885	0.4327839	0.0945616	-0.10947398	-0.11075432
Monocytes [#/volume] in Blood	-0.43343917	-0.25532728	0.33516046	0.5245456	-0.17590411	0.039555904	-0.14496185	-0.20484285	0.5848653	0.14411926	-0.11852442	0.27489838	0.41007543	0.35019413	0.23428737	0.10029162
Platelet distribution width [Entitic volume] in Blood by Automated count	0.3221624	0.4051948	0.41363484	-0.071155675	-0.07383392	0.26551983	0.27979475	0.22781566	-0.32706013	-0.16487671	-0.08451725	0.3499437	-0.10449216	-0.45222998	-0.07498866	-0.13998689
cd3_z	0.1856581	-0.33121106	-0.28995898	0.029069083	-0.25100532	-0.019160286	0.15187842	-0.30567724	0.23300472	0.264779	-0.05248211	-0.3561202	0.047039665	-0.003726502	0.40449667	-0.1397778
cd3_inv	0.041697692	-0.033593763	-0.21880618	0.22182278	-0.23127995	-0.066361986	0.2837428	0.028758941	0.28220806	-0.33287695	-0.1242931	-0.14913191	-0.5684822	-0.15696765	-0.5544642	-0.2813313
cd8_z	-0.24265108	-0.3375188	0.1953261	0.10713444	0.0882145	0.11837557	-0.22713085	0.23964156	-0.28140023	-0.19185211	0.21669187	0.29622936	-0.29803172	-0.2122335	0.19766247	-0.040814623
cd8_inv	-0.28207096	-0.23769541	-0.06376968	-0.6346949	-0.2217012	0.23109694	-0.26284155	0.22379719	-0.20779508	-0.4915875	0.16998504	-0.42728335	-0.2364464	0.7776219	0.27555445	-0.1679723
number_of_positive_lymph_nodes	-0.14409783	-0.17781816	0.14336629	-0.013104142	0.20821385	0.07760463	-0.3780577	0.026384966	-0.0019688949	-0.19227792	0.2981251	-0.08213119	-0.19266103	0.4751251	-0.4818663	0.21816707
infiltration_depth_in_mm	-0.070773184	-0.4605894	-0.1395433	-0.40537846	-0.16391715	0.5259672	-0.09461882	0.18022877	-0.11414035	0.09166425	0.49218225	0.25802815	0.05503902	-0.51139146	0.43354887	-0.37166294
