,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-55-7728-01,0.059169576,0.24870783,-0.21635376,0.08811173,-0.0763783,0.034017205,-0.03321451,-0.053110473,-0.083269306,-0.017803514,0.4392632,-0.17675798,-0.3049209,-0.21955769,-0.19203381,0.1527436,-0.11242928,-0.25464216,0.1508847,0.123503886,0.091723196,-0.0416757,-0.11905359,0.13209935,-0.11111969,0.10819417,-0.24581195,-0.14468476,0.10998039,-0.19268993,0.15690339,0.31589365
TCGA-62-A46P-01,-0.16490984,0.25736097,0.056473028,-0.21570987,-0.25754777,0.11194513,-0.16841172,-0.18168162,-0.15657628,0.1762277,0.23168163,-0.19644348,-0.012491143,-0.22011894,0.26528937,-0.12226947,-0.17497063,-0.23030907,0.34372577,0.063912675,0.00034932324,0.0062558632,0.06325976,0.17029598,-0.21711937,0.2440171,-0.05057419,-0.047727693,0.07990301,0.13645463,0.09852377,0.22288632
TCGA-91-6830-01,-0.28772584,0.1723585,0.13270208,-0.3717968,0.0887895,0.20674975,0.0025632868,0.051402535,-0.108282946,0.19818458,0.13674207,-0.17799883,-0.066029474,-0.30478027,-0.07510838,-0.30151737,-0.17619137,-0.27359807,0.13603301,0.030459756,-0.17734994,0.099043384,0.060810905,0.19297092,-0.19408612,0.2147858,0.045109645,0.049848083,0.12301246,0.22375087,0.06494996,0.13389988
TCGA-73-4659-01,-0.29573354,0.14619844,0.19971578,-0.34482282,0.20135596,0.20817325,0.114659436,0.07930571,-0.11542958,0.17948183,0.08346655,-0.17666546,-0.0023553276,-0.2352615,-0.05305767,-0.32440323,-0.15588297,-0.2222259,0.052567158,0.055937693,-0.2128164,0.124388956,0.12505259,0.2098657,-0.1335192,0.21139655,0.10648966,0.16793764,0.0702481,0.2346186,0.13359384,0.045082614
TCGA-17-Z015-01,0.11508726,0.044778906,0.4132054,0.1087746,0.23773561,0.25119737,0.28174138,0.099089436,-0.18265752,0.13212247,0.06395719,-0.19841394,0.19763176,-0.03405495,-0.18149208,-0.01594495,-0.030038532,-0.022527415,-0.18655497,0.1264647,0.15115885,0.009387585,0.16684908,0.13852054,-0.00052575197,0.12678817,0.21277182,0.24467845,-0.07275968,0.12712295,0.2595675,-0.30571145
TCGA-97-A4LX-01,-0.09146003,0.19619516,0.0012716338,-0.25654742,-0.08881691,0.23689662,-0.04066416,0.005725789,-0.109361336,0.17966524,0.20264731,-0.24782781,-0.19981253,-0.31428322,-0.31364122,-0.1872086,-0.15937683,-0.261004,0.030976607,0.018449835,-0.16520062,-0.101224415,-0.09571142,0.22167978,-0.2516761,0.22435412,0.05667769,0.07181696,0.22075382,0.19726348,0.036459528,0.033229705
TCGA-44-3398-01,-0.11423622,0.17420109,-0.07154046,-0.118450314,-0.07604589,0.0900129,0.04170352,-0.17518412,-0.06381211,0.0029147111,0.3399068,-0.1480555,-0.13742152,-0.26974306,-0.2019068,0.08963677,-0.19360523,-0.26831645,0.25392768,0.08974762,-0.22849867,-0.03555544,-0.12805974,0.17890151,-0.2346723,0.11742249,-0.26705512,-0.17117873,0.124491215,-0.046287082,0.0256779,0.3707909
TCGA-69-7764-01,-0.19263618,0.15456507,0.08519173,-0.2682751,0.08977423,0.20660241,0.14874792,-0.0043902034,-0.0841031,0.068519354,0.20049147,-0.14944866,-0.01272442,-0.26073042,-0.20203796,-0.11283109,-0.28425568,-0.29251298,0.14590383,0.09396426,-0.39568081,0.04292266,-0.0107585415,0.23525454,-0.19033864,0.16220085,-0.020618984,0.12898742,0.14559877,0.18612397,0.034523863,0.20954232
TCGA-55-6981-01,0.0257709,0.20912515,0.20124397,-0.13121292,-0.10699339,0.22074993,-0.16403985,0.23011442,-0.23595186,0.3034821,0.15342416,-0.28443733,0.016017452,-0.22229803,0.062947914,-0.26601475,-0.11386683,-0.2502129,0.09066591,0.07520552,0.22264658,-0.014471377,0.10492063,0.08502738,-0.08004507,0.24895675,0.12859346,0.04486068,0.1005068,0.29812363,0.19430861,-0.009559784
TCGA-73-4668-01,-0.15898675,0.121415846,0.19724405,-0.26065266,0.13317868,0.20172668,-0.011298105,0.25039902,-0.16814323,0.21903159,0.014687286,-0.19518474,0.12234875,-0.15745935,0.16256899,-0.34266368,-0.18979208,-0.19280466,0.058749292,0.09209147,-0.12987909,0.13641238,0.21022828,0.14854836,-0.042058554,0.2559972,0.14123191,0.16222937,0.04869939,0.319127,0.17043741,-0.003469591
