na_ratio,method,summed_rank_tcga,summed_rank_hancock,summed_rank_mimic,n_runs_tcga,n_runs_hancock,n_runs_mimic,summed_rank_total,n_runs_total,avg_rank,rank
0.01,AutoComplete,36.0,22.0,12.0,10,10,10,70.0,30,2.3333333333333335,2.0
0.01,KNN,32.0,28.0,21.0,10,10,10,81.0,30,2.7,1.0
0.01,MissForest,20.0,18.0,19.0,10,10,10,57.0,30,1.9,3.0
0.01,POME,10.0,18.0,13.0,10,10,10,41.0,30,1.3666666666666667,4.0
0.05,AutoComplete,33.0,29.0,13.0,10,10,10,75.0,30,2.5,2.0
0.05,KNN,37.0,37.0,30.0,10,10,10,104.0,30,3.466666666666667,1.0
0.05,MissForest,20.0,14.0,29.0,10,10,10,63.0,30,2.1,3.0
0.05,POME,10.0,14.0,18.0,10,10,10,42.0,30,1.4,4.0
0.1,AutoComplete,37.0,27.0,13.0,10,10,10,77.0,30,2.566666666666667,2.0
0.1,KNN,33.0,38.0,30.0,10,10,10,101.0,30,3.3666666666666667,1.0
0.1,MissForest,20.0,14.0,27.0,10,10,10,61.0,30,2.033333333333333,3.0
0.1,POME,10.0,15.0,18.0,10,10,10,43.0,30,1.4333333333333333,4.0
0.25,AutoComplete,40.0,28.0,10.0,10,10,10,78.0,30,2.6,2.0
0.25,KNN,30.0,38.0,34.0,10,10,10,102.0,30,3.4,1.0
0.25,MissForest,19.0,15.0,28.0,10,10,10,62.0,30,2.066666666666667,3.0
0.25,POME,11.0,13.0,23.0,10,10,10,47.0,30,1.5666666666666667,4.0
0.5,AutoComplete,40.0,28.0,11.0,10,10,10,79.0,30,2.6333333333333333,2.0
0.5,KNN,30.0,36.0,35.0,10,10,10,101.0,30,3.3666666666666667,1.0
0.5,MissForest,20.0,16.0,23.0,10,10,10,59.0,30,1.9666666666666666,3.0
0.5,POME,10.0,11.0,23.0,10,10,10,44.0,30,1.4666666666666666,4.0
