na_ratio,method,summed_rank_tcga,summed_rank_hancock,summed_rank_mimic,n_runs_tcga,n_runs_hancock,n_runs_mimic,summed_rank_total,n_runs_total,avg_rank,rank
0.01,AutoComplete,36.0,25.0,14.0,10,10,10,75.0,30,2.5,2.0
0.01,KNN,32.0,31.0,23.0,10,10,10,86.0,30,2.8666666666666667,1.0
0.01,MissForest,20.0,23.0,21.0,10,10,10,64.0,30,2.1333333333333333,3.0
0.01,POME,10.0,12.0,12.0,10,10,10,34.0,30,1.1333333333333333,4.0
0.05,AutoComplete,33.0,30.0,14.0,10,10,10,77.0,30,2.566666666666667,2.0
0.05,KNN,37.0,38.0,30.0,10,10,10,105.0,30,3.5,1.0
0.05,MissForest,20.0,19.0,28.0,10,10,10,67.0,30,2.2333333333333334,3.0
0.05,POME,10.0,10.0,17.0,10,10,10,37.0,30,1.2333333333333334,4.0
0.1,AutoComplete,37.0,30.0,12.0,10,10,10,79.0,30,2.6333333333333333,2.0
0.1,KNN,33.0,40.0,35.0,10,10,10,108.0,30,3.6,1.0
0.1,MissForest,20.0,20.0,32.0,10,10,10,72.0,30,2.4,3.0
0.1,POME,10.0,10.0,18.0,10,10,10,38.0,30,1.2666666666666666,4.0
0.25,AutoComplete,40.0,29.0,11.0,10,10,10,80.0,30,2.6666666666666665,2.0
0.25,KNN,30.0,39.0,37.0,10,10,10,106.0,30,3.533333333333333,1.0
0.25,MissForest,20.0,16.0,31.0,10,10,10,67.0,30,2.2333333333333334,3.0
0.25,POME,10.0,13.0,19.0,10,10,10,42.0,30,1.4,4.0
0.5,AutoComplete,40.0,31.0,11.0,10,10,10,82.0,30,2.7333333333333334,2.0
0.5,KNN,30.0,39.0,37.0,10,10,10,106.0,30,3.533333333333333,1.0
0.5,MissForest,20.0,18.0,26.0,10,10,10,64.0,30,2.1333333333333333,3.0
0.5,POME,10.0,12.0,21.0,10,10,10,43.0,30,1.4333333333333333,4.0
