na_ratio,method,summed_rank_tcga,summed_rank_hancock,summed_rank_mimic,n_runs_tcga,n_runs_hancock,n_runs_mimic,summed_rank_total,n_runs_total,avg_rank,rank
0.01,AutoComplete,36.0,27.0,14.0,10,10,10,77.0,30,2.566666666666667,2.0
0.01,KNN,32.0,33.0,23.0,10,10,10,88.0,30,2.933333333333333,1.0
0.01,MissForest,20.0,25.0,21.0,10,10,10,66.0,30,2.2,3.0
0.01,POME,10.0,10.0,11.0,10,10,10,31.0,30,1.0333333333333334,4.0
0.05,AutoComplete,33.0,31.0,16.0,10,10,10,80.0,30,2.6666666666666665,2.0
0.05,KNN,37.0,39.0,32.0,10,10,10,108.0,30,3.6,1.0
0.05,MissForest,20.0,20.0,30.0,10,10,10,70.0,30,2.3333333333333335,3.0
0.05,POME,10.0,10.0,13.0,10,10,10,33.0,30,1.1,4.0
0.1,AutoComplete,37.0,30.0,11.0,10,10,10,78.0,30,2.6,2.0
0.1,KNN,33.0,40.0,32.0,10,10,10,105.0,30,3.5,1.0
0.1,MissForest,20.0,20.0,29.0,10,10,10,69.0,30,2.3,3.0
0.1,POME,10.0,10.0,16.0,10,10,10,36.0,30,1.2,4.0
0.25,AutoComplete,40.0,30.0,10.0,10,10,10,80.0,30,2.6666666666666665,2.0
0.25,KNN,30.0,40.0,37.0,10,10,10,107.0,30,3.566666666666667,1.0
0.25,MissForest,20.0,20.0,31.0,10,10,10,71.0,30,2.3666666666666667,3.0
0.25,POME,10.0,10.0,20.0,10,10,10,40.0,30,1.3333333333333333,4.0
0.5,AutoComplete,40.0,31.0,12.0,10,10,10,83.0,30,2.7666666666666666,2.0
0.5,KNN,30.0,39.0,39.0,10,10,10,108.0,30,3.6,1.0
0.5,MissForest,20.0,20.0,29.0,10,10,10,69.0,30,2.3,3.0
0.5,POME,10.0,10.0,18.0,10,10,10,38.0,30,1.2666666666666666,4.0
