method,acc_cat,mae_cont,nmae_cont,na_ratio,run,dataset
POME,0.6380555209759741,279.1410951103712,0.0971858964686195,0.5,9.0,TCGA-LUAD
POME,0.6775585696670777,315.06068241755526,0.0713540013923051,0.05,4.0,TCGA-LUAD
POME,0.6732475321754342,278.6572703433521,0.0869154189195897,0.25,7.0,TCGA-LUAD
POME,0.677195198989261,252.57685429902156,0.0736007785232986,0.05,7.0,TCGA-LUAD
POME,0.6502875718929733,262.06937139416203,0.0856646114292948,0.25,8.0,TCGA-LUAD
POME,0.67,115.8864424662102,0.0738145062175863,0.05,6.0,TCGA-LUAD
POME,0.6870277078085643,210.9039251168618,0.0864803992685286,0.05,5.0,TCGA-LUAD
POME,0.6746928137023707,264.8699516723674,0.0871184905025921,0.25,9.0,TCGA-LUAD
POME,0.6375796974621828,286.99599943247904,0.1048971074392625,0.5,0.0,TCGA-LUAD
POME,0.6786163522012578,211.9017424005348,0.0705499334370851,0.05,9.0,TCGA-LUAD
POME,0.6908182386008744,229.26084253756903,0.072708733556128,0.05,3.0,TCGA-LUAD
POME,0.670166769610871,151.4341850343813,0.0755573877892372,0.05,2.0,TCGA-LUAD
POME,0.6395939086294417,301.33354572799385,0.100960784225126,0.5,1.0,TCGA-LUAD
POME,0.6824114356743319,298.2939477090041,0.0767154424984189,0.05,1.0,TCGA-LUAD
POME,0.6391090035564984,283.97599991046457,0.1010918871160197,0.5,2.0,TCGA-LUAD
POME,0.6701732673267327,421.9191379022594,0.0878796905287741,0.05,0.0,TCGA-LUAD
POME,0.6763255240443896,161.58193028141145,0.0739662036448852,0.05,8.0,TCGA-LUAD
POME,0.6599452327607668,271.5265103691521,0.0835633831895747,0.25,6.0,TCGA-LUAD
POME,0.6371797269496914,276.9563837202529,0.1038257063868441,0.5,3.0,TCGA-LUAD
POME,0.6976382846488502,189.43375244267625,0.0768872187233723,0.1,5.0,TCGA-LUAD
POME,0.6664590082232743,272.7719447717043,0.0869650594162066,0.25,0.0,TCGA-LUAD
POME,0.6830635118306351,239.45091950016163,0.074404489147809,0.1,8.0,TCGA-LUAD
POME,0.6750387596899224,184.52879707123105,0.08586240988184,0.1,7.0,TCGA-LUAD
POME,0.6545021319287685,261.4587353047498,0.0887798483936131,0.25,1.0,TCGA-LUAD
POME,0.6757348342714197,327.1489312980561,0.0856111634301485,0.1,6.0,TCGA-LUAD
POME,0.6693679092382496,262.3949611612099,0.0849010118260536,0.25,2.0,TCGA-LUAD
