na_ratio,method,summed_rank_tcga,summed_rank_hancock,summed_rank_mimic,n_runs_tcga,n_runs_hancock,n_runs_mimic,summed_rank_total,n_runs_total,avg_rank,rank
0.01,AutoComplete,40.0,37.0,33.0,10,10,10,110.0,30,3.6666666666666665,4.0
0.01,KNN,22.0,10.0,29.0,10,10,10,61.0,30,2.033333333333333,2.0
0.01,MissForest,11.0,20.0,11.0,10,10,10,42.0,30,1.4,1.0
0.01,POME,27.0,33.0,27.0,10,10,10,87.0,30,2.9,3.0
0.05,AutoComplete,40.0,40.0,35.0,10,10,10,115.0,30,3.8333333333333335,4.0
0.05,KNN,20.0,12.0,34.0,10,10,10,66.0,30,2.2,2.0
0.05,MissForest,10.0,18.0,10.0,10,10,10,38.0,30,1.2666666666666666,1.0
0.05,POME,30.0,30.0,21.0,10,10,10,81.0,30,2.7,3.0
0.1,AutoComplete,40.0,40.0,34.0,10,10,10,114.0,30,3.8,4.0
0.1,KNN,13.0,15.0,36.0,10,10,10,64.0,30,2.1333333333333333,2.0
0.1,MissForest,17.0,15.0,10.0,10,10,10,42.0,30,1.4,1.0
0.1,POME,30.0,30.0,20.0,10,10,10,80.0,30,2.6666666666666665,3.0
0.25,AutoComplete,40.0,38.0,35.0,10,10,10,113.0,30,3.7666666666666666,4.0
0.25,KNN,11.0,31.0,35.0,10,10,10,77.0,30,2.566666666666667,3.0
0.25,MissForest,19.0,10.0,10.0,10,10,10,39.0,30,1.3,1.0
0.25,POME,30.0,21.0,20.0,10,10,10,71.0,30,2.3666666666666667,2.0
0.5,AutoComplete,40.0,36.0,35.0,10,10,10,111.0,30,3.7,4.0
0.5,KNN,22.0,34.0,35.0,10,10,10,91.0,30,3.033333333333333,3.0
0.5,MissForest,10.0,10.0,10.0,10,10,10,30.0,30,1.0,1.0
0.5,POME,28.0,20.0,20.0,10,10,10,68.0,30,2.2666666666666666,2.0
