embedding_size,suggestion_followed,survived_frac,file,modality
16,0,0.84,HANCOCK_samples_16_0.tsv,All
16,0,0.8,HANCOCK_samples_16_0.tsv,Systemic and radiotherapy
16,0,0.9090909090909091,HANCOCK_samples_16_0.tsv,No therapy
16,0,0.75,HANCOCK_samples_16_0.tsv,Only radiotherapy
16,1,0.9230769230769231,HANCOCK_samples_16_0.tsv,All
16,1,0.6666666666666666,HANCOCK_samples_16_0.tsv,Systemic and radiotherapy
16,1,1.0,HANCOCK_samples_16_0.tsv,No therapy
16,1,1.0,HANCOCK_samples_16_0.tsv,Only radiotherapy
16,0,0.92,HANCOCK_samples_16_1.tsv,All
16,0,0.875,HANCOCK_samples_16_1.tsv,Systemic and radiotherapy
16,0,1.0,HANCOCK_samples_16_1.tsv,No therapy
16,0,0.75,HANCOCK_samples_16_1.tsv,Only radiotherapy
16,1,0.7692307692307693,HANCOCK_samples_16_1.tsv,All
16,1,0.6,HANCOCK_samples_16_1.tsv,Systemic and radiotherapy
16,1,0.8571428571428571,HANCOCK_samples_16_1.tsv,No therapy
16,1,1.0,HANCOCK_samples_16_1.tsv,Only radiotherapy
16,0,0.8260869565217391,HANCOCK_samples_16_2.tsv,All
16,0,0.7,HANCOCK_samples_16_2.tsv,Systemic and radiotherapy
16,0,0.9090909090909091,HANCOCK_samples_16_2.tsv,No therapy
16,0,1.0,HANCOCK_samples_16_2.tsv,Only radiotherapy
16,1,0.9333333333333333,HANCOCK_samples_16_2.tsv,All
16,1,1.0,HANCOCK_samples_16_2.tsv,Systemic and radiotherapy
16,1,1.0,HANCOCK_samples_16_2.tsv,No therapy
16,1,0.6666666666666666,HANCOCK_samples_16_2.tsv,Only radiotherapy
16,0,0.7916666666666666,HANCOCK_samples_16_3.tsv,All
16,0,0.7,HANCOCK_samples_16_3.tsv,Systemic and radiotherapy
16,0,0.9,HANCOCK_samples_16_3.tsv,No therapy
16,0,0.75,HANCOCK_samples_16_3.tsv,Only radiotherapy
16,1,1.0,HANCOCK_samples_16_3.tsv,All
16,1,1.0,HANCOCK_samples_16_3.tsv,Systemic and radiotherapy
16,1,1.0,HANCOCK_samples_16_3.tsv,No therapy
16,1,1.0,HANCOCK_samples_16_3.tsv,Only radiotherapy
16,0,0.7619047619047619,HANCOCK_samples_16_4.tsv,All
16,0,0.7,HANCOCK_samples_16_4.tsv,Systemic and radiotherapy
16,0,0.8571428571428571,HANCOCK_samples_16_4.tsv,No therapy
16,0,0.75,HANCOCK_samples_16_4.tsv,Only radiotherapy
16,1,1.0,HANCOCK_samples_16_4.tsv,All
16,1,1.0,HANCOCK_samples_16_4.tsv,Systemic and radiotherapy
16,1,1.0,HANCOCK_samples_16_4.tsv,No therapy
16,1,1.0,HANCOCK_samples_16_4.tsv,Only radiotherapy
16,0,0.8421052631578947,HANCOCK_samples_16_5.tsv,All
16,0,0.75,HANCOCK_samples_16_5.tsv,Systemic and radiotherapy
16,0,1.0,HANCOCK_samples_16_5.tsv,No therapy
16,0,0.75,HANCOCK_samples_16_5.tsv,Only radiotherapy
16,1,0.8947368421052632,HANCOCK_samples_16_5.tsv,All
16,1,0.8,HANCOCK_samples_16_5.tsv,Systemic and radiotherapy
16,1,0.9230769230769231,HANCOCK_samples_16_5.tsv,No therapy
16,1,1.0,HANCOCK_samples_16_5.tsv,Only radiotherapy
16,0,0.7368421052631579,HANCOCK_samples_16_6.tsv,All
16,0,0.7272727272727273,HANCOCK_samples_16_6.tsv,Systemic and radiotherapy
16,0,0.75,HANCOCK_samples_16_6.tsv,No therapy
16,0,0.75,HANCOCK_samples_16_6.tsv,Only radiotherapy
16,1,1.0,HANCOCK_samples_16_6.tsv,All
16,1,1.0,HANCOCK_samples_16_6.tsv,Systemic and radiotherapy
16,1,1.0,HANCOCK_samples_16_6.tsv,No therapy
16,1,1.0,HANCOCK_samples_16_6.tsv,Only radiotherapy
16,0,0.84,HANCOCK_samples_16_7.tsv,All
16,0,0.7,HANCOCK_samples_16_7.tsv,Systemic and radiotherapy
16,0,1.0,HANCOCK_samples_16_7.tsv,No therapy
16,0,0.75,HANCOCK_samples_16_7.tsv,Only radiotherapy
16,1,0.9230769230769231,HANCOCK_samples_16_7.tsv,All
16,1,1.0,HANCOCK_samples_16_7.tsv,Systemic and radiotherapy
16,1,0.8888888888888888,HANCOCK_samples_16_7.tsv,No therapy
16,1,1.0,HANCOCK_samples_16_7.tsv,Only radiotherapy
16,0,0.8888888888888888,HANCOCK_samples_16_8.tsv,All
16,0,0.75,HANCOCK_samples_16_8.tsv,Systemic and radiotherapy
16,0,1.0,HANCOCK_samples_16_8.tsv,No therapy
16,0,1.0,HANCOCK_samples_16_8.tsv,Only radiotherapy
16,1,0.85,HANCOCK_samples_16_8.tsv,All
16,1,0.8,HANCOCK_samples_16_8.tsv,Systemic and radiotherapy
16,1,0.9285714285714286,HANCOCK_samples_16_8.tsv,No therapy
