method,acc_cat,mae_cont,na_ratio,run,dataset
POME,0.6775585696670777,433.2456660254364,0.05,4.0,TCGA-LUAD
POME,0.6534988713318285,305.3141760384006,0.25,1.0,TCGA-LUAD
POME,0.6770186335403726,433.6707388194447,0.01,7.0,TCGA-LUAD
POME,0.675574891236793,218.482050492542,0.05,1.0,TCGA-LUAD
POME,0.6534597866100955,341.255285897872,0.5,2.0,TCGA-LUAD
POME,0.6776602364654636,393.1122250330761,0.1,4.0,TCGA-LUAD
POME,0.6446208664124523,340.857340928266,0.5,7.0,TCGA-LUAD
POME,0.6783260462211118,358.0541322232935,0.05,3.0,TCGA-LUAD
POME,0.6795910734322403,336.19362288576934,0.25,2.0,TCGA-LUAD
POME,0.67150979153506,299.8591934246863,0.05,7.0,TCGA-LUAD
POME,0.6830188679245283,292.1391113877912,0.05,9.0,TCGA-LUAD
POME,0.645296734975246,364.4809860170543,0.5,1.0,TCGA-LUAD
POME,0.644404332129964,352.7027110078837,0.5,9.0,TCGA-LUAD
POME,0.6762643965948923,362.525044309366,0.25,5.0,TCGA-LUAD
POME,0.7341772151898734,230.99051562785087,0.01,6.0,TCGA-LUAD
POME,0.6509569228851069,331.7068544470976,0.5,3.0,TCGA-LUAD
POME,0.674320466674941,314.04292401158483,0.25,9.0,TCGA-LUAD
POME,0.6892307692307692,594.8868806331436,0.01,4.0,TCGA-LUAD
POME,0.6873045653533458,367.44278468615954,0.1,6.0,TCGA-LUAD
POME,0.6725496375669713,365.42393763256985,0.1,1.0,TCGA-LUAD
POME,0.6708198355345129,294.54852780491615,0.25,0.0,TCGA-LUAD
POME,0.6735454997513675,304.7386326022146,0.25,3.0,TCGA-LUAD
POME,0.6896551724137931,238.77872070119736,0.01,1.0,TCGA-LUAD
POME,0.6873065015479877,238.98882885213496,0.01,2.0,TCGA-LUAD
POME,0.6777501553760099,235.29624311232143,0.1,5.0,TCGA-LUAD
POME,0.6676961087090797,274.163493193998,0.05,2.0,TCGA-LUAD
POME,0.671875,176.35223159328422,0.05,6.0,TCGA-LUAD
POME,0.6811955168119551,332.31918750021384,0.1,8.0,TCGA-LUAD
POME,0.6846846846846847,482.1443561988483,0.01,0.0,TCGA-LUAD
POME,0.673046752431754,247.63368885600605,0.1,9.0,TCGA-LUAD
POME,0.6456495902921123,342.41220325276726,0.5,8.0,TCGA-LUAD
