na_ratio,method,summed_rank_tcga,summed_rank_hancock,summed_rank_mimic,n_runs_tcga,n_runs_hancock,n_runs_mimic,summed_rank_total,n_runs_total,avg_rank,rank
0.01,AutoComplete,39.0,29.0,13.0,10,10,10,81.0,30,2.7,2.0
0.01,KNN,31.0,31.0,22.0,10,10,10,84.0,30,2.8,1.0
0.01,MissForest,20.0,21.0,20.0,10,10,10,61.0,30,2.033333333333333,3.0
0.01,POME,10.0,11.0,11.0,10,10,10,32.0,30,1.0666666666666667,4.0
0.05,AutoComplete,40.0,34.0,13.0,10,10,10,87.0,30,2.9,2.0
0.05,KNN,30.0,36.0,30.0,10,10,10,96.0,30,3.2,1.0
0.05,MissForest,20.0,18.0,28.0,10,10,10,66.0,30,2.2,3.0
0.05,POME,10.0,12.0,17.0,10,10,10,39.0,30,1.3,4.0
0.1,AutoComplete,40.0,31.0,13.0,10,10,10,84.0,30,2.8,2.0
0.1,KNN,30.0,38.0,34.0,10,10,10,102.0,30,3.4,1.0
0.1,MissForest,20.0,20.0,31.0,10,10,10,71.0,30,2.3666666666666667,3.0
0.1,POME,10.0,10.0,18.0,10,10,10,38.0,30,1.2666666666666666,4.0
0.25,AutoComplete,40.0,30.0,11.0,10,10,10,81.0,30,2.7,2.0
0.25,KNN,30.0,40.0,35.0,10,10,10,105.0,30,3.5,1.0
0.25,MissForest,20.0,20.0,29.0,10,10,10,69.0,30,2.3,3.0
0.25,POME,10.0,10.0,18.0,10,10,10,38.0,30,1.2666666666666666,4.0
0.5,AutoComplete,40.0,36.0,11.0,10,10,10,87.0,30,2.9,2.0
0.5,KNN,30.0,34.0,38.0,10,10,10,102.0,30,3.4,1.0
0.5,MissForest,20.0,18.0,27.0,10,10,10,65.0,30,2.1666666666666665,3.0
0.5,POME,10.0,12.0,21.0,10,10,10,43.0,30,1.4333333333333333,4.0
