Method,Target,Type,Score
POME,Recurrence,AP,0.2957921631589751
UMAP,Recurrence,AP,0.34076268291815864
POME,Recurrence,AP,0.31456763427527756
UMAP,Recurrence,AP,0.34446951417096994
POME,Recurrence,AP,0.2705557999371817
UMAP,Recurrence,AP,0.45710303441719047
POME,Recurrence,AP,0.32070662255432025
UMAP,Recurrence,AP,0.5128161201816613
POME,Recurrence,AP,0.41249554209339484
UMAP,Recurrence,AP,0.45101458686804796
POME,Recurrence,AP,0.26881079863910623
UMAP,Recurrence,AP,0.3372600922168149
POME,Recurrence,AP,0.27222130281090606
UMAP,Recurrence,AP,0.4010259362765539
POME,Recurrence,AP,0.26270747686727314
UMAP,Recurrence,AP,0.40447099222523375
POME,Recurrence,AP,0.45934220230943124
UMAP,Recurrence,AP,0.2893673351452388
POME,Recurrence,AP,0.2119527753435292
UMAP,Recurrence,AP,0.26414032466056264
Naive,Recurrence,AP,0.23197903014416776
POME,Survival,AP,0.8231201207014542
UMAP,Survival,AP,0.7354293656011306
POME,Survival,AP,0.8463753678829157
UMAP,Survival,AP,0.7700802954747507
POME,Survival,AP,0.760463196668428
UMAP,Survival,AP,0.809143986299706
POME,Survival,AP,0.7898451488743173
UMAP,Survival,AP,0.7707120723451858
POME,Survival,AP,0.8254387403151022
UMAP,Survival,AP,0.8007689289195508
POME,Survival,AP,0.8114699155862837
UMAP,Survival,AP,0.7483199661723646
POME,Survival,AP,0.8235348014846345
UMAP,Survival,AP,0.8460960101627075
POME,Survival,AP,0.8487635951665458
UMAP,Survival,AP,0.8317259219692426
POME,Survival,AP,0.8620869229467152
UMAP,Survival,AP,0.8445361512410441
POME,Survival,AP,0.8876826765850085
UMAP,Survival,AP,0.8585830809653956
Naive,Survival,AP,0.7208387942332897
POME,RFS Event,AP,0.6272005497330589
UMAP,RFS Event,AP,0.597496025616171
POME,RFS Event,AP,0.5258381191033524
UMAP,RFS Event,AP,0.4877245362152645
POME,RFS Event,AP,0.5947101639280151
UMAP,RFS Event,AP,0.6018384437085662
POME,RFS Event,AP,0.41435032584168846
UMAP,RFS Event,AP,0.5300610770870735
POME,RFS Event,AP,0.4263183441373068
UMAP,RFS Event,AP,0.4510734283990193
POME,RFS Event,AP,0.48419388496749965
UMAP,RFS Event,AP,0.45279401202834285
POME,RFS Event,AP,0.49425770435420646
UMAP,RFS Event,AP,0.49999355349178487
POME,RFS Event,AP,0.38839151948617134
UMAP,RFS Event,AP,0.5458915067490903
POME,RFS Event,AP,0.586409457584693
UMAP,RFS Event,AP,0.48490919008189365
POME,RFS Event,AP,0.49786318096197835
UMAP,RFS Event,AP,0.6255135825517518
Naive,RFS Event,AP,0.39711664482306686
POME,Days to RFS,R2,-0.11140233534070765
UMAP,Days to RFS,R2,-0.14756894551226885
POME,Days to RFS,R2,-0.06989761395336114
UMAP,Days to RFS,R2,-0.019182544243389277
POME,Days to RFS,R2,-0.20743547738111467
UMAP,Days to RFS,R2,0.07594757170852373
POME,Days to RFS,R2,-0.07321110633528938
UMAP,Days to RFS,R2,0.01981673650898308
POME,Days to RFS,R2,-0.0032676852885005214
UMAP,Days to RFS,R2,-0.1281387566997345
POME,Days to RFS,R2,-0.11151254099413022
UMAP,Days to RFS,R2,-0.008885436112081813
POME,Days to RFS,R2,-0.0025661420163154425
UMAP,Days to RFS,R2,-0.04165587336333032
POME,Days to RFS,R2,-0.16939421894957207
UMAP,Days to RFS,R2,-0.1908500688442034
POME,Days to RFS,R2,-0.0965460560996727
UMAP,Days to RFS,R2,-0.09817083935120419
POME,Days to RFS,R2,-0.09652527037857928
UMAP,Days to RFS,R2,-0.02045458227484187
POME,Recurrence,AP,0.23635585953887664
UMAP,Recurrence,AP,0.315356874868295
POME,Recurrence,AP,0.20808450397911687
UMAP,Recurrence,AP,0.35482759437775524
POME,Recurrence,AP,0.2826136948786304
UMAP,Recurrence,AP,0.45540367559401007
POME,Recurrence,AP,0.2246642492361433
UMAP,Recurrence,AP,0.4669399773859421
POME,Recurrence,AP,0.2680131412872001
UMAP,Recurrence,AP,0.4480523561903115
POME,Recurrence,AP,0.295016684497476
UMAP,Recurrence,AP,0.366125428461042
