Method,Target,Type,Score
POME,Recurrence,AP,0.3711415665855406
UMAP,Recurrence,AP,0.32651410310751944
POME,Recurrence,AP,0.21794708633212417
UMAP,Recurrence,AP,0.3498210655989892
POME,Recurrence,AP,0.23310060971510707
UMAP,Recurrence,AP,0.4136065512585517
POME,Recurrence,AP,0.36164756503218204
UMAP,Recurrence,AP,0.44155000870413424
POME,Recurrence,AP,0.4306508013110523
UMAP,Recurrence,AP,0.3681597525121911
POME,Recurrence,AP,0.28686724692773413
UMAP,Recurrence,AP,0.3537332259879036
POME,Recurrence,AP,0.3212721869929398
UMAP,Recurrence,AP,0.4217063811688023
POME,Recurrence,AP,0.23424586886502635
UMAP,Recurrence,AP,0.39364966139718593
POME,Recurrence,AP,0.425365227942221
UMAP,Recurrence,AP,0.2902204391862101
POME,Recurrence,AP,0.21475874716403878
UMAP,Recurrence,AP,0.2559934771864232
Naive,Recurrence,AP,0.23197903014416776
POME,Survival,AP,0.8088209519520483
UMAP,Survival,AP,0.7444641118902265
POME,Survival,AP,0.8132507283116105
UMAP,Survival,AP,0.757084650580332
POME,Survival,AP,0.8022110565467278
UMAP,Survival,AP,0.8116347821003425
POME,Survival,AP,0.7755067326814205
UMAP,Survival,AP,0.7593581790410799
POME,Survival,AP,0.7917580833553308
UMAP,Survival,AP,0.7819191634224592
POME,Survival,AP,0.8363415194576987
UMAP,Survival,AP,0.7550328310188662
POME,Survival,AP,0.8153091928681229
UMAP,Survival,AP,0.8486740473609035
POME,Survival,AP,0.8669857547081579
UMAP,Survival,AP,0.8440986080004169
POME,Survival,AP,0.8621106703801693
UMAP,Survival,AP,0.8582779612263591
POME,Survival,AP,0.9250805686831634
UMAP,Survival,AP,0.8439877372524905
Naive,Survival,AP,0.7208387942332897
POME,RFS Event,AP,0.6784690725559362
UMAP,RFS Event,AP,0.5538972774147684
POME,RFS Event,AP,0.6094055111617507
UMAP,RFS Event,AP,0.5240177959434494
POME,RFS Event,AP,0.6037295263999884
UMAP,RFS Event,AP,0.5962182802774344
POME,RFS Event,AP,0.4703167203644012
UMAP,RFS Event,AP,0.528473632008058
POME,RFS Event,AP,0.5292160170681308
UMAP,RFS Event,AP,0.4561737141080314
POME,RFS Event,AP,0.4899884072286719
UMAP,RFS Event,AP,0.45949084138067653
POME,RFS Event,AP,0.64643784385187
UMAP,RFS Event,AP,0.47308748732996414
POME,RFS Event,AP,0.40276257644224617
UMAP,RFS Event,AP,0.5393869441849768
POME,RFS Event,AP,0.5887311111211477
UMAP,RFS Event,AP,0.5376661106961862
POME,RFS Event,AP,0.5575701534429538
UMAP,RFS Event,AP,0.5919633506425581
Naive,RFS Event,AP,0.39711664482306686
POME,Days to RFS,R2,-0.06236520319149763
UMAP,Days to RFS,R2,0.045126874614094925
POME,Days to RFS,R2,0.0582455489896786
UMAP,Days to RFS,R2,0.056372981596345295
POME,Days to RFS,R2,-0.06950519758163654
UMAP,Days to RFS,R2,0.0018075025819860313
POME,Days to RFS,R2,-0.018655780330405936
UMAP,Days to RFS,R2,0.07422731555007589
POME,Days to RFS,R2,-0.0006080358889655191
UMAP,Days to RFS,R2,0.06731407663977707
POME,Days to RFS,R2,-0.07628417989558822
UMAP,Days to RFS,R2,0.01062910807299633
POME,Days to RFS,R2,0.08574264014146749
UMAP,Days to RFS,R2,0.09232538713534888
POME,Days to RFS,R2,-0.0015147397339887458
UMAP,Days to RFS,R2,-0.045145803670508355
POME,Days to RFS,R2,0.06103957140960803
UMAP,Days to RFS,R2,0.1189533724691868
POME,Days to RFS,R2,-0.03268513360764724
UMAP,Days to RFS,R2,0.15479529046826668
POME,Recurrence,AP,0.383838204694955
UMAP,Recurrence,AP,0.33854189372773763
POME,Recurrence,AP,0.25897284362291983
UMAP,Recurrence,AP,0.37088617761853476
POME,Recurrence,AP,0.2796708112535159
UMAP,Recurrence,AP,0.475502818180224
POME,Recurrence,AP,0.25095145837102456
UMAP,Recurrence,AP,0.4707422780524767
POME,Recurrence,AP,0.3864230991731575
UMAP,Recurrence,AP,0.3705563904685458
POME,Recurrence,AP,0.2510009169649015
UMAP,Recurrence,AP,0.340654898261886
POME,Recurrence,AP,0.26362191181019157
UMAP,Recurrence,AP,0.38128547094152665
POME,Recurrence,AP,0.26425458017267933
UMAP,Recurrence,AP,0.4316263895611214
POME,Recurrence,AP,0.3033960919778433
UMAP,Recurrence,AP,0.2750348851960418
POME,Recurrence,AP,0.26188606822734384
UMAP,Recurrence,AP,0.2625441635394614
Naive,Recurrence,AP,0.23197903014416776
POME,Survival,AP,0.7005003161100114
UMAP,Survival,AP,0.7310461928062575
POME,Survival,AP,0.8156935105999285
UMAP,Survival,AP,0.7666654480390613
POME,Survival,AP,0.7924780653059954
UMAP,Survival,AP,0.8197161871710028
POME,Survival,AP,0.7634726901508982
UMAP,Survival,AP,0.7606016187904281
POME,Survival,AP,0.7557770658967893
UMAP,Survival,AP,0.7903362201781629
POME,Survival,AP,0.829477945138129
UMAP,Survival,AP,0.7506771971218108
POME,Survival,AP,0.7152207995267399
UMAP,Survival,AP,0.8521638333719608
POME,Survival,AP,0.8083029354230546
UMAP,Survival,AP,0.8301350205786838
POME,Survival,AP,0.7644500979650204
UMAP,Survival,AP,0.8415461552924166
POME,Survival,AP,0.9143052378589721
UMAP,Survival,AP,0.8441034999303977
Naive,Survival,AP,0.7208387942332897
POME,RFS Event,AP,0.6354241037325606
UMAP,RFS Event,AP,0.5062435396478401
POME,RFS Event,AP,0.5308474779933283
UMAP,RFS Event,AP,0.48336516086669995
POME,RFS Event,AP,0.5683862799017262
UMAP,RFS Event,AP,0.5869924845342666
POME,RFS Event,AP,0.4983273865239549
UMAP,RFS Event,AP,0.5406958914602698
POME,RFS Event,AP,0.48099748793211605
UMAP,RFS Event,AP,0.46432205244799984
POME,RFS Event,AP,0.4615435611933957
UMAP,RFS Event,AP,0.5257322657742937
POME,RFS Event,AP,0.5063480034507144
UMAP,RFS Event,AP,0.5087744858941773
POME,RFS Event,AP,0.37822411220557167
UMAP,RFS Event,AP,0.5249643561951699
POME,RFS Event,AP,0.530879738210674
UMAP,RFS Event,AP,0.5148179116279153
POME,RFS Event,AP,0.492873798654101
UMAP,RFS Event,AP,0.6459881220790825
Naive,RFS Event,AP,0.39711664482306686
POME,Days to RFS,R2,-0.11309693902561913
UMAP,Days to RFS,R2,0.031854752696339084
POME,Days to RFS,R2,0.023251108591255232
UMAP,Days to RFS,R2,0.0010205052298593031
POME,Days to RFS,R2,-0.06623710522184845
UMAP,Days to RFS,R2,-0.0323031202030144
POME,Days to RFS,R2,-0.054839125150742074
UMAP,Days to RFS,R2,0.15708021837241737
POME,Days to RFS,R2,-0.028981132762506245
UMAP,Days to RFS,R2,0.04906246565137551
POME,Days to RFS,R2,-0.06999737701929787
UMAP,Days to RFS,R2,-0.004571349898105037
POME,Days to RFS,R2,0.026884921260677208
UMAP,Days to RFS,R2,0.13790575131848304
POME,Days to RFS,R2,-0.06158106817087372
UMAP,Days to RFS,R2,-0.006951257092779439
POME,Days to RFS,R2,0.03535136970072961
UMAP,Days to RFS,R2,0.0818334520783417
POME,Days to RFS,R2,-0.05491270250070257
UMAP,Days to RFS,R2,0.1665113899682492
POME,Recurrence,AP,0.3565533458238681
UMAP,Recurrence,AP,0.3259060875993858
POME,Recurrence,AP,0.32539952506513814
UMAP,Recurrence,AP,0.36627208193272853
