Method,Target,Type,Score,Precision,Recall,F1
UMAP,Neutropenic Fever,AP,0.1393466915018713,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.0520811220981612,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.0912642493272917,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.0817160096361783,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10664516880774721,0.0,0.0,0.0
Naive,Neutropenic Fever,AP,0.0512646793134598,-1.0,-1.0,-1.0
POME,Aplasia,AP,0.2976854794091095,0.0,0.0,0.0
UMAP,Aplasia,AP,0.33682684094629145,0.36585365853658536,0.16853932584269662,0.23076923076923078
POME,Aplasia,AP,0.2215468652185144,0.0,0.0,0.0
UMAP,Aplasia,AP,0.3702303949530971,0.5909090909090909,0.18309859154929578,0.27956989247311825
POME,Aplasia,AP,0.2669930823182901,0.0,0.0,0.0
UMAP,Aplasia,AP,0.40765530178829457,0.5,0.24444444444444444,0.3283582089552239
POME,Aplasia,AP,0.19977457138590393,0.0,0.0,0.0
UMAP,Aplasia,AP,0.5081051811308228,0.6341463414634146,0.26804123711340205,0.37681159420289856
POME,Aplasia,AP,0.3380057796722589,0.0,0.0,0.0
UMAP,Aplasia,AP,0.5699464621233774,0.6181818181818182,0.30357142857142855,0.40718562874251496
POME,Aplasia,AP,0.38256745224959837,0.0,0.0,0.0
UMAP,Aplasia,AP,0.6148630389440812,0.7446808510638298,0.2517985611510791,0.3763440860215054
POME,Aplasia,AP,0.33675220179780674,0.0,0.0,0.0
UMAP,Aplasia,AP,0.406334417171392,0.56,0.1728395061728395,0.2641509433962264
POME,Aplasia,AP,0.2849509979861049,0.0,0.0,0.0
UMAP,Aplasia,AP,0.424442668286547,0.5675675675675675,0.2625,0.358974358974359
POME,Aplasia,AP,0.28326792968080755,0.0,0.0,0.0
UMAP,Aplasia,AP,0.484852329478005,0.6764705882352942,0.25555555555555554,0.3709677419354839
POME,Aplasia,AP,0.2797464206049288,0.0,0.0,0.0
UMAP,Aplasia,AP,0.5439776225892591,0.65,0.28888888888888886,0.4
Naive,Aplasia,AP,0.21205962059620595,-1.0,-1.0,-1.0
POME,Neutropenic Fever,AP,0.08073723315972053,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.051341820804990064,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.10077859194115596,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.11229660844329854,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.07460175102606495,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.18522773853415458,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.05658747024152404,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.15979020629302765,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08045006241178912,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.21988311119315773,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.11990267232950835,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14674351536998734,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.12871116118422402,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.171657763464606,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.10236462488703282,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14447406693856038,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.08573161222378924,0.0,0.0,0.0
