Method,Target,Type,Score
POME,Recurrence,AP,0.29902567158887533
UMAP,Recurrence,AP,0.32355948890303826
POME,Recurrence,AP,0.27215631001801904
UMAP,Recurrence,AP,0.3086154054233396
POME,Recurrence,AP,0.2855507916339665
UMAP,Recurrence,AP,0.43916036950092685
POME,Recurrence,AP,0.298031543045282
UMAP,Recurrence,AP,0.4270850475618409
POME,Recurrence,AP,0.32317697657496014
UMAP,Recurrence,AP,0.33042526494792857
POME,Recurrence,AP,0.21214807839724867
UMAP,Recurrence,AP,0.2654190476491692
POME,Recurrence,AP,0.30029796811304343
UMAP,Recurrence,AP,0.42342803592070255
POME,Recurrence,AP,0.28568004248718315
UMAP,Recurrence,AP,0.3472773119041719
POME,Recurrence,AP,0.4189000511640778
UMAP,Recurrence,AP,0.27679548380198615
POME,Recurrence,AP,0.4040137852534653
UMAP,Recurrence,AP,0.2904030812606786
Naive,Recurrence,AP,0.23197903014416776
POME,Survival,AP,0.7037230721388745
UMAP,Survival,AP,0.7990557193058127
POME,Survival,AP,0.8474148695713332
UMAP,Survival,AP,0.7916634443872337
POME,Survival,AP,0.7600784506880474
UMAP,Survival,AP,0.7957902370403588
POME,Survival,AP,0.7897847922992345
UMAP,Survival,AP,0.7968224666357022
POME,Survival,AP,0.7943534637408806
UMAP,Survival,AP,0.8425185116223364
POME,Survival,AP,0.7866245728277634
UMAP,Survival,AP,0.7798869403447078
POME,Survival,AP,0.7020903065049138
UMAP,Survival,AP,0.8077323343510386
POME,Survival,AP,0.8439194000743804
UMAP,Survival,AP,0.8570645309887939
POME,Survival,AP,0.781097076007422
UMAP,Survival,AP,0.8883654962407279
POME,Survival,AP,0.8813019517666081
UMAP,Survival,AP,0.8109316506500401
Naive,Survival,AP,0.7208387942332897
POME,RFS Event,AP,0.6268439889102786
UMAP,RFS Event,AP,0.5439964028403788
POME,RFS Event,AP,0.5812525261741058
UMAP,RFS Event,AP,0.39215507477567824
POME,RFS Event,AP,0.6185919918517978
UMAP,RFS Event,AP,0.5274963576801013
POME,RFS Event,AP,0.5483776353684159
UMAP,RFS Event,AP,0.45451639595849214
POME,RFS Event,AP,0.4200772095755499
UMAP,RFS Event,AP,0.6338472009640342
POME,RFS Event,AP,0.4763079685098829
UMAP,RFS Event,AP,0.5148843773701441
POME,RFS Event,AP,0.5463311232934627
UMAP,RFS Event,AP,0.6522317222954638
POME,RFS Event,AP,0.3786472896999932
